Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2020-02-05-55-commissie-ic102x	ParlaMint-BE_2020-02-05-55-commissie-ic102x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-02-2020	2020-02-05	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	SenesaelDaniel	Senesael, Daniel	M	1957	
ParlaMint-BE-en_2020-02-05-55-commissie-ic102x	ParlaMint-BE_2020-02-05-55-commissie-ic102x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-02-2020	2020-02-05	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DucarmeDenis	Ducarme, Denis	M	1973	
ParlaMint-BE-en_2020-02-05-55-commissie-ic102x	ParlaMint-BE_2020-02-05-55-commissie-ic102x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-02-2020	2020-02-05	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	SenesaelDaniel	Senesael, Daniel	M	1957	
ParlaMint-BE-en_2020-02-05-55-commissie-ic102x	ParlaMint-BE_2020-02-05-55-commissie-ic102x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-02-2020	2020-02-05	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	VanderStraetenTinne	Van der Straeten, Tinne	F	1978	
ParlaMint-BE-en_2020-02-05-55-commissie-ic102x	ParlaMint-BE_2020-02-05-55-commissie-ic102x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-02-2020	2020-02-05	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	CreemersBarbara	Creemers, Barbara	F	1981	
ParlaMint-BE-en_2020-02-05-55-commissie-ic102x	ParlaMint-BE_2020-02-05-55-commissie-ic102x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-02-2020	2020-02-05	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DucarmeDenis	Ducarme, Denis	M	1973	
ParlaMint-BE-en_2020-02-05-55-commissie-ic102x	ParlaMint-BE_2020-02-05-55-commissie-ic102x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-02-2020	2020-02-05	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	VanderStraetenTinne	Van der Straeten, Tinne	F	1978	
ParlaMint-BE-en_2020-02-05-55-commissie-ic102x	ParlaMint-BE_2020-02-05-55-commissie-ic102x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-02-2020	2020-02-05	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	CreemersBarbara	Creemers, Barbara	F	1981	
ParlaMint-BE-en_2020-02-05-55-commissie-ic102x	ParlaMint-BE_2020-02-05-55-commissie-ic102x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-02-2020	2020-02-05	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	deLaveleyeSéverine	de Laveleye, Séverine	F	1976	
ParlaMint-BE-en_2020-02-05-55-commissie-ic102x	ParlaMint-BE_2020-02-05-55-commissie-ic102x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-02-2020	2020-02-05	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DucarmeDenis	Ducarme, Denis	M	1973	
ParlaMint-BE-en_2020-02-05-55-commissie-ic102x	ParlaMint-BE_2020-02-05-55-commissie-ic102x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-02-2020	2020-02-05	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	deLaveleyeSéverine	de Laveleye, Séverine	F	1976	
