ParlaMint-BE_2020-01-14-55-commissie-ic086x.u1	Minister, ladies and gentlemen, best wishes! Beste wensen!
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u2	Mr President, I would like to make it clear that my question concerns the renovation of prisons in general. You'll understand why. Minister, on October 11, 2019, you inaugurated Namur prison after renovation. Of course, I can only welcome this renovation, although I must remind you, at the same time, that a simple renovation is not enough to guarantee adequate conditions of detention. As the Brussels court of first instance pointed out in its conviction of the Belgian state on 9 January 2019, just a year ago, "many other things must be assured to guarantee good conditions of detention". These include access to health care, a decent visit time to get a visit, effective access to activities, and the availability of sufficient staff. We know the pack hurts at this level. It is true that I have no specific information regarding the current conditions of detention in Namur prison. I know, however, that in Brussels the conditions of detention are absolutely disastrous. We had the opportunity, together with some of my colleagues in the Committee on Justice, to visit the prisons of Saint-Gilles, Forest and Berkendael on 6 December. Unfortunately, the situation has not improved, but on the contrary! The prospect you offer publicly and regularly to remedy this situation in Brussels prisons is the famous mega-prison project in Haren. However, this mega-establishment is not expected to open until the spring of 2022, since the Council of State rejected in June 2019 the last remaining appeals against the project, in this case against the urban planning permit and the environmental permit, both of which had been issued by the Brussels Region. Minister, what is the planned rate of availability of all the units that will make up this new prison? When should detainees in the three Brussels prisons be transferred? If so, in a phased manner? What are your solutions while waiting for this transfer? I would also like to remind you that the citizens who opposed the project of mega-prison in Haren have, since 2013, asked to consider the renovation of the prisons of Saint-Gilles, Forest and Berkendael. As soon as you took office, you kept telling them that it was not possible, that Brussels prisons were too old and too small to meet the recommended standards, and that there would be no possibility of carrying out the work in occupied prisons, since the detainees would have to be moved. Now, it must be noted that you have just inaugurated the renovation of two wings of Namur Prison from the bottom to the bottom. I started my question with that. These wings are even older than Brussels prisons. You also launched the continuation of the work for two other wings. That requires clarification, Minister. Therefore, could you provide us with the definition of the gross square metres above ground used in a note from the Régie des Bâtiments and relating to the prisons of Brussels, as well as the exact surfaces of the prisons of Namur, Saint-Gilles, Forest, Berkendael, and the mega-prison of Haren? I would also like you to provide me and my colleagues with a copy of the plans of the architects of these prisons.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u3	Mr President, I wish you and the staff and the secretary of this committee, all our parliamentary colleagues and their staff. Mrs Rohonyi, I would like first of all to point out that the Haren project does not consist of a mega-prison, but that this project is part of the philosophy of a complex or a village, consisting of several buildings. You cannot compare Haren with the existing old Brussels prisons or with Namur Prison. Indeed, Brussels has many more detainees, somewhat distorting a comparison with Namur. The renovation of the operational prison in Namur was possible because it was winged by wing, through a phased approach. The state and occupancy rate of Brussels prisons did not allow for this type of approach. Haren prison will open its doors in the course of 2022. Subsequently, a multi-phase transfer of detainees will be planned. Indeed, it is impossible to predict the move of more than 1,000 inmates at a time. Details of these phases are still being prepared. The gross surface area requested is as follows. Namur: 10 619 m2, Saint-Gilles: 40 986 m2, Forest: 25 245 m2, Berkendael: 8 069 m2. The future Haren prison alone has a total surface area of 106,138 m2. In the past, it has already been explained in detail why renovation of existing infrastructure is not a reasonable alternative, both technically and financially, as well as in terms of timing. The argument used is summarized as follows. With a view to humane detention, there is a need for a programme of needs for the replacement of Brussels prisons of approximately 106,000 square metres. The buildings of Forest, Saint-Gilles and Berkendael do not offer this area. Their land does not allow any extension, since these prisons are integrated into an urban fabric. Overcrowding in Belgian prisons prevents the closure of Brussels facilities during renovation work and, therefore, the temporary accommodation of detainees elsewhere. With regard to the ageing of Brussels prisons, pending a move, the necessary measures are constantly being taken to ensure the best possible detention in these old buildings. Where minor adjustments and repairs are necessary, they shall be rectified as soon as possible. For example, I can tell you that the cell phone was still installed in Saint-Gilles, although it was not originally planned. For obvious security reasons, it is impossible to respond to your request to make plans for prisons available. This obviously has nothing personal to do with you. Thank you for your attention.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u4	Minister, thank you. I asked you a lot of questions, and you answered me a lot. It is difficult for me to respond knowingly, given this wealth of information, particularly about surfaces. I would like to believe in the nature of the future Haren prison, that it would not be a mega-complex, but rather a prison village. However, it is difficult for us to verify this, since not all of the documents we have requested from you, including the invitation to tender, have been fully communicated to us. In other words, we will be faced with the fait accompli, once the prison has been built or, in any case, when the works have begun. I continue to believe that the decision to build the Haren prison was taken by the Council of Ministers in 2010 and that, therefore, the then prisoners were forced to stay almost ten years in the same conditions of detention, which were completely unworthy. While some adjustments have been made, it must be noted that this situation remains totally unacceptable. Moreover, it is for this reason that Belgium has been condemned on several occasions. I am also not reassured about the nature of Haren's project, in the sense that the Royal Informant's note favours the holding of video conferencing within the prisons themselves. We know that because there have been leaks about it. We have adopted several legislative measures in relation to this, but the desire to systematize and generalize them is a cause for concern. This seems to be a solution because Haren's prison would no longer have this proximity to the courthouse that the prisons of Saint-Gilles, Forest, Berkendael now have. I find, however, that this is an easy solution which is not acceptable in the sense that these detainees will be brought to trial in a place where they are not presented as having the presumption of innocence. In fact, when you inaugurated the new prison in Namur, you said that "this renovation clearly shows how a 19th-century prison can be modernized so that it can be adapted to the reality and requirements of today. His situation in the immediate vicinity of the correctional court also makes him an example to follow." Mr Minister, I would have liked to understand why this argument applies to Namur prison and not to Brussels prison, except for the technical explanations we provided. I would like to hear from you about this. If this cannot be done today, I will not fail to ask you again.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u5	Minister, located a few hundred meters from the Atomium, the American Theatre was part of the very futuristic pavilion of the United States during Expo 58. At the end of this universal exhibition, the United States offered it to the Belgian State. The city of Brussels wants to buy the building and renovate it and has submitted an offer of 2.5 million euros to the federal in 2011 and planned 7 million for its renovation. This offer has remained unanswered by your administration. The majority agreement of the city of Brussels maintains this ambition by wanting to give a future with a truly thoughtful and sustainable project to this important site of our heritage as a bilingual and bicommunal cultural pole. Minister, can you tell me the status of the purchase procedure within the Régie des Bâtiments? What are the applications submitted for this purpose? What's the status of their examination? Is there a clear agenda in this procedure for finally landing this file?
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u6	Minister, best wishes for 2020. We will see each other a few more times in the context of what you yourself describe as the Belgian experiment to be maintained. Speaking of a Belgian experiment, Mr Zanchetta knows the Brussels coalition agreement well, but less well the Flemish coalition agreement. I know them both. The city of Brussels is indeed interested in purchasing the vacant building of the American Theatre, but there is also something like the Flemish government. It is also active in Brussels and has a government agreement, from which I quote: "We urge the federal government to transfer the American Theatre for the creation of a new Flemish cultural pool. This should lead to a theatre room with a capacity of 1,200 seats which should enable a number of larger dance, theatre and music productions to be brought to Brussels in a cost-effective manner. We also aim at a breeding ground for young artistic talent where they can create, learn and exchange among themselves. After transfer, the coordination of this project will be done by the Ancienne Belgique." Your predecessor, Jan Jambon, who is now curiously Flemish Minister of Culture and Prime Minister, said a few months ago that a federal government must first be constituted and that the Minister responsible for the Regie in that government must confirm that the federal government wants to sell the property. Let us not forget that a thorough renovation is needed. In 2018, there was a minimum of 34 million euro in renovation costs. Mr. Minister, as the supervisory minister of the Regie, you could decide to launch a public sale, which would require the necessary bidders. You know as well as I do that it is a somewhat Community matter. That was already noticeable in my colleague's question. What is your view, as Minister responsible for the Government of the Buildings, on a possible transfer to the Flemish government? Are there major investments needed for the vacant building? According to my information, it amounts to at least EUR 34 million. What's to stop the federal government from doing that part of the patrimony? Your predecessor said that it was not clear which formula to use: lease or purchase. He was in negotiations with then Flemish Minister for Culture, Sven Gatz, his predecessor. In other words, there are many questions. I hope you will not say that you cannot answer much, because the government is in current affairs, and that it is an issue for a permanent minister to be installed.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u7	Mrs. Zanchetta, Mr. Ravyts, the federal government no longer has a destination for the American Theatre. The building will therefore be divested. That has been decided and will be done in the greatest federal loyalty. The procedure is being prepared. The necessary certifications have been obtained. I am planning a concrete step forward this year. The Belgian State is obliged to compete with its sales and to organise a transparent tendering procedure under which all applicants will be given the same opportunities. Candidate buyers will be asked to make themselves known after the start of the procedure. If a government other than the federal government takes an expropriation decision, competition will cease and be sold to the expropriator. The expropriation fee will then be determined by the Federal Procurement Committee. Given that the building has been closed for some time and that it no longer meets current energy management requirements, it can be expected that the new owner will have significant costs. The size of the investment will of course depend on the destination the buyer wishes to give to the site. The Government of the Buildings as a selling party will have no control over that. So I am not hiding behind the current cases, but behind the discretion, which is appropriate. I will make the decision, along with others, in the greatest federal loyalty.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u8	Minister, thank you for your answer. We will, of course, be attentive to the development of this procedure, which we will follow on a regular basis.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u9	Minister, thank you for reminding us of the context of federal loyalty and for highlighting the technical side of the procedure. We will continue to follow the file.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u10	Minister, the former Gendarmerie of Frasnes-lez-Buissenal located on the road to Hacquegnies belongs in part to the Régie des Bâtiments. Most of this building has been unoccupied for years. Part was used by the intervention police. However, for the past year, the intervention police of the Area of Hills have left this building because of unsanitary conditions. For more than a year now, apart from the use of a few garages, this building has been completely unoccupied. So, Minister, could you please indicate what your intentions are with regard to the future of this building? Is there a calendar? I heard there was some progress. I would like to hear from you about this. Thank you.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u11	Ms.Dedonder, the complex is composed of several construction units. The federal state owns only the housing part. The brigade was transferred to the police area. The Régie and the police area are both willing to offer their respective parts for sale. The Federal Acquisition Committee was tasked with contacting the police area to launch a joint sale. The proceeds of the sale will be distributed between the police zone and the Régie. The sale organized by the Federal Acquisition Committee is planned for 2020. Thank you.
