ParlaMint-BE_2020-03-11-55-commissie-ic136x.u1	Debates of the European Parliament 55003825C and 55003860C by Mr Van Hecke were postponed.
ParlaMint-BE_2020-03-11-55-commissie-ic136x.u2	Minister, our group is sneaking up on you from two sides, but you know us; that is in full goodwill.
ParlaMint-BE_2020-03-11-55-commissie-ic136x.u3	I'm just getting snuck up on it.
ParlaMint-BE_2020-03-11-55-commissie-ic136x.u4	Yes. (LAUGHING) Perhaps we should move on to the question before our conversation takes us somewhere we do not want to go. Due to the final battle around Idlib I suspect that it will have found its way to a Turkish cell in the past weeks and months a number of Syrian fighters. One example is Fouad Akrich, who was captured by the Turkish security forces after a long, perhaps impressive career, first at Sharia4Belgium, later at the brigades of Al-Nusra. I also questioned Minister Goffin yesterday in a different context. In some cases, like Mr Akrich, they were previously deprived of Belgian nationality by a conviction, but I can imagine that the Justice Department would like them to serve their sentence, of course, and that extradition would be requested. The Turkish authorities have sometimes given the impression that they ignore or disregard Belgian decisions on the removal of nationality. When courts in our country go beyond Mr Akrich's situation, taking the decision to deprive a number of individuals of their nationality, will we be able to "enforce" that with foreign authorities, so that they agree that person A or B is no longer Belgian? Can the Belgian Justice guarantee that the persons of dual nationality whose Belgian nationality has been deprived will receive the same treatment as those who, for example, are only Moroccan? What contacts do you maintain in relation to the countries of which the persons concerned now have the remaining nationality?
ParlaMint-BE_2020-03-11-55-commissie-ic136x.u5	Minister, there is an interface between my question and that of my colleague. A few weeks ago, we discussed and voted on the declaration of dual nationality in the Committee on the Interior. It was a somewhat strange vote because we never came to a consensus. The item will also be on the plenary agenda tomorrow. Today, Belgian nationality can be taken away. We just wanted to strengthen the framework. At the time, you also made the pertinent remark that it was a good thing that N-VA wanted an automatism in this matter, but that the Council of State was right that there should still be a judicial test. As we had subsequently amended the text, there was no legal reason to vote the legislative proposal away. That was a purely political decision. We will, of course, not let go of the subject immediately. Minister, how many persons convicted of terrorism were Belgian nationals taken from in 2019? How many persons convicted of terrorism in Belgium have returned to our country after they have stayed in foreign conflict areas? Have you already consulted the prosecution on a structural approach to the withdrawal of terrorists? If so, what are the plans and at what time do you see them being realized?
ParlaMint-BE_2020-03-11-55-commissie-ic136x.u6	Madam President, Mr De Roover, Mr Metsu, first of all, as regards the people who have returned to our country, I would like to inform you that the available data do not indicate how many of these returns have been convicted. I can tell you that 37 returns were in a Belgian prison at the end of 2019. With regard to the revocation of Belgian nationality, which is essentially the subject of your questions, I can inform you that in 2019 such a revocation was pronounced 13 times for terrorist offences. The structural approach you are asking for already exists. An important element are the binding guidelines of 3 May 2018 of the College of Attorneys General regarding the revocation of Belgian nationality in terrorist cases. Declarations of Belgian nationality shall be given by the Belgian courts. You are right to ask what the consequences are for third countries. With regard to the expulsion by a third state of a foreign fighter from Belgium, we have learned from experience that the focus should be on avoiding an uncontrolled return to Belgian territory. That is precisely why the previous government has decided to organise a hotspot procedure, which also includes the necessary contacts with the State which decides to expel it. The Belgian authorities are following closely developments regarding expulsions. It takes into account the finding that such expulsions took place to neighbouring countries, although those countries had reported that the person to be designated no longer had the nationality of that country. With regard to the execution of the sentence in the State of which the convicted person still has the nationality following the declaration of invalidity of Belgian nationality, it should be recalled that the transfer to a non-EU Member State of such a person always requires the consent of that State. We note that it is difficult to obtain such a transfer authorisation from the third countries most involved in this process if the convicted person has never even had Belgian nationality. I do not exclude that we can also ask the question of transfer for persons who have just lost Belgian nationality, but I think it is more likely that we should first unblock the situation for persons who have never even had Belgian nationality.
ParlaMint-BE_2020-03-11-55-commissie-ic136x.u7	Thank you, Minister, for the answer and the figures. I would like to touch on two more points. The distinction you make between people who have never been Belgian and those who are no longer Belgian may not need to be made anymore. If their Belgian nationality has expired, they are, for example, Moroccan and nothing else. If we take that Belgian past with us and therefore make that distinction, then perhaps we will support the argument of the other states that taking away that nationality is only half a job. Secondly, when you talk about the hotspot procedure, you are probably talking about Turkey? I believe that we have a fairly well-functioning agreement with this. I suspect that this is far less the case with the other countries. It is therefore not possible to act in the same way there. You can clarify this on another occasion.
ParlaMint-BE_2020-03-11-55-commissie-ic136x.u8	Thank you, Minister, for the very clear answers. I am pleasantly surprised that in 2019 a cancellation was already pronounced thirteen times, after a judicial test. Our proposal also contained the idea of not making a distinction between people who are Belgians from birth and those who have become Belgians after a procedure, if they have dual nationality. For us, a Belgian is a Belgian. Apparently, however, that went a step too far for many colleagues. We also regret that the duration of effective prison sentences must be at least five years. A few weeks ago, there was another verdict for two IS fighters in which the prosecutor effectively claimed five years and sentenced the judge to 40 months and four years. If these women had the dual nationality, they would not be eligible for that revocation at all. Once again, I regret that the bill that was pending here for four years, for which we lobbied and adapted, will fall on a cold stone tomorrow. At least we're not letting this go. We will continue to ask you questions about this.
ParlaMint-BE_2020-03-11-55-commissie-ic136x.u9	Debates of the European Parliament 55003864C by Mrs Rohonyi is postponed. Debates of the European Parliament 55003895C by Mr Piedboeuf is converted into a written question.
ParlaMint-BE_2020-03-11-55-commissie-ic136x.u10	Mr Minister, ten Vietnamese migrants were discovered in the cargo bay of a lorry on its way to the United Kingdom on Thursday at Ghentbrugge motorway parking. Four men have been arrested on suspicion of human trafficking. The ball started rolling when Belgian and British police noticed suspicious transports between the port of Zeebrugge and the port of Purfleet in England. The Maritime Police and the Human Trafficking Team of the West Flemish Federal Judicial Police therefore launched an investigation, together with the British National Crime Agency. The investigators were able to identify the trailer with transmigrants, which allowed the truck to be intercepted at the motorway park in Gentbrugge. A total of ten Vietnamese were discovered between a load of stacked car tires. "Ten lives, including eight minors, are safer now thanks to our close cooperation with Belgian partners," the NCA reports in a press release. We are, of course, very pleased that it appears once again that international cooperation pays off in the fight against this type of crime. Belga also reports that the ten transmigrants have been made available to the Foreign Affairs Office. Research shows that smuggled Vietnamese minors are ultimately exploited in the UK in cannabis plantations, nailshops and prostitution. In this sense, there is often serious trafficking in human beings on top of human trafficking. That is why I am asking you this question, because I do not intend to ask a question about any interception, but this is a very special issue. Mr Minister, I have the following questions. There were eight minors in that group of ten. How many minors was a guardian appointed? How many age tests were conducted? How many turned out to be really underage in the end? Smuggling of minors is an aggravating circumstance, which gives rise to the launch of a procedure for trafficking in human beings. Did that happen? What specialised care, related to trafficking in human beings, was provided for minors? How many can enjoy it now? How many of them did it stay at an observation center when they signed up? What are your views on a procedure of objective victimisation for underage victims of human trafficking, knowing that it is often very difficult for Vietnamese minors to obtain statements immediately because they are often still under the control of the smugglers and traffickers? How many minors do you know where they are now? What happened to the adults? Were they eventually housed in a specialised centre for trafficking in human beings? My question is therefore, above all, whether there has been a systematic approach here.
ParlaMint-BE_2020-03-11-55-commissie-ic136x.u11	Mr Segers, on Thursday 5 March 2020, ten transmigrants of supposedly Vietnamese nationality were indeed found in Gentbrugge. Eight of them were underage. The two adults were housed in the closed asylum centre of Bruges. The eight minors were under the authority of the Voogdij service and were taken over by this service and taken to the observation and orientation centre of Fedasil. No age tests were carried out, as there was no doubt about the minority. However, the day after arrival in the centre the minors left the shelter. Fedasil reported their disappearance to the police. The Voogdij has appointed a guardian, who will continue to follow the disappearance with the parish. The issue of creating an objective victimisation procedure for victims of trafficking in human beings is complex and has already been the subject of various discussions. As regards international instruments, States are not obliged to apply similar protection measures to victims of trafficking in human beings. However, Belgium has made exceptions to this. For underage victims, cooperation with the Justice Department can indeed sometimes be difficult. However, in practice, the most appropriate procedure is regularly sought and this is in line with the situation of the young person. For example, the TEH procedure, la traite des être humains, is a possible option. The facts in the judicial investigation are indeed qualified as human trafficking with aggravating circumstances, including the minority of a number of victims. Although the victims did not wish to register as disadvantaged persons, they were still questioned. Their statements are, of course, covered by the secret of the judicial investigation.
