ParlaMint-BE_2020-06-09-55-commissie-ic199x.u1	I would like to welcome both ministers and colleagues.
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u2	Mr President, following a change of agenda, I am required to be present in the Committee on the Interior at this time. Due to a technical problem last week, two of my questions were postponed until today. I would ask that it be taken into consideration that I refer to the written text of these questions, which bear numbers 55006733C and 55006734C. I hope you will agree with this approach.
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u3	Thank you, Mr. Rigot. You will read the answers in the full report.
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u4	Then I have a number of more topical questions, in particular concerning the GEES reports, which were made public yesterday. This shows, for example, that people are not always happy with the advice given by the RAG and the RMG. That makes it a little confusing to decide who is actually in charge and who decides which advice is most important, especially when conflicting advice is given. Who's cutting the buttons? You as a minister or someone else? A complaint was also lodged with the Commission for access to and re-use of administrative documents, Publicity Department, concerning the GEES, ERMG, RAG and RMG reports. The Commission states that the reasons for keeping the reports secret are flawed. What was the reason not to publish them? Didn't the bodies themselves want that or was that a political decision? The GEES informs us that she was a asking party to make the reports public. Why didn't that happen right away? According to the GEES, Sciensano's data is not sufficiently fine-meshed. Is it possible to obtain a more detailed explanation, possibly in writing or by someone from Sciensano, about how the data are collected and how they are processed? Was Sciensano responsible for collecting the data from the clinical labs from the beginning of the crisis? Or did the national reference lab play a role in this? When will testing the symptomless contacts after contact detection finally start? The GEES are asking for this. Mr De Backer, you have also repeatedly indicated that you are a requesting party. But who sees nothing change in that respect? When can we expect that? Then I have a question regarding the order of the antibody tests. According to the press, 3.6 million have been ordered from the Liège company ZenTech. Mrs De Block, I asked in committee COOVID-19 yesterday if this is correct, but you referred to Minister De Backer. On this question to you, Minister De Backer. Can you confirm this? Which and how many other serological or antibody tests has the government ordered? For what amount were purchased? Can you tell us on the basis of which criteria were chosen for these tests? Mr De Backer, you also said at a previous committee meeting that sometimes the CE labels were tampered with, so that everything had to be re-tested. How is it that certain large firms, such as Roche, have not yet passed the test procedure? Finally, a question about the outbreak in my province, Limburg. A quarter of the new infections would be there. What advice does the GEES give on this matter? Are these data monitored at federal level? When do they expect action to be taken? The GEES talks about an area-covering control tower that can spot local fireplaces. Has this already been put into practice?
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u5	Then I have a few more questions. Firstly, how is it that the GEES reports have been drawn up in English and not in official national languages? Secondly, I have a question about the event in Brussels. Health risks are supported by all scientists. How high do your services estimate the risks? When screening and testing patients, will you check whether or not they were present at these events so that we can get a clear picture of the health risks that have been taken there and of their consequences? Thirdly, the report of 13 May shows that 50% of new infections are care-related. What's the status today? Is it still the case that it concerns mainly people who have been in contact with hospitals or institutions? There is now also an extension of visitor measures. Will additional measures be taken there? Fourthly, the same report recommends a macro-plan for mental health. How far along are you with that? Have you taken steps? Do you see this effectively in macroterms? Fifthly, in the report of 24 April, the GEES recommends that a major organizational plan be drawn up for the hospitals in the context of a second wave, in order to avoid it. What's the plan like? Did you take steps in that respect? Have you provided any financial resources? Moreover, it is also said that what has already been said in committee, namely that the protection of the care providers was not sufficient, that there was therefore not enough pbm. How will you anticipate that at the second wave? Sixthly, a follow-up of both physical and mental consequences for care providers is also recommended. What does your plan look like about that? Seventh, the report of 3 June recommends consultation with the various stakeholders. Has this consultation already taken place? Or is it foreseen? Who will be invited to that? One of its recommendations is to make clear agreements on which entity will prepare a second wave, who will take the lead there. How do you see that? Do you think that further regionalisation of health would be appropriate there? Finally, I would like to discuss the poverty figures. We are seeing an increase in poverty rates: some groups have experienced the COOVID-19 crisis in a different way. Madam Minister, do you see Community differences in the postponement of care as a result of the rise in poverty?
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u6	Mrs Van Camp, you have one minute to speak.
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u7	Mr President, that will be a challenge, because I would like to address three issues. Since I discuss the same subjects every week, I can be brief. Madam Minister, first of all, you have provided for a COOVID-19 bonus for home nurses, and with retroactive effect. We cannot stress enough how much that is appreciated on the ground. Until when does that bonus last? In the meantime, are you also working on structural improvements to the nomenclature? The current additional remuneration under the COVID-19 pandemic is, of course, very welcome, but the remuneration for home care is very low beyond that. For example, only EUR 5 is granted for an injection, which currently does not cover the material costs, and in a normal period of time it does not. I will leave aside the time for the relocation, the administration and the mandatory reading of the e-ID. After the COVID-19 crisis, how will you structurally improve the remuneration for home care? My second question concerns the care staff in the institutions. At the last meeting, you said that the talks on the bonus had resumed, but that the trade unions were rather slow. You also planned consultation with the Länder, so that the bonus for the care staff applies to the staff in all the institutions, not only in hospitals, but also in residential care centres, and that is a good thing. Madam Secretary, how have these talks progressed? How will you ensure that more money does indeed lead to more hands on the bed? Will you enter and work more locks via the BFM or by adjusting the standard for the bestaffing? Finally, in relation to the hospitals, you spoke at the previous meeting about EUR 1 billion in advances. Madam Secretary, will the next disc be allocated with the same key? How much resources are being allocated and when?
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u8	Mr De Backer, the masks ordered through the Defense Department have apparently all arrived and will be distributed through the pharmacists. How exactly did this arrangement come about? Are the pharmacists all okay with that? Madam Secretary De Block, I have three questions for you. First of all, last weekend, the WHO changed the gun from the shoulder. She now advises to wear a mouth mask as often as possible. I do not know what that is like in other regions, but I see very few people wearing a mouth mask in Limburg, unless on public transport, where it is mandatory. Madam Minister, will you follow the WHO line and advise something more stringent to wear the mouth masks? I do not see that happening in the shops at all. I'm even the big exception when I'm wearing one. Secondly, last week we heard alarming figures from the Netherlands about cancer diagnosis. Over the next five to ten years, more than 500 women will die of breast cancer. These figures can be traced back to Belgium. The figures would only be available to us at the beginning of July, but shouldn't we be working on this? The Director of the Centre for Cancer Investigation says that it is especially important that we offer safe and quality research. That's what gets him on a quick catch-up. What do you think, Madam Secretary? Can't we be quick and good if the numbers for breast cancer alone are so dramatic? What about the large screening for colon cancer? Can we also speed up the catching-up process in this area and offer quality research at the same time? My final question is about the dietists. Before that I also looked at the Netherlands. In the Netherlands, it is urged that a dietician visit the recovering patient within two days of being discharged from the hospital. After all, it has been calculated that it is cheaper to pay back some of the dietician's consultations with good nutritional advice, together with a few kinnings, because this is also internationally proven kinnings together with custom dietary advice lead to a faster recovery. What do you think of that, Madam Secretary? Is it also possible to pay back two consultations with a first-line dietician after the hospitalization?
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u9	Mrs De Block, I have a question about the postponement of care. On April 27, I asked you about the government's strategy for guiding the resumption of consultations. On 6 May, the UCL launched a study on the postponement and cancellation of care due to VOCID-19. Today the results are quite challenging. One in two people gave up care at the dentist, the general practitioner or the kine. Nine out of ten people gave up a medical examination. But the most worrying thing is that, now that we're in trouble, there's only 34.8% of respondents who say they want to see a doctor in the event of a health problem and one in two (48%) would see a doctor only if the health problem is severe. A whole series of chronic patients have not been taken care of and their pathologies are getting worse. This situation is likely to continue for another 18 months. Minister, what support do you intend to put in place both to restore confidence and to limit the time taken to take care of you? Mr De Backer, I have three questions. The first concerns the number of tests performed. Since April 30, this number has been gradually decreasing, while at the same time the testing criteria have been relaxed. Similarly, in the past few days, the percentage of confirmed cases in nursing homes does not exceed 60-80%, while communities had to be systematically tested. This situation does not facilitate the analysis of the evolution of the epidemic or the effectiveness of the strategy put in place by the government. Minister, what is your analysis of the factors that can explain these trends? What actions does the government intend to take to move towards optimized procedures? Minister, second question. Can you tell us the first performance indicators for testing and tracing now that agents, platforms and procedures are operational? What is the percentage of patients contacted who have agreed to deliver contacts? How many contacts are on average given by these patients? What percentages of these contacts are contacted and tested where appropriate? What health analysis can you give us of these results? Finally, I come back to a question that I did not get an answer to last week. You said a few weeks ago you ordered 3,650,000 masks from Zentech. The order was not made. Can you explain the reasons for this blockage?
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u10	I have introduced a first question to the minister, concerning the resumption of consultations with midwives in the face-to-face. In committee, on May 19, I asked the minister about the matter. She replied that on the basis of the recommendations, guidelines for restarting activities in a private firm were proposed and posted on the site. However, when you look at the site in question, there is nothing in the box opposite the midwifery category. I have a problem with that. It persists a blur, which is really problematic for the profession. To date, midwives cannot resume face-to-face sessions without conditions. They must always justify some form of urgency. Could you confirm to me that this is the situation that continues to prevail? If this is not the case, then we have to reprosecrate things to the sector. Problems and misunderstandings persist on what is permitted or not. As for my second question, I have already asked you about the subject as well. It deals with the deconfining of maternity homes. I asked you about some of the protocols that remained in force while many other areas had been disbanded. I also offered to send a request to the Risk Assessment Group on this matter. Minister, have you been able to forward this request? Could you consider sending a letter to hospitals inviting them to lift these protocols, such as wearing the mask during delivery? This seems to me to be very problematic, in comparison with other sectors which have been completely disbanded, especially since yesterday. My last question concerns the presence of co-parents in prenatal pregnancy follow-up consultations. So far co-fathers or co-mothers could not attend pregnancy follow-up. Yet, it is really important in the involvement in the child's life for the future. Are there still scientific justifications for maintaining this measure? When will it be lifted?
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u11	Mr President, with regard to my question No 55006746C, I refer to the written text. The idea is that at this time of pandemic, more attention should be paid to those who are said to be at risk. These will remain confined as long as possible. Among these vulnerable people, there are patients who suffer from cystic fibrosis. I am asked whether they would not be better protected by the Trikafta, which has been the subject of a compassionate authorization.
