ParlaMint-BE_2020-09-24-55-plenair-ip056x.u1	The meeting was opened. The meeting is open.
ParlaMint-BE_2020-09-24-55-plenair-ip056x.u2	In accordance with the opinion of the Conference of Presidents of 23 September 2020, you have received a proposal to amend the agenda for today's meeting. In accordance with the opinion of the Conference of Presidents of 23 September 2020, you received a proposal to amend the agenda for today's sitting. Is there any comment on this? Are there any comments on this? Accordingly, the agenda was adopted. The agenda has therefore been adopted.
ParlaMint-BE_2020-09-24-55-plenair-ip056x.u3	Mr President, next week the government statement or the inquiry debate will be on the agenda. I propose that this debate should not be held here, but in a large room, where all the representatives of the people can be present. It is a very important debate. Everyone has the right to do so, both the opposition and the majority. Everyone should be able to take part in that debate. So I propose that we rent a very large room next week. Even the Royal Circus or the Ancienne Belgique are nearby. The Vooruit is far, in Ghent, but I suggest that everyone participate, so that we do not see last week's vaudeville again.
ParlaMint-BE_2020-09-24-55-plenair-ip056x.u4	I will not comment on the names of the alternatives you are proposing, from the Circus and the Ancienne Belgique to the Vooruit. Let me get serious. The issue was raised yesterday in the Conference of Presidents, Mr Dedecker. The debate on the inquiry on 1 October is indeed an important one. I am also rather attached to the fact that all elected MPs have the opportunity to attend. That is why since yesterday, with the services of the Chamber, we have been trying to find alternatives. The most obvious alternative is the sitting room of the European Parliament, but I do not have an answer yet. As soon as I have news, I will inform the group leaders. Other alternatives can also be considered, but I will not anticipate the situation. I am on your side, however, with regard to the possibility for Members of Parliament to attend an important debate. I'll keep you posted.
ParlaMint-BE_2020-09-24-55-plenair-ip056x.u5	Ladies and gentlemen, yesterday, at the Conference of Presidents, we made some arrangements to be present in a larger number, of course with respect for security regulations. The Prime Minister has already taken his place. The members of the Chamber who ask a question will do so to my right, the members of the government who answer will do so from the other puppet.
ParlaMint-BE_2020-09-24-55-plenair-ip056x.u6	Prime Minister, several indicators are worrying and the coronavirus epidemic is not under control. Yesterday's National Security Council decided to relax the rules from 1 October, and it is true that some of these rules were too square, others impossible to put into practice, especially since the children returned to school and the students to higher schools and universities. But - and it's a big butt! - easing the rules is only prudent if the preconditions for controlling the epidemic are met by means of a perfectly effective mechanism for the detection, tracing and isolation of positive people. That's not the case. A multitude of problems go back to the ground, despite repeated calls from the last few weeks: testing centres are saturated, general practitioners are overwhelmed... Symptomatic patients who have been in contact with a positive person have to wait several days to get an appointment in order to get tested and several more days to know the test result. Tracing starts late and is insufficient. There is a shortage of reagents and swabs in some areas. On 1 October, parents of small children who will have to be removed from the crèche or school for health reasons linked to compliance with the rules issued by the State will no longer be entitled to the "corona parental leave". Yesterday, you seemed to have taken stock of these problems by announcing that they were going to be solved. Madam Prime Minister, can you - you or your successor - guarantee that by 1 October, the date of relaxation of the rules, these problems will be solved and the system strengthened as a matter of urgency so that within 24 hours, a patient can get an appointment and the result of his test, that the tracing is immediately launched in a much wider and more effective way than today, and that the means of isolating the carriers, in particular through parental leave corona? We have been entitled to reflections and announcements for weeks. Today, we need action and efficiency!
ParlaMint-BE_2020-09-24-55-plenair-ip056x.u7	Mr President, Prime Minister, ladies and gentlemen, trust comes on foot, but goes on horseback. At the beginning of this corona crisis we knew little, but at this moment we know more. In the beginning everyone was indeed a potential victim, but we are increasingly asking for something from those groups that are less affected themselves. Sometimes ad hoc measures are needed, but after this summer's break people expect a plan. The image we saw yesterday is an image that comes back way too often. The government has an idea. The government has a plan, but then it doesn't work out. The barometer isn't here yet, but we'll deal with it. Two weeks ago, you spoke of relaxation, but you seem to be ignoring today's figures. This is a policy that is too slow for reality. The measures taken yesterday are no longer today's measures. Luckily, we don't live in a police state. We depend on the behavior of our inhabitants. They follow the rules without a police officer on every corner of the street. This can only be achieved if there is confidence in the proposals and in those who bring them forward. It's not obvious anymore. Some experts have been on television too often for that. For this, politicians have dived too often when additional measures or exaggerated measures were taken, such as curfew. The difference between what the doctors ask and what the government does is far too great. What lessons do you draw from all the feedback you receive? You may be right, but if communication doesn't follow, it won't work.
ParlaMint-BE_2020-09-24-55-plenair-ip056x.u8	Mr President, Madam Prime Minister, how credible are the politicians still in our society? That is a fundamental issue. I don't know if you've thought about it. There might be another Prime Minister next week. It is a major problem in our society that credibility is below zero. The faults of communication, the chaos that exists today and the struggle that is being seen today on television are a source of public distrust. That is a very big problem if we want to resolve the crisis. Prime Minister, when you see the men and women politicians today... For example, Georges-Louis Boucher, have you seen the spectacle that he has given us? His ego, his ego, his ego! "Hi on the camera! I want people to talk about me and my program!" And all of this, so you can stay prime minister. What is this spectacle, what is this struggle of places within the political world? We are going through one of the worst financial, economic and health crises, and what is the political world doing? He spends his time fighting! Posts, mails, mails. We thought we had two reformers yesterday. But then CD&V didn't agree. The MR was no longer in agreement either. What are we doing? Yesterday at your security council, there was only the message that the citizen is the only one responsible for today's situation. No responsibility whatsoever for the politicians. The responsibility lies only with the citizens. It's open bar! Quid the responsibility of the policy? What is the status of the necessary reinforcement of the first line? You did it for the nurses? Is it much to ask for a national coordinator? With the present political and economic crisis, it is not possible to leave it there. Tell me seriously, Madam Prime Minister, since you may not be able to do so next week, do you agree with this way of doing politics in this country or, like me, are you disgusted?
ParlaMint-BE_2020-09-24-55-plenair-ip056x.u9	Ladies and gentlemen, for the record, this series of questions is about the corona crisis.
ParlaMint-BE_2020-09-24-55-plenair-ip056x.u10	Mr. President, you're right. But I had also introduced to the Prime Minister a question on another subject, the political crisis (...)
ParlaMint-BE_2020-09-24-55-plenair-ip056x.u11	Yes, but your question has been classified under the heading corona crisis. I would like to remind the House that we are now talking about the corona crisis, and I am thinking spontaneously of yesterday's National Security Council. The Prime Minister will judge what she answers, but I shall now give the floor to Mrs Dock.
