Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2020-09-23-55-commissie-ic267x	ParlaMint-BE_2020-09-23-55-commissie-ic267x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2020	2020-09-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanCampYoleen	Van Camp, Yoleen	F	1987	
ParlaMint-BE-en_2020-09-23-55-commissie-ic267x	ParlaMint-BE_2020-09-23-55-commissie-ic267x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2020	2020-09-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2020-09-23-55-commissie-ic267x	ParlaMint-BE_2020-09-23-55-commissie-ic267x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2020	2020-09-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanCampYoleen	Van Camp, Yoleen	F	1987	
ParlaMint-BE-en_2020-09-23-55-commissie-ic267x	ParlaMint-BE_2020-09-23-55-commissie-ic267x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2020	2020-09-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
ParlaMint-BE-en_2020-09-23-55-commissie-ic267x	ParlaMint-BE_2020-09-23-55-commissie-ic267x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2020	2020-09-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	PasBarbara	Pas, Barbara	F	1981	
ParlaMint-BE-en_2020-09-23-55-commissie-ic267x	ParlaMint-BE_2020-09-23-55-commissie-ic267x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2020	2020-09-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2020-09-23-55-commissie-ic267x	ParlaMint-BE_2020-09-23-55-commissie-ic267x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2020	2020-09-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	PasBarbara	Pas, Barbara	F	1981	
ParlaMint-BE-en_2020-09-23-55-commissie-ic267x	ParlaMint-BE_2020-09-23-55-commissie-ic267x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2020	2020-09-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
ParlaMint-BE-en_2020-09-23-55-commissie-ic267x	ParlaMint-BE_2020-09-23-55-commissie-ic267x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2020	2020-09-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	GilissenErik	Gilissen, Erik	M	1968	
ParlaMint-BE-en_2020-09-23-55-commissie-ic267x	ParlaMint-BE_2020-09-23-55-commissie-ic267x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2020	2020-09-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2020-09-23-55-commissie-ic267x	ParlaMint-BE_2020-09-23-55-commissie-ic267x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2020	2020-09-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
