Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Guest	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	WarmoesThierry	Warmoes, Thierry	M	1964	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VandenbrouckeFrank	Vandenbroucke, Frank	M	1955	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	WarmoesThierry	Warmoes, Thierry	M	1964	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VandenbrouckeFrank	Vandenbroucke, Frank	M	1955	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	WarmoesThierry	Warmoes, Thierry	M	1964	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	FarihNawal	Farih, Nawal	F	1988	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	WarmoesThierry	Warmoes, Thierry	M	1964	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	DepoorterKathleen	Depoorter, Kathleen	F	1971	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	SneppeDominiek	Sneppe, Dominiek	F	1973	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	ZanchettaLaurence	Zanchetta, Laurence	F	1972	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	MerckxSofie	Merckx, Sofie	F	1974	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	FonckCatherine	Fonck, Catherine	F	1968	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Coalition	Centre-left to left	HennuyLaurence	Hennuy, Laurence	F	1970	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Groen	Groen	Coalition	Centre-left to left	CreemersBarbara	Creemers, Barbara	F	1981	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	DéFi	Démocrate Fédéraliste Indépendant	Opposition	Centre to centre-right	RohonyiSophie	Rohonyi, Sophie	F	1987	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Coalition	Centre-left	JirofléeKarin	Jiroflée, Karin	F	1962	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	ReuterFlorence	Reuter, Florence	F	1969	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	WarmoesThierry	Warmoes, Thierry	M	1964	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u20	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VandenbrouckeFrank	Vandenbroucke, Frank	M	1955	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u21	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	WarmoesThierry	Warmoes, Thierry	M	1964	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u22	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VandenbrouckeFrank	Vandenbroucke, Frank	M	1955	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u23	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	FarihNawal	Farih, Nawal	F	1988	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u24	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	WarmoesThierry	Warmoes, Thierry	M	1964	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u25	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	DepoorterKathleen	Depoorter, Kathleen	F	1971	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u26	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	SneppeDominiek	Sneppe, Dominiek	F	1973	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u27	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	ZanchettaLaurence	Zanchetta, Laurence	F	1972	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u28	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	MerckxSofie	Merckx, Sofie	F	1974	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u29	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	FonckCatherine	Fonck, Catherine	F	1968	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u30	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Coalition	Centre-left to left	HennuyLaurence	Hennuy, Laurence	F	1970	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u31	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Groen	Groen	Coalition	Centre-left to left	CreemersBarbara	Creemers, Barbara	F	1981	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u32	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	DéFi	Démocrate Fédéraliste Indépendant	Opposition	Centre to centre-right	RohonyiSophie	Rohonyi, Sophie	F	1987	
