Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2020-01-08-55-commissie-ic084x	ParlaMint-BE_2020-01-08-55-commissie-ic084x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 08-01-2020	2020-01-08	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	ThémontSophie	Thémont, Sophie	F	1973	
ParlaMint-BE-en_2020-01-08-55-commissie-ic084x	ParlaMint-BE_2020-01-08-55-commissie-ic084x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 08-01-2020	2020-01-08	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2020-01-08-55-commissie-ic084x	ParlaMint-BE_2020-01-08-55-commissie-ic084x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 08-01-2020	2020-01-08	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	ThémontSophie	Thémont, Sophie	F	1973	
ParlaMint-BE-en_2020-01-08-55-commissie-ic084x	ParlaMint-BE_2020-01-08-55-commissie-ic084x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 08-01-2020	2020-01-08	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
ParlaMint-BE-en_2020-01-08-55-commissie-ic084x	ParlaMint-BE_2020-01-08-55-commissie-ic084x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 08-01-2020	2020-01-08	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	ThémontSophie	Thémont, Sophie	F	1973	
ParlaMint-BE-en_2020-01-08-55-commissie-ic084x	ParlaMint-BE_2020-01-08-55-commissie-ic084x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 08-01-2020	2020-01-08	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2020-01-08-55-commissie-ic084x	ParlaMint-BE_2020-01-08-55-commissie-ic084x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 08-01-2020	2020-01-08	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	ThémontSophie	Thémont, Sophie	F	1973	
ParlaMint-BE-en_2020-01-08-55-commissie-ic084x	ParlaMint-BE_2020-01-08-55-commissie-ic084x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 08-01-2020	2020-01-08	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2020-01-08-55-commissie-ic084x	ParlaMint-BE_2020-01-08-55-commissie-ic084x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 08-01-2020	2020-01-08	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
ParlaMint-BE-en_2020-01-08-55-commissie-ic084x	ParlaMint-BE_2020-01-08-55-commissie-ic084x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 08-01-2020	2020-01-08	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	FreilichMichael	Freilich, Michael	M	1980	
ParlaMint-BE-en_2020-01-08-55-commissie-ic084x	ParlaMint-BE_2020-01-08-55-commissie-ic084x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 08-01-2020	2020-01-08	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2020-01-08-55-commissie-ic084x	ParlaMint-BE_2020-01-08-55-commissie-ic084x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 08-01-2020	2020-01-08	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	FreilichMichael	Freilich, Michael	M	1980	
ParlaMint-BE-en_2020-01-08-55-commissie-ic084x	ParlaMint-BE_2020-01-08-55-commissie-ic084x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 08-01-2020	2020-01-08	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2020-01-08-55-commissie-ic084x	ParlaMint-BE_2020-01-08-55-commissie-ic084x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 08-01-2020	2020-01-08	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
