ParlaMint-BE_2020-12-17-definitief-55-plenair-ip081x.u1	The meeting was opened. The meeting is open.
ParlaMint-BE_2020-12-17-definitief-55-plenair-ip081x.u2	Madam President, we have spent many hours here. The venom is in the tail. It's sometimes said. We have been able to take note today of the fact, on which I had an exchange of views with Minister Vandenbroucke, that the Secretary of State for the Budget has, at first sight, made an interesting communication on the purchase of vaccines by our country. That communication was also immediately removed. The question arises as to whether there has been an infringement of confidentiality. Mr Vandenbroucke's reply reinforces that impression. He referred to the plowings at European level and stated that he would not share that information himself. I quote from a letter from the Dutch Chamber of the Minister of Health, dated 27 October 2020, in response to a question from MP van Gerven van de SP, the Socialist Party. Question 3, "Can you explain the European Commission's obligations on the basis of this confidentiality?' on the vaccine deals, Minister de Jonge, the Dutch colleague of Minister Vandenbroucke, replied: "The obligation of confidentiality is based on a confidentiality clause in the contract between the European Commission and the producers concerned. The Dutch representatives, like the representatives of the other participating countries, have also committed themselves to the obligation of professional secrecy by means of a non-disclosure declaration." In the meantime, we have already seen some reactions in the media, I have understood from Test Purchase, which denies the lack of transparency in the purchase of corona vaccines. The Secretary of State just said in a message on Belga that she wanted to offer transparency, which is a very nice and noble ambition. As regards the allocation of funds for, for example, the purchase of the vaccine, it may have created some confusion over the past few weeks, which of course is to be avoided for such an important matter. Mrs De Bleeker says in that Belga message that she was a little too transparent in the light of European rules. That's why she removed the tweet pretty quickly. The problem with tweets is, of course, that they cannot be removed. They always hang out somewhere in the digital air and can be picked out of it all the time. That means it's not classified information anymore, it's public information. It is of the utmost importance for such very sensitive matters that we could hear the Secretary of State on them. On the basis of Rule 50 of the Rules of Procedure, I therefore request the presence of the Secretary of State, so that we can have her text and explain this interesting matter. I'll read out the motion I'll file. "In view of the fact that today the Chamber has been informed that the Secretary of State for the Budget has released important communications about the purchase of vaccines by our country, but which has immediately removed them, the question arises whether it has infringed a confidentiality obligation concerning the procurement of COOVID-19 vaccines. That is why we wish to hear her on this matter and to that end the member of the government must be brought immediately to justice." Madam President, I would ask you to take the appropriate measures in accordance with the Rules of Procedure. The Chamber must rule on the motion. I cannot imagine that a Member of Parliament would oppose the transparency that can be offered here about the proper conduct of the case in such an interesting case. That's why I'm offering you this claim of presence.
ParlaMint-BE_2020-12-17-definitief-55-plenair-ip081x.u3	Monsieur De Roover, j'ai bien reçu votre demande. Rule 50 of the Rules states that the House may require the presence of a member of the Government on the proposal of a member in writing. The member of the government is heard when he or she so requests. We must therefore take a decision on your proposal. The easiest, given the circumstances, is to pronounce ourselves by sitting and rising, via the group leaders. I note that not all group leaders are yet in the room. I therefore propose to wait until all the group leaders are present to take a position on your request, and to start the agenda in the meantime. Does that suit you?
ParlaMint-BE_2020-12-17-definitief-55-plenair-ip081x.u4	Madam President, I can imagine that after the long debate we have had, some group leaders have been wise enough to look for a cot. I would not want them to be disturbed in their blissful rest, and I assume that the groups have made arrangements for someone else to take over their duties.
ParlaMint-BE_2020-12-17-definitief-55-plenair-ip081x.u5	Perhaps we could make contact to find the group leader or, at the very least, a replacement so that we can vote within a reasonable time, within half an hour or an hour, depending on the first texts that we could examine.
ParlaMint-BE_2020-12-17-definitief-55-plenair-ip081x.u6	Madam President, Mr Loones informs me that Secretary of State De Bleeker may also wish to come to the Chamber on your question. It may be prepared to give a text and explanation without having to follow the procedure laid down in Article 50. It is, of course, fully entitled, when it is called upon here, to give that request voluntarily, which would also be in her interest.
ParlaMint-BE_2020-12-17-definitief-55-plenair-ip081x.u7	Let us make the contacts and come back to you.
ParlaMint-BE_2020-12-17-definitief-55-plenair-ip081x.u8	The text adopted by the committee serves as the basis for discussion. (Rgt 85, 4) (1678/1) The text adopted by the committee is the basis for the discussion. (Rgt 85, 4) (1678/1) The discussion is open. The meeting's open.
ParlaMint-BE_2020-12-17-definitief-55-plenair-ip081x.u9	Madam President, I would like to present an oral report. In fact, we have spoken for six hours in committee with the CREG. The committee members deserve that respect. Ladies and gentlemen, at its meeting on 1 December 2020, the Energy Commission was able to take an extensive look at the CREG's budget and general policy paper. Those documents were proposed by the Administrative Director and Acting Chairman of the Management Committee, assisted by the Director for the Technical Functioning of the Markets and the Director for the Control of Prices and Accounts. The Executive Board members explained in detail the new tasks for the CREG, the tasks related to the CRM, as well as the main challenges for the coming period, including the various aspects of the energy transition, the transposition into Belgian legislation of the Clean Energy Package, the energy poverty component in the Belgian National Energy and Climate Plan and the study work on the development of the second offshore zone. The members of the Executive Board also explained specific cost items in the budget. It discussed in detail the EUR 910,000 additional resources allocated by the CREG to carry out its tasks in a high quality manner and to be able to properly manage its tasks under the CRM. Mr Wollants then gave some comments on behalf of the N-VA and asked for some clarification on the following issues: the energy standard, the tasks of the CREG in the nuclear sector, cooperation with the BIPT, participation in the French-speaking network of energy regulators, the 'Bidding zone review', the strategic reserve and the CREG studies on price evolutions. Mr Cogolati stressed the important role of the CREG in the issue of social justice in the energy transition and in its monitoring of prices and wholesale markets, which is crucial for the protection of consumers and vulnerable persons. Mr Cogolati also asked for more clarification on the energy standard mechanism, the simplification of energy bills and the potential impact of the EUR 910,000 budget increase on consumers. Mr Ben Accour also asked for more detailed explanations of the additional expenditure relating to the tasks of the CREG under the CRM and stressed the continuing lack of information on the CREG Scan among the general public. More specifically, Mr Ben Accour stressed the importance of accessibility and awareness of the scan, while also drawing attention to the problem of the digital divide. With regard to the regulated activities, he specified the projects planned by the Network Manager and asked the CREG to closely monitor cost control and public support for such infrastructure works. He also asked for an update on the CRM dossier and the need for a strategic reserve for next winter. The Flemish Interest Group stressed the importance of periodic reporting by the CRM follow-up committee, which is part of the CREG, and also asked for a state of play on the role of the CREG in the preparation of the first auction. The Flemish Interest Group also looked at the CREG study on compensation for CRM costs, the European methodology for security of supply, the energy standard, the calculation of nuclear interest rates, the dormant contracts and the tender for the Princess Elisabeth offshore zone. On behalf of the MR Group, Mr Bombled asked for more information on some of the budget lines and the operation of the CREG Scan instrument. He also wanted to know more about the cooperation with regional regulators on price comparison, the CREG prize for master theses, the state of green gas in the transport network and the role of the CREG in the calculation of nuclear interest rates. On behalf of the CD&V Group, Mr Dierick addressed in particular a number of budget items relating to the CRM, including fees for legal disputes and the planned expenditure on external consultancy. She also referred to the impact on the federal contribution, which is paid by families and companies, and asked for more explanation of the energy standard. It also suggested the possibility of a form of cooperation agreement within the FORBEG and more cooperation between regulators around the current different tools for consumers. On behalf of the PVDA, Mr Warmoes stressed the essential role of the CREG as an independent watchdog. Among other things, he zoomed in on the termination of the CREG study on the VOLL, the cost of power cuts as an important parameter for the cost-effectiveness of the CRM and on the state of play of the CRM. Mr Warmoes then stressed the need for an adjustment of the indexation mechanism for the Gas and Electricity Fund, because indexation alone was not sufficient to cover the needs of the funds available in the Fund. He also referred to the comparative study on electricity and gas prices in our neighbouring countries and considered the possibility of reviewing the degressivity of the energy price for large consumers. Commission President Patrick Dewael wanted more clarity on the proposed budget increase due to the CRM and stated that the Committee would like to maintain good cooperation with the CREG. He invited the regulator to appeal to the committee whenever he considered it appropriate. Mr Dewael also raised a number of issues, namely the impact of the corona crisis, the Green Deal, cooperation with foreign regulators and cooperation with regional regulators on instruments such as the CREG Scan. Mr Verduyckt raised questions on behalf of the sp.a on the increase in the CREG's budget for CRM work and gave an update on his bill on dormant energy contracts. The members of the Executive Board of the CREG then gave a comprehensive explanation of all the themes mentioned. Once again, very detailed and apparently convincingly addressed the budget increase and the impact on the federal contribution. The president finally put the CREG budget to the vote, which was unanimously approved by the members of the committee. All groups stressed the importance of an autonomous and well-functioning regulator. So much for my report. Madam President, I would like to add something on behalf of my group. You may wonder why I read this, but not a month goes by without articles appearing in the press in which the CREG comes out very strongly. I believe that the CREG deserves this attention in Parliament too.
ParlaMint-BE_2020-12-17-definitief-55-plenair-ip081x.u10	Is anyone still asking for the floor? Is anyone else asking for the floor? The discussion is closed. The meeting's over.
ParlaMint-BE_2020-12-17-definitief-55-plenair-ip081x.u11	The vote on the budget will take place at a later date. The vote on the budget will take place later.
