ParlaMint-BE_2020-05-15-55-commissie-ic178x.u1	Question No 55002656C by Mrs Vanessa Matz is postponed.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u2	The question indeed dates back some time ago, but the corona crisis caused some delay. I'm glad I can ask the question now. The DG Persons with Disabilities has had difficult years. In the past, services have failed in several respects. The waiting times for the handling of files were quite long. Phones weren't always recorded. The cause was, among other things, a new software system that did not function properly. There wasn't enough staff either. Afterwards 38 additional file managers were recruited. The deadline for the processing of files then went down. What's the status today? What problems are there today? How has the average processing time of files evolved over the past 12 months? What's the average term today? How many phone calls did DG HAN get in the last 12 months? How many of these calls are double calls from people who had previously contacted the service? How many unique calls were also answered effectively? That was a pain in the past, too. Are the announced 38 additional staff members working effectively?
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u3	Madam President, Madam Minister, ladies and gentlemen, my question was also tabled earlier this year. However, this is an opportunity to take stock, with you, of the situation of the Directorate General People with Disabilities. My questions relate to the same subject as those of the previous speaker. You will recall that several years ago, the Directorate had experienced a number of problems, including a staffing problem when a portion of the staff was transferred to the Regions to manage the elderly allowances. But most of all she had to deal with a computer bug with a new system (the Cúram platform) that had been set up, which created a really damaging situation for many months or even a year. This has resulted in delays in the processing of cases. It was also not possible to reach the services by telephone, etc. Since then, things seem to have changed. The Directorate-General for Persons with Disabilities has returned to the former Tetra platform until the computer problem can be solved. I would also like to point out here that the services in question have also suffered from linear savings preventing the replacement of staff. As a result, the number of staff members has become insufficient, while there has been an increase in work. The 2018 report referred to a stabilization plan that had been developed by the Disability Branch, with the objective of improving service delivery to service providers in the coming years. Minister, what is the backlog today? Could it have been largely absorbed? How many files are still awaiting processing to date? How do the statistics for unanswered telephone calls evolve? I would also like to ask you about the average length of time the files are processed. Efforts in recent years had resulted in an average of four months for files that were complete and did not pose any problems. Unfortunately, a computer bug made him climb to more than ten months. However, the situation now seems to have changed in a favourable direction. So, Minister, what is the average processing time for disabled people now? Did she come down below the six-month mark? In other words, does it meet the requirements of the Social Insurance Charter in this area?
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u4	We should close, Mr. Delizée. You have already exceeded your speaking time.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u5	How many additional commitments have been made? Finally, what about the audit for the Cúram project?
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u6	Ladies and gentlemen, last November, following a question from Mrs Willaert, I had the opportunity to explain in detail the new action plan to improve the services of the Directorate-General for Persons with Disabilities. I'm trying to update the various actions in my answer today. With regard to the benefit targets that have been set, they continue to be met and the indicators are evolving favourably. In response to your questions, you will find some figures below that show this improvement. The average time limit for the examination of applications for concessions has decreased from 8.1 months in January 2019 to 5.2 months in December 2019. The average term of treatment per year has decreased to 6.2 months compared to 7.7 months in 2018 and 7.2 months in 2017. The number of concession files under examination decreased from 38,412 at the end of 2017 to 22,316 files by the end of 2018, which is a decrease of 42 %. Since June 2019, more than 90% of citizens can reach the administration by phone. Mr Anseuw, you had a question about the number of calls. On average, almost 17,000 different telephone numbers contact the Directorate-General on a monthly basis. About 16 to 17 % of those numbers have contact with the administration at least twice a month. Since February 2020, the monthly results of the administration relating to telephone accessibility, processing times for applications and revisions and the number of files that remain to be processed are available online on the website handicap.belgium.be. I believe that this is a best practice in terms of accountability and transparency of administration. As regards the situation of staff recruited, the framework of the Action Plan is 28 full-time equivalents. A personnel need measurement has been carried out. The time spent on the three key functions, namely file managers, customer managers and social assistants, has been extensively mapped out. The results underline the importance and need for the recruitment of new employees, calltakers, and provide an insight into the optimal staff plan for the future and also provide guidance for further efforts in the quality of services for people with disabilities. In order to further improve quality, the report recommends the hiring of additional staff for a number of key functions. I am very aware of the need to continue to strive for a continuous improvement in the quality of services and for the maximum reduction of delays in the handling of dossiers. The recruitment of additional staff to continue on this path therefore requires the release of additional resources for subsequent budgetary control. I'm sure they'll be needed.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u7	Madam President, Minister, thank you for the update. However, I have one more question to clarify about staff requirements. To what extent has it already been filled in? That is not entirely clear to me after your reply. I know that 38 were announced/acquired at the time. I don't know if they're all active, but if I understand you correctly, you say there's been a new exercise.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u8	Come on, come on, come on,
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u9	In addition, so on top of that 38 again...
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u10	(...) I do not have the recent figures, but I remember from previous questions that a large part of them had already been filled in. Some vacancies had only recently been opened, but signals from other administrations show that they are easily filled out. These 28 are additional on the basis of the new measurement that has taken place.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u11	And those recruitments are now going to be...
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u12	This will have to be taken into account in a new exercise.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u13	It is good news that in recent years there has been a clear improvement in the lead time of files. If one needs a certain concession, I can imagine that a waiting period of just over five months before a dossier has been approved might be a bit long. Rome wasn't built one day. I welcome the improvement and it is good that we continue to look critically at what resources are needed. This is a vulnerable group that does not have luxury problems, but faces real challenges in terms of support.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u14	Minister, thank you for your answers. They go in the way I perceived earlier this year when I tabled this question. I did indeed want to try to materialise this evolution with figures. I'll read them again with great care. In any case, we moved from a very acute situation, very difficult a few years ago, to a return to normal. Additional staff were initially hired and then trained to handle all of these files, which helped to break the impasse in the service. It is also a good thing to ensure the quality of service for the beneficiaries. There's one thing you haven't answered, unless I'm mistaken. This is the audit on the management of the Curam project. Are we still working with the Tetra platform or are we using Curam? What about this audit and the responsibilities in the bug that occurred? I don't know if you can clarify that?
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u15	Mr. Delizée, I can't answer your memory. I know I gave answers about Tetra. But I'll give you this information.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u16	Madam Minister, thank you.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u17	Questions Nos 55002837C and 55003263C by Ms Nawal Farih are transformed into written questions.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u18	Madam President, Madam Minister, I raised this question some time ago. It concerns worrying figures that call into question our entire social assistance system. Indeed, for children in care, the end of social assistance measures for children can be abrupt and lead, for lack of resources, to school breaks, isolation, and deep precariousness.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u19	Mrs. Thémont, may I ask you to speak a little less quickly?
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u20	It's because we're timed.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u21	It is indeed a complex balance.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u22	That's why I'm hurrying. The problem is often related to the lack of anticipation of exits in these institutions: the people concerned are often warned of the steps once on the street, which makes administrative procedures very difficult to carry out. Recently, a new service has appeared in the Liège region: the Liège-Huy-Verviers Prevention Service. The aim of the project is to improve youth assistance and to coordinate various sectors in order to assist young people in their efforts. Minister, the company and the development of such initiatives seem to me to be particularly positive. However, in order to combat poverty effectively, a series of measures should be reviewed upstream. I believe that a national plan to combat child poverty is essential. A working group had apparently been set up in the past to develop a proposal in this context. A stakeholder consultation was conducted in June 2016. An item has been included in the Poverty Reduction Plan but, since then, nothing has happened. Where are we? What new initiatives are you considering in this regard? How do you intend to articulate your various actions in order to develop a genuine policy to combat child poverty? Has there been any consultation with the federated entities to that end? The situation obviously deserves our full interest.
