ParlaMint-BE_2020-04-29-55-commissie-ic164x.u1	Mr Rigot, as you have tabled six questions, I give you three minutes to summarize them.
ParlaMint-BE_2020-04-29-55-commissie-ic164x.u2	Mr. President, this is your role. You have imposed a method that has not been the subject of consensus. In the future, I would dream that we could discuss our way of working upstream, so as not to waste time on the minister and Members of Parliament. I put six questions. What do you want me to say? I'm not here to show. Minister, I would simply ask you to answer our questions about closed centres, where there are many dramatic situations.
ParlaMint-BE_2020-04-29-55-commissie-ic164x.u3	Mr President, Madam Minister, during our last exchange, you confirmed the opening of an additional reception centre in Sijsele with a view to gradually deburring the existing network and thus allowing easier compliance with the distancing measures that are necessary for all. This is an important announcement, but it brings with it additional questions that I would like to share with you today. Minister, what schedule and priorities will the transfers to this new centre take place? In this scheme, what is the ambition in relation to the centres of Tournai and Mouscron which, to date, have the largest concentration of residents of the country? Are specific measures envisaged, in the context of these transfers, to ensure the follow-up of displaced applicants? Indeed, the people concerned have probably started learning one of the two or three national languages and have probably integrated into aid and solidarity networks. Furthermore, the gradual reduction in the number of persons in the centres concerned does not in any way reduce the need for a high level of supervision in the present circumstances. So can you make sure that the opening of this new centre will not have an impact on employment in the centres benefiting from the transfers? Finally, are other centres intended to be opened in the near future? If so, where and within what time frame?
ParlaMint-BE_2020-04-29-55-commissie-ic164x.u4	Madam Minister, you recently regained your trust as Minister of Health, Asylum and Migration, two very difficult areas. This appears to be completely impossible when we combine these two domains. What we have been through very recently in the municipality is completely absurd. A few days ago, an asylum seeker, pregnant by her fifth child, came to our OCMW. She said she was sent by Fedasil. The morning of the same day she was still in Spa, in the afternoon she appeared in Antwerp. Fedasil had told her that it wanted to make more room in the asylum centres, so that the coronavirus could not spread and that she could feel free to go to friends, family or acquaintances in another municipality. She has crossed the country, has arrived with us and currently lives in an apartment with two bedrooms, for eight people. I find it difficult to imagine that you would approve such a thing, that you are aware that Fedasil would give such directives. That is why my question is very clear and explicit: are you aware of this? Have any medical incidents been reported? How many cases are we talking about? If we in the municipality are already experiencing such an event, I cannot get the impression that this is not an isolated case. A lady, pregnant by her fifth child, is in the morning in Spa and comes to the OCMW of Antwerp in the afternoon. She is now staying in an apartment with two bedrooms for eight people. I think that's absurd. I hope you can bring clarity and clarity.
ParlaMint-BE_2020-04-29-55-commissie-ic164x.u5	Madam Minister, last week you replied to my question about the release of illegal immigrants that you released almost 300 out of a total of 500 from the closed centres to make way. You added in a hurry that it was not about criminals or people who had committed crimes against public order. In the meantime, we've heard that a lot of criminals have been released directly from prisons. Aren't there any criminal illegals in there, Madam Secretary? If they are released by this route, directly, it is an attack on our society and our security as if they were released from a closed centre. That's the same thing for me. I hope that you will be able to clarify this with the same certainty as last week, Madam Minister. A further question arises as a result of a very disconcerting case. While you say that you are releasing illegal immigrants to make way for compliance with the hygiene rules, the Chamber of Incriminate decided in Brussels that a Turkish man who was locked up in the closed centre for illegal immigrants in Bruges should be released, because his security in corona times in an overcrowded dormitory with asylum seekers, where the rules of social discrimination could not be followed, would not be guaranteed. Madam Secretary, is that the only person you had to release as a result of the court ruling? What happened to the person in question? I assume he's at least been given an order to leave the territory. Was there any way to repatriate him? Why wasn't that chosen? If safety cannot be guaranteed here and if there is no right of residence, then security can be guaranteed by sending the person concerned back. You also said in the previous sitting that the repatriations will continue. We support that, Madam Secretary. We believe that this is a much better way to free up space in the centres than to allow illegal immigrants to go freely. If you have already released more than 60% of the population in the closed centres, how can there still be such statements today? Have you taken any measures in the meantime? Were any illegals released or did it stop at 297?
ParlaMint-BE_2020-04-29-55-commissie-ic164x.u6	Mr President, Madam Minister, for the past two weeks the press has reported intolerable facts in closed centres but, in particular, in Merksplas. We speak of damaged food, difficult respect for social distancing, sanitary facilities in a lamentable state, isolation cells used when an inmate has symptoms of coronavirus, etc. In response to this information, Myria, the Federal Migration Centre, visited the Merksplas centre and, according to RTBF, Myria confirmed some of these problems. Some problems are old, but others seem to be related to the lack of understanding of management's decisions following the coronavirus crisis. Detainees question the absence of masks or screening in the centre. Finally, we are told that the relations between management and detainees are tense, since the decisions to release them are considered arbitrary by several of them. Minister, could you please let us know if there are plans for masks to be distributed in closed centres? If so, under what conditions and by whom will they be worn? Are staff or resident screening tests planned? Finally, in the face of the feeling of incomprehension and arbitrariness and in the light of the situation, could we not consider releasing anyone in a closed centre who has not committed any other offence than not being in order to stay? My second question concerns a young migrant who fled last week and was arrested by police officers who allegedly assaulted him violently. An investigation is under way into this matter, but I would like to remind you of the difficulty faced by people living illegally in our territory. Indeed, if security is a fundamental right, today in Belgium, any person in illegal residence who lodges a complaint with a police station for economic exploitation, non-compliance with social law, for theft or rape, will be arrested for illegal stay, with the risk of being transferred to a closed centre with a view to his expulsion following contact with the Office for Foreigners. For my group, this provision of the Police Function Act has the effect of discouraging victims of violence or offences from filing complaints against their perpetrators, because of their migration status only. These victims, in order to remain in Belgium, are thus obliged to silence any inhuman or degrading treatment. Therefore, Madam Minister, is there a derogation from the arrest of an illegal resident in the Police Function Act where the violation of his or her physical and/or moral integrity requires his or her protection? Could not the European Sanctions Directive not be fully transposed in the near future by granting temporary residence permits to victims of serious breaches of labour law?
ParlaMint-BE_2020-04-29-55-commissie-ic164x.u7	Mr President, Minister, I have already asked you about the situation in the closed centres in recent weeks. However, I have to ask a question again today because the testimonies about the precarious situation continue to flow. Let me give you some examples. The hygiene measures are still inadequate. There are no mouth masks or gloves for the staff. There is not always hot water in Merksplas. Social distancing is not always respected either by staff or prisoners. There are also testimonies of people who are put in isolation when they are ill, who are not equipped for medical care. An increase in the use of the solitary cell as a punishment measure is also reported. There are also reports of unrest, hunger strike, suicide attempts, serving spoiled food and so on. You know about all these complaints and problems. Have you examined this in the last few days and weeks? Is that gonna be handled? Is that gonna be fixed? A human approach remains extremely important, even in these times of crisis. Then I have a question about visiting rights for NGOs and Members of Parliament. That's possible again in prisons. We discussed this last time. Why isn't that possible for the closed centers, including the residents' wings? Subject to a number of measures concerning social discrimination and a number of precautionary measures, this must be possible. This democratic control, including in those closed centres, is a very important principle, especially now that we know what is happening in a number of centres. Can you guarantee that there is a real prospect of a short-term repatriation for every prisoner in the closed centres? Can you guarantee that if that is not the case, the prisoner will be released? In the event of a release, surely it is necessary to examine whether that person has an alternative, a safe place to stay? Mr President, Minister, my second question concerns asylum applications and the new digital registration system. You stated in a previous reply that people with a vulnerable profile will be invited to an appointment five days after registration of the asylum application. Is that still the average waiting time? What is the average waiting time for non-vulnerable persons? The problem with the new system is, of course, that there is a gap between digital registration and the first appointment when it comes to reception. In fact, therefore, there is no provision for shelter at the moment, whereas our group believes that it is necessary to provide for some kind of emergency care. Besides, apart from the statute, it is also generally necessary in this health crisis for people who end up on the streets. My final question concerns the salary of working asylum seekers. There is a scheme whereby asylum seekers who work must give part of their pay to Fedasil to fund their reception. Normally, asylum seekers have to wait four months before they can get to work. But in the current context, it has been relaxed. Does the temporary rule whereby the employer must provide for reception only apply to asylum seekers who are in the asylum procedure for less than four months, or does this apply to all asylum seekers who work during the corona measures? Does the scheme which provides that a piece of the wage is to be paid still apply during the corona measures, or was that rule suspended?
ParlaMint-BE_2020-04-29-55-commissie-ic164x.u8	Madam Minister, at the last committee meeting, you said that in the closed centres the recommendations of the Risk Assessment Group are being followed and hygiene measures are being respected. However, images have been published in the media that show something else. These images even reveal problems not only with corona, but with well-being in general. In Merksplas people have to shower with cold water and guards are far too close to the residents. People are isolated in the event of illness and put in an isolation cell. They're handing out moldy bread. The spokesman for the Foreign Affairs Department, Geert De Vulder, stated that the images were pre-corona-crisis, but a journalist from Apache, who is investigating the issue, said that the images date from April 4th and that Mr De Vulder himself admitted that to him. On 10 April Myria visited the centre in Merksplas. Myria confirmed that in the center fear reigns over the corona crisis and well-being in general. The personnel do not have enough protective equipment to prevent contamination and this creates great concerns for staff and residents. Are all these problems known to your administration? If not, why not? Is the Department of Foreign Affairs withholding information? Do you agree that the situation in the closed centres is difficult and that the corona crisis is not being dealt with properly? Do you agree that, if the security measures are impossible to implement, we should give the residents a different accommodation, in the interests of their health and that of the staff? My second question concerns the people released from the closed centres. Until today, there is no clarity as to what has happened to every released person. According to the management of the centre at Merksplas the residents are dropped off at a station or a bus stop. Then they need to find a place to stay. If they don't have a place, they'll just have to knock on their door at a homeless shelter, for example. That's what the board told me. The lockdown is now being reduced, but it looks like we just don't know from a group of people where they are or if they're safe. This puts public health and their own health at risk. I therefore have three further questions for you, Madam Secretary. How many people have been released at the moment and how many remain in the closed centres? Is your administration keeping records of where the released persons end up in order to prevent people from ending up on the streets? As far as you know, where are most of the released people: in someone else's home, in the homeless shelter or elsewhere?
ParlaMint-BE_2020-04-29-55-commissie-ic164x.u9	Mr. Chair, Minister, my questions are divided into two parts. The first relates to unaccompanied minors and recommendations made by the Exile Minors Platform. This platform asks to guarantee the first issuance of residence documents during this period of health crisis, to extend the residence documents automatically and temporarily beyond the age of the majority of MENA, not to issue any order to leave the territory to the MENA who has reached the age of majority without legal stay, not to sign any order to return to the guardian. Minister, how do you intend to respond to these requests? Have any MENA been expelled since March 18th? Would it be possible for applications for family reunification to be submitted directly by the MENA or its guardian through a power of attorney? What is planned for the MENA in transit? We know that a decent and age-appropriate standard of living must be guaranteed. At least they should have access to sanitation, medical care and psychological assistance. Is additional funding for emergency reception provided for this purpose? Is there cooperation with field organizations? What is the status of the relocation of MENA from Greece? It is also known that there are procedural difficulties for MENA. How do you plan to respond to the demands of the Exile Minor Platform? Have the MENA not been able to benefit from a reception place since March 18th? If so, why? Have MENAs been excluded from their reception space since the above-mentioned date? Is it possible to reintegrate those who have left the reception structure into the network? The second part of my questions relates to regularization in general. The Ciré, the OMC and the Minors in Exile platform asked you on this point and unfortunately did not get an answer to the question whether it was possible to envisage a temporary regularisation of the persons who submit their application on the basis of Article 9a. Indeed, we know the difficulties that can be encountered. We also know that other States have done so. How do you respond to field associations that have not received a response? How do you intend to respond to this request?
ParlaMint-BE_2020-04-29-55-commissie-ic164x.u10	The various measures taken by the government in the fight against the corona virus also affect our asylum system. People who wish to apply for asylum must now make an appointment electronically, after which they will be invited to submit their application effectively. After that, they'll be assigned a shelter. I have a few questions about this. How many people have applied for asylum since 12 March? Is there a drop? Is there currently a waiting list of people who have expressed their wish to apply for asylum but who have not yet received an appointment? How many people are we talking about here? Will all persons who have applied for asylum be assigned a place of refuge? Where are these people being taken care of? Is this mainly about individual or collective care? How many people are in emergency care? Everyone who is on the territory, regardless of their status, should have access to basic rights and facilities such as housing, health care and stability. The current crisis confronts many people with circumstances of force majeure in which they are fully dependent on outside aid. It is precisely this vulnerable target group that needs protection against the virus if we are to avoid a flare-up. To what extent can all the health measures, such as social discrimination, be met in all asylum and reception centres? In what way will this be resolved if centres are unable to comply with it? Madam Minister, after the health crisis, do you intend to invest more in, above all, small-scale local care to ensure better hygiene? Can anyone who now applies for asylum be guaranteed immediate reception? People on the run and people without a right of residence are also a vulnerable group. During the current health crisis, we must not forget that they are also important and we must also be able to provide them with proper medical care. This is important for their own health but also for the health of people in their environment. Anyone who is ill must have immediate access to the necessary medical care. Finally, I would like to ask a few questions about this. Have guidelines been drawn up for people on the run and for people without a right of residence who test positive for COVID-19? Can you give an overview of the guidelines? Where can people from that target group, who are discharged from the hospital after treatment, be found? What measures will be taken if they return to the centre where they were staying? Madam Minister, have you taken any steps to lower the threshold for urgent medical assistance for that target group? I am thinking, for example, of extending the medical card.
ParlaMint-BE_2020-04-29-55-commissie-ic164x.u11	Mr President, Madam Minister, I will not go into the details because many things have been said. I will supplement Mrs Matz's question on unaccompanied foreign minors. I would like to know whether it is possible to introduce an exceptional measure for MENA in connection with the registration of their application. Currently, it is done electronically, as a security measure, and we understand it, although there are adjustments to be made. I have asked you, in this MENA chapter, about the possibility that MENA may come to the Aliens Office without going through electronic means. Indeed, some have real difficulties in using this path. I'd like to get back to the Fedasil Centers soon. As we know, current overpopulation is also a legacy of past policies. On the other hand, the figures I have received indicate a 97% occupancy rate for Fedasil centres, which is problematic given the physical distancing requested. As for food, a lot of complaints have been received in the Fedasil centres. It is sometimes referred to as damage. Food rations are very small, many people complain about them. It also weakens organisms, while it is known that a weakened organism, at this time of VOCID-19, can cause complications. What is the food budget? Has it increased? Is it a closed envelope or a budget per person? Last week, I asked you about the state of the closed centres. Here, my colleagues rightly point to the state of the Merksplas centre, which was shown in a RTBF report. We're talking about Merksplas because we only have images of this center, and a control was made thanks to the presence of Myria. But we have no knowledge of the state of the other centres. My question is the same as I asked you a week ago and is the following. Neither parliamentarians nor NGOs can go to the centres. As soon as Myria has been able to go to Merksplas, will you again allow Members to do their job and to go with all the necessary precautions to the closed centres? Will you allow it to NGOs, again with all the necessary precautions? I will stop there and refer to my written questions for further details.
