ParlaMint-BE_2020-02-11-55-commissie-ic107x.u1	Questions Nos. 55001831C by Ms. Yoleen Van Camp and 55001842C by Mr. Patrick Prévot are postponed.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u2	Minister, as you know, the General Union of Nurses of Belgium (UGIB) brings together 43 professional organisations from the three regions of the country. It covers all aspects of nursing training and practice and represents 140,000 professionals active in our country. Its role is therefore essential for the profession. It is up to us that the UGIB is currently in total uncertainty as to its operation for this year. The subsidy has not yet been paid. The UGIB is therefore facing funding problems. She sent you a letter, but at the time of writing, she had always received no answer. Minister, I was in contact with the UGIB a few hours ago. She confirms that INAMI has certified her that there would be funding for 2020. Can you confirm that? How much will it cost? Will the UGIB have to wait until a government is formed to achieve the realization of these means necessary for the proper functioning, knowing that this has consequences for the salaries of those currently engaged and therefore for the proper functioning of the institution, on the motivation and on the means available? On the other hand, this situation creates doubt.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u3	Mr Rigot, the Council of Ministers set the health care budget for 2020, on 22 November 2019, on a proposal from the Minister of Social Affairs and Public Health. Funding for the General Union of Nurses of Belgium (UGIB) for the year 2020 is provided for in this budget. The amount is based on the amount granted in 2019, plus the usual indexation. The Health Care Service will present, in the coming weeks, a draft royal decree for the approval of the Insurance Committee to fix the financing of the General Union of Nurses of Belgium for 2020.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u4	It is more than time for this order to take effect since we are already in February. Every day lost without funding can have consequences for the UGIB. Two years ago, she was forced to anticipate by advancing the funding pending the necessary funding. That's a problem. I do not understand the delay from the moment we know that we must reproduce a measure in continuity. Funds must arrive each year at the same time, whether current or not. I also regret that we have moved from multi-annual funds to annual funds. A few years ago, they were spanning four years, then we went to two years and now we operate on an annual basis. It is really essential to be able to give a clear signal to this institution and to give it the opportunity to work on a long-term basis for the benefit of all nurses.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u5	Madam Minister, our system of health care is highly regarded, but we still have to make a painful observation, which was confirmed by a study by the European Commission and the OECD: the health gap between rich and poor in Belgium is among the largest in Europe. I have already said that Belgian health care is generally good. We have a high life expectancy. But the lowest educated men and women are expected to live five years shorter than the most educated. The explanation for this can be found inter alia in the exposure to so-called risk factors. This also has to do with accessibility to care. Although almost every Belgian, luckily but, is covered by compulsory health insurance, people in the lowest income quintile, the 20% with the lowest incomes, are much more likely not to go to a doctor because of the cost, distance or waiting times. But mostly because of the cost. In 2017, this was the case for around 7% of that income group, compared with only 0.1 % of Belgians in the highest income quintile. The difference in unmet medical needs between the poorest and the richest compatriots in Belgium is the greatest of all Western European countries. It is also well above the European average. This is true for health care in general, but for dental care the difference is much greater: 11 percent of Belgians from the lowest income groups had an unmet need for dental care in 2017, compared to 0.4% from the highest income. I am now addressing you specifically with regard to dental care: 11% of the lowest income groups compared with 0.4% of the high income, which is unworthy of a welfare state. You know as well as I do that more and more dentists are not in touch and that there has been a need for a long time to make dental care more financially accessible. That need is widely recognised, including by you. How do you view this need for more accessible dental care, and how do you deal with it in your policy?
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u6	Mr Bertels, access to affordable quality-driven healthcare is indeed an important and essential task for the government. The right to health protection and medical assistance in the event of illness is a fundamental right of every citizen. As you know, in the previous legislature, we have taken various measures aimed at ensuring quality, affordable and accessible health care for all citizens of this country, adapted to the evolving needs of the patient, think of chronic and older patients, and this is in keeping with the principles of free choice of the patient and of diagnostic and therapeutic freedom of the provider. Belgian healthcare is not free, but the patient's contribution is low. In the case of a serious condition, an expensive intervention or treatment is almost entirely reimbursed. These are special benefits in kind in the nomenclature. I have made efforts both in terms of financial accessibility and in terms of the availability of qualified staff, waiting times and geographical accessibility of quality care. For socio-economically weak patients, all social safety nets were maintained and even improved. Think of the preferred arrangement. Facilitating the third party payment scheme and the computerisation of invoicing is also an important step forward. Nevertheless, I read in the press all sorts of figures about a lack of access to care in Belgium, making an amalgamation of costs. Is it about too high personal stock for care? Is it about supplements? Is it about cost for vitamins? Or rather about the too low wages or high other bills for example electricity or rent? In the performance report of the Belgian health system, the KCE-report 313, we see the following important findings. Accessibility is guaranteed by universal health insurance, the existence of social safety nets, the maximum invoicing, an increased allowance and the preferential scheme. The patient's own expenses have fallen. This amounts to 16%. This is below the average compared to other European Member States. In 2004 this was 18.2% and in 2013 17.5%. This is also below the average compared to other European countries, where this is 17.7%. The patient's own health payment has fallen to 15.9 % in 2016. You'll find it in Health at a Glance. There is also some concern. The proportion of families with deferred healthcare for financial reasons is 2.2 %, which is higher than in other European countries. Almost the entire population is covered by compulsory general health insurance. Approximately 1 % is not insured. These are persons whose administrative and or financial conditions are not met. If we look at the Brussels Region, it is around 2%. This delay in health care for financial reasons, particularly among low-skilled citizens and therefore a low socio-economic profile, must indeed be given special attention. This attention should come not only from the health minister, but from all the ministers and governments in this country. A health gap between rich and poor is solved not only by the reimbursement of medical care, but above all by an improvement in training and employment, through affordable living and so on. There are indeed a number of specific problems relating to access to dental care. The nomenclature of dentistry is complex and there are many different rates. This does not always make it clear to the public what concerns will be given and what this will cost him or her. In addition, there is the fear of the dental visit and the uncertainty about the cost of the care. Health objectives have been agreed in the Dentomut agreement 2017-2018, including improving the number of dental visits, especially for preventive dental care. As you know, this preventive dental care is also free for children up to the age of 18 years. Despite these measures, part of the population continues to postpone dental care and not enough children go to the dentist. The Dentomut has not yet managed to find measures to solve this problem. Granting more budget to the sector is not the miracle formula. The dental care sector does not fully use the partial objective given. There is therefore room for an increase in dental visits, especially as regards preventive and basic care. When we installed the oral care process, we saw a temporary increase in the dental visit. Unfortunately, this is not actually the case for children and there are great regional differences.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u7	Mr President, Minister, I am pleased that you yourself say that financially accessible and qualitative health care is a fundamental right. In this respect, you will find an absolute supporter in us. With regard to the financial accessibility of health care and the third-party payment scheme, you rightly pointed out that there are still gaps in this. I assume you still want to do some work on that. You indicated that there was a delay in some of the population, for financial reasons. We have to deal with that. Ghent University has carried out several studies on this subject. This will enable us to learn how to avoid or at least reduce this delay. I agree with you that there is an important task for you, but that Health should also be applied in All Policies. However, we must continue to pay attention to it in health insurance. Thirdly, with regard to dental care, we still have a hard and long way to go. It is a pity that we are not able to improve financial accessibility. There is a Dentomut agreement, but the initiatives contained in the proposal of the Insurance Committee, which was not approved by the Minister, contain a few more possibilities. We will have to continue to work on improving access to dental care in general, especially for children. For teeth it usually starts with the children and there are now large gaps.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u8	As you know, it was World AIDS Day on 1 December 2019 and there will be another one on 1 December 2020. We now have a few questions about that.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u9	Madam Minister, in 2018 the number of HIV diagnoses decreased by 2% compared to 2017. That is, of course, positive, but by no means a reason for euphoria. The number of diagnoses remains high and seems to extend to groups other than those traditionally affected. Sensoa therefore advocates a new HIV plan 2020-2025. The previous plan ended at the end of 2019. According to Sensoa, combination prevention is the key. This includes sensitisation of condom use and PrEP, encouraging rapid post-risk test and immediate treatment in case of positive diagnosis. In concrete terms, this would mean investing in prevention, including an accessible and accessible STD and HIV testing policy. Other issues include investing in quality and multidisciplinary HIV care, combating HIV-related discrimination and removing barriers that hinder access to PrEP. I am thinking of costs and waiting times. Madam Secretary, is there already a new HIV plan in the docks? Have you carried out any preparatory work to this end, despite the expiry of the term of office? What has happened to that? Has there been any consultation with Sensoa? Did you get any results from that? Will the recommendations of Sensoa be taken into account in a possible new plan? In view of the accession of a new government, how do you see the transition going?
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u10	Madam Minister, my question is on the same subject and in particular on the HIV patients themselves. Sensoa's note made it clear that there are problems with the follow-up of HIV patients. The survey shows that one in five of the long-term diagnosed patients develops depression. These patients also feel that they do not receive sufficient psychological assistance. The most surprising finding for me is that patients indicate that they are being discriminated against by the care providers. That's definitely a working point. Madam Secretary, are you aware of these findings? Every day more than two patients hear the verdict that they are seropositive. Can you guarantee sufficient psychological guidance in the publication and experience of that diagnosis? The prevalence of depression in long-term seropositive singles is 1 in 5, quite a high number. Are guidelines drawn up specifically to draw attention to this finding and do you think that there is sufficient psychological guidance for those patients? It is unacceptable that seropositive patients should be discriminated against. Do you have any reports of that? Have you provided a plan of action on this issue?
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u11	Mr President, Mrs Jiroflée and Mrs Depooster, as you know, we have implemented the HIV plan and incorporated it into the health policy of the federal and regional authorities over the last five years. In recent years, the HIV plan has served as a guide to a number of important achievements. The measures implemented are also of a structural nature. Indeed, a draft new HIV plan to cover the period 2020-2025, taking into account recent developments in the HIV domain, has been under way for several months now. This will be rebuilt around the pillars of prevention, screening and diagnosis, care and quality of life. The positive Council we have set up makes a transversal contribution to these pillars. The working groups attached to the different pillars have identified a number of priorities and actions. In a first phase, they were submitted to and tested by the field organisations and other stakeholders. In a subsequent phase, the proposed priorities and actions, in particular those relating to prevention and screening, will be discussed with the regional authorities. Finally, UNAIDS Liaison Office Brussels will also be consulted, in particular with a view to harmonising the proposed priorities with international health objectives. Preparations for the new HIV plan are coordinated by the HIV monitoring committee. That committee, in accordance with Action 54 of the current HIV plan established by the Interministerial Health Conference of 24 February 2014, is a permanent structure for consultation, monitoring and advice. The members of the Monitoring Committee represent the diversity of actors in the HIV domain. Sensoa is also part of that monitoring committee. Combination prevention is the conceptual guide to the current and the new HIV plan. As soon as that plan is complete, I will receive it. Mrs Depoorter, in the previous legislature, we have focused on the legalisation of the medicalized test and on the self-test, on the pre-exposure prophylaxis, better known as PrEP, on abolishing the thresholds for access to HIV inhibitors, i.e. we are paying back seropositive patients immediately, and, of course, on psychological guidance in the context of the reform of the convention on HIV reference centres. Each of those 11 centres should have clinical psychologists recognised under the law of 10 July 2016. They are responsible for guidance, regardless of whether it concerns people who opt for PrEP, who have just been diagnosed or who have been diagnosed with long-term survivors. The centres concerned will be evaluated on the results achieved. In order to combat HIV stigma, the convening centres referred to in Article 4 (2) of the Convention have undertaken that the HIV reference centre will also provide assistance in the fight against any stigmatisation and discrimination related to the disease and that it will support patients in this sense. We have achieved good results through the implementation of all UNAIDS recommendations. The positive Council played a major role in this. There is now an optimal consultation between all associations on the ground, including Sensoa. I think it worked well in the previous legislature. The results are already good, but every new patient is too many. There are fewer and fewer new infected patients, but every infected patient is one too many. If this plan continues in the next five years, I think we will be on the right track.
