Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2020-10-21-55-commissie-ic284x	ParlaMint-BE_2020-10-21-55-commissie-ic284x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-10-2020	2020-10-21	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	DepoortereOrtwin	Depoortere, Ortwin	M	1970	
ParlaMint-BE-en_2020-10-21-55-commissie-ic284x	ParlaMint-BE_2020-10-21-55-commissie-ic284x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-10-2020	2020-10-21	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	PasBarbara	Pas, Barbara	F	1981	
ParlaMint-BE-en_2020-10-21-55-commissie-ic284x	ParlaMint-BE_2020-10-21-55-commissie-ic284x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-10-2020	2020-10-21	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DeSutterPetra	De Sutter, Petra	U	-	
ParlaMint-BE-en_2020-10-21-55-commissie-ic284x	ParlaMint-BE_2020-10-21-55-commissie-ic284x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-10-2020	2020-10-21	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	PasBarbara	Pas, Barbara	F	1981	
ParlaMint-BE-en_2020-10-21-55-commissie-ic284x	ParlaMint-BE_2020-10-21-55-commissie-ic284x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-10-2020	2020-10-21	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Groen	Groen	Coalition	Centre-left to left	SoorsJessika	Soors, Jessika	F	1988	
ParlaMint-BE-en_2020-10-21-55-commissie-ic284x	ParlaMint-BE_2020-10-21-55-commissie-ic284x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-10-2020	2020-10-21	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	DepoortereOrtwin	Depoortere, Ortwin	M	1970	
ParlaMint-BE-en_2020-10-21-55-commissie-ic284x	ParlaMint-BE_2020-10-21-55-commissie-ic284x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-10-2020	2020-10-21	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	ThémontSophie	Thémont, Sophie	F	1973	
ParlaMint-BE-en_2020-10-21-55-commissie-ic284x	ParlaMint-BE_2020-10-21-55-commissie-ic284x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-10-2020	2020-10-21	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	DepoortereOrtwin	Depoortere, Ortwin	M	1970	
ParlaMint-BE-en_2020-10-21-55-commissie-ic284x	ParlaMint-BE_2020-10-21-55-commissie-ic284x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-10-2020	2020-10-21	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DeSutterPetra	De Sutter, Petra	U	-	
ParlaMint-BE-en_2020-10-21-55-commissie-ic284x	ParlaMint-BE_2020-10-21-55-commissie-ic284x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-10-2020	2020-10-21	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	ThémontSophie	Thémont, Sophie	F	1973	
ParlaMint-BE-en_2020-10-21-55-commissie-ic284x	ParlaMint-BE_2020-10-21-55-commissie-ic284x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-10-2020	2020-10-21	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Coalition	Centre-left	VanrobaeysAnja	Vanrobaeys, Anja	F	1968	
ParlaMint-BE-en_2020-10-21-55-commissie-ic284x	ParlaMint-BE_2020-10-21-55-commissie-ic284x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-10-2020	2020-10-21	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Coalition	Centre-left to left	LeroyMarieColline	Leroy, Marie-Colline	F	1984	
ParlaMint-BE-en_2020-10-21-55-commissie-ic284x	ParlaMint-BE_2020-10-21-55-commissie-ic284x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-10-2020	2020-10-21	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Groen	Groen	Coalition	Centre-left to left	WillaertEvita	Willaert, Evita	F	1981	
ParlaMint-BE-en_2020-10-21-55-commissie-ic284x	ParlaMint-BE_2020-10-21-55-commissie-ic284x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-10-2020	2020-10-21	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Groen	Groen	Coalition	Centre-left to left	WillaertEvita	Willaert, Evita	F	1981	
ParlaMint-BE-en_2020-10-21-55-commissie-ic284x	ParlaMint-BE_2020-10-21-55-commissie-ic284x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-10-2020	2020-10-21	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DeSutterPetra	De Sutter, Petra	U	-	
ParlaMint-BE-en_2020-10-21-55-commissie-ic284x	ParlaMint-BE_2020-10-21-55-commissie-ic284x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-10-2020	2020-10-21	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Groen	Groen	Coalition	Centre-left to left	WillaertEvita	Willaert, Evita	F	1981	
ParlaMint-BE-en_2020-10-21-55-commissie-ic284x	ParlaMint-BE_2020-10-21-55-commissie-ic284x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-10-2020	2020-10-21	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	SenesaelDaniel	Senesael, Daniel	M	1957	
ParlaMint-BE-en_2020-10-21-55-commissie-ic284x	ParlaMint-BE_2020-10-21-55-commissie-ic284x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-10-2020	2020-10-21	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DeSutterPetra	De Sutter, Petra	U	-	
ParlaMint-BE-en_2020-10-21-55-commissie-ic284x	ParlaMint-BE_2020-10-21-55-commissie-ic284x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-10-2020	2020-10-21	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	SenesaelDaniel	Senesael, Daniel	M	1957	
