Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2020-11-25-55-commissie-ic306x	ParlaMint-BE_2020-11-25-55-commissie-ic306x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-11-2020	2020-11-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	BriersJan	Briers, Jan	M	1953	
ParlaMint-BE-en_2020-11-25-55-commissie-ic306x	ParlaMint-BE_2020-11-25-55-commissie-ic306x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-11-2020	2020-11-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	MahdiSammy	Mahdi, Sammy	M	1988	
ParlaMint-BE-en_2020-11-25-55-commissie-ic306x	ParlaMint-BE_2020-11-25-55-commissie-ic306x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-11-2020	2020-11-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	BriersJan	Briers, Jan	M	1953	
ParlaMint-BE-en_2020-11-25-55-commissie-ic306x	ParlaMint-BE_2020-11-25-55-commissie-ic306x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-11-2020	2020-11-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	PivinPhilippe	Pivin, Philippe	M	1954	
ParlaMint-BE-en_2020-11-25-55-commissie-ic306x	ParlaMint-BE_2020-11-25-55-commissie-ic306x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-11-2020	2020-11-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	MahdiSammy	Mahdi, Sammy	M	1988	
ParlaMint-BE-en_2020-11-25-55-commissie-ic306x	ParlaMint-BE_2020-11-25-55-commissie-ic306x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-11-2020	2020-11-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	PivinPhilippe	Pivin, Philippe	M	1954	
ParlaMint-BE-en_2020-11-25-55-commissie-ic306x	ParlaMint-BE_2020-11-25-55-commissie-ic306x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-11-2020	2020-11-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	PonthierAnnick	Ponthier, Annick	F	1971	
ParlaMint-BE-en_2020-11-25-55-commissie-ic306x	ParlaMint-BE_2020-11-25-55-commissie-ic306x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-11-2020	2020-11-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	RaskinWouter	Raskin, Wouter	M	1972	
ParlaMint-BE-en_2020-11-25-55-commissie-ic306x	ParlaMint-BE_2020-11-25-55-commissie-ic306x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-11-2020	2020-11-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	MahdiSammy	Mahdi, Sammy	M	1988	
ParlaMint-BE-en_2020-11-25-55-commissie-ic306x	ParlaMint-BE_2020-11-25-55-commissie-ic306x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-11-2020	2020-11-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	PonthierAnnick	Ponthier, Annick	F	1971	
ParlaMint-BE-en_2020-11-25-55-commissie-ic306x	ParlaMint-BE_2020-11-25-55-commissie-ic306x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-11-2020	2020-11-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	RaskinWouter	Raskin, Wouter	M	1972	
