ParlaMint-BE_2020-01-23-55-plenair-ip021x.u1	The meeting was opened. The meeting is open.
ParlaMint-BE_2020-01-23-55-plenair-ip021x.u2	I welcome the Prime Minister. It has returned from abroad in time to answer the questions in the Chamber. Madam Prime Minister, that's a credit to you.
ParlaMint-BE_2020-01-23-55-plenair-ip021x.u3	Mr President, Madam Prime Minister, ladies and gentlemen, believe it or not, politicians agreed this week. The rejection of the racist comments about the refugees in De Panne sounded loudly across the party boundaries, and that is right. Ladies and gentlemen, with some well-meaning tweets, however, we will not solve that problem, especially if political parties themselves continue to throw oil on the fire, for example by sending manipulated photos for campaigns against migration to the world. Madam Prime Minister, there is an urgent need to find a solution that allows all hate crimes to be prosecuted in the same way. There is currently a total lack of consistency. Hate must not go unpunished because the procedures do not work. Experts have been advocating the revision of Article 150 of the Constitution for years. It is important that there should be a thorough and political consensus on this issue. That is why my group proposes to set up a working group with representatives of all democratic parties. Madam Prime Minister, would you support our proposal and ask Parliament to set up this working group? The fact that political parties deliberately send fake news to the world and thus stir up hatred is contrary to our democratic mandate. That's gotta stop. Prime Minister Michel announced in 2018 that the government would free up a fund to fight fake news. What is the point, however, of spending external money if the problem arises here in our midst? Madam Prime Minister, are you prepared to work on a deontological code for political parties in the working group we are proposing?
ParlaMint-BE_2020-01-23-55-plenair-ip021x.u4	Ladies and gentlemen, before giving the floor to Mrs Rohonyi, I would like to say that we ourselves decide what we do in Parliament. We can set up this working group, but I fully agree with you that action by the government and Parliament should be followed together. I would like to add that we held a commemoration of the Holocaust here yesterday. It was a particularly worthy remembrance. How come people could have done something like that to other people? When people read what appears on various sites today, I only have one word for it: abhorrence. I can't ask you a question. I have to chair the Chamber, but I would like to inform the Chamber that I will support any action that will be taken in this respect with all my strength and conviction. Excuse me for getting out of my role a little bit. As Speaker of the House, I now give you the floor.
ParlaMint-BE_2020-01-23-55-plenair-ip021x.u5	You did very well, Mr. President! Prime Minister, I wish I hadn't had to question you today. Similarly, I would have wished to live in a country where new technologies and the fundamental right of freedom of expression are not used to incite hatred towards those fleeing war and misery. However, to read the racist comments that have spread over the Internet following this rescue operation last Tuesday in La Panne, it must be noted that our fight against racism and hatred is far from over. As you well recalled yesterday, Mr. President, on the occasion of the ceremony in memory of the victims of the Shoah, it is our duty to fight racist messages on the Internet. I am sure, Madam Prime Minister, that you are abounding in this direction and agree with it. However, Belgium has still not deployed an intra-federal action plan against this phenomenon, despite its commitment at the time of the Durban Conference in 2001. It has therefore been twenty years since there was any coordination between the federal government and the federated entities, and during this time racism has been expressed in a totally uncompromising way on our social networks. Hence my questions, Madam Prime Minister. First, what measures has your Government taken to combat racism and cyber hate in particular? Why have not the actors who are mobilizing each day in this struggle been consulted in order to draw up this action plan? Are you in favour of measures similar to those taken in Germany and those being adopted in France? To what extent does Belgium participate in the development of a European code of conduct for Internet hosting providers? Finally, how can you remedy the lack of resources allocated to the justice system to put an end to the impunity of perpetrators of racist statements on the Internet? In advance, I thank you for your answers, Madam Prime Minister.
ParlaMint-BE_2020-01-23-55-plenair-ip021x.u6	Mr President, I join everything my colleagues have already said in terms of shock and shame following what we have been able to read on certain social networks or websites. Yesterday, many of us attended the commemoration of the 75th anniversary of the liberation of the Auschwitz camp, which reminds us where hatred and discrimination lead us. I sincerely believe, Madam Prime Minister, that here too our country must act. We need to recognize all the effervescence and prosperity that social networks can bring, while questioning all that they can bring disgusting and shocking. As a liberal, it will not surprise you, I think that freedom must be the most complete but must always go hand in hand with responsibility. The same applies to the responsibility for the statements made, even if we hide behind a computer. Madam Prime Minister, many laws were adopted in France, as was the case yesterday in the National Assembly, or in Germany a few years ago. We are also considering a code of conduct at European level, but I would also like you to remind us of the state of affairs in our country.
ParlaMint-BE_2020-01-23-55-plenair-ip021x.u7	Prime Minister, this week we have been confronted with racist and hateful reactions on social networks following the rescue of refugees in the North Sea in La Panne. Since then, several reactions from various parties have been heard, including that of Mr. Dewael earlier. In our view, the debate is aimed at identifying who, in fact, is fuelling this unacceptable racism and speech. I will quote two of them: "Leave them at sea!" and "If they want to go to England, let them go swimming!" For us, it is clear: these words are propagated by the nationalist right and by the far right who, through these speeches, normalize this racism. We will remember the false campaign of the N-VA at the time of the UN Migration Pact. She came out again today and yesterday in the press with evidence that the photos used by the N-VA were faked. These photos were taken without problem today by the Vlaams Belang. For us, it is clear that racism serves to divide workers and, in times of crisis, there is great anger among workers in Belgium because, Madam Prime Minister, Belgium from below suffers. The aim of these right-wing nationalist and far-right parties is to divide to rule and try to make believe that it is the fault of the refugees if there is no work in Belgium. That's obviously not true! If there is no work in Belgium, it is because of the multinationals whose sole aim is to put money in the shareholder's pocket. Madam Prime Minister, it is clear that in this context there is a great problem of racism in our society and that it is time to act. In 2001, our country committed itself to developing an action plan against racism. It's been 19 years! How do you justify that this plan is not there yet? What are you going to do to counter these racist speeches?
ParlaMint-BE_2020-01-23-55-plenair-ip021x.u8	Mr President, Madam Prime Minister, ladies and gentlemen, "Let them swim!", "Don't save them!", "It costs money!", "Good journey!", "Let them go back to swimming!"... These are the ignoble, hateful, racist words that were spilled online after the shipwreck of 14 men and women in La Panne on Tuesday. As other colleagues said before me, yesterday in this House, we were commemorating with emotion, 75 years later, the memory of the victims and survivors of the Shoah. In the presence of a survivor of the camps who paid tribute to Belgium, the host country, we must recall, we heard these young girls tell about their visit to the camps and explain the need to keep the memory alive so as not to have to relive the horror. We also listened to this Antwerp historian reminding us of the ambiguity of the Belgian authorities at the time: benevolent Belgium, docile Belgium, in its collaboration with the Nazi regime. Just 24 hours after this commemoration, we are in the same Chamber to discuss, Mr President, forums full of racist obscenities. We are on the brink of nausea in the face of so much hatred. Let me point out here one particular party: the Vlaams Belang. To paraphrase Desproges, I would say: read one of their leaflets; for a lesser cost, you will have nausea and dirty hands. As politicians, as democrats, we must go beyond indignation and shame. We must act, silence these words and prevent the ensuing acts. Prime Minister, I know you on our side; I know you are sensitive to the Enlightenment. We must make living together the cement of Belgian society. We must re-establish our social cohesion as a priority and punish those who often have the courage of anonymity to vomit their abomination. Prime Minister, what concrete steps have you taken since Tuesday? What is your action plan to combat racism on the Internet and cyber hate? Have these contents been removed? Has your government been actively working with Unia to end these behaviours?
ParlaMint-BE_2020-01-23-55-plenair-ip021x.u9	Mr President, ladies and gentlemen, in this House we are not all of the same political colour. But we must have a common enemy, an enemy that transcends divisions, an enemy that must be publicly denounced, even if it also acts insidiously, in the shadow, behind a computer. This enemy is the hatred of the other. The migrant rescue operation on Tuesday in La Panne gave rise to a flood of racist comments on social networks and elsewhere. Like you said, it's disgusting! It's unbearable! Before you, I want to strongly condemn these words and tell you that such speeches are an insult to the values of respect, openness and dialogue that underpin our democracy. [[Applause]] Even yesterday, we commemorated the victims of the Holocaust in this Parliament. You have heard the moving testimony of Mrs. Pinhas-Lipstadt, a survivor of horror. On Monday, I will be in Auschwitz with our sovereign and other Heads of State and Government to pay tribute to the victims and to recall the importance of memory. More than ever, we must remember, transmit memory to remember that hatred, all hatreds without exception, have no place in our society. Our fight requires more vigilance in social media times, it is true. In Davos, I was able to talk to Susan Wojcicki, YouTube CEO. We have discussed at length the need to define the means by which we can stop the spread of hatred of others on the Internet. Belgium supports, in this regard, the efforts of the European Commission which have led to a European code of conduct on e-hate speech to which the main platforms have acceded. It provides commitments in terms of the withdrawal of content by companies such as Facebook, Twitter or YouTube. Freedom of expression is sacred. That's right. We have to protect her. But racism and anti-Semitism are not opinions. They're crimes. The government has taken several concrete measures. I am thinking of the recent campaign against racism and the launch of a call for projects to support organisations working on it. We are also developing a draft inter-federal action plan against racism. I am also thinking of the working group set up by the Minister for Justice and Equal Opportunities to investigate the spread of hate on social networks. In addition, the Internet Referral Unit was established in the previous legislature to address the problem of illegal content on the Internet. But we have to go further! We must continue to develop an arsenal of measures to prevent such behaviour. Several proposals have been made here and I think they should be studied. In addition, together with my colleagues in the government, we decided this morning to propose the establishment of an inter-ministerial conference to combat racism and anti-Semitism as soon as the next consultation committee was set up. This conference should enable better coordination of initiatives in this field with a view to ensuring the effectiveness of the actions to be taken. After Bilzen, La Panne. Again, it's too much. Too much. Indignation is a salutary moment. It calls upon our democratic vigilance. But indignation is not enough, it must leave room for action. In order to achieve this, I know that we can count on all the democrats of this House and its President.
ParlaMint-BE_2020-01-23-55-plenair-ip021x.u10	Madam Prime Minister, I am very pleased that you strongly condemn hate speech. I am also pleased that you are announcing a number of measures, such as the organisation of the Inter-Ministerial Conference, which I think is better late than never. The fire in Bilzen, now the hate reports about what happened in De Panne, the slander campaign against one of my colleagues, the mass daily hate online, enough is enough. To those colleagues who reminded the Holocaust yesterday and then eagerly continued to spread fake news, I say you are a hypocrite. To those Members who refuse to go along with this, I would like to ask how long we are still going to bear the fact that our democratic mandate is being affected in such a way. I call on everyone to take action together. Let us work on the working party against hate speech and make sure that in a few weeks' time we do not have to condemn yet another act of hatred, Twitter pages full.
ParlaMint-BE_2020-01-23-55-plenair-ip021x.u11	Madam Minister, I thank you for your very strong comments, and for your commitment to organizing this interdepartmental conference and to holding consultations, even though I regret that this was not done earlier. I also thank you for reminding you of one essential thing, namely that racism is not an opinion, but a crime. It's a crime that affects our living together. That is precisely why the fight against racism must concern all the democrats in this country, on the right as well as on the left, in the south as in the north of this country. It is also the extreme right against which we must fight, because it galvanizes the fear of others and makes it possible to make hateful, racist and unacceptable statements in this way. It is this fight against these two common enemies, to use your words, Madam Prime Minister, that we must lead together, together, simultaneously and with the same intransigence.
