Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2020-10-13-55-plenair-ip063x	ParlaMint-BE_2020-10-13-55-plenair-ip063x.u1	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 13-10-2020	2020-10-13	Lower house	Zittingperiode 55	-	Plenaire zitting 063 van 13-10-2020	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2020-10-13-55-plenair-ip063x	ParlaMint-BE_2020-10-13-55-plenair-ip063x.u2	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 13-10-2020	2020-10-13	Lower house	Zittingperiode 55	-	Plenaire zitting 063 van 13-10-2020	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2020-10-13-55-plenair-ip063x	ParlaMint-BE_2020-10-13-55-plenair-ip063x.u3	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 13-10-2020	2020-10-13	Lower house	Zittingperiode 55	-	Plenaire zitting 063 van 13-10-2020	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2020-10-13-55-plenair-ip063x	ParlaMint-BE_2020-10-13-55-plenair-ip063x.u4	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 13-10-2020	2020-10-13	Lower house	Zittingperiode 55	-	Plenaire zitting 063 van 13-10-2020	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2020-10-13-55-plenair-ip063x	ParlaMint-BE_2020-10-13-55-plenair-ip063x.u5	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 13-10-2020	2020-10-13	Lower house	Zittingperiode 55	-	Plenaire zitting 063 van 13-10-2020	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2020-10-13-55-plenair-ip063x	ParlaMint-BE_2020-10-13-55-plenair-ip063x.u6	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 13-10-2020	2020-10-13	Lower house	Zittingperiode 55	-	Plenaire zitting 063 van 13-10-2020	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2020-10-13-55-plenair-ip063x	ParlaMint-BE_2020-10-13-55-plenair-ip063x.u7	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 13-10-2020	2020-10-13	Lower house	Zittingperiode 55	-	Plenaire zitting 063 van 13-10-2020	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2020-10-13-55-plenair-ip063x	ParlaMint-BE_2020-10-13-55-plenair-ip063x.u8	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 13-10-2020	2020-10-13	Lower house	Zittingperiode 55	-	Plenaire zitting 063 van 13-10-2020	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	DeRooverPeter	De Roover, Peter	M	1962	
ParlaMint-BE-en_2020-10-13-55-plenair-ip063x	ParlaMint-BE_2020-10-13-55-plenair-ip063x.u9	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 13-10-2020	2020-10-13	Lower house	Zittingperiode 55	-	Plenaire zitting 063 van 13-10-2020	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2020-10-13-55-plenair-ip063x	ParlaMint-BE_2020-10-13-55-plenair-ip063x.u10	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 13-10-2020	2020-10-13	Lower house	Zittingperiode 55	-	Plenaire zitting 063 van 13-10-2020	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2020-10-13-55-plenair-ip063x	ParlaMint-BE_2020-10-13-55-plenair-ip063x.u11	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 13-10-2020	2020-10-13	Lower house	Zittingperiode 55	-	Plenaire zitting 063 van 13-10-2020	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2020-10-13-55-plenair-ip063x	ParlaMint-BE_2020-10-13-55-plenair-ip063x.u12	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 13-10-2020	2020-10-13	Lower house	Zittingperiode 55	-	Plenaire zitting 063 van 13-10-2020	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
