ParlaMint-BE_2020-06-25-55-plenair-ip047x.u1	The meeting was opened. The meeting is open.
ParlaMint-BE_2020-06-25-55-plenair-ip047x.u2	Mr President, I have a few questions about the agenda.
ParlaMint-BE_2020-06-25-55-plenair-ip047x.u3	Can we deal with them after the oral questions?
ParlaMint-BE_2020-06-25-55-plenair-ip047x.u4	Mr President, in view of a large number of amendments tabled, which could have been tabled in committee, which has not been done, we would like to postpone consideration of the motion for a resolution No 32/1 on the recognition of the State of Palestine so that it can be discussed in the Committee on External Relations as soon as possible.
ParlaMint-BE_2020-06-25-55-plenair-ip047x.u5	If everyone agrees with this change in the agenda, there is no problem, Mr Laaouej, but if we do not have a consensus, I cannot accept your request. On the third item on the agenda, the resolution on the formal recognition of the Palestinian State, a number of amendments have been tabled. Mr Laaouej asked whether this resolution could be re-examined in committee, since his group had not been able to take note of these amendments or not. The question is therefore to send the third item on our agenda back to the committee and then to put it back on the agenda of the plenary next week. For the record, no committee is being organised today. Is there a consensus on that?
ParlaMint-BE_2020-06-25-55-plenair-ip047x.u6	Mr President, I would also like to announce that a text will come to you. This is a motion calling for the establishment of a special commission, transforming itself into a commission of inquiry if necessary and as soon as necessary. I would like us to discuss it after the oral questions or at some other time, if you wish.
ParlaMint-BE_2020-06-25-55-plenair-ip047x.u7	So it's a point of order. Mr Laaouej has good news and bad news: the good news is that he has lightened our agenda, the less good news is that a new item may be added. I'm kidding. I await the text of the motion to have it distributed and see how we will deal with it. I propose that we begin the question of time.
ParlaMint-BE_2020-06-25-55-plenair-ip047x.u8	Mr President, Madam Prime Minister, on 1 July the fourth phase of our deconfination will therefore begin, because the epidemiological situation allows it. We will never repeat this enough: if it is possible today, it is thanks to the exemplary mobilisation of healthcare workers, but also of front-line actors and our fellow citizens who have respected confinement. This new phase is therefore excellent news, but there are still areas of shadow. First, the world of the night will have to remain closed at least until September, as we allow events that can accommodate between 200 and 400 people. You know that this situation is simply untenable for the sector, since it involves six months of closure, but also fixed costs. You announced yesterday, and I welcome it, that we will have to support this sector, but how can we do it in practice? Do you not think that a revival of the world of the night would help to frame these festivals and, consequently, to avoid spontaneous gatherings without any respect for the health rules? Second, wearing the mask remains highly recommended in shops and would only be mandatory if the pandemic rebounded. This decision has been severely criticized by some experts. I am thinking, in this case, of Marc Van Ranst or Jean-Luc Gala. From when will we determine when we are facing an epidemic rebound? Above all, why wait for him to protect one another, especially when physical distance is impossible to respect? It is known that GEES has developed a reconfinition plan, which has been communicated to hospitals. However, what about nursing homes, home nurses, general practitioners or pharmacists? When will the mayors be informed of the measures to be taken in the re-entry? And then, will we, at that time, have a strategic stock of masks?
ParlaMint-BE_2020-06-25-55-plenair-ip047x.u9	Mr President, Prime Minister, ladies and gentlemen, yesterday the National Security Council decided that masks in the supermarket would not be compulsory, despite the fact that we are now allowed to shop for more than half an hour and that we should no longer go shopping alone, that we should be allowed to go to the store with our family, and especially in spite of the clear advice of the virologists, an opinion that you claim to follow as much as possible. Until yesterday. The shopkeepers are very concerned about this decision. After all, they are exposed to a possible contamination whole days and hours a day, and of course this also affects the health of all of us. I am beginning to wonder what is most important here, the economy or people's health. You also said yesterday that you would force the masks if the condition deteriorated. Then I really fell off my chair. I thought we should all try to improve the situation just now, not to deteriorate. I think you should explain very clearly to the supermarket staff in this hemisphere why you do not put their health first.
ParlaMint-BE_2020-06-25-55-plenair-ip047x.u10	Mr President, Madam Minister, today a great national movement is on the street as our plenary session begins here this afternoon. A great national movement from the north, south, from the center of the country. Walloons, Flemish, Brussels, workers from Charleroi to Antwerp, from Ghent to Tournai to Liège. In two languages, in twee Talen, but with the same voice. Their slogan: "The world is starting to move again, culture is still at a standstill, but we are still standing." Respect! Respect for all those workers who still dare to claim their due! But in fact, why are they on the street? One hundred days they have the ball in their belly when they have to shop, because the purse is empty; the ball in their belly, because they dare not open their mailbox, because they will not be able to pay the bills. 15% of these workers have not received any income for a hundred days. Why are they on the street? Because they're not fools. Like us, they saw the political maneuver of a great lowness that took place in this House last week. A manoeuvre to block in the acts a proposal which would finally succeed so that, finally, all those workers who are in precarious conditions would obtain temporary unemployment. And yet everyone here defended beak and nails with a lot of empathy: "Yes, we have to do something for this sector, blah blah, blah blah". But when you have to go to practice, it's something else! And these artists are not only forgotten during this entire period of the VOCID-19, they were already forgotten before that period. With your government, you also had a role to play in seeking structural measures. Madam Prime Minister, today I have two specific questions. What are you going to do to ensure that these workers get a decent income, and especially for all those who have had nothing for a hundred days? Yesterday, the National Security Council announced that, as of 1 July, certain activities could resume. That's really great. What prospects can you give them in the longer term?
ParlaMint-BE_2020-06-25-55-plenair-ip047x.u11	Mr President, Madam Prime Minister, increase the bubbles, but you will continue to apply your rule of four. Your measures are always either too late or unclear or inadequate or without obligation. Now there is again a non-binding recommendation regarding mouth masks. You should know that no-binding recommendations do not work, nor did they work at airports. As usual after your press conferences, there are still many uncertainties and questions left, this time especially with caterers and owners of party rooms. The Association of Flemish Cities and Municipalities also questions the unclear basis on which the municipal authorities will have to decide on these events. But at last, this event sector has some perspective and perspective on relance. Madam Prime Minister, the most important relief measure to be taken now is to avoid a second wave. A second wave would be a new tragedy both in terms of health and economics. The corona crisis has already cost us EUR 50 billion in prosperity. A new wave could mean a further EUR 35 to 40 billion in loss of prosperity. I'm really worried about it. This week, my good colleague, Mr Sneppe, received the answer from Minister De Block's committee that there is no point in testing people coming back from at-risk areas over the coming holiday period. Then it is clear that people really do not learn from the mistakes that have been made. Madam Prime Minister, in order to avoid that second wave, a massive test must be carried out, and there must be sufficient protective equipment. Where do you stand with these preparatory measures?
ParlaMint-BE_2020-06-25-55-plenair-ip047x.u12	Madam Prime Minister, the health situation in our country seems to be improving and we welcome it all. That is why it was important to send a clear message about the next phase of deconfinement, the fourth stage already, which will begin on 1 July next. As you mentioned yesterday, despite the latest encouraging figures, we must remain vigilant because we are not immune to a new rebound in the epidemic and the virus is not harmless. We must continue to actively combat its spread. It is, of course, difficult to accurately predict how the health situation will change in the coming weeks and the answers are never simple because unfortunately they always have consequences for our daily lives. The measures that were communicated yesterday will allow us to take a little more advantage of life after such a difficult period - it must be said - during which we have all made a great deal of efforts to combat this virus. Even if caution is to be exercised, it is important that we be able, gradually, again to enjoy our freedom that we knew before the outbreak. The majority of the activities that have not yet been allowed, Madam Prime Minister, will therefore be allowed again in the coming days, and we are confident that the many established protocols will help combat a new resurgence of the virus and thus help to avoid a possible new wave. However, the protocols alone will not be enough to combat a new spread and we must continue to be cautious, each and every one of us. The rules to be followed are becoming less and less binding, and that is so much better, but it is imperative that we continue to follow them pragmatically and scrupulously. As part of the new step-by-step measures announced yesterday, Madam Prime Minister, could you give us more information about the protocols for mass events and more specifically the demonstrations? You said that wearing the mask was highly recommended but not mandatory, especially in shops. Could it become so in the coming weeks if the situation deteriorates?
