ParlaMint-BE_2020-10-01-55-plenair-ip057x.u1	The meeting was opened. The meeting is open.
ParlaMint-BE_2020-10-01-55-plenair-ip057x.u2	In accordance with the opinion of the Conference of Presidents of 30 September 2020, you have received a proposal to amend the agenda for today's meeting. In accordance with the opinion of the Conference of Presidents of 30 September 2020, you received a proposal to amend the agenda for today's sitting. Is there any comment on this? Are there any comments on this? Accordingly, the agenda was adopted. The agenda has therefore been adopted.
ParlaMint-BE_2020-10-01-55-plenair-ip057x.u3	Article 50 of the Constitution provides that "the member of one of the two Chambers, appointed by the King as Minister and accepting him, shall cease to sit and resume his term of office when he has been terminated by the King as Minister". Article 50 of the Constitution states that "A member of one of the two chambers appointed by the King as Minister and appointing him shall hold his office and resume his term of office when the King has ceased his office as Minister." Mr. Daniel Bacquelaine had resigned as Minister of Pensions, and he resumed his parliamentary term and Mr. Mathieu Bihet, who had been allowed to sit as an effective member of the House in place of Mr. Daniel Bacquelaine, ceased to sit and again became the first alternate in the electoral district of the province of Liège. Since Mr Daniel Bacquelaine resigned from his duties as Minister of Pensions, he resumed his parliamentary mandate. Mr Mathieu Bihet, who is a member of the Chamber in place of Mr Daniel Bacquelaine for the duration of his term of office, will sit and will be the first successor to Liège's constituency. I would like to thank Mr. Mathieu Bihet. I thank Mr Mathieu Bihet. Having resigned as Minister of Foreign Affairs and Defence, Mr. Philippe Goffin resumed his parliamentary term and Ms. Magali Dock, who had been admitted to serve as an effective member of the House in place of Mr. Philippe Goffin, ceased to sit and became second deputy in the electoral district of the province of Liège. As Mr Philippe Goffin resigned from his duties as Minister of Foreign Affairs and Defence, he resumed his parliamentary mandate. Mrs Magali Dock, who is a member of the Chamber in place of Mr Philippe Goffin for the duration of his term of office, will hold office and will be the second successor to the Liège constituency. I would like to thank Mrs Magali Dock. I thank Mrs Magali Dock. Ms Maggie De Block resigned from her post as Minister of Social Affairs and Public Health, and from Asylum and Migration, she resumed her parliamentary term and Mr Bram Delvaux, who had been admitted to serve as an effective member of the Chamber in place of Mrs Maggie De Block for the duration of her ministerial office, ceased to serve and again became the first alternate in the constituency of Flemish Brabant. As Ms Maggie De Block has resigned from her office as Minister of Social Affairs and Health, and Asylum and Migration, she resumes her parliamentary mandate. Mr Bram Delvaux, who is a member of the Chamber in place of Mrs Maggie De Bock as long as she is in office, is in office and will again be the first successor to the Flemish-Brabant constituency. I would like to thank Mr Bram Delvaux. I thank Mr Bram Delvaux. Mr. Denis Ducrame, who had resigned as Minister of the Middle Classes, Independents, SMEs, Agriculture, and Social Integration, in charge of the Big Cities, resumed his parliamentary mandate and Mr. Benoît Friart, who had been admitted to sit as an effective member of the House in place of Mr. Denis Ducrame for the duration of his ministerial duties, ceased to sit and re-appointed as the first alternate in the electoral district of the province of Hainaut. As Mr Denis Ducarme resigned from his post as Minister for Small and Medium-sized Enterprises, Self-employed, SMEs, Agriculture, and Social Integration, with responsibility for Large Cities, he resumed his parliamentary mandate. Mr Benoît Friart, acting as a member of the Chamber in place of Mr Denis Ducarme, held office for the duration of his term of office, and became the first successor to the Hainaut constituency. I would like to thank Mr. Benoît Friart. I thank Mr Benoît Friart. Mr. Koen Geens, having resigned as Deputy Prime Minister and Minister of Justice, in charge of the Régie des Bâtiments, and Minister for European Affairs, resumed his parliamentary term and Mr. Sammy Mahdi, who had been admitted to sit as an effective member of the Chamber in place of Mr. Koen Geens for the duration of his ministerial office, ceased to sit and again became the first alternate in the electoral district of Flemish Brabant. Since Mr Koen Geen has resigned from his duties as Deputy Prime Minister and Minister for Justice, with responsibility for the Directorate of Buildings, and Minister for European Affairs, he resumes his parliamentary mandate. Mr Sammy Mahdi, who sits as a member of the Chamber in place of Mr Koen Nonees as long as his office lasts, holds office and is again the first successor to the Flemish-Brabant constituency. I would like to thank Mr. Sammy Mahdi. I thank Mr Sammy Mahdi. Ms. Marie-Christine Marghem resigned as Minister of Energy, Environment and Sustainable Development and resumed her parliamentary term and Ms. Isabelle Galant, who was allowed to sit as an effective member of the House in place of Ms. Marie-Christine Marghem for the duration of her ministerial office, ceased to sit and became second deputy in the electoral district of the province of Hainaut. As Ms Marie-Christine Marghem resigned from her post as Minister of Energy, Environment and Sustainable Development, she resumed her parliamentary mandate. Ms Isabelle Galant, who is a member of the Chamber in place of Ms Marie-Christine Marghem for the duration of her term of office, will hold office and will again be the second successor to the Hainaut constituency. I would like to thank Mrs Isabelle Galant. I thank Mrs Isabelle Galant. Ms Nathalie Muylle, who had resigned from her post as Minister of Employment, Economy and Consumers, in charge of the fight against poverty, equality of opportunity and persons with disabilities, resumed her parliamentary mandate and Ms Bercy Slegers, who had been admitted to sit as an effective member of the Chamber in place of Ms Nathalie Muylle for the duration of her ministerial duties, ceased to sit and became second deputy in the electoral district of the province of Hainaut. As Ms Nathalie Muylle resigned from her duties as Minister for Employment, Economics and Consumers in charge of Combating Poverty, Equal Opportunities and Persons with Disabilities, she resumed her parliamentary mandate. Ms Bercy Slegers, who was a member of the Chamber in place of Ms Nathalie Muylle, held office for the duration of her term of office, and was re-inherited as second successor to the Hainaut constituency. I would like to thank Mrs Bercy Slegers. I thank Mrs Bercy Slegers.
ParlaMint-BE_2020-10-01-55-plenair-ip057x.u4	Article 50 of the Constitution provides that "the member of one of the two Chambers, appointed by the King as Minister and accepting him, shall cease to sit and resume his term of office when he has been terminated by the King as Minister". Article 50 of the Constitution states that "A member of one of the two chambers appointed by the King as Minister and appointing him shall hold his office and resume his term of office when the King has ceased his office as Minister." Article 1bis of the Act of 6 August 1931 establishing incompatibilities and prohibitions concerning ministers, former ministers and ministers of State, as well as members and former members of the Legislative Chambers provides that the member of the House of Representatives who ceases to sit as a result of his appointment as Minister or Secretary of State of the Federal Government or as a result of his election as Minister or Secretary of State of a Regional or Community Government shall be replaced by the first alternate in good order of the list on which he was elected. Article 1a of the Law of 6 August 1931 determining the incomparencies and disqualifications concerning ministers, former ministers and ministers of State, and the members and former members of the Legislative Chambers provides that a member of the Chamber of Representatives who ceases to sit as a result of his appointment as Minister or State Secretary of the Federal Government or his election as Minister or State Secretary of a Regional or Community Government shall be replaced by the first eligible successor to the list on which he was elected. We must therefore take the admission and swearing-in of these alternates. We must therefore proceed with the admission and swearing-in of those successors. These are the following alternates: - Ms Cécile Cornet, alternate of the ECOLO list of the electoral district of the province of Namur, replacing Mr Georges Gilkinet, - Mr Guillaume Defossé, alternate of the ECOLO list for the electoral district of Brussels-Capital, replacing Mrs Tinne Van der Straeten, - Ms Claire Hugon, alternate of the ECOLO list of the electoral district of Brussels-Capital, replacing Ms Zakia Khattabi, - Ms Leslie Leoni, deputy of the PS list of the electoral district of the province of Hainaut, replacing Ms Ludivine Dedonder, - Mr Bert Moyaers, alternate of the sp.a list of the electoral district of Limburg, replacing Mrs Meryame Kitir, - Mr Nicolas Parent, alternate of the ECOLO list for the electoral district of the province of Liège, replacing Mrs Sarah Schlitz, - Mr Jasper Pillen, alternate of the Open Vld list of the electoral district of West Flanders, replacing Mr Vincent Van Quickenborne. These are: - Ms Cécile Cornet, successor to the ECOLO list of the Namur constituency, in place of Mr Georges Gilkinet, - Mr Guillaume Defossé, successor to the ECOLO list of the Brussels-Capital constituency, in place of Mrs Tinne Van der Straeten, - Ms Claire Hugon, successor to the ECOLO list of the Brussels-Capital constituency, in place of Mrs Zakia Khattabi, - Ms Leslie Leoni, successor to the PS list of the Hainaut constituency, in place of Mrs Ludivine Dedonder, - Mr Bert Moyaers, successor to the Limburg constituency's sp.a list, in place of Mrs Meryame Kitrir, - Mr Nicolas Parent, successor to the ECOLO list of the Liège constituency, in place of Mrs Sarah Schlitz, - Mr Jasper Pillen, successor to the Open Vld list of the West Flanders constituency, in place of Mr Vincent Van Quickenborne. The credentials of these alternates were validated in our meeting on June 20, 2019. The credentials of these successors were declared valid at our meeting of 20 June 2019. Since the supplementary verification, provided for in article 235 of the Electoral Code, relates only to the preservation of the conditions of eligibility, it appears that this verification, in the light of the documents obtained, has only a character of purely formality. Since the additional examination provided for in Article 235 of the Code of Choice refers exclusively to the maintenance of the eligibility requirements, in the light of the documents obtained, it is a mere formality in the present circumstances. I therefore propose that you proceed to the admission of these substitutes to serve as a member of the House of Representatives in place of the members appointed by the King as ministers or secretaries of State and during their term of office. I therefore propose that these successors be allowed to sit as members of the Chamber of Representatives in place of the members appointed by the King as minister or secretary of state and for as long as the term of office of the President of Parliament lasts. No observation? [[No]] That will be the case. Are you sure you don't mind? [[No.]] It is thus decided. I would point out that the members elected by the electoral colleges in the French-speaking region are members of the French linguistic group and the members elected by the electoral colleges in the Dutch-speaking region are members of the Dutch linguistic group. I would remind you that the members chosen by the electoral colleges belonging to the French language area are part of the French language group and that the members chosen by the electoral colleges belonging to the Dutch language area are part of the Dutch language group. I would point out that the Members elected by the electoral college of the arrondissement of Brussels are members of either the French linguistic group or the Dutch linguistic group of the Chamber, depending on whether they take an oath in French or Dutch. If the oath is taken in several languages, the one used in the first place is decisive. I would remind you that the elected representatives of the people of the Brussels district are part of the Dutch or French language group of the Chamber, depending on whether they take the oath in Dutch or in French. If the oath is taken in several languages, the language in which it was first taken is decisive. Je rappelle les termes du serment: "Je jure d'observer la Constitution" "I swear to comply with the Constitution" "Ich schwöre die Verfassung zu befolgen." I recall the words of the oath: "I swear to comply with the Constitution" "Your judge d'observer la Constitution" "Ich schwöre die Verfassung zu befolgen." I ask Mrs Cécile Cornet to take the constitutional oath. I would ask Mrs Cécile Cornet to take the constitutional oath.
ParlaMint-BE_2020-10-01-55-plenair-ip057x.u5	Ms. Cécile Cornet will be a member of the French language group. Mrs Cécile Cornet will be part of the French language group. I ask Mr. Guillaume Defossé to take the constitutional oath. I would ask Mr Guillaume Defossé to take the constitutional oath.
ParlaMint-BE_2020-10-01-55-plenair-ip057x.u6	Mr. Guillaume Defossé will be part of the French linguistic group. Mr Guillaume Defossé will be part of the French language group. I ask Ms. Claire Hugon to take the constitutional oath. I would ask Mrs Claire Hugon to take the constitutional oath.
ParlaMint-BE_2020-10-01-55-plenair-ip057x.u7	Claire Hugon will be a member of the French linguistic group. Mrs Claire Hugon will be part of the French language group. I ask Mrs Leslie Leoni to take the constitutional oath. I would ask Mrs Leslie Leoni to take the constitutional oath.
ParlaMint-BE_2020-10-01-55-plenair-ip057x.u8	Leslie Leoni will be a member of the French language group. Mrs Leslie Leoni will be part of the French language group. I ask Mr. Bert Moyaers to take the constitutional oath. I would ask Mr Bert Moyaers to take the constitutional oath.
ParlaMint-BE_2020-10-01-55-plenair-ip057x.u9	Mr Bert Moyaers will be a member of the Dutch language group. Mr Bert Moyaers will be part of the Dutch language group. I ask Mr. Nicolas Parent to take the constitutional oath. I would ask Mr Nicolas Parent to take the constitutional oath.
ParlaMint-BE_2020-10-01-55-plenair-ip057x.u10	Mr. Nicolas Parent will be a member of the French linguistic group. Mr Nicolas Parent will be part of the French language group. I ask Mr. Jasper Pillen to take the constitutional oath. I would ask Mr Jasper Pillen to take the constitutional oath.
ParlaMint-BE_2020-10-01-55-plenair-ip057x.u11	Mr. Jasper Pillen will be a member of the Dutch language group. Mr Jasper Pillen will be part of the Dutch language group.
