tbmm-2018-07-13sit01spe0001par0001	I am opening the 5th Union of the Grand National Assembly of Turkey and taking 30 minutes off.
tbmm-2018-07-13sit02spe0001par0001	Congressmans, I am opening the Second Session of the 5th Union of the Turkish Grand National Assembly. I'm taking a 15-minute break.
tbmm-2018-07-13sit03spe0001par0001	I open the Third Session of Turkey's 5th Union of the Grand National Assembly. No breaks this time. The presidency has presentations to the General Assembly. The Good PARTI Group has a proposal in accordance with Article 19 of the Civil Code, which I shall have read and process and submit to your votes. Turkey to the chairman of the Grand National Assembly Due to the lack of agreement at the Council's meeting on July 13, 2018, I would like to move that the following proposal be taken into consideration. GOOD PARTY Group Vice President We propose that the number of presidential courts be raised to 23. Ladies and gentlemen, before we discuss the group proposal, I'd like to share my views on the new term with the members of parliament in a few sentences. In the 27th century, Turkey wishes our Great National Assembly good luck for our MPs, for our nation, and for all of our MPs, I wish them a successful time. This period has different properties. For the first time this period, the presidential election and parliamentary elections were held together in the elections held on June 24th, along with the administration system adopted by the Constitutional Amendment on April 16, 2017, and the 27th Assembly held. With the change of the management system, it is essentially established in the polls that the president will run the country for the next five years, elected by the votes of our citizens. Likewise, the election of you valued lawmakers, who will carry out the mandate of legislation and supervision, was carried out on the same day. During the new period, our Grand National Assembly of Turkey faces important tasks. According to the feature of the new era, legislature will now be offered by lawmakers outside the annual budget law bill, and law enforcement will be held in parliament, which will be discussed by the General Assembly in the commissions. Of course, one of the important things about our new coven is that it has provided as much justice as possible in representation. 97 percent of voters are represented in this Parliament; this is a good result. I believe this will contribute positively to the activities of the law. I sincerely believe that in the process of working in the process of meeting the expectations of our parliament in the new era, both in lawmaking and in control activities, and in the meeting of society's expectations on all matters, there will be some ramifications, some practices. I think it would be very appropriate for the party groups, the group managers, to work in mutual understanding and consultation to ensure that our Parliament works as efficiently as possible. As Speaker of Parliament, I will endeavor to develop a understanding of governance based on compromise with all party groups. Yes, our new era says good luck again, and I wish our new coven success, and I thank you. [[AK PARTY and CHP A round of applause]] Before discussing the group proposal, Republican People's Party Deputy Chairman Engin Altay asked for a statement. Here you are, Mr. Engin.
tbmm-2018-07-13sit03spe0002par0029	Mr. President, good luck.
tbmm-2018-07-13sit03spe0001par0030	Thank you.
tbmm-2018-07-13sit03spe0002par0031	With the elections held yesterday, you were elected President of the Grand National Assembly of Turkey. While being a member of the first party of the Turkish Grand National Assembly, which you have served for years, which is now the first party of the Great National Assembly of Turkey, it is our desire, our hope and hope that you, not only as Parliament Speaker of the EC PARTY, but as all of us, as Speaker of Parliament. In this framework, as someone who knows you very well, I must say that while your tolerant attitude and attitude add color to the Parliament's work, as politics is a matter of discussion and debate, I hope and hope that we will have more time to negotiate than debate in the new era. The Grand National Assembly of Turkey, which you will find frequently every day after its deployment, has administrative and structural issues, setbacks and aspects. That's how it starts. I'm sure in the next five years of the House's work, the more efficient use of time, the more efficient use of the Assembly with its buildings, with its attachments. Without a doubt, as head of the legislature, the legislature, as well as yours, you will remain loyal to the Constitution, and to the Grand National Assembly of Turkey, and to watch for the work of this mission and Parliament to be carried out. In advance of this, I would like to say that we would like to believe and rely on you at the point where the laws imposed within the law of the State of Emergency, which is clearly written in the Civil Code, can be discussed within 30 days as soon as possible in the Grand National Assembly of Turkey. At the same time, the President's decrees must carefully evaluate the points of conflict, conflict with the current laws, as well as the chairman of the Grand National Assembly of Turkey -- of course we will -- with an extremely experienced professional staff. As the Republican People's Party, we will demonstrate a constructive, stimulating, sincere but effective opposition to Turkey in the new era. The separation of forces, high standard democracy and strong economy will be the new priority of the Republican People's Party. We sincerely and sincerely wish you success. May God help this country and this nation, sir. Thank you.
tbmm-2018-07-13sit03spe0003par0039	Thank you, Mr. Altay. Yeah, we're gonna move on to group advice now. The proposal is from the MP of Kopeeli, the President of the Group Lütfü Türkkan. Here you go, Mr. Turkkan. Your time is five minutes.
tbmm-2018-07-13sit03spe0004par0047	Mr. President, dear lawmakers, first of all, I'd like to start by wishing that the Parliamentary General Assembly, which was the first meeting in your presidency today, would be a means of good service to our nation. You're a politician known in society as a compromiser. However, there is one other thing to consider: I would like to ask you specifically not to compromise justice, justice, and the merits of the existing law when trying to reconcile and compromise. Mr. President, we're here today to discuss the recommendations of groups regarding the Presidential Court in Parliament, an assessment has been made here. In the assessment, calculations on the representation of parties in the Presidential Court have been taken into account for 16 years, while the Parliament Speaker has been counted inside the Parliamentary Presidential Court, while today the calculation has been miscalculated for 16 years, while the Speaker of Parliament must be excluded from this calculation. What is the reason for this? The Parliament elects the Speaker, elects the other members of the Council amongst its own groups. As a result of 16 years of this practice, it has been possible to represent the PARTI with two MPs in the Court, while it has been possible to go to such a computational court and represent it with only one member of parliament. I've just stated here that our respect for your compromise identity is undaunted, but as a result, your compromise should not cause a loss of rights. So I want to make it very clear that this computational system has not been accepted by us, that we have, again, absolutely, and absolutely no objection to this. Another thing, Mr. President, is that when we look at the lists of parliamentary distributions on commissions, the number of parliamentary representatives of commissions established according to the Constitution is legally represented. The number of MPs to participate in some of the commissions abroad is the figures that have developed outside Turkey; we have no objection to them. However, the Justice and Development Party has now reduced the number of previous Plan Budget Commissions to a system of its own. You know what's underneath all of this: friends, I will do it, you will obey it. This system is not the right system. Look, if we walk into a place like this from day one, it won't be right. We'll all be in trouble. Is there no law proposal for you to apply for the game? DO you have any suggestions that you might feel compelled to act with the good PARTY? It's definitely gonna happen, and you know it, and I know it. We've asked for an alliance with the Council of Counsellors today, including our request, that all proposals come with a joint decision from the Council of Counsellors, not even the slightest group's recommendation. It was the right thing to do. It would have been fitting for this Parliament, which was the head of Mr. Bulali Yıldırım, to be able to do so today, unfortunately, because of that quality of yours which I have just expressed, but with the wrong application, we can't give one of our members on the Court there. Last semester, the number 23 was reduced to 20. Why? That's what we wanted... Friends, if you maintain a system like this, there may be no need for this Parliament, so you will become invalids. Where there are no lawmakers, it is not only invalid, but the Republican People's Party or the National Movement Party or the Justice and Development Party or the Peoples' Democratic Party as well as the entire parliamentary legislatures. [[Microphone turned off by automatic device]] If you'll excuse me, Mr. President, I'm tidying up.
tbmm-2018-07-13sit03spe0005par0057	Yes, please wrap it up...
tbmm-2018-07-13sit03spe0004par0058	Thus, a parliamentary assembly, which is invalid, will have little to offer to this community. Little by little, we move fast towards the system we're afraid of. I'd like to bring this to your attention. My respects.
tbmm-2018-07-13sit03spe0006par0062	Yes, thank you. On behalf of the People's Democratic Party about the group's proposal, Deputy Group Chairman Ayhan Bilgen. Here you go, Mr. Bilgen. [[Applause from HDP rows]] Your time is three minutes.
tbmm-2018-07-13sit03spe0007par0067	Mr. President, the valued MPs, of course, were expected from the political institution, when Turkey had such serious problems, to at least not start with the discussion of how many MPs would fall on the Court here. We were expected to work urgently, fill our first working hours, our hours, in terms of the train crash, child abuse, that we could all agree on, that we could all agree on, that we could co-operate. But I think the way that we can manifest constructive opposition is that the government listens to our righteous criticisms, and of course, it does not reject the issues we object to, and it also stands up for our positive suggestions. This will facilitate our constructive opposition. This painting also requires the responsibility of politics to set a good example for society. Here it serves nothing but constant strife, constant debate, polemics, tension in society, and growing camping. Dear friends, by justice, the Court represents the number of trustees. We're not after numbers. We have nothing to lose, we are prepared to stand by what is fair, but we are willing to reduce the situation from 23 to 20, if the victim is the only party, we will never find it principlely correct. We find the motion positive for him, but we stand by a principled attitude when we do this math. Dear friends, there's a very clear method of computing that we showed our children in middle school in math class called OKEK-OBEB. Sciences are an account for those who remember math lessons. You take the smallest of the common multiples, or the largest of the common divisors, you constant a number -- this could be 20, 30, 35, 40, whatever you're basing on -- and on top of that, each group's representation on the Court is equivalent to that. So we're offering full justice. We don't find it moral to drop desk accounts, especially a party, especially the efforts to increase a party. We're willing to separate what should be done with what's going to happen, whether or not the Speaker should be involved in these accounts. It's a miscalculation in recent years, so let's just hand it over here. If the Speaker's constitutional position and his position within parliament is neutrality, then the Speaker of Parliament must act accordingly. As we do the numbers, we need to develop the attitude that this requires, the way that it should be, together. I salute the General Assembly.
tbmm-2018-07-13sit03spe0008par0073	Thank you. Any other requests? No. Now, I propose to your votes that those who don't accept... those who don't... the motion is not accepted. The Republican People's Party Group has a proposal given according to the 19th Amendment, which I will now read and process and submit to your votes: Turkey to the chairman of the Grand National Assembly Since there is no unanimous vote among political party groups at the advisory council's meeting Friday (13/7/2018), I respectfully submit our group's proposal to the approval of the General Assembly under the 19th Amendment. On Sunday (July 15th) at 13 p.m. of the Grand National Assembly of TBMM. A special meeting was held on July 15th to determine the meaning and significance of the Day of Democracy and the National Union, where the talks would be promised to the heads of the political party group for ten minutes, and they were advised not to discuss any other issues in this merger.
tbmm-2018-07-13sit03spe0009par0086	Mr. President, I have a request for a minute.
tbmm-2018-07-13sit03spe0008par0087	I saw it, I saw it, I'll judge it. Mr. Engin Altay will speak on behalf of the proposed Republican People's Party Group to explain the reason for the proposal. Here you go. [[Applause from CHP rows]] Your time is five minutes.
tbmm-2018-07-13sit03spe0010par0092	Thank you, Mr. President. I salute you and the Grand General Assembly. Mr. President, our proposal is clear, clear. Two years ago, on July 15th, there was an attempt on our House and on our democracy. Now, I'm not going to do the accounting for this, and I'm not going to say that you were good at it, and then you were bad at it, but this is Parliament, and this is the Grand National Assembly of Turkey, and this is an attempt on the Grand National Assembly of Turkey before Erdogan, and that's the way to look at it. As a matter of fact, the first people to come to the House that night -- of course there were friends from the AK PARTY -- are Republican People's Party friends and...
tbmm-2018-07-13sit03spe0011par0094	Nationalist Movement Party...
tbmm-2018-07-13sit03spe0010par0095	Of course, of course. I don't know why some of your friends feel like it's a good thing this July 15th happened. Yes, our problem is that in the 2nd year of July 15th, while the irons in the pillars of the Assembly were still exposed, the suffering of our 251 coup martyrs were still unresolved, and there were not yet 251 July 15th martyrs -- the political foot of this damned, traitorous coup -- what if we were to show Turkey and the world that there were eight political parties here, while the bones of five political party groups and three non-group political party representatives who had been struck were still intact? We will open the assembly, we will open the assembly to the people. The people are already coming to the parliament, so let them have some of the unnecessary security things, so that they can be more comfortable. We'll give the people a return in Parliament. On the anniversary of the coup, there's nothing funny, weird, freaky, ridiculous like setting up a front desk in the Capitol. So you're making fun of these people -- I don't mean you -- you're making fun of them? Naturally, I mean the executives of the first party.
tbmm-2018-07-13sit03spe0012par0097	Maybe you're passing through.
tbmm-2018-07-13sit03spe0010par0098	Congressmans, let's get a grip. We've been through a coup, we've been through a total resistance, and now, on the anniversary of the coup, it's a strange, freaky thing to give people over rice in the garden of Congress. Don't do that, don't do that. If you don't open the General Assembly, don't open it, but don't do such a thing. What a shame! Now, when this started on February 7th, with the operation against the Undersecretary of the MIT, I wish it would have been less than a while -- if you had come to consult with the opposition parties that day before making law for the Undersecretary of the MIT, there were things you didn't know, which you didn't know, and that's why we need this law urgent.
tbmm-2018-07-13sit03spe0013par0100	We already told you! We told you, you said no.
tbmm-2018-07-13sit03spe0010par0101	December 17th-25th is a separate job. Just because the coupters disclosed it doesn't mean that some AK PARTY politicians were innocent on December 17th or 25th. If they're innocent, why are they gone? Why did you end their political lives? If they're not, then I wish you'd come talk to the Republican People's Party, the HDP, the National Movement Party. It wouldn't have been July 15th, I swear it wouldn't have happened, if we'd all seen the danger there together. And I say again, just in case we predict this blow and feel it, the world will throw us a ball if we get as many judges from the General Staff as we do now, from the courthouse, from the HSK, from the Supreme Court. Let's see, let's see, let's see, let's get them on the move, and let's nail them like that. The logic is not right. [[There's no such thing as AK PARTY.]] Yeah, yeah, yeah. [[Noises from the AK PARTY]] Sir, we'll talk. Let the government of that day come and we'll talk about it on any television they want. Oh, come on, be honest. Look, it's a friendly, constructive... [[Noises from the AK PARTY]] [[Microphone turned off by automatic device]] Yeah, that's right.
tbmm-2018-07-13sit03spe0014par0109	Yes, Mr. Altay...
tbmm-2018-07-13sit03spe0010par0110	Mr. President, I have one more thing to say. I'm picking it up, sir.
tbmm-2018-07-13sit03spe0014par0111	Mr. Altay, I'll give you one more minute. Pack it up, please.
