ParlaMint-NO_2009-06-08.ana.ud2315e98	The representative Karin S. Woldseth, who has been licensed, has again taken the seat.
ParlaMint-NO_2009-06-08.ana.ud2315e107	The President proposes that three presidents be elected for the Stortinges meetings today and for the rest of the current week – and considers it adopted. The President will propose Sigvald Oppebøen Hansen, Sven Roald Hansen and Per Rune Henriksen. – Other proposals are not available, and Sigvald Oppebøen Hansen, Svein Roald Hansen and Per Rune Henriksen are unanimously elected presidents for this week’s meetings in Stortinget.
ParlaMint-NO_2009-06-08.ana.ud2315e117	Before the matters on today's map are dealt with, the President will propose that the evening meeting be set at 1 p.m. 17. – No objection has been raised, and it is deemed to have been adopted. At the request of the Financial Committee, the President will propose that cases be brought before the Court of Justice of the European Communities. 1 and 2 are dealt with as a whole – and consider it adopted.
ParlaMint-NO_2009-06-08.ana.ud2315e148	At the request of the Financial Committee, the President will propose that the debate be limited to 1 hour and 25 minutes and that the speaking time be allocated to the groups as follows: Work Party 30 minutes, Progress Party 20 minutes, Right 10 minutes, Socialist Left Party 10 minutes, Christian People's Party 5 minutes, Center Party 5 minutes and Left 5 minutes. Furthermore, the President will propose that there be a replication of up to three lines with replies after the speeches of the main speakers of each party group and five lines with replies after the contributions of members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2009-06-08.ana.ud2315e159	So depending on this hall is on the yield of the fund we're discussing here today, the hall should be more full than it is, but that's the way it is. This is going to be a matter that nevertheless has the importance it deserves. I would say that this might be one of the most important documents of the year that this room is discussing, precisely because it has a great impact on our government finances, and because there is increasing attention to how this fund operates, also from areas beyond our own borders. I want to give the government credit for having now begun to present this as a separate message. It provides a good basis for a broad discussion in the Stortinge on the fund's objectives, and not least to reflect on what happened in the last year. If we take it backwards, it is clear that 2008 became a very special year also for the State pension fund, with a significant loss – if not realised, then on paper – of course in line with the general international economic development, which also affected the management of this fund in 2008. It's easy to catch up for one year at a time in these kinds of cases. There is reason to recall that both returns and risks need to be seen in a long-term perspective, even when discussing the loss of the year last year — unrealised losses. It must also be possible in the future in relation to the framework that that pension fund should have for its investments. Let me commend the Government for choosing to go into a separate environmental investment programme. It is in line with what the Christian People's Party promoted two years ago in its own Document No. Eight proposals. There we also promoted a proposal that we should withdraw from investment in tobacco production. It has also been followed up by the Government. We are very pleased with that. So you'll see from the point of view that the Christian People's Party proposes the establishment of an investment programme for investments in companies in developing countries, and the majority are positive about this in comments. We're happy about that. I also notice that when he comes to Norway this week, it is one of the themes of the World Bank leader: how to use this type of fund also to invest in developing countries without losing sight of the fact that there should also be a return on that type of investment, in line with the framework programme and the framework for the management of our fund. So finally from my page a few words about the result for 2008. It is weak, of course, in line with the international economic cycle we have had in 2008. But what's another moment, which we can't come from, is that the so-called active management of the fund has given an extra loss of NOK 88 billion compared to the reference index it's measured against. So, if you had a so-called passive management, the loss you didn't realize, fortunately, would be $88 billion less. I also feel that the Government considers this to be so serious that it will assess, as it is called, the entire active administration and bring a case of its own to the Stortinget during 2010. The opposition wants to move forward a little bit faster. We would like to have the matter presented during this year. We will also minimise the active management as far as is practicable until such an overall evaluation is carried out. I fully agree that this is not something you do ad hoc. This is to be taken seriously. But it is a serious cross of thought, not least because this fund must have great legitimacy in the population. Then it is important to have a framework and an investment philosophy that also reflects the fact. Five minutes is too short. I take up the suggestions that the Christian People's Party has alone, and that we have with other parties. In addition, I would like to inform you that we support the minority's proposal in case No. 2nd@item: inlistbox
ParlaMint-NO_2009-06-08.ana.ud2315e180	The representative Hans Olav Syversen has taken up the suggestions he made. It's going to be line change.
ParlaMint-NO_2009-06-08.ana.ud2315e185	The Christian People's Party promotes a proposal in which they ask the Government to initiate its own assessment of the activities of companies in Congo, assessed against the ethical guidelines of the State Pension Fund - Foreign. The theme addressed by the Christian People's Party is important. However, the proposal concerns a major theme, and it is the activity of companies in conflict zones. Would it not be more appropriate to deal with it by starting a general review, which could provide a good basis for assessing different situations against? Would we not risk making assessments less consistent on a case-by-case basis if individual situations were to be assessed on a more ad hoc basis on an ongoing basis? Wouldn't we also be able to risk that such a procedure would provide little guidance and not least little learning in other matters?
ParlaMint-NO_2009-06-08.ana.ud2315e190	Some of the background to the proposal is that earlier this year the Council of State asked the Council which assesses such ethical issues to go separately into companies linked to the Middle East. At the same time, we know that the conflict that unfolds in Congo is of such a nature that it is the raw materials that are the subject of many of the conflict issues. There may therefore be good reason to fear that international companies, which can also invest in the fund, have significant interests in them and can contribute to the deterioration of this conflict. That is why, in our opinion, there can be a basis for going directly into that conflict area, just as the Government has asked in relation to the Middle East, but in general I agree that this should be done on a general basis. But there is, as the Government has also found out, reason for exceptions in some cases.
ParlaMint-NO_2009-06-08.ana.ud2315e195	I would like to thank the rapporteur for doing a good and thorough job on this big message. I would also like to thank you for a good cooperation, which I believe has led to a good result also in connection with this big business communication. It is quite right, as the Christian People's Party says, that in the context of the policy on the management of the State pension fund and the ethical guidelines, SV and the Christian People's Party have been united. It's quite right, as the Christian People's Party says, that in the process of the Great Britain, which we now receive annually, we have made sure to record the recordings that have come from organizations and other environments to make sure that it is discussed further. I think that is a good way to involve democratic forces in Norway, so that we get the best possible management. My question is: Does the Christian People's Party agree that in the case of the administration of the State Pension Fund, the Christian People's Party is significantly closer to the Advance Party, which has divergent views almost across the line.
ParlaMint-NO_2009-06-08.ana.ud2315e204	I wondered when the question would come. To put it that way, I think it was liberating finally to have a line change with the representative Holmås without the word ‘cash support’ being mentioned once. There were many points of light in this line from the representative Holmås' side. I can only confirm that I feel a strong relationship between the Christian People's Party and the SV in relation to the management of a fund, because we do it on behalf of the population. This is not any investment program that you run at random. This requires great legitimacy in the population. That is why I am pleased that there is so much agreement in the setting. I would also like to say that it has been possible to get some adjustments from the majority during the work on the position. Since the representative Holmås mentioned the word democracy, I also think it is worth thinking about in this connection, that it has actually been possible to get something across blocks. In fact, in the case of the Progress Party, they were difficult for the ethical guidelines in their time. Maybe that time will come again. Who knows?
ParlaMint-NO_2009-06-08.ana.ud2315e215	Several have not asked for the word for a line.
