ParlaMint-NO_2009-03-16-lower.ana.ud671e47	No one has asked for the floor on case No. 1st@item: inlistbox [[Footing, see page 355]]
ParlaMint-NO_2009-03-16-lower.ana.ud671e63	At the request of the Health and Welfare Committee, the President will propose that speaking time be limited to 5 minutes for each group and 5 minutes for the Council of State. In addition, the President will propose that there be three replies from members of the Government within the allocated speaking time. In addition, it is proposed that those on the list of speakers, in addition to the time allocated, should have a speaking time of up to 3 minutes. - It's a note.
ParlaMint-NO_2009-03-16-lower.ana.ud671e72	There has been no heated debate on this bill, which deals with the prohibition of the visible presentation of tobacco products and smoking equipment. We think it has a pretty simple explanation – just that time has worked for it. The Smoking Act is a fact. It has now worked for several years, and the few will have the smoke back in the cafes, restaurants or meeting rooms, even if you were against the law. For most, the amendments to the Tobacco Injury Act will be a natural follow-up and a continuation to prevent health damage to tobacco. Some of the background to the proposal is the Government’s national tobacco prevention strategy 2006–2010. There is the goal of halving the number of young people smoking within five years, and the increase in snuff use is halting. These intentions must be difficult to resist. That's not the majority either. The majority of the Committee is of the opinion that we should use all means to prevent people from becoming ill with tobacco. With this amendment, the majority believe that we also follow the international trends, where the search light is on tobacco and health. This legislative amendment does not prevent adults from buying tobacco. The number of outlets and the range of tobacco products remain unchanged. It is quite common now that at least in grocery stores you buy tobacco cards and pick up your tobacco from the vending machine. This is a simple way that is accepted by most people. This type of machine is also not affected by the amendment of the law. Hearing replies show broad disintegration in the prevention of health damage to tobacco products. On the other hand, the hearing bodies have been divided as regards the realities of the proposal, namely to prohibit the visible presentation of tobacco products and equipment. It is easy to understand that those who oppose the legislative proposal are essentially hearing bodies from the tobacco and commercial industries. However, the majority consider that it is not appropriate to take account of these considerations rather than preventing damage and preventing smoking start-ups and helping those who have quit smoking. We believe, like the Department, that the visible representation of tobacco constitutes a not insignificant purchasing influence. I guess that's the kind of tobacco we're tempted to buy with a lot of other things. The majority support the Ministry's assessment that the amendment does not have to impose high costs on outlets. There is disagreement in the Committee on this matter. The disagreement may be expressed by the representatives of the various parties.
ParlaMint-NO_2009-03-16-lower.ana.ud671e89	First of all, I would like to stress that everyone involved in the debate today has a desire to limit the adverse effects of tobacco from a public health perspective. However, when there is a desire to limit the adverse effects of tobacco and smoking, it should be assumed that it can be demonstrated that the changes proposed act as measures to reduce the use of tobacco. This is not the case in this case. When you go to such a far-reaching step as to prohibit or to make invisible goods legally negotiable to people over 18 years of age – as tobacco products are – there should be, and should, in my view, there be evidence that making the goods invisible actually has a public health effect, that it actually brings a benefit through less smoking. Experience from other countries that have implemented a ban on the visible presentation of tobacco products, such as in Iceland or parts of Canada, cannot show any significant decrease in the sales of tobacco products, despite the fact that tobacco products have been ‘not visible’ for many years. On the contrary, it is that you are at the same level as you were before you imposed such an order. It is therefore easy to see that it is the global trends that have the greatest influence on smoking habits in the world, and not this type of ban that is proposed here. It is surprising, on the one hand, that in Norway, with today’s government, we have a debate about distributing free heroin to drug addicts, while on the other hand we want to ban the visible presentation of tobacco products in shops. It is also clear that there is an ongoing debate linked to the ban on the sale of smoke in petrol stations and kiosks, and it becomes a paradox that at this stage conversions are required at a cost of around NOK 30000 per person. point of sale, so as to subsequently prohibit their ability to sell these goods. That's going to be a double cost. On the other hand, experience from those countries which have introduced a ban shows that the sale of tobacco products is decreasing among the small players and is increasing among the large ones. We get a monopolistic of sales. This does not speak well for the local store or for the nearby kitchen to survive. It is surprising that in this case the competitive consequences have not been assessed, in addition to the fact that the case has been at an EEA hearing. The competition between the different products and between the different shops has therefore not been assessed. I will again warn strongly against the negative consequences this gets for stores in the districts. On the other hand, the state should define and control specialist shops in terms of their range of goods. The State shall verify that specialised tobacco goods shops are not to have a range of products which are to attract customers other than those who are to buy tobacco products. Where's the tobacco police frontier going? Is that so that ice is permitted and prohibited by Coca-Cola? It is also clear that equality between tobacco and snuff is not rooted in research into health damage to tobacco products. Snus is also not a nuisance for others, but the product must nevertheless be hidden away. The Progress Party wishes to maintain today's smoking law with one exception. Smokers already feel stigmatized today. Today's proposal will not improve the situation. But if you give an opening so that it can be smoked in unserved smoking rooms where there is no discomfort to anyone other than those who voluntarily uses such rooms, and where there is no smoking out to neighboring rooms, in our part of the world with many minus degrees and poor weather, it will be a good offer to those who already depend on nicotine or tobacco products. For they exist, and they exist in large groups, and we as society also need to make sure that they can have acceptable solutions that counteract the stigmatisation of a large group of people. I take up the proposals of the Advance Party.
ParlaMint-NO_2009-03-16-lower.ana.ud671e108	The representative Jan-Henrik Fredriksen has drawn up the proposal he referred to.
ParlaMint-NO_2009-03-16-lower.ana.ud671e111	On the right, we support the intentions of the proposal to reduce health damage related to tobacco use. There is no doubt that this represents a significant health risk and is a significant cause of disease and early death. This was also the reason why the Co-operation Administration proposed a ban on smoking in service facilities, which was endorsed by the Storting. We record that this has been among the most effective measures to reduce health damage related to smoking, and that the ban has greatly affected the population. It is also a pleasure to record that fewer than before are starting to smoke. However, when we are going to introduce regulations and restrictions, it must be clear that these produce an effect that compensates for the disadvantages of such regulation. Otherwise, health measures may appear more like symbolism policies and moralisation, which hardly reinforces policy uptake. We cannot see from the Right that there is sufficient evidence that the ban on the visible presentation of tobacco products will be effective in reducing smoking. We have also noticed that countries like New Zealand are not in favour of this measure, precisely referring to the lack of evidence of its effectiveness. A total ban on advertising of tobacco products has already been introduced to ensure that harmful tobacco products are not placed on the market. At the same time, a prohibition of visible presentation would involve costs and costs for the trading industry. It does not appear reasonable to impose such disadvantages on business as long as it is unclear whether this brings health benefits. In view of this, the members of the Right will vote against the proposals for amendments to Section 5 of the Tobacco Injury Act which prohibit the visible presentation of tobacco and smoking equipment.
ParlaMint-NO_2009-03-16-lower.ana.ud671e122	It is not necessary to extend this debate so much, because the parties of government stand together here. I think it is interesting with the considerations of the Progress Party and Jan-Henrik Fredriksen. So here you support the law as it has been, but not as it should be, when you treated the law last, you were completely against it. The progress has been notorious against the smoking law. When one sees that one has previously had a law back to 1973 on tobacco damage protection, when it was banned with advertising as such, there have been many steps on the way to where we have come today, and for every step the Progress Party has gone against, so in retrospect to rely on what was, but not on what is coming. Fredriksen calls for results before he will be able to support this proposal, just as the Progress Party says that climate change has not been proven, and therefore cannot defend action against it until it is finally proven. It is, of course, a position that will lead to the disaster of climate change, but which also has major ring-fences in this area for public health in general, because the signs are so clear that access to advertising in different countries affects sales of products. Similarly, when it acts as an advertisement with exhibitions in shops, it also promotes the sale of products. There has been a very happy development over several years that smoking in the population has declined. There has been a significant decline, not least among young people. But that has not happened because, but despite the attitude of the Progress Party towards what scientists have said, and the advice they have given us politicians to improve public health and reduce smoking in the population.
ParlaMint-NO_2009-03-16-lower.ana.ud671e133	Knowing the serious adverse effects of tobacco, it is necessary to look at measures that can reduce consumption. According to the World Health Organisation, smoking is second place on the world’s most common causes of death. The Christian People's Party therefore welcomes the Government's proposal to prohibit the visible presentation of tobacco products. It is equally disappointing to see the receipt of the proposal received in the other opposition parties. The proposal for the Progress Party to open up the use of unattended smoking rooms is even a step backwards in tobacco prevention work. Here it's not just about braking, it's about putting in reverses. There was a majority in the 2009 state budget’s position to introduce health warnings on smoking packages using images, as is done in a number of countries around the world, including Spain and Portugal. in Canada. Studies show that the more eye-catching health marking of smoking packages is, the more effective it is affecting the behaviour of smokers, such as considering stopping smoking, considering the health risks of smoking and simply not taking a smoke. I hope and expect the Minister of Health to be fully in the process of following up this majority comment from the Committee.
ParlaMint-NO_2009-03-16-lower.ana.ud671e144	The left, of course, agrees that smoking is very harmful and that the health risks of smoking are well known. Smoking is an important single factor that can be prevented, with the greatest impact on the individual’s health status. There are many thousands of deaths from smoking-related diseases in Norway, and there are some deaths from passive smoking. Of course, this is serious. I read on page 4 of the settings that include: the government party believes that it is important ‘to use all possible means in the fight against more people becoming ill and dying as a result of smoking’. So now the smoke packages are going under the disk. When we don't stare at this, it's because we in the Left, as others have said before me today, don't think it has any effect. We also thought that there would be a limit one place. I want to grasp this wording again from among others. the government party, the plurality, to use ‘all possible means’. We are all some of the people that smoking is harmful, and that smoking should be limited from a public health perspective, but ‘all possible means’ – what does that mean? What kind of other measures does the Government consider everyone to live as long as possible and die as healthy as possible? We can start by banning sugar and hiding alcohol under the counter, lowering the speed limit to 60 km per hour and banning all risk sports, mountain climbing. Then we can forbid children to play and climb for three. Life is a risk, and we can't ban everything that's harmful to health, everything we're afraid of, or take away the risk of any potential danger that exists in people's lives. I think the dream of the perfect greeting also creates problems. Applying a pressure of expectation can in itself be harmful and probably cause many mental problems. I saw it at the head of this context, of course, because we in the Left have begun to get enough of the guardian state, which is going to regulate all aspects of people's lives and take responsibility for how they will live. We know that smoke is harmful. We want to facilitate a lot of different measures to improve people's health, but we don't like the state to bring people up to the perfect life. I mean, it's a mockery relative to the rest of the world, where people don't have any chance of living in such a cotton wrapped reality that we surround ourselves with. How healthy are we going to be in Norway compared to the rest of the world? We have problems in Norway, too. We have addicts who get too bad treatment. We have a lot of sick elderly people who should have a sick place, but don't get it. This is where we should step up our efforts and not discuss where the smoke packages are going to be placed in stores. After the Left's view, we're now getting a regime when it comes to people's health, where the state becomes more and more a model in our lives, where the goal is what's a good life or the perfect health. If we let the state and the health care community become a model for how life should live, I believe we achieve the opposite, that people become passive and unable to take responsibility for their own lives. A point: Maybe they're so worried about the pressure that they refuse to quit smoking. So if there is anyone in doubt, the Left, along with the Right and the Advance Party, opposes the proposal for Section 5 of the new bill.
ParlaMint-NO_2009-03-16-lower.ana.ud671e172	The aim of the proposal to introduce a ban on the visible presentation of tobacco products is to reduce the proportion of smokers and swindlers in the general population, and among children and young people in particular. At present, all marketing of tobacco products is prohibited, with the exception of the visible presentation of the product. The proposed ban will fill this last hole in the tobacco advertising ban. Tobacco is sold mainly in grocery stores, kiosks and service stations, and the goods are usually displayed clearly at the boxes. The statement may serve as an invitation to buy and use tobacco. The Government therefore considers that a ban on the visible presentation of tobacco products is an appropriate instrument to reduce tobacco consumption. The ban is expected to have a positive impact on the impulse purchase and re-recruitment of tobacco users. A prohibition of visible presentation could also help prevent relapses among former tobacco users. As far as possible, the government has also taken account of the outlets. For points of sale, the proposal would require them to keep the goods in question so that they are not visible to customers. However, the proposal does not regulate in detail how this should be done. Each point of sale is free to choose appropriate solutions, such as: space under disk, in enclosed lockers, drawers, containers, etc. In addition, information on the range of goods and on-site prices may be provided. Specialised tobacco shops are proposed to be exempted from the ban because the sale of tobacco products is at the heart of such activities. Furthermore, the customer group is different from other outlets. It is usually about adult customers looking for the business just to buy tobacco products or to get information about such goods. The call for purchases contained in the visible presentation of tobacco products will be of minor importance. So of course you can ask yourself, is this so important now? Is the fight against tobacco something to be so preoccupied with that you keep using the law to bring down the consumption? Isn't it that way that we have to stop being so concerned about this? To that it is said that in recent years the proportion has been, for example, by swindlers, particularly among young men, and although the proportion of smokers in Norway is falling, there are still more than one million people smoking daily or occasionally. This results in 6,700 smoke-related deaths per year. years. In the 40–70 age group, smoking is the reason for 26 pst. of the deaths among women and 40 pst. of the deaths among men. Smoking is also a lifestyle factor with clear social inequalities. I am particularly concerned about doing something about the social health differences that this entails, and it is therefore important to strengthen prevention efforts in the tobacco sector. On this basis, the Government has proposed a ban on the visible presentation of tobacco products.
ParlaMint-NO_2009-03-16-lower.ana.ud671e185	It's going to be line change.
