ParlaMint-NO_2009-12-16.ana.ud811e26	The representative, Rigmor Andersen Eide, will present a proposal for a representative.
ParlaMint-NO_2009-12-16.ana.ud811e29	I'm sorry, but I forgot to take it with me.
ParlaMint-NO_2009-12-16.ana.ud811e34	We have the proposal, if the representative wants to come here and read it out.
ParlaMint-NO_2009-12-16.ana.ud811e37	It's important to be honest, President. On behalf of the representatives Knut Arild Hareide, Kjell Ingolf Ropstad and myself, I would like to make a proposal to ensure that Telenor's shared company Vimpelcom does not establish itself in the tax haven of Bermuda.
ParlaMint-NO_2009-12-16.ana.ud811e44	The representative, Hans Frode Kielland Asmyhr, will present a proposal for a representative.
ParlaMint-NO_2009-12-16.ana.ud811e47	On behalf of the representatives of Solvency Horne, Per Sandberg, Åse Michaelsen, Morten Ørsal Johansen and myself, I would like to make suggestions on the chemical castration of the pedophile convicted.
ParlaMint-NO_2009-12-16.ana.ud811e52	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2009-12-16.ana.ud811e74	On Monday, the Storting received notice from the Prime Minister's office that the following government councils will meet for oral Question Time: State Council Sigbjørn Johnsen State Council Anne-Grete Stroem-Erichsen State Council Terje Riis-Johansen The announced members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. The first main question will be asked by Per Arne Olsen.
ParlaMint-NO_2009-12-16.ana.ud811e93	My question is to the Health Council. For me and for many other newly elected representatives in this Chamber, it is now approaching the end of the year's budgetary procedure and our first budgetary procedure. It has been a teaching and exciting time, but also a time of surprises. As a long-standing local politician, I have always thought that politicians, like ombudsmen, should listen to recordings from citizens, organisations and voters. As rapporteur, I spent a lot of time doing this, which undoubtedly led to a better policy and better provision for the citizens. Not least I learned a lot myself in these processes. We have just had a wide-ranging consultation on the State budget, where over 70 organisations spent considerable resources preparing and working to make representations to the Health Committee. They were based on the effects of the government budget proposal that the government had submitted. We've actually been sitting and listening to recordings for 24 hours, divided into several days. What surprises me is that the government fraction has not moved on a single penny in the health budget. It must have been clearly informed that the budget would remain unchanged. This means that a number of good measures that had not cost much money will not be realised next year. It was measures that had definitely made Norway a better place to be for a number of people. My question to the Council of State is therefore: Is it that the Workers' Party has not listened to one of these recordings, an expression of power arrogance, or is it that none of the organizations were worth listening to?
ParlaMint-NO_2009-12-16.ana.ud811e108	It is not at all that the Workers' Party does not listen to organisations or individuals. The government is working on the budget during more or less the whole year. Especially in the spring, we're working on budgeting. Then we listen carefully to the recordings that come during the budgetary process. It's also been done now. It's also done the big fraction in Stortinget. You've had a dialogue. I have also been informed of that dialogue as the responsible State Council. Some of the recordings that have been made have been included through annotations. It's clear that there's something leading the budgets. So it's like when a budget is about. 130 billion kroner, a lot has been added. There's a lot that's been done, but there's also a lot that's being done in the course of the year. Of course, in terms of the recordings that have been made, the leads that have been posted, we also look at them. I would like to stress strongly that we are listening to those who are coming, including in the Stortinget.
ParlaMint-NO_2009-12-16.ana.ud811e117	It is possible that the Workers' Party is listening, but I think those who are at the hearings and have good suggestions, would have preferred not to just listen, but actually did something with all the recordings that are coming. The whole point of the consultation process is that the budget submitted is recorded. It does not help to involve the process, for the hearings carried out by the committees, to hear what all these organisations think about the submitted state budget, and that is what you should take into account. I record that you've listened, and I'm excited about which of the signals came, which are included in next year's government budget. I could imagine asking the Council of State the following additional questions: Does she sympathize with her own party traps that have to conduct long hearings, knowing that they are not allowed to take any of the recordings into account?
ParlaMint-NO_2009-12-16.ana.ud811e124	That's actually not how we work politically in the work between the Government and the Stortinget. We have very good dialogue with our fraction and with the major fraction in Stortinget. It is also the case that if the Progress Party reads the budget position of the Stortinget, he will see that there are also leading points in it that will, of course, be taken into account, which have been taken into account when it comes to the governance that I have as the Council of State, for example. to health establishments and in a number of other areas indicated in the budget. So we have a good dialogue, a good interaction, because the work that the Storting is doing is important.
ParlaMint-NO_2009-12-16.ana.ud811e129	There is an opportunity to ask follow-up questions – first Sonja Irene Sjøli.
ParlaMint-NO_2009-12-16.ana.ud811e132	One thing is that the government parties do not at all listen to the hearing bodies. It is more serious that the government does not follow the decision to raise the issue. One example of many people is in the VG today. It was cut in the manning of maternity wards, and the offer to women and newborns is getting worse – in part irresponsible. So birthing women are a salutation post in a number of maternity wards. This is despite the fact that the Stortinge said a few months ago that this was totally unacceptable, and asked the Minister of Health and Health to stop the birth announcement and demand that regional health companies do not undergo economically motivated changes that lead to poorer offers. Yet it happens. What does the Council of State think about what's going on? What will she do to stop such irresponsible cut in the offer of birth and child?
ParlaMint-NO_2009-12-16.ana.ud811e137	With regard to the look-up in VG today, I would like to say that I am concerned that those who are going to be born at Aarhus in 2010 will have an offer as good as those who are giving birth there today. That's what's the starting point. So is it that when some hospitals spend too much money one year, it becomes a matter for the regional health company. So this has to be solved in collaboration with Health Southeast. What is quite clear is that the offer to the birthers should be good. It shall be sound. It is not that this is an irresponsible offer. It shall be sound. I assume that, and that is the responsibility of Health South-East to implement it.
ParlaMint-NO_2009-12-16.ana.ud811e144	Jon Jäger Gåsvatn – for follow-up questions.
ParlaMint-NO_2009-12-16.ana.ud811e148	During the hearings, we met with the Church's Social Service, which operates with follow-up and after-care for addicts and has institutions in the fields of child protection, psychiatry and the development of people with disabilities. They could do a lot of good work with 13 million. kr i plus. Children of drug users are an organisation that focuses on establishing a comprehensive assistance service for children and young people who have parents with drug problems. Two million. kr would mean a lot to them. WayBack is doing excellent volunteer work to help convicted people in their lives after acquittal to prevent relapses. Two million. kr here would have corrected the cut they experienced in 2008. It seems that the government believes that the sense is not equally distributed in the government quarter and in the majority of this room. The size is, after all, all the granting authority, but the majority have not had a single crown to move on, even though the measures have never been so good. Does the Council of State not see that almost a merciless and almost power-provoking budgetary procedure to which we have witnessed can be directly de motivating to those who are operating such good offers within the ideal sector?
ParlaMint-NO_2009-12-16.ana.ud811e157	In the case of children of drug users, there is a focus area for the Government. It's a very important area. These are very important measures. As far as the budgetary procedure is concerned, it takes place largely early in the year, in the spring. It's not like that, which I obviously have to repeat, that we don't listen to recordings coming. But it is also the case that the treatment of the large budget that this is about is going on in the spring, and our dialogue with the Stortinge is good. Many organisations are engaged in important work for drug addicts and their families, and receive money from the Ministry of Health and Welfare.
ParlaMint-NO_2009-12-16.ana.ud811e164	Laila Bavøy - for follow-up questions.
ParlaMint-NO_2009-12-16.ana.ud811e167	The National Association of Psychiatrics, LPP, took up the situation in mental health protection in consultation with the Health and Care Committee at Stortinget. They are very concerned about cutting bed figures before alternative offers are ready for mental illness. They also call for further designation and believe that without clear control of money usage, we are at risk of allowing health business economists to decide which of the worst patients should be offered. This also concerns the Christian People's Party, and we have proposed further earmarking of funds for mental health even after the escalation plan. We are now seeing a slowdown after a successful escalation. I believe these organizations who were in the hearing feel that they are not being heard and believed. Does this impress the Council of State? Will she still let it scour and go and hope for the best? It's dramatic what's happening in mental health. I only received three enquiries yesterday. Every day we receive enquiries about this.
ParlaMint-NO_2009-12-16.ana.ud811e172	Clearly, those who struggle with mental health are in a serious situation. It makes an impression. At the same time, I would like to stress that this is a sector where considerable funds have been spent over 10 years in the escalation plan, from 1998 to 2008. It's spent NOK 6.4 billion more on operations. There is an investment of SEK 9.2 billion in, among other things. 75 district psychiatric centers. Much has been done to facilitate better outpatient treatment, more outpatient treatment — including outpatient treatment. I have to say, I'm glad that 84 pst. By the municipalities — at least according to a survey — they say they will spend more on mental health or continue the level that is. If we were to continue to label this field after ten years, we would completely undermine municipal autonomy. In the case of bed places, there's a rotation on it, but that's because we have a high number initially.
ParlaMint-NO_2009-12-16.ana.ud811e179	The size goes to the next main question.
ParlaMint-NO_2009-12-16.ana.ud811e182	I would like to ask the Minister for Oil and Energy a question. In these days, there are climate negotiations in Copenhagen. There, our Environment Minister, Erik Solheim, thinks of the great thoughts about the climate challenges, while here at home the Government fails on environmental issues. There has long been a political desire, which has also been shared by the Right, to stimulate district heating and incineration of waste and to have a ban on the landfill of waste. We have actually spent around 2 billion public dollars through Enova for installations, which are currently struggling to secure raw material access due to an incineration charge, which the Right is opposed to, but which the Government has left behind, and which our neighbours in Sweden do not have. Thus, as many as 20,000 carloads of garbage from Norway go to Sweden — and this number is increasing. So, on the one hand, we're using $2 billion of taxpayers' money to stimulate the construction of district heating and combustion plants, but on the other hand, we have a tax that will remove the raw material base of these plants. So we have a government that is obviously more concerned about the tax dollars of the Treasury, and that is willing to sacrifice the environment. Sometimes it seems like the different state councils are sitting in each of their heads and don't know what the others are doing. We have a policy on the environment that is not interrelated. So my question to the Council of State is, does he think this is a satisfactory situation, that Norwegian waste is increasingly being transported and incinerated in Sweden? And if he does not think so: how will he ensure that combustion plants in Norway provide enough climate-neutral raw material?
ParlaMint-NO_2009-12-16.ana.ud811e195	The reality is that we have now started a work to look at this very question and the relationship that the representative addresses. So the government is, like the Right, concerned to look at this relationship between Norway and Sweden in terms of the incineration of waste. So that's the problem we're in. When it comes to why it happens, I think at the same time we're going to be honest that there are two factors here. One is the question of the level of charges in the different countries. The second is that Sweden has built up quite a large capacity, in practice an overcapacity, at its combustion plants, and the plants have been very busy – to say – making good offers to get enough waste into their plants. So here it's both fiscal and market conditions that play in. In addition, I believe that the theme that the representative addresses, i.e. access to and use of district heating systems, is a very good example of how the government actually does something to follow up what we also say in Copenhagen. We've spent a lot of money putting an infrastructure in place in the last four years. We have made sure that the 20 largest cities in Norway now have a built-in district heating network. We have gone from the situation in Norway where it was not a market for waste, not a market for chips, and not a market for recoverable wood waste, because the infrastructure was not there. A good example in this way is what happens in Sarpsborg, where I was yesterday assigning 150 million. kr to Hafslund and Borregaard, who are just to make sure that we replace oil with tile, with waste and with wood. So in this area, fortunately, it happens very much. Waste is part of it, and there's other sides to it.
ParlaMint-NO_2009-12-16.ana.ud811e204	I thank you for the answer, but I'm not very impressed. I fully agree that we are spending a lot of taxpayers' money on environmental measures. However, it does not help if, on the one hand, we provide money for environmental action, and, on the other hand, there are strange taxes that allow the raw material base – in this case the waste – to be transported to Sweden. The fact that the Swedes have built up overcapacity in their combustion plants can never be an excuse for us in Norway to pursue a poor environmental policy. We're sending 20,000, maybe 30,000 trailerlass, among other things. from the West to Sweden to burn the waste there, while Norwegian combustion plants, such as Tafjord Kraftheat – and we heard it on the TV 2 news yesterday – may have to go over to firing oil to make sure Ålesund gets its heat. These are bad environmental solutions. It is wasted on taxpayers' money, and it discredits environmental policy in this country.
ParlaMint-NO_2009-12-16.ana.ud811e211	In relation to the specific matter that the representative Meling raised again, I replied to it instead in my previous reply. We look at this issue and are concerned about finding solutions that contribute to the use of waste in Norway. Then I believe that district heating – expansion and infrastructure around it – is also about more than the waste side of it, by the fact that we have now put an infrastructure in place. We actually have an opportunity to recover the waste. We have an opportunity to make use of tiles, which would otherwise have rotted in the forest, and we have an opportunity to make use of other inferior energy sources. That means that, as a result of the fact that we spent a lot more money in the last growing-up period than what the party representative Meling is part of, we did when they crashed, today has an infrastructure in place. We have a basis for actually getting this environmentally friendly conversion a step forward. And as I said, we don't just have an opportunity, we're also going to see the results.
ParlaMint-NO_2009-12-16.ana.ud811e218	Follow-up questions will be raised – first Arve Kambe.
ParlaMint-NO_2009-12-16.ana.ud811e222	I think we have received two bad answers to two good questions. That is why I have a follow-up question to the Minister of Finance. The waste in Norway has always been a local responsibility. Those who pay for the waste in Norway are the inhabitants and the taxpayers through the renovation tax. It's high enough as it is. In many places in Norway today, it is estimated that new combustion plants and alternative ways of driving to other reception facilities in Norway are being built, unfortunately also in Sweden. It depends on whether it pays to build and operate new waste facilities, and the Minister of Finance is well aware that a lot of people say it doesn't. The right considers that the Government has also shown in this case that they give priority to income from taxes — which are much higher for the Government — than income from taxes on green enterprises. Does the Minister of Finance think that it is good environmental and industrial policy that Norwegian citizens' taxes are used to build up industry and energy production in Sweden, or will the Minister of Finance support the Right's proposal to remove the combustion tax?
ParlaMint-NO_2009-12-16.ana.ud811e233	First, I want to refer to the answer just given by the Council of State. Then I will also refer to the discussion you had in connection with the financial position, where the Government is given the task of going through this forward towards the revised national budget. It is also the case that there is a lot of focus on the fee. The amount of the fee is approximately DKK 90 per year. tonnes of waste, but if one looks at the price difference reported, between Norwegian and Swedish waste collectors, it varies from 200 kroner to 700 kroner per year. tonnes. So even if you take the charge away, there's a significant price difference with Sweden. What I want to do now is to invite the industry and the actors to a meeting on the matter just over the new year. There, I would like to discuss with the Minister of Oil and Energy, where appropriate, opportunities and arrangements to see if it is possible to clarify this issue before the revised national budget.
ParlaMint-NO_2009-12-16.ana.ud811e240	Henning Skumsvoll – for follow-up questions.
ParlaMint-NO_2009-12-16.ana.ud811e243	My question goes to the Minister of Oil and Energy. The dispensation from the disposal ban for waste results in about 500000 tonnes of combustible waste deposited each year. The waste industry is experiencing a major difference in the dispensation management of individual county offices with regard to the prohibition imposed on 1 June 2009. This leads to distortions of competition between actors, and that is a situation we do not want. So my question is, will the Council of States do anything to correct the huge differences that are being granted in the form of exemptions, so that we can also get more waste into combustion plants?
ParlaMint-NO_2009-12-16.ana.ud811e250	I think the representative, Skumsvoll, is addressing an important question, because I have also recently been introduced to this issue. One sees that there's something different practice, and that maybe the extent of the deposit per. today is slightly larger than that when the need for exemption rules was defined. So far I have not got a complete overview of the scope, and that is not how I can conclude now. But what I can promise the representative is that I agree with the opening of the question, that the possibility of exemption provided for by law and regulation should only be that – an exception in special cases. There shall be no way forward to proceed with the same course of action, the same policy as before the prohibition was introduced.
ParlaMint-NO_2009-12-16.ana.ud811e255	John Thune – for follow-up questions.
ParlaMint-NO_2009-12-16.ana.ud811e258	I have a question for the Minister of Finance.
ParlaMint-NO_2009-12-16.ana.ud811e263	Of course, it's all right, as long as it's related to the main question that was originally asked.
ParlaMint-NO_2009-12-16.ana.ud811e266	Yesterday, the oil and energy minister in Sarpsborg was with Enova and promised 150 million. kr to a great plant. He said this would reduce climate change emissions and replace heavy oil and reduce CO2 emissions by 200000 tonnes, as well as some local emissions. This is a good project, and the infrastructure is important, but there will be no environmental benefit until we burn waste instead of oil. Does the Council of State paradox the fact that, through Enova, the State grants large grants to environmental investments, while at the same time charging on the waste that runs past the facility and to Sweden, which could have been used in Sarpsborg?
ParlaMint-NO_2009-12-16.ana.ud811e274	I refer to the answer I gave. I see that this is a problem, and it does have two sides: one is the levy, which one should assess towards the revised national budget. In the meantime, we're going to have a meeting with the industry to see what opportunities there are. The second is that Sweden has built up a much larger capacity in this area than Norway has, so we are a little behind. At the same time, building up capacity is important in order to increase the demand for waste in Norway. We need to use more tools, but as I said, we will discuss this with the industry in the new year to see what opportunities exist, so that we can also use waste in Norway to produce district heating to far greater extent than what we are doing today.
ParlaMint-NO_2009-12-16.ana.ud811e279	We're going to go to the next main question.
ParlaMint-NO_2009-12-16.ana.ud811e283	My question goes to the Minister of Oil and Energy. Today, the high-level section of the climate summit begins. The world's governments are now negotiating in Copenhagen to succeed in a global reversal of the climate. We record that the Minister of Oil and Energy has chosen not to be present in Copenhagen, but we are all the more happy that he can be here. In fact, about three quarters of greenhouse gas emissions are due to fossil energy use in the renewable nation of Norway. In order to meet the climate agreement, Norway must therefore make major efforts in the field of energy policy. We need more renewable energy and less fossil energy. The reports from Copenhagen say that mistrust between poor and rich countries increases and threatens to overturn the entire agreement. At the same time, while Norwegian traders are trying to get developing countries like China and India to take more responsibility, we are increasing our own emissions. In spite of this, neither the Minister of Energy nor any of his two predecessors have taken action to change the energy policy. The Minister of Energy is sitting passively watching fossil energy use increase and emissions rise. The predecessor of the Council of State, Åslaug Haga, announced its own big message on energy policy. Such a notification has not been dealt with in the Storting since 2004. State council Riis-Johansen stopped this work and instead announced a kerosene message. The questions raised by the Minister of Energy — or the Council of State, as the Minister of Finance called him — are therefore: Is it possible to hope that over the next four years the Government will realise that greenhouse gas emission cuts require new energy policies? Does the State Council have any strategy at all for Norway to move on to renewables? And can the Storting expect any government strategy to be treated?
ParlaMint-NO_2009-12-16.ana.ud811e292	I want to give the representative aHåbreek honor for a meaningful question. I'm somewhat uncertain whether I'll be able to reach everything in two minutes. But to start where the representative started: Copenhagen. The starting point was that this council had also been registered and had planned for Copenhagen. But then, in connection with President Obama's visit to Norway, the US Secretary of Energy stayed in Norway until the last Sunday. I thought it was a great opportunity to pursue energy policy and have discussions with an important country towards Copenhagen, so I chose to spend time in Norway with him. I think that's right. With regard to the closure of the issue, on the biggest news and the possibility for the Storting to discuss energy policy, the Government in the government statement has announced that we are bringing a case of renewable energy to the Stortinget. We will do that in connection with the fact that there are two major renewable efforts that we are now working on. One is attached to the green certificates that Stortinget will then be presented. The second is the work on the EU's renewable directive, which is, of course, a major superstructure in relation to energy policy also in Norway. It is natural then that the Stortinget is invited to take a wide-ranging debate on energy policy. Otherwise, I disagree with the premises for the rest of the post/question. I believe that what we are now seeing in Norway is a conversion and a reorientation of energy policy in relation to policies such as: The Christian People's Party was in the lead. We spend more money on concrete measures, cf. e.g. the Borregaard project, which I agreed to allocate 150 million. Yesterday, which means conversion from oil to waste, chips, wood, and on Monday I gave concession to Haram for a large, fine wind power project – two good examples just this week on the new orientation and the strengthening of the energy policy that the Government stands for.
ParlaMint-NO_2009-12-16.ana.ud811e301	It is positive that the Government is increasing the appropriations for renewable energy. However, those appropriations will then compensate for the famous break in the licence negotiations that resulted in the suspension of the licence market, which is the most efficient renewable energy instrument. India is a developing country and has emissions of between 10 and 20 pst. of Norway’s emissions per year. person. Norway requires increased commitments in China, while increasing our own emissions. It is right, as the Minister of Energy points out, that the production of renewable energy is increasing. It's done that in the last 20 years. It has also contributed to this, at least to a certain extent. At the same time, however, greenhouse gas emissions have risen. That's exactly why we need a comprehensive strategy, not just to increase renewable production, but to reduce fossil energy production. That's what makes the emissions go down. So the question remains: when do we get a comprehensive strategy to reduce emissions through a change in energy policy?
ParlaMint-NO_2009-12-16.ana.ud811e310	To the end, the answer is that we are now in the new year being presented with the recordings from our professional establishments under the collective name Klimakur. It will also provide the basis for feedback to the Stortinget, which the Minister for the Environment and Development has also briefed the Stortinget on earlier. On the question that is now being addressed, that is the answer. With regard to the second element being addressed, a criticism of the Government because it is perceived that one expects countries like China to also contribute emission reductions, I think we need to be honest with some facts about this. If we're actually going to manage – as we have to – to keep the temperature rise within two degrees, it doesn't make sense that only the rich part of the world is taking emission cuts. We can do more than a lot in the rich part of the world without reaching the 2-degree target, if not the major developing countries – such as the United States. China – also participates in and takes part in the responsibility. So that doesn't mean it's going to be equal, that doesn't mean we're going to use the same template on every country. But everyone has to contribute something.
ParlaMint-NO_2009-12-16.ana.ud811e317	There will be follow-up questions – first Knut Arild Hareide.
ParlaMint-NO_2009-12-16.ana.ud811e320	I fully agree with the Council of State for all countries to contribute, but at least Norway must contribute. What we see is that the government didn't succeed in bringing down Norway's emission. We also see that in an area that is significantly easier – easily getting international recognition – the image now splits for the Government. Al Gore says about the oil sand project to Statoil that it's a big mistake. These climate emissions, measured in CO2 emissions, are 10 times the size of the oil spill on the Norwegian base. I found it very uplifting to the right that Jonas Gahr Støre says he understands the point of Al Gore. My question to the oil council is, Is he in agreement with Jonas Gahr Støre, who says that this must have consequences? [[The President clubs.]] Does he understand the point of Al Gore when he says this is a big mistake?
ParlaMint-NO_2009-12-16.ana.ud811e330	In the case of oil sand, there is a specific proposal in Stortinget, and a letter has been sent to me about it. I respect the Stortinget, so I think I should give a proper and proper answer to the letter that has come on the matter that is being dealt with. With regard to the entrance that Norway does not contribute anything other than words and wishes, I have to say that I do not understand that claim. There is not one likely landing, solution, in Copenhagen that Norway is not going to be in. I can hardly see an area in Copenhagen where Norway is not a driver in relation to getting the agreements to be as comprehensive as possible. If you go through and look at the positions taken by the different countries, Norway comes out at the top of almost all surveys and rankings. So to present it here as that Norway is a retard in relation to what is happening in Copenhagen – that we are not contributing enough, that we are not willing to do enough at home too – I think it is completely wrong. [[President clubs]]
ParlaMint-NO_2009-12-16.ana.ud811e337	The President must request that both questions and answers be kept within the allocated speaking time. Henning Skumsvoll – for follow-up questions.
ParlaMint-NO_2009-12-16.ana.ud811e342	Energy Minister Steven Chu was together with the Council of State on an inspection of large parts of Energy Norway – the West, hydropower. He said to Today's Business that he was very excited about Norwegian hydropower and looked at the great potential that lay there. I also think it was said that hydropower was a very good contribution to the environmental problem in the future. The EU will produce 600 TWh, the most wind power, by 2020. Then it's important that there's something that balances it – when it doesn't blow, you can supplement it with hydropower. Then my question is: will the Council of State, on the basis of what Minister of Energy Chu said, consider expanding more hydropower here in Norway? We've got a lot of things to do. many protected watercourses, including small watercourses. Isn't it time to review those plans?
ParlaMint-NO_2009-12-16.ana.ud811e349	Fortunately, we are in the situation that we can develop a lot of hydropower in Norway in the future without going along with the environmental requirements that have been put through both different protection plans and the more general environmental legislation. We see a nice large application amount for NVE, especially on small power. This means that there is both an interest and a willingness to realize good hydropower projects. I welcome those projects and believe, as the representative of Skumsvoll, that Norwegian hydropower is the best in terms of renewable energy, and in particular where it can be combined with regulatory capacity to connect with other energy carriers, not least wind, which in total increases energy efficiency and the share of renewable energy. The answer to the question is thus yes to putting in place more good hydropower projects, but also yes to keeping it within the environmental requirements.
