ParlaMint-NO_2009-02-25.ana.ud2362e22	The representative, Mr Bård Hoksrud, will put forward a proposal for a representative.
ParlaMint-NO_2009-02-25.ana.ud2362e25	On behalf of the representatives Per Sandberg, Arne Sortevik, Gjermund Hagesetter, Kåre Fostervold and myself, I am delighted to present a proposal for a representative of NOK 22 000 for a car that is 20 years old or older.
ParlaMint-NO_2009-02-25.ana.ud2362e30	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2009-02-25.ana.ud2362e49	On Monday, the Storting received notice from the Prime Minister's office that the following government councils will meet for oral Question Time: State Council Tora Aasland State Council Trond Gian State Council Sylvia Brustad The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. – We then start with the first main questions, from the representative Torbjørn Hansen.
ParlaMint-NO_2009-02-25.ana.ud2362e68	My question goes to the Minister of Economic Affairs and Trade. The impact of the financial crisis on the real economy is now an obvious reality. The unemployment rate is increasing so fast that the government is barely able to pay the daily allowance to those who lose the job, and business is now in the midst of a wave of bankruptcy. According to the NRK, 142 companies went bankrupt only last week – an increase of 50 pst. in relation to last year. According to the Bankruptcy Register, it is now personalised by entrepreneurs and small and medium-sized enterprises that are affected. This is very serious. 99.5 pst. by enterprises in Norway have 100 or fewer employees. The government has presented a series of so-called crisis packages. There are measures to make the banking sector work. There are measures to reduce interest rates. There are public investment and some small steps to put the tax on enterprises that have deficits in 2008 at risk for enterprises that have machinery investment or research activity. The right has supported most, but we have been very critical of two relationships. The measures are unnecessarily late, and the government is still using only half of the toolbox in the management of the financial crisis. And that's a fact: the government has doubts about tax increases for small and medium-sized enterprises. While the country is hit by financial crisis, bankruptcy and mass unemployment, red-green people choose to increase the tax on working capital in businesses and to increase the tax on generational shifts in family businesses. Since the Government took over in 2005, corporate taxes and taxes have increased by nearly DKK 11 billion compared to the last draft budget of the Bondevik II government. For many, tax increases are the only direct effect of the 2009 budget, and there is no doubt that these tax increases are weakening jobs in Norway. Yesterday, the Danish government announced a tax cut of NOK 26 billion to speed up business. When will the Norwegian Government use the entire toolbox to strengthen businesses and secure jobs in Norway?
ParlaMint-NO_2009-02-25.ana.ud2362e83	There is no doubt that many companies also in Norway are in a difficult situation as a result of some of the most serious economic setback we have seen in many, many years in Norway, which is a result of the financial crisis that started in the United States, which is also a result of market forces being ruled as freely as they would – something I have seen that the Right is in favour. This also leads to challenges for many jobs in Norway. It takes the government the most seriously. I'm recording that the right again has the same record, that it's too late and too little, but there's an enormous amount of money that's now been deposited. I'm glad that the Right also supported most of the proposals to save the jobs that can be saved. And I want to say, what is now the biggest challenge is to take care of the individual people that are being hit here. That's why we're now doing important actions related to Nav, so people are going to get daily money and other things when they need it. But we also have to make sure that we get an even more competitive business once we get through this crisis. That's why we've used all of the tools we now have. This also applies to changes that are positive in relation to taxes on small and medium-sized enterprises. We are now doing what we can to mitigate the effects of the financial crisis and to preserve and create new jobs in Norway. But there is no doubt that unfortunately, some people will lose their jobs because the financial crisis strikes as hard as it does with us.
ParlaMint-NO_2009-02-25.ana.ud2362e92	I thank you for your answer. But the answer unfortunately confirms what everyone sees, that you only use half of the toolbox. The government is stuck in an ideological hegemony, probably as a result of the Soria Moria declaration stating that the taxes should be increased during this hegemony period. Now the situation has changed altogether, and new measures are needed. Let me do an example. An industry that has noticed the red-green food policy is the maritime sector. They received 14 billion kroner in tax increases in 2007 – 1.4 billion of these are due now in April. There is no doubt that the payment of DKK 1.4 billion will weaken the ability to give assignments to the yard industry, to give assignments to the coastal supply industry. It is possible that it was perhaps an interesting political matter to take rich shipowners in 2007, at a time when companies were running high profits, but now this is a tax increase that is going to hit jobs along the coast. I think the government sees that too. I don't ask the government if it will now reverse the entire tax case in relation to the maritime cluster, but don't you see that it's a point now to postpone these tax payments, so you don't hit jobs along the coast?
ParlaMint-NO_2009-02-25.ana.ud2362e99	Firstly, we have very close contact with representatives of this industry, and many of them are pleased with the changes we have now made. It's about, for example, that we gave the opportunity that export finance could lend about 50 billion dollars over two years. It was an important requirement from parts of that industry, including the supplier industry. The fact that we made changes so that we got more money for the Guarantee-Institute for Export Credit means about 100 billion kroner, which can not least be used for export-oriented industries. It is also the case that the important measures now proposed — and some of them have already been adopted in the UK — which are aimed at restoring the functioning of the banks, will also have a very positive impact on this industry. In addition, we have also taken action to ensure that more can be carried out as equity – with which the representative is well-known – with which the industry is also very satisfied. So we're taking this challenge very seriously, and that's not what the representative here is saying, that we're using half the toolbox. We spend more money than ever in this serious, demanding situation to save jobs and to create new ones. It also applies within the maritime industry.
ParlaMint-NO_2009-02-25.ana.ud2362e106	There will be follow-up questions – Jan Tore Sanner.
ParlaMint-NO_2009-02-25.ana.ud2362e109	There are many employees and managers in small and medium-sized enterprises now fighting every day to secure their jobs, and the only thing they've got from the red-green government is a bag of increased taxes. I hear the Minister of Industry says that she is committed to ensuring that the companies become more competitive. That is a word, because there is no action here. For what is it that small and medium-sized enterprises have received from the red-green government? Well, there's increased taxes on ownership. And when you increase the tax on ownership, that means that companies have to drain the company for equity. Can the Minister of Economic Affairs explain to me how to secure jobs and ensure the competitiveness of businesses when the Government contributes to companies losing the company for equity in order to pay the tax to Kristin Halvorsen?
ParlaMint-NO_2009-02-25.ana.ud2362e116	There is no doubt that many small and medium-sized enterprises also face challenges due to the financial crisis. I think we all agree on that. But the picture that the representative and the right are trying to draw from that doesn't do anything here, doesn't match reality, and it doesn't match the feedback we get from a lot of companies. I had a late meeting yesterday with representatives of the entire construction and property industry. There are many small and medium-sized enterprises. They had many important messages. One of the important messages was that they were very pleased with what is inside the state budget, in different action packages and in banking packages, which will now give more small and medium-sized enterprises jobs, allowing more people to keep their jobs around the whole country. So that reality is not right. I also think that the representative, Sanner, is not following the Stortinget Sea Decision, and on what the Government proposes, there are a wide range of instruments here: Innovation Norway, the Guarantee Institute of Export Credit and Enova. So one can do a lot more to the environment and industry, [[The President cut off]]
ParlaMint-NO_2009-02-25.ana.ud2362e125	Hans Frode Kielland Asmyhr – for follow-up questions.
ParlaMint-NO_2009-02-25.ana.ud2362e129	Of the answers given by the Council of State here, I understand that she has not correctly understood how serious the situation we are in, and it is the small and medium-sized enterprises that are first affected by this crisis. It's just to keep an eye on what's going on internationally. It's serious, and it's going to reproduce quite vigorously here to Norway during the spring. It is quite clear that tax relief would provide a rapid flow of liquidity to small and medium-sized enterprises. It is also obvious that the government did not use important weeks and months now in the autumn to come up with measures that could have worked much earlier than the package that the government has brought with it. I'm glad the council said she wanted a more competitive business. What concrete measures will the Council of State now take in the field of regulatory simplification, with regard to tax relief, etc., so that small and medium-sized enterprises get the best framework conditions for the world in Norway?
ParlaMint-NO_2009-02-25.ana.ud2362e136	I just have to repeat that I totally disagree with the reality description that the representative of Kielland Asmyhr here is also trying to give. What we fully agree on is that there is a challenging situation for many businesses and many individuals. It takes the government the most seriously. But from that to trying to present it as if this government were doing nothing, it is certainly completely wrong. What do we do to make more companies more adaptable now? Well, we've been using the whole tool. And it's interesting now that the Progress Party comes here and criticises this government because we're spending too little on an instrument that the Progress Party has cut in many laps in this big business. We have filled Innovation Norway, which means a lot to small and medium-sized enterprises. We are now filling in a new scheme that has also been adopted here in Stortinget, Investinor, which now has 2.2 billion kroner to go into new businesses with. Argentum has got NOK 2 billion more in equity, and we have filled in all of the arrangements we have, also to that part of the industry that is most export oriented. Then, unfortunately, it will be that someone loses the job, and we're doing everything we can to take care of these people and to create new jobs. [[The President cut off]]
ParlaMint-NO_2009-02-25.ana.ud2362e143	The President must ask that speaking time be observed.
ParlaMint-NO_2009-02-25.ana.ud2362e146	99 pst. by enterprises in Norway are small and medium-sized enterprises. It is a company that is characterized by active owners who take an active part in the company and by a life that is not characterized by bonuses and high wages, as it may be in other parts of the business. This is a very important company, not least for District Norway. That is why the Christian People's Party has proposed to remove the inheritance tax in case of a generation change in family businesses. The Christian People's Party wants to do this gradually, so that we can ensure good generation change. The European Commission has also stated that for every successful generation change we receive, we can secure five jobs. Then, unfortunately, the government has instead increased the inheritance fees for these companies. Will the Council look at the possibility of removing the inheritance fee for family businesses in the revised national budget?
ParlaMint-NO_2009-02-25.ana.ud2362e153	Now, the fact is that with regard to the changes proposed by the Government and endorsed by the Stortinget – not from the Christian People's Party, but from other parties – there are many who will now benefit from making it easier for us to inherit houses and huts for ordinary people. I assume that the Christian People's Party is also concerned about that. I also agree that small and medium-sized enterprises are the whole backbone of Norwegian business. They make up 95 pst. It is clear that the measures we have now taken will also have the greatest impact on them. One example of that is the proposal we've had to be able to recover deficits, so you can get cash out of it now pretty quickly. In particular, it will benefit small and medium-sized enterprises. So it's wrong when it's claimed that we're not also using the tax resource to help a lot of companies in a difficult situation.
ParlaMint-NO_2009-02-25.ana.ud2362e160	Leif Helge Kongshaug – for follow-up questions.
ParlaMint-NO_2009-02-25.ana.ud2362e163	Crisis times or not — in any case, it is important that the public sector can answer questions and be available when companies need help and quick answers. There are examples that local departments of government and public services do not provide local telephone numbers, only e-mail addresses and faxes; you should contact a national 800 number. Then you are told to make a digit selection, which is followed by that you, for example. stands as number 245 in a row - please wait. Then you wait 15 minutes, you'll be notified that you're the number. 229 in the queue. The result, of course, is that you give up, you put on. Business managers cannot use the day to wait. The question that the trader wants to ask remains unanswered. Does the Council of State think that this is an example of an accessible and good public apparatus, and what will the Council of State do to improve this, especially at these times, when questions need to be answered?
ParlaMint-NO_2009-02-25.ana.ud2362e172	No, this isn't good enough at all. I would like to know a little more about what agency we are talking about here, because – and I fully agree with the representative in – it has to be so that everyone now treats things quickly, that people get answers quickly, that businesses get answers quickly, that it is a quick handling of applications – thorough, clear, but fast. That's why last week I had a meeting with my whole tool, that's what's under the Ministry of Food and Trade. They're set to deal with things quickly and take extraordinary meetings to get away from matters. I want to know what this is about, because this is not the way it should be, and then we're going to make sure it changes.
ParlaMint-NO_2009-02-25.ana.ud2362e179	Let's move on to the next main question.
ParlaMint-NO_2009-02-25.ana.ud2362e182	I have a question for the Minister of Research and Higher Education. After Siv Jensen's national rule hall this weekend, a debate on Islamisation has flared up in Norwegian society. The progress party has warned against this because we have seen many danger signals. We've seen parallels in our neighbouring countries that have led to unwanted situations, and we've had a desire to stop this negative development. I had almost said as usual, the Progress Party is attacked and accused of both one and the other of our political opponents, and it does not seem as if it is political will to address the basic danger signals we see, but it is about doing what is so politically correct. Yesterday on the TV2 news, we got an entry from the lecture hall at the University of Oslo, where the Norwegian imam Zulqarnain Sakandar Madni dosed in front of a meeting. In his speech he went quite far in claiming that it was the American authorities that were behind the terrorist attacks on 11 September, and he suggests that 4,000 Jews knew about the coming attack, so that they stayed home from work at the World Trade Center that day. In my opinion, it was frightening to hear the rhetoric that the imam spoke. We have also heard of this imam that he has claimed that Al Qaida and bin Laden were fictional. The Progress Party, like Voltaire, will protect and fight for freedom of expression as long as we are able to stand on our feet. Therefore, we believe that a good way to respond to such statements is to turn our backs on the one who is presenting the message, to demonstrate our disagreement. In this case, the Oslo College has invited him into the heat, and he is given his message in line with other teaching staff. My question will then be: Does the Council of State believe that it is a sound practice to hire such a lecturer at an institution to disseminate knowledge? Is this an example of follow-up for other colleges?
ParlaMint-NO_2009-02-25.ana.ud2362e195	Now the Council of State is not running and is looking for individual lectures at our universities and colleges. I fully agree with the representative, Mr Gåsvatn, that freedom of expression must apply, whether it is for the Progress Party and their national government meetings or it is for imams and others who are invited to speak, for example. at colleges. That is exactly what I think we should agree on. Freedom of expression is important no matter what the reaction is, and no matter what one might think of it being expressed. I think it is important to maintain freedom of expression as a very high value, also in our higher education institutions. I have full confidence that what may be of the necessary critical debate on such statements is expressed both in colleges and universities and in society. It is a positive aspect of our society, which I believe should be diverse and based on freedom of expression, that there is the possibility of having a debate on such difficult issues as integration issues, which are different values and different views on cultures and religions. There are many speculative theories about many of the relationships that the representative has. I have also heard and read about this. But it must be entirely possible to be allowed to talk about such things and invite to a debate in society on such issues.
ParlaMint-NO_2009-02-25.ana.ud2362e207	I thank the Council of State for the answer, but I have to say I'm a little disappointed. What's the next thing we can expect? Is it an extreme Muslim who believes that Israel and the Israeli people should be removed from the map? Or is it a nynazist who tells us that Holocaust has never taken place, but that it has been invented by Jews to gain sympathy? Does the Council of State really mean – I hear she says that, but does she really mean – that all the students have developed a sufficiently source-critical sense, so that they are able to review such extreme claims?
ParlaMint-NO_2009-02-25.ana.ud2362e214	I want to defend the right to speak for the longest and all the time, even if what you say is completely unfounded in everything there is logic and science. Having such opinions and inviting such persons mentioned here to a university or university has always been an inspiration for important debate and inspiration for important social criticism. I trust that the management of our educational sites has the necessary ballast in relation to critical comments, critical views and very important follow-up of the type of statements, whether it is about statements from Gåsvatn's own party president, to which many responded, or about statements that are described here from a university in Oslo.
ParlaMint-NO_2009-02-25.ana.ud2362e221	There will be follow-up questions – Åse M. Schmidt.
ParlaMint-NO_2009-02-25.ana.ud2362e224	Integration is one of the main challenges we face in the debate on immigration. Labour Party politician Abdelmajid Jerad earlier this month called for Norway to have its own imam education. The head of the Islamic Federation, Basim Ghozlan, has also demanded it. Is that what the Council of State shares? And if so, does the Council of State feel that this will also promote integration?
ParlaMint-NO_2009-02-25.ana.ud2362e229	This government is concerned that we have a public and good education offer, and I have to say that personally I have no particular desire to have such education in Norway. But what is important in relation to all educational services and all our universities and universities, which are autonomous institutions, is that we get any applications for what may be educational provision, and evaluate it in the usual way. I think it's important, as I said in my previous answer, that we have a diverse and lively debate in Norway, but I reserve the right to say yes or no in consultation with my professional authorities about what education should be at the individual educational institutions.
ParlaMint-NO_2009-02-25.ana.ud2362e234	Bent Höie – for follow-up questions.
ParlaMint-NO_2009-02-25.ana.ud2362e237	Freedom of expression and freedom to exercise one's religion are two fundamental values in Norwegian society, which one has to fight for every single day. It has shown us not least the debate of the last few weeks. The fact that different positions are expressed in public space and can be met with serious counter-argument is an essential part of freedom of expression. Thus, there must also be platforms to externalise these positions, even if they are special. In the case of conspiracy theories, they have always lived in the best of all societies at all times. The conspiracy theory of 9/11 lives as a separate industry in the United States. In Norway, we also have conspiracy theories, e.g. the theory of conspiracy on the Islamisation of Norway. All these opinions should be able to be transmitted and should be met with good counter-arguments. Does the Council of State feel that it is also important that Norwegian universities and higher education institutions facilitate the emergence of opinions so that an open and free debate can be held?
