ParlaMint-NO_2009-06-16-upper.ana.ud2217e191	The President would like to welcome you to the first night meeting in Laging in this period.
ParlaMint-NO_2009-06-16-upper.ana.ud2217e225	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2009-06-16-upper.ana.ud2217e242	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2009-06-16-upper.ana.ud2217e259	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2009-06-16-upper.ana.ud2217e276	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2009-06-16-upper.ana.ud2217e293	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2009-06-16-upper.ana.ud2217e310	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2009-06-16-upper.ana.ud2217e327	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2009-06-16-upper.ana.ud2217e344	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2009-06-16-upper.ana.ud2217e361	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2009-06-16-upper.ana.ud2217e379	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2009-06-16-upper.ana.ud2217e396	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2009-06-16-upper.ana.ud2217e413	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2009-06-16-upper.ana.ud2217e430	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2009-06-16-upper.ana.ud2217e447	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2009-06-16-upper.ana.ud2217e464	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2009-06-16-upper.ana.ud2217e481	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2009-06-16-upper.ana.ud2217e498	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2009-06-16-upper.ana.ud2217e518	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2009-06-16-upper.ana.ud2217e535	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2009-06-16-upper.ana.ud2217e552	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2009-06-16-upper.ana.ud2217e570	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2009-06-16-upper.ana.ud2217e587	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2009-06-16-upper.ana.ud2217e604	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2009-06-16-upper.ana.ud2217e621	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2009-06-16-upper.ana.ud2217e638	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2009-06-16-upper.ana.ud2217e655	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2009-06-16-upper.ana.ud2217e672	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2009-06-16-upper.ana.ud2217e689	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution. As a result, the cases on today's map have been completed. Does anyone ask for the word before the meeting is cancelled? - The meeting's been cancelled.
