ParlaMint-NO_2009-11-18.ana.ud553e26	The representative, Hans Olav Syversen, will put forward a proposal for a representative.
ParlaMint-NO_2009-11-18.ana.ud553e29	On behalf of the representatives of Geir Jørgen Bekkevold, Kjell Ingolf Ropstad and myself, I am delighted to make a proposal for a representative to strengthen the ethics of the State pension fund – abroad.
ParlaMint-NO_2009-11-18.ana.ud553e34	The representative, Per Arne Olsen, will put forward a proposal for a representative.
ParlaMint-NO_2009-11-18.ana.ud553e37	On behalf of Kari Kjønaas Kjos, Jon Jäger Gåsvatn and myself, I will be allowed to submit proposals for measures to ensure financial management and cost control by health companies.
ParlaMint-NO_2009-11-18.ana.ud553e42	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2009-11-18.ana.ud553e62	On Monday, the Storting received notice from the Prime Minister's office that the following government councils will meet for oral Question Time: State Council Kristin Halvorsen State Council Grete Faremo State Council Magnhild Meltveit Kleppa The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. The first main questions will be asked by Mr Bård Hoksrud.
ParlaMint-NO_2009-11-18.ana.ud553e81	I have the pleasure of asking questions to the Minister for Transport – perhaps not unexpectedly. Every week we see headlines in the newspapers around the country about serious traffic accidents where lives are lost on the roads. In 2008, 256 – mothers, fathers, children, colleagues or friends – lost their lives in traffic on Norwegian roads. Studies show that poor roads are often a determining cause of many of these fatal accidents. Even small misassessments can lead to fatal outcomes on a poor and curved road without midpoints and safety zones. This isn't about numbers, it's about the human fortunes behind the numbers. In Westfold and Eastfold, highway construction has turned formerly designated highways into the safest roads in the country. There is no doubt that the central four-field motorway is the most efficient road safety measure available. It is therefore important to focus on a strong and rapid development of the road network in Norway. The government is adding to the poor 230 km new motorway over the next ten years. This is light-years away from the enormous needs of Norway for modern, safe and energy-efficient roads. In addition, from 1 January 2010, the Government will transfer 17 000 km of bad roads with a huge need for repair and upgrading, and which the reform does not take into account in any way in terms of road safety. Everyone knows that a sharp increase in the development of new, modern, environmentally friendly and efficient roads will be the best road safety card to reduce the number of heavy road damage and kill. Do the Councils agree to this? Does the Council of State think that 230 km of motorway in ten years is something you can be familiar with and satisfied with, when we know that Albania, which is one of Europe's poorest countries, has built 759 km of motorway in five years, or more than three times as much road as Norway will build in the next ten years?
ParlaMint-NO_2009-11-18.ana.ud553e92	I agree with the representative Hoksrud that it has been many years of neglect when it comes to road construction, maintenance and other measures in the field of transport that we need to rectify. Some of this has been done over the past four years. We have a very ambitious national transport plan for the next ten years. That means we're going into action already in next year's budget. So this is our country so often that we're going to bet on motorways, but it's actually also necessary to bet on other types of roads, if we're going to have the ambition – as the government has – that people have the choice of where they want to live, and if we want a varied business life across the country. So we have a strong upgrade with a view to maintenance – literally. We are investing in road safety; we have more than double efforts there in 2009, and we are going to intensify our efforts further. Then it's important to build highways and other roads. And then I actually think that when the county councils now get the responsibility for 80 pst. This means that it is a decision on roads — and that the focus on what is to be given priority comes closer to people where people live — because it is in safe hands.
ParlaMint-NO_2009-11-18.ana.ud553e101	It is good to hear that the Council of State agrees that we have the challenges that I challenged the Council of State, but I do not agree when the Council of State says that we have made a strong commitment to refurbishment and expansion. So we're going to be building less than 10 miles in the middle of the next year. This year we were to build approx. 10 km, and we've built 6 km. I don't want to say that it's very ambitious. I am concerned when the county councils are now going to take over these 17 000 km by other national road, which is in poor condition, and which would have been completely different when they were transferred to the county municipalities. The counties are unable to care for these roads. Already now we hear rumors that the county councils are considering spending money that they were going to spend on, on completely different things in the county councils, because they are unable to carry out the other tasks that you have, which are required by law. Here comes a sum of funds. They are not earmarked for road construction. I want to ask the Council of State what she will do to ensure this.
ParlaMint-NO_2009-11-18.ana.ud553e108	First of all, the county councils are given on the road – literally – means that follow the national roads that they are now taking over and that become state roads. Secondly, they get an extra $1 billion in free money. Third, we're going to put $2 billion at the disposal of a loan arrangement. It means an activity growth in the new county road network, including the old one, on a total of about 50 pst. So it's closer to 50 pst. more activity. Then I argued that the county councils play on the competence of the state road system from state to state, and so they have a different way than today to give priority to the roads and the routes that they think are most important, first.
ParlaMint-NO_2009-11-18.ana.ud553e115	Three follow-up questions are raised – first Arne Sortevik.
