ParlaMint-NO_2009-12-04.ana.ud2465e53	The representative, Nikolai Astrup, will put forward a proposal for a representative.
ParlaMint-NO_2009-12-04.ana.ud2465e56	On behalf of the representative Arve Kambe and myself, I would like to propose a review of the fuel charges.
ParlaMint-NO_2009-12-04.ana.ud2465e61	The representative, Bjørn Lødemel, will present two proposals for representatives.
ParlaMint-NO_2009-12-04.ana.ud2465e64	On behalf of the representatives of Nikolai Astrup, Øyvind Halleraker, Ivar Kristiansen, Siri Meling and myself, I would like to put forward two representative proposals. The first proposal is to set up an expert selection to deal with future electric power transmission technologies. The second proposal is to sort out a super-network for the transmission of electricity along the coast and to Europe.
ParlaMint-NO_2009-12-04.ana.ud2465e73	The representative, André Oktay Dahl, will present a proposal for a representative.
ParlaMint-NO_2009-12-04.ana.ud2465e76	On behalf of the representatives of Anders B. Werp, Bent Höie, Elisabeth Aspaker and myself, I have the pleasure of making suggestions on better, faster and more legal-proof analysis and use of DNA-tracks.
ParlaMint-NO_2009-12-04.ana.ud2465e81	The proposals will be dealt with in a regulatory manner. Before considering the issues on today’s map, the President will propose that the morning meeting – if necessary – continue beyond the regulatory time, at 1 p.m. 16 until today's map has been processed. – No objection has been raised, and it is deemed to have been adopted.
ParlaMint-NO_2009-12-04.ana.ud2465e100	No one has asked for the floor. At the request of the Committee on Energy and the Environment, the President will propose that matters be referred to the Committee on Energy and the Environment. 2 and 3 are dealt with as a whole – and considered adopted. [[Fotation, see page 754]]
ParlaMint-NO_2009-12-04.ana.ud2465e132	At the request of the Committee on Energy and the Environment, the President will propose that the debate be held in Case No. 2 and 3 will be limited to 70 minutes, and speaking time will be allocated to the groups as follows: Working Party 25 minutes, Progress Party 15 minutes, Right 10 minutes, Socialist Left Party 5 minutes, Center Party 5 minutes, Christian People's Party 5 minutes and Left 5 minutes. Furthermore, the President will propose that there be an opportunity for a replacement of lines within the allocated speaking time of up to five lines with replies after contributions from members of the Government. Furthermore, it is proposed that those on the list of speakers, in addition to the allocated speaking time, should have a speaking time of up to three minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2009-12-04.ana.ud2465e143	State Council Solheim did well for the challenges facing the world when it comes to global warming with potentially high climate change, and when it comes to the negotiations we need to meet the challenges. From the Center Party's side, I want first to commend the Council of State both for the real and strong commitment he has to this important matter, and for the knowledge he shows that he has in this important area. The international climate negotiations are perhaps the most demanding international negotiations in the world, and rarely have so much been at stake. Therefore, it is decisive to close, and it is crucial that the Copenhagen meeting takes us important steps towards a legally binding agreement. The centre party wholeheartedly supports the Norwegian priorities in front of the climate summit, for which the Council of State did well yesterday. Furthermore, we are proud of the measures taken and measures taken by the Government in conjunction with the climate comrades in Stortinget, and are now implementing both international measures and the measures we have taken in our own country. Nevertheless, it is important to stress that in Norway, we have particularly good opportunities to play a leading role in this work, just to make major efforts. We have resources that make this possible, and compared to many countries, our challenges will be smaller when it comes to having resources to put in action. Therefore, our efforts must not be assessed against the population, but against the resources that we have. It is important to include the wide range of nations in concrete commitments to reduce greenhouse gases and to establish mechanisms that channel funds to achieve these objectives. Rich countries must both contribute to emission reductions and contribute to funding reductions and prevention measures in other countries. It is crucial to prevent double accounting when reducing greenhouse gases, in the form that rich countries buy emission reductions through the quota system, which are considered to be emissions both in the purchaser’s country and the investment country. This simple, but important point is that we highlight, and it is important that rich countries take this point forward. It may be easier for countries in the rich world to be with and underline this point. Here Norway can really play a role. We have a responsibility to show that rich countries take responsibility for climate change work. Showing willingness to take action both outdoors and at home is also important in order to strengthen confidence in negotiations between rich and poor countries. Norwegian contributions, whether in the form of constructive proposals for funding schemes for both prevention and climate change through the quota system, as we know, or the important rainforest rate, as agreed in this room, are part of building up under this confidence. We are also aware from the Centre Party that Norway is a small country in the negotiations for an international climate agreement. Nevertheless, our role as a rich country with an offensive climate policy makes it possible in the negotiations to be an impatient bridge builder between poor and rich countries. Our independent role as a European country outside the European Union gives us just the possibility of an even clearer role like this. The population in the world is strongly increasing, and the new human race – the increase of nearly 50 pst. which has been foretold in the coming decades – should be able to feed. The food crisis facing the world is formidable, and the last numbers indicate that it is close to a billion people who are starving. It's close up every six people on the globe. Taking into account the importance of food production must be a central element of climate change work. Agricultural aid must also be used more clearly in Norwegian aid policy, but also in international aid policy. Climate action must not be at the expense of those on earth who cannot meet their most basic needs. The objective is an international agreement into which the Kyoto Protocol can be integrated, as stated by the Council of State yesterday. It is important for the Central Party to stress that it is important that such an agreement then becomes so good overall that the Kyoto countries do not have lower ambitions. In that case, one should go further along two tracks, as the Bali Summit pointed out.
ParlaMint-NO_2009-12-04.ana.ud2465e164	Today, we are debating two issues in this debate, the State Council of Solheim's climate policy statement, and the position of the Energy and Environment Committee on proposals from the representatives of the major cities Trine Skei Grande and Abid Q. Raja on a stepping up of Norwegian climate policy before the Copenhagen climate summit. First of all, a few words about the proposal for a representative. Norway has been and is a driver for an ambitious outcome at the meeting of the Parties to the United Nations Convention on Climate Change in Copenhagen. Norway has given a very high priority to climate negotiations towards Copenhagen and has had a number of constructive and ambitious proposals and contributions in the negotiations. The climate agreement was a good start to the implementation of measures and instruments to reduce our national greenhouse gas emissions, and we support the proposalers' observation that the continuation of broad cross-policy cooperation on climate policy will be a strength for Norwegian climate policy. I expect the minority to explain their vision. So to the big thing that we're debating today. Like the representative Sande, I would also like to pay tribute to the Council of State both for the presentation yesterday and for his handling of one of the world's most important meetings and one of the most important issues facing the world. Now the world's eyes are aimed at the meeting that will take place in Copenhagen for a few days. The big question everyone is asking is whether there will be an agreement and what an agreement, if any, would be like. Will there be enough reductions? In this context, it is not likely that there will be a legally binding agreement on international law, but a political declaration of willingness. But it is important that one continues to have a legally binding agreement. For the Government, the goal of the Copenhagen Summit is clear: we want the most ambitious and legally binding agreement with as many countries as possible in the long term. More than 100 countries now support the objective of preventing global warming of more than two degrees. Countries responsible for one third of the world’s CO2 emissions have set targets for emissions reductions by 2020. In order to prevent a two-degree rise in temperature, the Intergovernmental Panel on Climate Change states that global emissions need to be reduced in the near future. Then the emissions must be reduced by between 50 and 85 pst. by 2050. The rich countries must cut emissions by 25 to 40 pst. by 2020 compared to the 1990s. The promises that land has given, which are now on the table, correspond to cuts of 13 to 17 pst. We have a very long way to go. Political action is now required to prevent the dramatic consequences for the climate. Therefore, the Norwegian delegation has clear priorities for the discussions in Copenhagen. The reduction of deforestation, the financing of adaptation through the auctioning of CO2 emissions within the Kyoto commitments, the possibility of financing CO2 capture and storage through the Kyoto Protocol and the inclusion of emissions from international shipping are issues that the Norwegian delegation will focus on getting on the table during the meeting. The government already spends several billion dollars on measures such as: CO2 capture and storage in Mongstad. I am optimistic and have great faith that there will be an agreement that is crucial to the future, as a result of the meeting. We are now in a process, and it is important that we get included in the big countries of the world in this process. President Obama in the United States has given the world new hope and future faith in many areas, not least in the climate field. Eight years with Bush is now replaced by new and offensive thoughts, which delights an entire world. I will praise the Christian People's Party, the Left and the Right for their efforts and cooperation in climate policy. We are six parties here on the Stortinget who have qualified us to make a climate settlement. We are the ones in this room who recognize that the climate problems are man-made. The progress party uses to say that they are not part of the climate agreement because they were not invited. The Progress Party is not part of the climate agreement, as it is the only party in Norway that spends much of its time undermining the Intergovernmental Panel on Climate Change and its conclusions. The invitation to settle contained one single qualification requirement, namely the recognition that climate problems are man-made, and that the challenges have to be addressed in the light of this recognition. The progress party wasn't on that exam. Even today, climate policy for the Progress Party is quite easy to get wise. When Solvik-Olsen’s representative recently went to the paper show – and congratulated him on it – the deputy Arne Sortevik took the opportunity to say that he hoped for a failure in Copenhagen, and that he did not believe that climate change was the result of human activities. Former party president Carl I. Hagen stood up to support Sortevik's statements. I think it is important that we, as climate partners, now work together towards the Copenhagen meeting and not least after the Copenhagen meeting for our common challenge: a better climate.
