ParlaMint-NO_2009-04-02.ana.ud2081e78	The representative, Jørund Rytman, will put forward a proposal for a representative.
ParlaMint-NO_2009-04-02.ana.ud2081e81	On behalf of the big business representatives Ulf Leirstein, Kenneth Svendsen, Gjermund Hagesetter, Kåre Fostervold and myself, I have the pleasure of proposing better rules for entrepreneurs and entrepreneurs operating individual companies.
ParlaMint-NO_2009-04-02.ana.ud2081e86	The representative, Anders Anundsen, will put forward a proposal for a representative.
ParlaMint-NO_2009-04-02.ana.ud2081e89	It is a pleasure to be able to make proposals from the biggest representatives of Jon Jäger Gåsvatn, Åse Michaelsen and myself to make the legislation more flexible to ensure that all students are entitled to adapted training.
ParlaMint-NO_2009-04-02.ana.ud2081e94	The representative of Trine Skei Grande will put forward a proposal for a representative.
ParlaMint-NO_2009-04-02.ana.ud2081e97	On behalf of Odd Einar Dørum, Leif Helge Kongshaug and myself, I would like to propose basic principles to ensure an offensive research policy.
ParlaMint-NO_2009-04-02.ana.ud2081e102	The representative, Mr Gjermund Hagesetter, will make a proposal for a representative.
ParlaMint-NO_2009-04-02.ana.ud2081e105	On behalf of the representative, Bård Hoksrud and myself, I am delighted to propose exemptions to non-profit organisations from paying a concession fee for the use of communication equipment that is necessary to perform actions designed to save life and health.
ParlaMint-NO_2009-04-02.ana.ud2081e111	The representative, Bjørg Tørresdal, will put forward a proposal for a representative.
ParlaMint-NO_2009-04-02.ana.ud2081e114	On behalf of the representatives of Dagrun Eriksen, May-Helen Molvær Grimstad, Ingebrigt S. Sørfonn and myself, it is important for me to promote a proposal to include children who have experienced abuse in Norwegian schools abroad, in the enlarged and adapted justice system for former children's homes and special school students.
ParlaMint-NO_2009-04-02.ana.ud2081e119	The representative, Hans Olav Syversen, will put forward two proposals for representatives.
ParlaMint-NO_2009-04-02.ana.ud2081e122	On behalf of the representatives of Åse Gunhild Woie Duesund, Laila Davøy, Dagfinn Høybräten and myself, I will present a proposal for a representative to step up efforts to prevent drug abuse through zero tolerance for drug trafficking, the cessation of drug injection rooms and a stronger commitment to overall prevention work. And the next – it is soon Easter break – is a proposal from the representatives of the Storing Association Åse Gunhild Woie Duesund, Laila Davøy, May-Helen Molvær Grimstad and myself for the amendment of the alcohol law so that the serving of alcohol cannot take place after 1 p.m. 02:00, more stringent penalties for infringements of the alcohol law and greater emphasis on police advice.
ParlaMint-NO_2009-04-02.ana.ud2081e129	The representative of Inge Wohnning will present a proposal for a representative.
ParlaMint-NO_2009-04-02.ana.ud2081e132	On behalf of the representatives of Sonja Irene Sjøli, Erna Solberg and myself, I am delighted to make a proposal for a contingency plan for rehabilitation and rehabilitation.
ParlaMint-NO_2009-04-02.ana.ud2081e137	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2009-04-02.ana.ud2081e151	At the request of the Church, Education and Research Committee, the President will propose that the debate be limited to 1 hour and 25 minutes, and that speaking time be allocated to the groups as follows: the Labour Party 20 minutes, the Advance Party 15 minutes, the Right 10 minutes, the Socialist Left Party 10 minutes, the Christian People's Party 10 minutes, the Central Party 10 minutes, the Left 10 minutes. In addition, it is proposed that the Council of State should have a speaking time of up to 5 minutes. Furthermore, the President will propose that there be a replication of up to three lines with replies after the speeches of the main speakers of each party group and five lines with replies after the contributions of members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – This is deemed to be adopted.
ParlaMint-NO_2009-04-02.ana.ud2081e162	It is an important matter for the education of teachers The Stortinget to deal with today. This happens approximately. two years after we received a comprehensive NOCUT evaluation on the state of general teacher education in Norway. As far as work on the matter is concerned, it is important for me, as the rapporteur-in-Office, to point out first in the areas of broad consensus within the Committee. Then I'm going to go into the areas where there's disagreement. I think it's important to show where there's broad consensus. I want to draw six points here. First, there is a broad consensus that general teacher training should be given a two-part course: a 1-7 race, with a reformed classroom teacher – to use that term – and a professional in a 5- to 10-year course. I think it's positive that this differentiation is being carried out, and that there's excitement about it. Secondly, there is a broad consensus in the Committee on the extension of the field of pedagogics, so that it becomes a thorough subject, a subject of pedagogics and student knowledge. It deals with both principles and practicalities by having a job as a teacher. There are differing views in the Committee on this subject, but in this context I would like to say that it is important to strengthen the field of education in this way. There is also broad consensus in the Committee on the introduction of guidance for teachers after they have been trained. There are different models of how to do it, but there is consensus that this is important and crucial. I think it is necessary to stress that an overall committee stands for it. An overall committee wants to recruit more teachers, but here it is well known that there is a discussion about how strongly it should be done and how much it should be done. But it has to be recruited, it is important, and the committee decides it. Secondly, there is also a broad consensus within the Committee to strengthen skills requirements for teaching, i.e. skills requirements regardless of the subject. It has been presented in the message, but then there are different views on how to proceed with this in the present situation. I also want to say that the Committee as a whole is in favour of a certification system for teachers, but there is a different view on how to deal with the issue further. I'll get back to it when it comes to the left. When I start with these points, it's because it's very important when the Storting does something as crucial as discussing a reform of a new general teacher education seven years after they did it last, to establish these common points, the heavy lines of education, which are agreed upon. It belongs to normal formation and politeness to say what I am now saying, but it is also true: I want to thank everyone in the Committee for excellent efforts and contributions. There has been a good working tone during the work on the matter. We've gradually learned how to handle things peacefully, even though there are clear differences of opinion. The different parties will of course explain their vision, and I will also come back to it. I would then like to explain the view of the Left, and which the Left has on many points in common with other parties, but also partly alone – and I will do so now. Firstly, it is the left's opinion that we should have had ambitions that had brought us there that we would have wanted to introduce a five-year general education course with a two-part course after a practical transition period. The transition period on the left, which we also have in common with other parties, is a period of five years from now. It is a period when the University and Higher Education Council say clearly is a realistic period, if the state or authorities have the will and practical political strength to implement it. In this five-year cycle, the Left wants to build on the four years on which the present big message is based, but in the fifth year, we will put more practice in line with the thinking contained in the communication. We want to introduce a master's degree task with the requirements that it has to meet according to the master's degree regulations. And we want to introduce our own subject that strengthens the educational element, so that we will strengthen the pedagogical subject with 20 points of study, and these 20 points of study we will relate to a combination of historical and religious knowledge. We believe that such an element of formation is very important. Here we are in the situation that the Government has said that a group should be set up to decide if and when it is appropriate to do something about a five-year education. So the big message and the committee work give no more clarity as to whether it is actually the Government's intention and will to do this, and I think that, on behalf of the Left, is regrettable. I think you could set a goal and then work towards the goal. But here, there is a clear political disagreement. Throughout this ageing period, the Left has had three basic themes in terms of school and teachers. It's a good basic education, and we're dealing with it here today in connection with this message about primary school teachers. We have been involved in systematic further training for all teachers in all disciplines. And we've been concerned with the broad recruitment of teachers, because we need it. Then, as a party, we have also been concerned that there should be a professional requirement to teach in all subjects. Here it is positive to note that there is consensus in relation to the Government, when the Government wants such a line. The disagreement is whether this applies to the teachers who are in school today. At this point, the Left believes that it is absolutely necessary that these professional requirements also be linked to teachers who are in school today, but then one must also do what we, together with other parties, stand for: link this with systematic further training. This allows you to build up the skills of the teachers who are there over time. There is a political disagreement between the Left and the Government parties. We want the professional requirements to apply also to the teachers who are in school today, and to give them a chance to become good where they are, by relying on their real competence and receiving further training that gives them formal competence. Now it's like the Left represents a line we're with other parties about, to reinforce the recording requirements in Norwegian and mathematics. I would also like to point out that I think there are two shortcomings in the message. One deficiency is to see this teacher training — that is, primary school teacher training, which we are now talking about — in relation to other teacher training courses. When you do the reforms of education, whether it's by the majority line, that's the line of government parties, that Christian People's Party, because of the number of years it's together with the Government about, or the minority, it would be important to see this in relation to other teacher's education as well. That's why it's an overall proposal from all the parties in the opposition to get an overview of the different teaching pathways as soon as possible, and I'm not going to get any closer to it right now. It's also that wise senior policy is wise policy, and it should have been more of it, but I'm not going to mark it further. In connection with the message, the Left has been committed to looking at a subject of education related to historical and religious knowledge. When a compromise was reached on teacher training – that was in 2002 – it was a compromise between the Bondevik II parties, the Right, the Christian People's Party and the Left, and the Workers' Party and the Centre Party. In that compromise, 20 study credits were built into religious knowledge. When we are going to create a teacher training for the future, it is the Left’s view – and here we have a common view with the Right and the Advance Party – that it is necessary to see religious knowledge broadened. We need to see it in the educational perspective where history and religious knowledge are seen in a context. There's two reasons why that's important. One reason is the multicultural society in which we live. We have to learn the concept so that we can conduct an honest and sincere dialogue from where we stand. It's also so that in a world with a global economy and where we're going across, it's absolutely necessary that we have a ballast that allows us to stand up to other people who come from other cultures, so that we have the concept. It has therefore been an important point for us to take this with us. I'm not going to go into it any further, because I think this marking of the formation is to reinforce the pedagogical subject, but also to substantiate something that needs to be a big and important project. Let me say that now, because teacher training is to support and strengthen the Norwegian public common school, and the Norwegian public common school is a large and important project because it is a meeting place for everyone. It is still the case in Norway that people with very different social backgrounds, very different economic backgrounds, choose to send their children to public schools. And it's my and Left's sincere belief that as long as we do this school well, it will continue to be like this. The only way we can do it is, of course, to strengthen everything that's related to school management, but it's also, and above all, to strengthen the teachers. That is why I initially referred to the importance of this Communication on the reform of general teacher training and how important they are, the points of view that are now emerging from different parties. That's where the key is to have a school that includes. We also know through research that there is the level of competence of the teachers, together with the good management of the individual school, the good management of the school in the municipalities and a will nationally that allows you to have this good common school. In this good common school, it is very important that we can also look at this relationship that must be a Norwegian project: how do we manage to deal with each other in a proper, proper and civilised way when we have different life views? We all have the great world religions in our country. How do we give the ballast so that we can cope with this in a way that allows us to acknowledge our roots and our history, but at the same time open visors can meet in the great Norwegian 'we', which are Norwegian citizens, but with different backgrounds and with different identity and history? Strengthening this element in a teacher training course has a left-wing view as necessary. We have that vision in common with the Right Party and the Advance Party, with which we have proposals, but it is also a vision strongly promoted by the Christian People's Party in this position. Then I will end by pointing out that we support the Government by wanting a framework plan for teacher training. This is where we break as the aggregate of the Stjernø committee's snuggles. Having a comprehensive curriculum for teacher training is very important, and it is also very important, as we as the committee have learned, that we were told by the country's largest school owner, Astrid Sögnen, on behalf of the Municipality of Oslo, that it is not even certain that the educational institutions today are following up the promise of knowledge in the jobs they are going to do. And then finally, I want to make a series of suggestions, where the Left is either alone or with other parties. I then take up proposal No. 1, on behalf of the Party of Advancement, the Right, the Christian People's Party and the Left, the proposals No. 2-7, on behalf of the Party for Progress, Right and Left, proposals Nos. 12 and 13, on behalf of the Right and the Left, and proposal No. 18, on behalf of the Left.
ParlaMint-NO_2009-04-02.ana.ud2081e213	The representative Odd Einar Dørum has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2009-04-02.ana.ud2081e218	There's two or three things that can be said about the main lines here. One is that the position stands together and the opposition has different models. But I can't wait to ask the representative again, because one also sees in this case a tendency for the Left to sign with the Progress Party. That trend is seen by many of us in the current ageing period, and my question to the representative Dørum is simply: is there really such a difference between the Left and the Advance Party in school policy when it comes to it?
ParlaMint-NO_2009-04-02.ana.ud2081e223	It's a general pleasure for me when the Right, Left, Christian People's Party and the Advance Party can stand together to strengthen generalisation, can stand together to strengthen research, and the Right Advance Party and the Left can stand together to have an ambition on behalf of a Master's degree. It's just very good. Everyone who knows the history of the Left knows that these are long lines in the history of the Left. When it comes to the representative de Ruiter, he knows the answer to the rest of the question. He knows that the Progress Party will have a state-owned price scheme for the school, which is deeply disagreeable with the Left. He knows that the Progress Party will grant the right to earn money from running private schools, something that the Left deeply disagrees with. But this little ritual has also been carried out earlier in the landfill period. It's a great pleasure to repeat the answer. Of course, the left is not ashamed to be with other parties in matters where we actually have a common view. I think it should be a greater cross of thought for the representative de Ruiter and the Workers' Party, a party that historically believed that knowledge gave power, that one has such weak ambitions on behalf of the general teacher education that one dares not run and believe in a five-year master's degree, so that our teachers have the best background in a society where many have high education, which the representative de Ruiters and my party can share the joy of having participated in creating. It's a bigger cross of thought.
