Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2009-02-10	ParlaMint-NO_2009-02-10.ana.ud1570e28	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-10	2009-02-10	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2009-02-10	ParlaMint-NO_2009-02-10.ana.ud1570e73	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-10	2009-02-10	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2009-02-10	ParlaMint-NO_2009-02-10.ana.ud1570e79	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-10	2009-02-10	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2009-02-10	ParlaMint-NO_2009-02-10.ana.ud1570e98	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-10	2009-02-10	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-10	-	Reference	English	Regular	notMP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.JGS	Støre, Jonas Gahr	M	1960	
ParlaMint-NO-en_2009-02-10	ParlaMint-NO_2009-02-10.ana.ud1570e383	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-10	2009-02-10	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2009-02-10	ParlaMint-NO_2009-02-10.ana.ud1570e397	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-10	2009-02-10	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2009-02-10	ParlaMint-NO_2009-02-10.ana.ud1570e406	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-10	2009-02-10	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-10	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.THA	Hansen, Torbjørn	M	1972	
ParlaMint-NO-en_2009-02-10	ParlaMint-NO_2009-02-10.ana.ud1570e432	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-10	2009-02-10	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-10	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GUE	Eldegard, Gunvor	F	1963	
ParlaMint-NO-en_2009-02-10	ParlaMint-NO_2009-02-10.ana.ud1570e445	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-10	2009-02-10	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-10	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HAFA	Asmyhr, Hans Frode Kielland	M	1970	
ParlaMint-NO-en_2009-02-10	ParlaMint-NO_2009-02-10.ana.ud1570e456	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-10	2009-02-10	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-10	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.SKB	Brustad, Sylvia	F	1966	
ParlaMint-NO-en_2009-02-10	ParlaMint-NO_2009-02-10.ana.ud1570e471	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-02-10	2009-02-10	Unicameralism	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-02-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
