ParlaMint-NO_2009-11-04.ana.ud60e26	The representative of Christian Tybring-Gjedde will put forward two proposals for representatives.
ParlaMint-NO_2009-11-04.ana.ud60e29	On behalf of the representatives of Ulf Leirstein, Harald T. Nesvik and myself, I am delighted to make a proposal on simplifications in reporting, forms and regulations for business and a proposal on behalf of the representatives Ulf Leirstein, Kari Storstrand and myself to prohibit the publication of tax lists.
ParlaMint-NO_2009-11-04.ana.ud60e34	The representative, Mr Kjønaas Kjos, will present a proposal for a representative.
ParlaMint-NO_2009-11-04.ana.ud60e37	On behalf of Per Arne Olsen, Jon Hunter Gåsvatn and myself, I would like to propose an investigation related to the trial project with Naloxon nasal spray to combat overdose deaths.
ParlaMint-NO_2009-11-04.ana.ud60e42	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2009-11-04.ana.ud60e64	On Monday the Stortinget received a message from the Prime Minister's office that Foreign Minister Jonas Gahr Støre and the Councils of State Tora Aasland and Lars Peder Breck will meet for oral Question Time. The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. We then start with the first main question, from the representative Morten Højlund.
ParlaMint-NO_2009-11-04.ana.ud60e73	I will be asked a question to the Minister for Foreign Affairs. Norway is dependent on open markets, and thus protectionism is not in Norwegian interest. This is something the Minister for Foreign Affairs has also mentioned several times. A recent report to the World Bank reports an increasing level of protectionism in many countries — countries in the EU, the United States, China and Russia, to name a few. Many would think that this is the worst medicine to get out of the financial crisis. A new WTO agreement, on the other hand, could be good news and an incentive in these demanding times. Today's WTO agreement gives Member States room to significantly increase customs duties. A new agreement could limit this space for action and ensure a greater degree of open markets. Not least, a new agreement will be good for the export of Norwegian fish – fish facing trade barriers on many important markets. Now, for the first time in four years, there will be a ministerial meeting at the WTO in Geneva, at the end of this month. In order for a new agreement to be put in place, some countries will have to go a little further. How far is Norway willing to go? Are you willing to put aside an unsolvable, protectionist agricultural policy and contribute to a solution?
ParlaMint-NO_2009-11-04.ana.ud60e86	I share the representative's view that protectionism is not a way out of the crisis today. Norway joins in the repeated opinions that have come from many teams, that this is not the way to go. In Pittsburgh in September, the G20 countries set this out. This is Norway's position also in the WTO, in the OECD, in EFTA and in our cooperation with the EU. We can go through the statistics, but we don't have to do it here. Norway is dependent on exports and predictable markets and will be affected if this becomes a widely used instrument. It is true that there is a WTO ministerial meeting for the first time in four years. It may not have as its main focus the Doha process, i.e. a new global trade agreement. But we are going from the Norwegian side to use that opportunity to underline the need to conclude these negotiations. One of my first jobs as Minister of Foreign Affairs was to travel to Hong Kong in November 2005. Then the goal was to conclude the negotiations. We're not yet in the goal. It is still relevant to get that agreement in place, both because it will provide a global regulatory framework that will make all of these bilateral agreements that we are now concluding less important, and because it will strengthen developing countries' access to world markets, which is clearly necessary. Fish have been an important requirement for Norway in those negotiations, and it will still be. Let me also say that the WTO has been given a mandate to monitor whether countries are now taking protectionist action. It also follows the OECD, so it's important knowledge. We're going to help make a deal. We've gone far in our positions. I do not share the representative's description of Norwegian agricultural positions. We have a Norwegian position to maintain Norwegian agricultural production throughout the country. We have presented proposals on import protection, internal subsidies and export subsidies, which will make Norway take a significant part of the responsibility to bring about a new global agreement.
ParlaMint-NO_2009-11-04.ana.ud60e99	I would like to thank you for your answer. I want to put a follow-up question to the Minister of Agriculture and drill a little further into what we think is a main challenge, and that is the Norwegian defence interests related to agriculture. One thing is that you are willing to go under pressure in a situation of negotiation, but you can already go a long way. There is nothing to stop Norway from taking action. According to the Church’s Emergency Aid, Norway is a supporter of rich country’s dumping of agricultural products on markets in poor countries, and Norwegian subsidies policy has to be reformed, according to the Church’s Emergency Aid. Norway has more products with rates of between 300 and 500 pst. and some even higher. This makes Norway one of the most protectionist countries in the world in the field of agriculture. I will challenge the Council of State on the following: What action does the Council of State intend to take to get Norway out of this mess, thus giving a good signal and helping us to get a new deal?
ParlaMint-NO_2009-11-04.ana.ud60e112	Like the Minister for Foreign Affairs, I would like to stress that we are very concerned about reducing protectionism as a principle in world trade. At the same time, we are also committed to taking care of Norwegian agriculture, which is what the representative asks about. In the negotiations so far, Norway has been one of the countries, along with the other G10 countries, which have taken the largest cuts in customs duties. Norway has been willing to reduce, or eliminate, export subsidies. Today we are not exporting products from Norway, except for the Järlsbergosten, which has a weak subsidy that we have said we should remove. In addition to this, Norwegian agricultural production does not contribute to market pressure in the world, because we do not export goods. On the other hand, we are committed to ensuring Norwegian agriculture throughout the country, and then we need import restrictions to ensure it, within the framework of a WTO agreement.
ParlaMint-NO_2009-11-04.ana.ud60e123	Four follow-up questions are raised – first Peter N. Myhre.
