ParlaMint-NO_2009-03-25.ana.ud1338e22	The representative, Hans Frode Kielland Asmyhr, will present a proposal for a representative.
ParlaMint-NO_2009-03-25.ana.ud1338e25	On behalf of the big business representatives Øyvind Korsberg, Kåre Fostervold and myself, I have the great pleasure of proposing that a big deal be made about the construction industry.
ParlaMint-NO_2009-03-25.ana.ud1338e30	The representative, Mr Ingreigt S. Sørfonn, will present a proposal for a representative.
ParlaMint-NO_2009-03-25.ana.ud1338e33	On behalf of the representative Hans Olav Syversen and myself, I am delighted to make a proposal to strengthen the concern for value creation and regulation simplification by bringing together the responsibility for business-related laws in one department.
ParlaMint-NO_2009-03-25.ana.ud1338e38	The representative, Jan-Henrik Fredriksen, will put forward a proposal for a representative.
ParlaMint-NO_2009-03-25.ana.ud1338e41	I am delighted to present a proposal for a representative from the depositors Ketil Solvik-Olsen, Tord Lien and myself to allow the oil reloading of Russian oil and gas products in Bøkfjorden in Kirkenes.
ParlaMint-NO_2009-03-25.ana.ud1338e46	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2009-03-25.ana.ud1338e72	On Monday, the Stortinget received a message from the Prime Minister's office that Prime Minister Jens Stoltenberg will meet for oral Question Time. The Prime Minister is present, and we are ready to start the oral questioning process. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. We start with the first main questions, from the representative Siv Jensen.
ParlaMint-NO_2009-03-25.ana.ud1338e81	Yesterday, the Prime Minister was in Saudi and said that the rest of the world should have done as Norway did in dealing with the financial crisis. Then I expect that the Prime Minister also included the administration of the Norwegian people's savings, namely the oil fund. It's nothing less than a scandal. So here, $633 billion has evaporated. It's such a big amount that I'm going to try to break it down. It's going to be 135000 kroner per year. North. It's equal to 744 miles by motorway. It's equal to 1.5 million sick places. So there's large amounts that are now gone. I believe that the Norwegian people are entitled to know what kind of consequences this will have for those responsible for the administration, whether it will have any consequences at all. I also believe that the Prime Minister must respond to whether the Government will soon publish what kind of bonus schemes are given to the employees in the management of the petroleum fund. For example, the government has been ready to publish its bonus schemes to all those working in the private sector, in banking and finance. Most of us understand that, but then it's hard to understand why you shouldn't publish the bonus schemes for those who have managed this money on behalf of the Government. And it might be interesting to know if this means that the government is now going to lay down the management of the petroleum fund. I just want to remind you that the vice president of the Workers' Party, Helga Pedersen, has called it the Progress Party would have done, namely to invest more of this money at home, to throw money out of the window. My question to the Prime Minister will then be: Who is the one who has thrown the money out of the window?
ParlaMint-NO_2009-03-25.ana.ud1338e92	Firstly, in a short time, the Stortinge receives a large-scale report on the activities of the State pension fund — Foreign. Then Stortinget can get all the numbers and all the details about management and about returns and ask questions. When I say that, it's because an important part of the Storting's work is just to control and follow up the decisions the Stortinget has made, the work the Government is doing, and the work the State pension fund is doing. So here nothing is to be hidden, here everything is to come up. Everything has to be reviewed. In addition, it is already announced by the Government that with regard to the rules for what is called active management, they need to be changed because they have learned from what has happened in the past. But then a little bit in general. There is a broad majority of the Stortinget who have thought that the revenue we receive from the oil industry should be invested in Norway. This is why we invest a lot in Norway. We're presenting a transport plan where we're going to spend 100 billion kroner – a lot of oil money – to renovate infrastructure, invest in Norway. But on the one hand, it has to be saved, by investing in assets, shares, in other countries. It has historically given very good returns, although it has also been historically strong fluctuations. The problem now would have been if you were forced to sell. Then you would have suffered great losses. But the state is a long-term investor, and you've quickly earned back the fluctuations you've seen in previous setbacks. Therefore, it is quite possible that in a few years' time we will sit and say that we are not now selling, as many other investors are doing, very profitable when prices start to rise again. So historically, placing money partly in bonds, partly in shares has been very profitable. The State shall not sell and therefore not realise any losses.
ParlaMint-NO_2009-03-25.ana.ud1338e103	Now, there are very many experts in stock placements of this type of investment who believe that what is going on in the oil fund is not very smart, and that it is wrong when the government talks about the long-term perspective – precisely because many of the companies into which the oil fund went, after all, went over 14 days after making large investments in them. The Prime Minister can't explain that. What he cannot explain either is that even on repeated occasions, not later than October 2008, he has attacked the Progress Party and called our proposal to invest more of the oil money at home, to invest less of the oil money in shares, to take less risk, a huge economic experiment. In addition, Martin Kolberg has said that we have to be careful so that the state does not have problems paying the pensions for the future. After all, the name of this fund was changed, called the State pension fund – Foreign. Nevertheless, NOK 633 billion of the Norwegian people's money is now gone.
