Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2009-05-29-lower	ParlaMint-NO_2009-05-29-lower.ana.ud1379e35	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-29	2009-05-29	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-29	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2009-05-29-lower	ParlaMint-NO_2009-05-29-lower.ana.ud1379e44	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-29	2009-05-29	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-29	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TOHA	Hagebakken, Tore	M	1961	
ParlaMint-NO-en_2009-05-29-lower	ParlaMint-NO_2009-05-29-lower.ana.ud1379e77	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-29	2009-05-29	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-29	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.IBTH	Thomsen, Ib	M	1961	
ParlaMint-NO-en_2009-05-29-lower	ParlaMint-NO_2009-05-29-lower.ana.ud1379e100	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-29	2009-05-29	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-29	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2009-05-29-lower	ParlaMint-NO_2009-05-29-lower.ana.ud1379e103	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-29	2009-05-29	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-29	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.KAAN	Andersen, Karin	F	1952	
ParlaMint-NO-en_2009-05-29-lower	ParlaMint-NO_2009-05-29-lower.ana.ud1379e118	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-29	2009-05-29	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-29	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.VL	Lysklætt, Vera	F	1954	
ParlaMint-NO-en_2009-05-29-lower	ParlaMint-NO_2009-05-29-lower.ana.ud1379e129	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-29	2009-05-29	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-29	-	Reference	English	Regular	MP	Minister	Sp	Senterpartiet	Coalition	Centre	person.MMK	Kleppa, Magnhild Meltveit	F	1948	
ParlaMint-NO-en_2009-05-29-lower	ParlaMint-NO_2009-05-29-lower.ana.ud1379e144	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-29	2009-05-29	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-29	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2009-05-29-lower	ParlaMint-NO_2009-05-29-lower.ana.ud1379e147	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-29	2009-05-29	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-29	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.IBTH	Thomsen, Ib	M	1961	
ParlaMint-NO-en_2009-05-29-lower	ParlaMint-NO_2009-05-29-lower.ana.ud1379e154	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-29	2009-05-29	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-29	-	Reference	English	Regular	MP	Minister	Sp	Senterpartiet	Coalition	Centre	person.MMK	Kleppa, Magnhild Meltveit	F	1948	
ParlaMint-NO-en_2009-05-29-lower	ParlaMint-NO_2009-05-29-lower.ana.ud1379e162	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-05-29	2009-05-29	Lower house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-05-29	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
