Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2009-06-10-upper	ParlaMint-NO_2009-06-10-upper.ana.ud1377e89	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-10	2009-06-10	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-10	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2009-06-10-upper	ParlaMint-NO_2009-06-10-upper.ana.ud1377e108	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-10	2009-06-10	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-10	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2009-06-10-upper	ParlaMint-NO_2009-06-10-upper.ana.ud1377e125	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-10	2009-06-10	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-10	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2009-06-10-upper	ParlaMint-NO_2009-06-10-upper.ana.ud1377e142	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-10	2009-06-10	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-10	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2009-06-10-upper	ParlaMint-NO_2009-06-10-upper.ana.ud1377e159	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-10	2009-06-10	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-10	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2009-06-10-upper	ParlaMint-NO_2009-06-10-upper.ana.ud1377e176	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-10	2009-06-10	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-10	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2009-06-10-upper	ParlaMint-NO_2009-06-10-upper.ana.ud1377e193	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-10	2009-06-10	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-10	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2009-06-10-upper	ParlaMint-NO_2009-06-10-upper.ana.ud1377e210	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-10	2009-06-10	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-10	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2009-06-10-upper	ParlaMint-NO_2009-06-10-upper.ana.ud1377e227	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-10	2009-06-10	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-10	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2009-06-10-upper	ParlaMint-NO_2009-06-10-upper.ana.ud1377e244	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-10	2009-06-10	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-10	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2009-06-10-upper	ParlaMint-NO_2009-06-10-upper.ana.ud1377e262	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2008-2009, Sitting day 2009-06-10	2009-06-10	Upper house	Term 2005-2009	Session 2008-2009	-	Sitting day 2009-06-10	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
