ParlaMint-NO_2009-12-09.ana.ud773e67	The representative Peter Skovholt Gitmark, who has been on leave, has again taken the seat.
ParlaMint-NO_2009-12-09.ana.ud773e85	At the request of the Church, Education and Research Committee, the President will propose that the debate be limited to 2 hours and 25 minutes and that speaking time be allocated as follows: Working Party 45 minutes, Progress Party 30 minutes, Right 20 minutes, Socialist Left Party 10 minutes, Center Party 10 minutes, Christian People's Party 10 minutes, Left 10 minutes and members of the Government 10 minutes. In addition, the President will propose that there be an opportunity for a replacement of lines within the allocated speaking time of up to four lines with replies from the main speakers of the parties and up to six lines with replies from members of the Government. It will also be suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2009-12-09.ana.ud773e96	It is only to note that the world's attention in these days is probably not focused on the budget debates in the Grand Duchy. They are aimed at Copenhagen and the important negotiations that are taking place there. World leaders should, during the ten days they and their delegations sit together, reach a binding agreement on CO2 savings. It will require historical courage and political competence. And if they succeed, it's a very good news for the world. At the same time, it is a victory for knowledge and for research. A climate agreement in Copenhagen is impossible to imagine without science. The entire Copenhagen Summit is based on scientific research. We have knowledge of climate change from thousands of scientific research projects. These have been carried out by researchers from many countries, including Norwegians. Norway is a relatively large climate research nation. In the case of scientific publications, we are the number. 15 on a global ranking. Per capita, we're actually the biggest. We have very good professional environments in several fields, in particular in the field of marine modelling, regional climate scenarios and polar research. One example is the Mountain Centre. They have recently demonstrated that the sea’s ability to absorb CO2 is reduced. That means that more of the greenhouse gases we emit remain in the atmosphere. This reinforces the greenhouse effect. This is a very good example of why it has been right to invest in research — basic research as a mission research. But we need to know more. This is why the 2010 budget for research into the environment and climate will increase. The mountain centre is one of the budget winners. But science is not enough in Copenhagen. The models for different negotiated solutions have been developed by community suites. Professor Arild Underdal, who I've had the pleasure of having as a head of state science, has developed contract systems for complicated negotiations. Economic theory has researched models for quota systems. Cultural knowledge and linguistic skills are also necessary if the world is to agree. Anyway, what we're seeing now is that our collective knowledge, the accumulated human beings through generations, can and will be used to save the world from dramatic changes we don't overlook the consequences of. Most people living today are surrounded by knowledge. We talk about new technology, in smarter ways of solving problems, in a technologically developed cultural and entertainment world, in a medical development that allows us to live longer and move over long distances in a short time, through how we communicate. Developing all possibilities will require knowledge. But it also requires knowledge to use the possibilities. Our future will be based on knowledge development and not least our ability to share this knowledge. The entire Norwegian school system must be, and should be, a place where each student and student is given the opportunity to develop and their abilities in a safe environment. We have to bet on knowledge without going beyond well-being, and we have to bet on safe school environments without going beyond learning. In this budget, increased focus continues on quality in the training cycle. The debate in recent years has increasingly been about knowledge and quality in school. It is entirely in line with the Workers' Party's history of education policy. It was with Gudmund Hernes' entry into the social debate, gradually in the role of Minister of Church, Education and Research, that the reform phase began. The New Year's Eve 1986 Hernes wrote a chronicle in Dagbladet with a clear message: Norwegian education does not have good enough quality. And he claimed that the lack of quality had nothing to do with appropriations, as the usual perception was. Since then, reforms in primary, secondary and higher education have been in line. The raising of knowledge is the last reform. It has been necessary, but now the reforms need to be settled. It means yes to a reform break, but not no to development. That is why we are continuing the strong commitment to knowledge and research, as announced in the Red-Green Government platform. Yesterday, the Statistical Centre was able to present new figures showing an increase in the number of Nordics completing higher education. Record-lave 30 pst. the population today has only primary education. Norway has a high level of education, a high level of research and is the OECD country with the highest proportion of the workforce in occupations requiring training. Our challenge is to ensure high quality in all parts of the education system, to provide all access to education and to ensure skills for an increasingly knowledge-based working life. I want to highlight three issues in particular: continuing to focus on quality in primary education, systematically working to reduce the drop-out rate in high school and to prepare for increased student growth in the years to come. If these objectives are to be achieved, early action is essential. The strong bet on kindergartens has been right. Once again, the number of hours goes up in primary school. In addition, we are now introducing free homework from the 1st to the 4th step. We know that social differences affect children's school outcomes. Not all parents are able to help with homework, and not all parents give homework to their own children. That is why this new initiative is very important. Everyone agrees that the dropout in secondary education is worrying and too high. Poor results from high school affect non-response, which in turn increases the risk of disability and exclusion of young people from working life. The main question all the principals have to ask is, what is my school doing wrong, which makes the students stop? In many places, active efforts are being made to get more people to complete their study or professional skills, but in many places it is too little. We need to work out measures that work. We need to spread knowledge about this to all schools. We have to make sure that every young person experiences that he or she is being taken seriously. In this year's budget, we're adding 58 million. kr to measures to increase the efficiency of implementation. It's a very good contribution, but it won't be enough. The causes of high rates of non-response are complex and require many measures in several areas. That is why the Committee's work on St.meld will be. No 44 for 2008-2009, Education Line, next year a very important work. We don't know how many more students there will be in the years to come, but we know that there will be more. This means that we need to have good and stable funding for the university and higher education sectors. We have to take advantage of the entire sector as it is developed today. Several students have to take all or part of the education out. We donate money to several places of study in this year's budget, and it will have to go on. In any case, high quality has to be a primary goal, even though there are more students. Then we need more robust professional environments. We're going to stimulate it by 50 million. kr for increased cooperation, work sharing and innovation. There has been a sharp increase in research and development in recent years. This continues in next year's budget. Next year we'll spend about $23.6 billion, which is 0.97 pst. of gross domestic product. I have been involved in climate research. There is a focus on upgrading equipment, which is a good thing for the research community. Regional research funds also receive an increase. The budget for higher education and the technical education sectors is DKK 24.5 billion, a growth of 4 pst. Several places of study, several student homes and increased efforts at cooperation are areas I want to highlight. The Norwegian Church plays a significant role in society. The church is more than a seremoniarena, and it has an engagement beyond fighting around female bishops and gay priests. That's good. A few days ago, the Church’s organisations handed over 34 000 signatures to Minister of Development Erik Solheim, who wanted a fair climate agreement in Copenhagen. The head of the Council of Churches, Jens-Petter Johnsen, carried an irresistible sheet. The symbolism was not to be misunderstood. The Old Testament tells us about the Flood, sent by God. Climate destruction can lead to a new deluge, but this time created by ourselves, by men. The Church has an important moral voice. The fact that it chooses to use it is correct — especially to apply it to existing conditions, such as environmental threats. I will also praise the Church for the work it does in terms of dialogue across religions. In a multicultural society — as Norway has become — it is very important. The State budget for the year is characterised by a record use of revenues from the petroleum sector. We spend the next year 44.6 billion dollars more than expected returns in 2010. That's right, in a situation where the financial crisis has led to demand failure. Nevertheless, this year we have also heard the opposition and interest groups call for more money as a solution to all problems. Then I will again draw out Gudmund Hernes. In 1986 he wrote about the low quality of teaching at universities: ‘In Norway it is common to start with the economy. [[...]] Major appropriations for basic research, equipment and not least study funding would help. But to see it all as a question of allocation obscures the problems." In the years that come after this budget, we will most likely have to tighten up on the use of money. Solving the most important tasks in a better way — without spending even more money — will be the most important task for society. As politicians, we must dry up to take the lead on that very challenge. I am convinced that this is possible, but then the path of thought in many sectors, including education and research, needs to be changed. I will end by thanking the Cooperation Committee and referring to the position of the Church, Education and Research Committee.
ParlaMint-NO_2009-12-09.ana.ud773e156	It's going to be line change.
ParlaMint-NO_2009-12-09.ana.ud773e159	The representative of Aasen is concerned with two important things: that quality in school is important, and that everyone should have equal access to education. Then there are some ideological barriers in the Workers' Party to this with private schools, while we know that more focus on learning in private schools gives better results and more satisfied students. The main reason for this — point out ‘Research’ — is competition for students and for the benefit of parents. It is in reality competition, not the fact that the service is offered by private individuals, which makes the service good. And in order to be a little helpful, I can then be tempted to ask the question: Why does the Workers' Party have such great problems in legislating the right to free choice of schools, at least in the public sector?
ParlaMint-NO_2009-12-09.ana.ud773e166	I have to admit that I do not fully agree with the premise that there are better results in private schools versus public schools. I myself come from a municipality with good results in school, and have one small, private school. There is no correlation at all between the results in e.g.: this municipality. We are not against private schools as such, nor are we against students being allowed to choose school. Today you can choose school in the municipality you live in, but having a statutory right to it will be very difficult, because for a municipality there are many considerations to consider. There may be crowded schools, which do not have enough room for more students, and where it is not possible, physically, to put more people into classrooms — the right to choose a school will then be very difficult to practice. It also means that neither the learning environment nor the learning offer will be good, for those students who attend the full school – who get even more students – nor for those who choose to change.
ParlaMint-NO_2009-12-09.ana.ud773e173	This government has been committed to maintaining red-green municipalities as examples of its school policy. Tromsø is one of these exhibition windows. According to a survey in Nordlys on 5 October, the Tromsø school starts with a 24.5 year's work less this autumn, corresponding to an entire kindergarten in the municipality. At the same time as teaching positions are cut, the city is growing, and there are actually more students in the Tromsø school. Developments are therefore in the opposite direction to what the government party has promised, more teachers and increased investment in the school. Is the representative of Aasen satisfied with the development in Tromsø? What has gone wrong when the government's school policy obviously doesn't work in one of the major cities in the country, and that to everything overdo is governed by the red-green parties?
ParlaMint-NO_2009-12-09.ana.ud773e180	With regard to the number of teachers, the number of yearly jobs in school has increased on a national basis, while the number of students has actually declined slightly in primary school. We all know that Tromsø is a press community. It is one of the few municipalities in Northern Norway that people move to, and they have major challenges to meet, in relation to both this and elderly care. How local politicians in Tromsø meet their local challenges, I can't, as a representative of Stortinget, put myself up to it, but the signal – which is quite clear from us, and which we have given through record-breaking efforts in the local economy – is that Tromsø, like all other Norwegian municipalities, has received more money. We've been very clear that this is going to be applied to more teachers, a better school and a bet that makes all students get better training.
ParlaMint-NO_2009-12-09.ana.ud773e187	As a committee, we have carried out many consultations. We have also heard rumors that government parties have had their own hearings in the process, and that is good. There we have received many clear messages – we have heard about many concerns, and as the representative was involved in his post, everyone really wants more. But what worries me about the situation is that when people come in here, I think they have a hope that we should listen – that the Storting actually listens. The result after we've met all of these people through this consultation round is that it's 2 million. (c) earmarked for two purposes in the budgetary position which have changed in relation to the Government's proposal. Does the representative of Aasen think that this is right for all those who come and present their cases, and who think it can result in changed priorities? I am also concerned about the influence of democracy and the people's input here, when, after all these hearings, the majority government only adopts its budget.
ParlaMint-NO_2009-12-09.ana.ud773e196	It is true that we have hearings and that there are many who have come with many wishes. I doubt that there are so many who have had expectations that there will be major changes in the budgets. It's true, as the representative says, that the red-green parties have presented their budget. What is important with the hearings is just as full a picture of the situation as the various stakeholder organisations and organisations experience in Norway. I can assure you that everyone in the red-green major fraction hears carefully what is being said, and is going to take it further. We've already started working on next year's budget. All the input we've received is going to affect how we, together with the Government, should prioritize different areas. So I do not share the concern of the representative Eriksen that this is an undemocratic form of consultation.
ParlaMint-NO_2009-12-09.ana.ud773e205	As far as the education sector is concerned, there is one of the sectors in which there has actually been a slight change, because there has been a cut in the course of wholesale treatment. The representative of Aasen pulls out Hers as the great social-democratic leader star on the school side, and that makes sense when you have two government councils from SV in the government you sit in. But the Hernes once said that if they can't find fresh funds, they'll have to take some sick ones instead. The Aasen's posts were mostly just about that this is a sector that has to expect to get less money. From what the Ace said, can you wait to get a lot less money, can you wait big cuts in this area in the future, or have you found some sick money somewhere? In that case, where is the sick money in the sector that Aasen thinks should have been spent in a smarter way? And why haven't you taken hold of it?
ParlaMint-NO_2009-12-09.ana.ud773e215	Gudmund Hernes was good with words and word games, so quotations from him can spice any debate. In the case of future budgets, the representative, Trine Skei Grande, must accept that I cannot comment on it, because it is next year's budget we are talking about now. But that there's going to be tightening in the years to come, you don't have to follow so much to discover. We spend an extremely large amount of money, and we spend the money of future generations. Having said that, I am quite convinced that in particular basic training in Norway will not experience cuts. We will continue to invest in education, we will continue to invest in research, but there is no doubt that there are areas in the field that this committee is working on, for example. The university and higher education sectors, which can benefit from going into and looking at structures and other ways of working than what is being done today.
ParlaMint-NO_2009-12-09.ana.ud773e224	Replication cord shift is over.
