ParlaMint-NO_2009-01-26.ana.ud1681e22	The representative of Ågot Valle, who has been licensed, has once again taken his seat.
ParlaMint-NO_2009-01-26.ana.ud1681e33	The representative, Hans Olav Syversen, will present a proposal for a representative.
ParlaMint-NO_2009-01-26.ana.ud1681e36	On behalf of the representatives of Ingreig S. Sørfonn, Dagrun Eriksen, Hans Olav Syversen and one more representative, I would like to propose a tax cut for non-governmental organisations. I'm sorry I didn't come up with the proposal.
ParlaMint-NO_2009-01-26.ana.ud1681e41	The proposal has been submitted to the Stortinget office with the necessary signatures, but the President will recall that there will also be a physical handover of paper in this Chamber, and that will be dealt with in a regulatory manner. It will also be this proposal, but the President will remember that it is the representative who will be responsible for the proposal.
ParlaMint-NO_2009-01-26.ana.ud1681e61	The government is today presenting measures to combat increasing unemployment and to mitigate the effects of the international financial crisis on the Norwegian economy. We will implement the strongest measures against unemployment in Norway over 30 years. We use stronger tools to combat unemployment than any country around us. We are proposing new measures for 20 billion kroner. Together with other changes in the state budget, we are increasing the use of oil money in 2009 by 27 billion kroner. It comes at the top of an already expansive budget for the current year. Thus, we use the freedom of action we have to create jobs and transform ourselves into new times. We have Europe's lowest leave today. Our goal is for Norway, through this crisis, to be among the countries of Europe with the lowest unemployment rate. The most important resource we have is people. Our overall working capacity is the largest part of Norway's national wealth. This is why measures for work are so important. These are uncertain times. All the international news about the effects of the financial crisis has been poorly new so far. No one in our generation has experienced a financial crisis with such great consequences worldwide. That is why we have implemented many measures. That is why we are making powerful efforts today. That is why we are prepared to take new action when necessary. It is the impact of the international financial crisis on Norway that is our challenge. Many farms have had five adventurous years. They have sold everything they could produce at very good prices. In a short time, everything has turned around. Now far fewer goods are sought at much lower prices. We can't afford to get out of these problems over a government budget. But we can do a lot to help unemployed people solve important societal challenges, and to transform themselves into the challenges of the future. We have better opportunities than most countries to fight the effects of the financial crisis. We've saved in good times, and have stronger financial muscles than most. We have a strong welfare state that protects people from market forces and a large public sector that stabilizes the Norwegian economy. But the important thing is that we have people on the move. Over the past few weeks, I've had many questions about how in the world we're going to be able to meet all the expectations of the measures we're now presenting. Yes, it is absolutely right that the sum of all the proposals we have received is completely unrealistic and would consume at least two oil funds in one direction. I also recognise a lot of old proposals that are now being recycled, which have nothing to do with the financial crisis, but which are presented under a new heading. We have also received very many good suggestions from very many different teams: from individuals, from organisations, from municipalities, from business and from the opposition. There are many who will contribute. Many people want to join us and take responsibility for getting through tougher times. This community is our most important force in the future. The measures we are now proposing should be effective in combating unemployment, and we have calculated that they themselves will give us about. 15 000 more jobs by the end of 2009. These measures should be temporary because counter-cyclical policies mean that we use stronger economic instruments in times of recession than we can defend in a normal situation. Actions shall address key societal tasks and strengthen the environment and distribution. Crisis times also offer new opportunities. We have the opportunity to renovate the whole country and, in cooperation with the municipalities, take back neglected maintenance, build new and rust up roads and railways. We also have the opportunity to adapt to new challenges in the future. We're going out of the crisis with more knowledge and competence, new projects and new products for a new era. We do not know today how long the financial crisis will last. But history shows us that after a few years, economic setbacks turn to a new rise. What we can be absolutely sure of is that the greatest challenge of our time, namely the climate crisis, will not be over then – on the contrary. Climate challenges will affect us for decades to come. Necessary adjustments to prevent global warming take time, and the effects of today's policies are only a long way into the future. It is a strong green thread through all measures of work. Very much of the municipal maintenance tasks will improve the environment and save energy for the future. New state buildings will meet more stringent requirements for energy use. Transport measures have a clear green profile. The measures we present today follow the broad climate agreement in the United Kingdom in a wide range of areas. Municipalities are important partners in creating socially useful jobs. Therefore, we increase the appropriations for the municipalities by NOK 6.4 billion in addition to compensation for the sum of tax losses, price and salary increases. We propose a new, temporary maintenance grant to municipalities of NOK 4 billion, which will provide full coverage for maintenance, rehabilitation and smaller investment projects that can be completed in 2009. We do this as unbureaucratic as possible and transfer the money to the municipalities that later reports on what projects the money has gone into. Then we quickly start upgrading schools and swimming pools, nursing homes and outdoor environments, indoor climates and energy savings. We propose to increase the free resources of the municipalities that, together with VAT compensation, will provide a further NOK 2 billion for the municipal sector. We are increasing the investment framework for school buildings and swimming pools from DKK 2 billion to NOK 3 billion. We're increasing the investment framework for church buildings by 400 million. kr, and we are increasing the grant for the construction of nursing homes and nursing homes, so that we can get 1,500 more than the 1000 already planned for 2009. We're proposing 250 million. kr in an ad hoc aid for small sports facilities that can be started and completed in 2009. That means balloons and artificial grass plants all over the country. We'll give you another 250 million. kr to Husbanken, so that municipalities can build, clean up or buy several rental homes for disadvantaged people. At the top of an already sharp increase in the 2009 appropriations for transport, we are proposing new measures totalling DKK 3.8 billion. This means that we can speed up road projects, maintain roads, strengthen racial security efforts, build walking and cycling paths, improve road safety, repair ports and moles, maintain rail and speed up some railway investments. The measures have a very good environmental and district profile and will provide assignments to small and large entrepreneurs around the country. We propose offensive measures for the labour market, for the unemployed and the outsourced, for knowledge and business conversion. We increase labour market measures by 6,000 places and create 320 new jobs in Nav. We improve the rules of leave by extending the maximum period of daily pay under leave from 30 to 42 weeks and reducing employers’ pay obligations from 10 to 5 days. We're increasing the apprentice's allowance. We're setting up a new nationwide grant grant scheme. We triple the framework for nationwide innovation loans under Innovation Norway. We are increasing the grant to the user-driven innovation arena under the Research Council. We increase equity and don't charge dividends from Argentum. We're increasing the GIEK's U-land system. We create several scholarship positions in the UH sector and in industry. All these measures and others aim to strengthen the skills and adaptability of the individual unemployed, in individual enterprises and in the business community as a whole. We propose a comprehensive commitment to state-owned buildings both in terms of maintenance and new buildings. We're accelerating construction projects. We're upgrading the country's buildings, whether they're hospitals, colleges, universities or prisons. These measures will save energy, provide a better indoor environment and provide jobs in an industry particularly affected by recessions, namely construction. This powerful upgrade will appear all over the country. Stills will rise, hoists will be put in place, and workers will be given jobs. The considerable upgrading of old and worn-out prisons is peaked by an extra effort for the police. We propose to set up 460 new civilian posts in the police force. This means that police officers can be released for operational police work. This, along with the investment in DNA records, new emergency networks and a massive increase in admissions to the police colleges, provides a powerful boost to the work against crime. Work measures follow up many of the objectives of the climate agreement. We're strengthening Enova by $1.2 billion. That's an increase of 80 pst. This means a sharp increase in efforts for renewable heating solutions, energy-efficient solutions in industry, construction and installations. Increased deployment of good wind power projects and good biofuels projects is also possible. We're implementing a program for up to 5,000 charging stations for electric cars and plug-in hybrid cars. It will contribute to faster electrification of the transport sector and the market for environmentally friendly industries will improve. We are strengthening the bioenergy allocations from forest raw materials by 50 million. kr. We are strengthening climate research and research on marine wind turbines. We're increasing the allocation of the carbon capture test facility in Mongstad by nearly $1 billion. In addition, we are increasing other important environmental measures, cultural memory measures, and to provide a total of 350 million for coastal zones and national parks. kr. These direct appropriations for various environmental actions are in addition to the clear environmental profile in maintenance and construction and in the transport sector. In this way, we solve key climate challenges through work measures. Of the new measures of DKK 20 billion, DKK 3 1/4 billion is proposed for business taxation. Targeted measures to temporarily reduce the tax burden on enterprises that are exposed to a low economic downturn have been identified from a number of quarters. The government is proposing a system of cyclical tax reliefs that will add at least DKK 7 billion to the most vulnerable businesses over two years. The proposal allows enterprises to recover deficits for the years 2008 and 2009 in return for profits over the previous two years. Even today, it is a fundamental principle in the tax system that deficits should be carried forward in return for profits in the future, thereby reducing the tax accordingly. The state takes part when the companies go well, and the state covers the corresponding part when the companies go bad. It is suggested that a ceiling of 5 million be set. kr of deficit that may be reversed per year. years. In the light of uncertain estimates, it is assumed that the vast majority of enterprises will have deficits below this ceiling. In 2006, over 95 pst. a deficit of less than 5 million of the companies in deficit. kr. Businesses with a larger deficit also benefit from the scheme, but up to $5 million. kr. The tax value of an enterprise with 5 million. NOK in deficit will be SEK 1.4 million. SEK one year and thus a maximum of 2.8 million. NOK 2 for two years. The proposal has many good characteristics: It hits the companies that have made a profit in the last two years of recession, and that have deficits now that we are in a recession. The proposal will thus be targeted for the benefit of the most cyclical enterprises. If the decline is deeper and longer, the tax burden will automatically increase. If the decline is weaker and more short-lived, the tax burden will be reduced. So we're increasing the ability of the tax system to dampen the recession. When companies later receive profits, there will be less deficits and thus more tax to pay – but not more than 28 pst., which is the tax rate. Thus, the government’s tax revenue will increase again — automatically — once the decline has been overcome. The proposal involves a valuable supply of liquidity to businesses in a situation where they experience challenges on the loan market. Too many small businesses will also be able to increase their equity. In addition, the Government proposes to increase the tax FUNN deduction base. TaxFUNN is a regulated scheme in which undertakings themselves select eligible projects. The aim of the scheme is to stimulate industry’s own research and development efforts. The Government proposes to increase the deduction limit for own R & D from 4 million. NOK to SEK 5.5 million. kr and for purchased research and development from 8 million. NOK 11 million. kr. Higher spending limits may contribute to the implementation of some more projects and to the faster implementation of some R & D projects than otherwise planned. The progeny impact of the proposal to increase ceilings is estimated to be approximately 180 million on an uncertain basis. kr incurred in 2009 and accounted for in 2010. There are many, small mistakes that have led to the financial crisis, writes Joseph Stiglitz in the January issue of the Vanity Fair. But he continues: the truth is that most of the simple errors boil down to just one: the belief that markets are self-regulatory, and that the role of governments needs to be minimized. That is why the crisis that is affecting us is also a crisis for market fundamentalism. It is time for political governance, for effective regulation and for active economic policies. We are now providing new estimates for economic development in the future under considerable uncertainty – I must stress that it is under considerable uncertainty! While in the national budget we were expecting growth in the mainland economy at the lower edge of 2 pst. This year, we now believe that 2009 will be a year of zero growth. It is a powerful cover in the Norwegian economy. In 2007, the growth in GDP of mainland Norway was above 6pst. Our trading partners are now expecting a fall in GDP of 1 1/2 pst. – so minus 1 and 1/2 pst. – while we were making the national budget, we believed in plus 1 and 1/2 pst. Unemployment will increase. In the national budget, we expected a unemployment rate of 2 3/4 pst. this year. Now we estimate an average unemployment rate of 3 and 1/2 pst for 2009. But it's an average number; we have to expect it to be up to 4 pst. towards the end of the year. By comparison, the unemployment rate in 2003 and 2004 – that is, the last time we broke out in the Norwegian economy – was 4 1/2 pst. In 1990–93, which was also a difficult period, the unemployment rate was over 6 p.m. All countries around us expect a significantly higher unemployment rate than Norway. In the United States and the euro area, unemployment is expected to be between 8 and 9 pst. in 2009. We are now presenting measures that are stronger and more expansive than those in other European countries, with the exception of the United Kingdom and Ireland. However, they are much more affected by the financial crisis than we are, and expect more than twice as much unemployment as in Norway. When we consider measures against the economic situation of countries, no other country is using as powerful instruments as we are to combat the effects of the financial crisis. These are the strongest instruments over a state budget of over 30 years. We are proposing new measures on the state budget of DKK 20 billion. Along with an estimate of changes, the use of oil money over the state budget increases by 27 billion kroner. Because we have already adopted an expansive budget for 2009, the overall impact of the State budget from 2008 to 2009 will give a demand impulse of NOK 43 billion, or 2.3 pst. of gross domestic product. In comparison, the EU has set itself the objective of implementing fiscal policies with a total impact of 1.5 pst, but so far they have neither adopted nor notified decisions of more than 1.1 pst. So this is very powerful medicine in a country that is relatively less affected by the financial crisis than most others. Because we have managed the revenue from oil and gas in view of future generations, and so that large fluctuations do not directly impact on the Norwegian economy, we now have the opportunity to promote measures to the extent that we believe is right for our situation. In many other countries, account must also be taken of the fact that the debt of the country should not become too large. It gives them less freedom of action to combat increasing unemployment offensively. The rules of action for the use of oil revenues are flexible and mean that we should aim over time at an annual use of oil revenues corresponding to an expected real return in the State pension fund – Rest of the world at 4 pst. to the State budget. That means we have to be under 4 pst. in good times to be in bad times. In the 2009 national budget, we proposed an oil money use equivalent to 4 pst. of the value of the fund. Now we suggest for Stortinget an increase to 5.2 pst. In comparison, we used 3.3 pst in the 2007 growing year. of the value of the fund. The main measures implemented by the Government to counteract the effects of the financial crisis are: On 7 October we presented an expansive state budget for 2009, which will work as of 1 January this year. On 12 October, we promoted measures to ensure the liquidity of banks. Five auctions have now been carried out and as far as the banks have been allocated NOK 57 billion in the exchange mechanism adopted by the Stortinget. We have authority from Stortinget to go to NOK 350 billion. On 12 October, the Bank of Norway extended the access to loans and the length of fixed-rate loans. Over the fall, Norway’s Bank has reduced interest rates by 2.75 p.m.. It equals NOK 20 billion in increased purchasing power for households. On November 21, we increased the equity of the Municipal Bank by 300 million. kr. It provides additional loans of NOK 15 to 20 billion. On November 23, we increased the GIEK envelope by SEK 63 billion – DKK 60 billion in general order and DKK 3 billion in building loan guarantees for ships. On the same day, we increased the lending framework for Innovation Norway by NOK 1 billion. On 27 November, we secured government loans for export finance of around 50 billion DKK over the years 2009 and 2010. On 26 January – i.e. today – we are presenting new measures for work, a total of 27 billion kroner in increased oil money use. In addition, I have announced that on 9 February we will introduce new measures to strengthen the financing of Norwegian business and increase bank lending opportunities. This will be a challenging year. Most people in Norway want secure jobs, increased real wages and benefit from interest reductions. But many will experience insecurity, and some will lose their jobs. 2009 requires community and solidarity. The government is ready for new measures when necessary, and we will in any case present a new assessment of the situation in the Norwegian economy in May in the context of the revised national budget.
ParlaMint-NO_2009-01-26.ana.ud1681e175	The President will propose that a comment round be opened, limited to an entry of up to 5 minutes from each party group, in accordance with Section 34(a) of the Rules of Procedure. The President will propose to derogate from Section 34(a) of the Rules of Procedure, so that a comment by the Minister of Finance, and then a final comment by the representative of the opposition party, may be given on each post up to 2 minutes. Furthermore, it is proposed that a comment by the Minister of Finance or the Prime Minister be opened up to 3 minutes at the end of the debate. – It shall be deemed to have been adopted.
ParlaMint-NO_2009-01-26.ana.ud1681e184	In Norway, we first noticed the effects of the financial crisis by the banks having problems raising capital. The whole financial system was collapsing. Rapid political intervention prevents this from happening. The government introduced a series of measures last autumn aimed at the capital markets. This ensures that businesses and households are still receiving loans. The situation in capital markets is better, but is still not normal. There is a background for the Government to announce new measures on 9 February. Today, the government has presented a fiscal policy package that has one overarching objective – to ensure employment. It has been estimated that the package of measures will mean about 15 000 jobs. In addition, there will be new opportunities for those who lose their jobs. Because we have to be realistic and realize that the unemployment rate will increase, no matter how many extra billions of oil crowns we use. A large part of business depends on international markets, and this is a small influence of Norwegian governance. The package of measures means an increase in expenditure of DKK 16.75 billion and tax reliefs of DKK 3.25 billion, a total of DKK 20 billion, as pointed out by the Minister of Finance. In addition, an estimate of 7 billion dollars and an expanded loan and guarantee framework of 8 billion dollars will help to stimulate the activity of the economy. The Norwegian action package has the strongest incentive for all the action packages proposed in European countries to address unemployment. Such a comprehensive package is necessary because the negative consequences of high unemployment are so great, both for individuals and for society. Because we have conducted a responsible economic policy in the past, we now have fiscal space to spend a lot of money in the policy package. An even more comprehensive package could threaten the dollar and interest rates, and thus have negative consequences for the employment of parts of our business. The government has given special priority to the municipalities and the transport sector. In addition, a substantial increase in efforts is proposed to improve the building mass in the country. For all the measures proposed, the employment effect is high. Local government revenue is strengthened by a total of $6.4 billion, of which $2 billion is free income. In addition, the municipal sector is compensated for the real loss of income associated with lower tax revenues this year. The interest compensation arrangements for schools, swimming pools and church buildings are being increased. Investment grants for the construction of health homes and care homes are being increased so that there can be 1,500 more construction units. It's going to be worth 250 million. kr more for the construction of rental buildings, and the loan frame for the House Bank will be increased by 2 billion kroner. There is a great need to upgrade and maintain many of our hospitals in our country, and therefore it is proposed to NOK 1 billion for this purpose. Efforts are also stepped up for the construction and upgrading of higher education institutions and universities in different parts of the country. These are tender proposals and measures. The traffic allowance is proposed to increase by DKK 3.8 billion. On the one hand, road traffic permits are for investment and, on the other, for maintenance. The funds will be allocated to a number of projects, including: improve road safety and the development of pedestrian and cyclist roads. A total of DKK 1.3 billion is proposed for the operation, maintenance and development of the network. The government proposes a system of cyclical tax reliefs that will add at least DKK 7 billion to the most deferred enterprises over two years. This is a very targeted and accurate measure that will help businesses that are affected by the downturn. The rate will automatically increase if the drop is deeper and longer, and less if the drop is weaker and more short-lived. It is a very comprehensive and highly targeted action package presented by the Minister of Finance today. It is important that he comes in quickly, and that the measures begin to take effect immediately. At the same time, we have to take enough time for the Storting to have a good treatment of the cases.
ParlaMint-NO_2009-01-26.ana.ud1681e210	Many have had expectations of this day. We had a relatively broad debate in the Storting when we discussed the state budget, about what would be the impact of the financial crisis, and the opposition promoted a number of proposals that were about to be ahead of us. The government replied that it was going to bring a package of measures in the month-end of January/February, and one could get the impression that it would solve all the challenges. When the Government today provides measures of DKK 20 billion in increased expenditure targeted at a number of investments in construction, municipalities, etc., there are hardly a lot of people in this room who disagree that there are good and sensible measures. The Progress Party, in so far as it lacks exactly the measures that might have been taken, is somewhat more on the power side of the Railway Agency and of the State Road Service, so that even larger projects could also be launched, which could go on for years if this crisis persists. 20 billion was probably as many expected and predicted. There's no doubt about it. And many of the projects and measures that lie here can definitely join the Progress Party. But there are some things we miss. I have registered – at least the media has speculated in it – that there has been some kind of internal debate in the government constellation if one had faith in tax havens as an instrument. There is one concrete, large measure aimed at a type of tax credit, which is positive, but otherwise it has been chosen not to go further on tax relief solutions. This is problematic, especially when we know that part of the business that is now struggling, and that reports significant decline, is the trade in goods, the commercial and service industries. Market failures are reported. Then, unfortunately, there are many people who may be at risk of being permed and dismissed. If that part of Norwegian business is to be able to increase or maintain its turnover, it is important that most people keep some more money, so that they can afford to maintain a consumption by shopping in these stores. When the government doesn't pay for tax relief by giving people the most tax cuts, you won't increase the purchasing power of consumers. Furthermore, I miss more on the tax relief side of business. It's been a very long time wondering if you, among other things. could do something about the depreciation rules. The Progress Party has proposed significant changes to the depreciation rules, which for Norwegian business would amount to more than DKK 1 billion in tax relief. I know that the government party SV has been very much for this type of tax relief, but it looks as if you have not received a pass. The point is that when Norwegian business wears down, it should also be avoided with a part on the tax side, but to a small extent this shines through in what is here. However, the big question today is why the Government has been waiting for two months to present this package of measures. When we discussed this at Stortinget at the end of November in the context of the State Budget, the Progress Party had put forward proposals of around DKK 20 billion for various measures and increased the strengthening of what the Government itself thought was a good budget. Then we were told that you could not go for such kinds of reinforcements; there would be major problems associated with it. And the government needed time, for there were very uncertain forecasts in November about how this would turn out. The government would have time until the end of January to deal with the crisis with this package of measures. But even today, the Minister of Finance says that there is a great deal of uncertainty about the forecasts that are now in the action package. So why were you waiting for two months to come up with the measures? Now these measures are going to go through first in the Storting, which takes a little while. If necessary, these decisions will be handed out to municipalities, to those who are going to start projecting, things are going on, and then it will be started – before the employment effect is increased. Again, the Government shows that there is a deficit in a rather serious situation. There are measures that could have been taken two months ago. None of these measures could have been discussed and promoted by the Storting. The budget spent seven weeks on the government budget, and until we had the last debate in Stortinget. In the seven weeks, the government could have coughed up these measures. I hope that in the next round we can get some clear answers as to why it was so important to wait. I hope there may be more packages if this package does not work. This package will be adopted by a majority of the Government. I heard the Minister of Finance say that they wanted to come back with some measures in the revised, but I also hope the Government will take into account in addition to bringing the type of package of measures before the revision, if the situation shows that it is actually required.
ParlaMint-NO_2009-01-26.ana.ud1681e225	Firstly, the representative, Mr Leirstein, is right in saying that many of the measures contained in the package of measures on the expenditure side of the budget are proposals that I see again at the Progress Party. The other opposition parties have had many of them on their lists. I think there can be broad agreement on the measures that lie there, so that the Storting can process and adopt the package quickly. Then there are a few things that the representative Leirstein doesn't pay attention to, among other things. that we have adopted an expansive state budget for 2009. There are 16 billion new oil crowns in the 2009 state budget. No one has been able to consume them in 26 days. On the contrary, there's a lot of planning, a lot of activity already going on from the allocation that's been made. And now we come up with further measures. So the picture that we're late for, with small measures, is completely wrong. This package of measures shows that we are using the strongest instruments across Europe in the fight against unemployment. Then the representative doesn't put any emphasis on the interest rate decrease we've been given. The effect of an interest rate decrease of 2.75 percentage points is NOK 20 billion in purchasing power for households. There is much more than any tax proposal can mean – and much more than any of the tax proposals the Progress Party has promoted will mean. In itself, it will be a powerful stimulus to the Norwegian economy. But the reason why we haven't moved on that way is that we get from many teams analyses of personal taxes that say that in the uncertain situation that we are now in, many more will save much more than before. It's not like you jump right in the store and spend all the money, so you get an activity going. It is much more targeted to combat unemployment to launch sensible measures to tackle those who are unemployed. It is imprinted on this package.
ParlaMint-NO_2009-01-26.ana.ud1681e234	Now I think both the Minister of Finance and I agree that it makes sense for people to maintain a certain kind of consumption. After all, before Christmas, the Minister of Finance wanted people to act significantly.
ParlaMint-NO_2009-01-26.ana.ud1681e239	It was VG who wanted it!
