Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2020-04-28-94	ParlaMint-IS_2020-04-28-94.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-94, 28.04.2020.	2020-04-28	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	AsmundurDadason	Daðason, Ásmundur Einar	M	1982	
ParlaMint-IS-en_2020-04-28-94	ParlaMint-IS_2020-04-28-94.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-94, 28.04.2020.	2020-04-28	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SvandisSvavarsdottir	Svavarsdóttir, Svandís	F	1964	
ParlaMint-IS-en_2020-04-28-94	ParlaMint-IS_2020-04-28-94.u3	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-94, 28.04.2020.	2020-04-28	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	V	Viðreisn	-	Centre-right	HannaFridriksson	Friðriksson, Hanna Katrín	F	1964	
ParlaMint-IS-en_2020-04-28-94	ParlaMint-IS_2020-04-28-94.u4	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-94, 28.04.2020.	2020-04-28	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SvandisSvavarsdottir	Svavarsdóttir, Svandís	F	1964	
ParlaMint-IS-en_2020-04-28-94	ParlaMint-IS_2020-04-28-94.u5	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-94, 28.04.2020.	2020-04-28	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	V	Viðreisn	-	Centre-right	HannaFridriksson	Friðriksson, Hanna Katrín	F	1964	
ParlaMint-IS-en_2020-04-28-94	ParlaMint-IS_2020-04-28-94.u6	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-94, 28.04.2020.	2020-04-28	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SvandisSvavarsdottir	Svavarsdóttir, Svandís	F	1964	
ParlaMint-IS-en_2020-04-28-94	ParlaMint-IS_2020-04-28-94.u7	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-94, 28.04.2020.	2020-04-28	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
ParlaMint-IS-en_2020-04-28-94	ParlaMint-IS_2020-04-28-94.u8	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-94, 28.04.2020.	2020-04-28	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	HalldoraMogensen	Mogensen, Halldóra	F	1979	
ParlaMint-IS-en_2020-04-28-94	ParlaMint-IS_2020-04-28-94.u9	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-94, 28.04.2020.	2020-04-28	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	LogiEinarsson	Einarsson, Logi	M	1964	
ParlaMint-IS-en_2020-04-28-94	ParlaMint-IS_2020-04-28-94.u10	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-94, 28.04.2020.	2020-04-28	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	THorhildurAEvarsdottir	Ævarsdóttir, Þórhildur Sunna	F	1987	
ParlaMint-IS-en_2020-04-28-94	ParlaMint-IS_2020-04-28-94.u11	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-94, 28.04.2020.	2020-04-28	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	LogiEinarsson	Einarsson, Logi	M	1964	
