Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2022-05-17-prot-202122--115	i-WqGuPzi1JBwAMa74S6FgfA	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 115	2022-05-17	Unicameralism	2021/22	-	-	2021/22--115	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2022-05-17-prot-202122--115	i-YWgxgDuHF8Z3xp5ELdkn3h	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 115	2022-05-17	Unicameralism	2021/22	-	-	2021/22--115	-	COVID,War	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q6255521	Åkesson, Anders	M	-	
ParlaMint-SE-en_2022-05-17-prot-202122--115	i-NCQNpNwPvVD2VRQkaH1uq8	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 115	2022-05-17	Unicameralism	2021/22	-	-	2021/22--115	-	COVID,War	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q70731884	Thomsson, Lars	M	-	
ParlaMint-SE-en_2022-05-17-prot-202122--115	i-85hZCWgp7tzFyJJCv6Kuqx	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 115	2022-05-17	Unicameralism	2021/22	-	-	2021/22--115	-	COVID,War	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4980571	Stockhaus, Maria	F	-	
ParlaMint-SE-en_2022-05-17-prot-202122--115	i-Lo2F31yviQaxNYAvsE4bCu	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 115	2022-05-17	Unicameralism	2021/22	-	-	2021/22--115	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2022-05-17-prot-202122--115	i-XKyYJu3hXe9ELziosrJQTE	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 115	2022-05-17	Unicameralism	2021/22	-	-	2021/22--115	-	COVID,War	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q6255521	Åkesson, Anders	M	-	
ParlaMint-SE-en_2022-05-17-prot-202122--115	i-XdoMxh8jj4RfZ1cqEiPin9	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 115	2022-05-17	Unicameralism	2021/22	-	-	2021/22--115	-	COVID,War	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q70731884	Thomsson, Lars	M	-	
ParlaMint-SE-en_2022-05-17-prot-202122--115	i-NzzRgz5nprvxZkBBohz37G	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 115	2022-05-17	Unicameralism	2021/22	-	-	2021/22--115	-	COVID,War	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4980571	Stockhaus, Maria	F	-	
ParlaMint-SE-en_2022-05-17-prot-202122--115	i-S9E9NL266jGMKgAdSdvsT2	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 115	2022-05-17	Unicameralism	2021/22	-	-	2021/22--115	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2022-05-17-prot-202122--115	i-12g1CvkCxCRqrY4mvaxgUk	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 115	2022-05-17	Unicameralism	2021/22	-	-	2021/22--115	-	COVID,War	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q6255521	Åkesson, Anders	M	-	
ParlaMint-SE-en_2022-05-17-prot-202122--115	i-CEKxEQTyBtAzNczytVGkpZ	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 115	2022-05-17	Unicameralism	2021/22	-	-	2021/22--115	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
