Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2022-05-03-prot-202122--106	i-TzQCKNwWNQnR9TYQz4hncf	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 106	2022-05-03	Unicameralism	2021/22	-	-	2021/22--106	-	COVID,War	English	Regular	notMP	Minister	-	-	-	-	Q23915324	Kihlblom, Lina Axelsson	F	-	
ParlaMint-SE-en_2022-05-03-prot-202122--106	i-MyHSYENbvYUARuxfmpEUxP	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 106	2022-05-03	Unicameralism	2021/22	-	-	2021/22--106	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	Q3675519	Kakabaveh, Amineh	F	-	
ParlaMint-SE-en_2022-05-03-prot-202122--106	i-UmY8MD2oeUUFpN2zBdM6wr	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 106	2022-05-03	Unicameralism	2021/22	-	-	2021/22--106	-	COVID,War	English	Regular	notMP	Minister	-	-	-	-	Q23915324	Kihlblom, Lina Axelsson	F	-	
ParlaMint-SE-en_2022-05-03-prot-202122--106	i-EmxJWNKk4rmGczXGAY8tWq	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 106	2022-05-03	Unicameralism	2021/22	-	-	2021/22--106	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	Q3675519	Kakabaveh, Amineh	F	-	
ParlaMint-SE-en_2022-05-03-prot-202122--106	i-9iKVQr8n9HUQJQQYDFeh4z	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 106	2022-05-03	Unicameralism	2021/22	-	-	2021/22--106	-	COVID,War	English	Regular	notMP	Minister	-	-	-	-	Q23915324	Kihlblom, Lina Axelsson	F	-	
ParlaMint-SE-en_2022-05-03-prot-202122--106	i-FztAHCm6nSZFPRStAteVbp	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 106	2022-05-03	Unicameralism	2021/22	-	-	2021/22--106	-	COVID,War	English	Regular	MP	notMinister	-	-	-	-	Q3675519	Kakabaveh, Amineh	F	-	
ParlaMint-SE-en_2022-05-03-prot-202122--106	i-StiVQpEr7pR3JrW3cJjYg4	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 106	2022-05-03	Unicameralism	2021/22	-	-	2021/22--106	-	COVID,War	English	Regular	notMP	Minister	-	-	-	-	Q23915324	Kihlblom, Lina Axelsson	F	-	
ParlaMint-SE-en_2022-05-03-prot-202122--106	i-2GuAkRrbwqrACGhcF2vrEn	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 106	2022-05-03	Unicameralism	2021/22	-	-	2021/22--106	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q19976668	Elger, Max	M	-	
ParlaMint-SE-en_2022-05-03-prot-202122--106	i-HrwQBLXYceGGTQJNy9WW4m	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 106	2022-05-03	Unicameralism	2021/22	-	-	2021/22--106	-	COVID,War	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q71062310	Lundberg, Angelica	F	-	
ParlaMint-SE-en_2022-05-03-prot-202122--106	i-15WVy1RX1erD2ijsfJ8D72	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 106	2022-05-03	Unicameralism	2021/22	-	-	2021/22--106	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q19976668	Elger, Max	M	-	
ParlaMint-SE-en_2022-05-03-prot-202122--106	i-T5MXzninKsFj5o1EXTZecM	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 106	2022-05-03	Unicameralism	2021/22	-	-	2021/22--106	-	COVID,War	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q71062310	Lundberg, Angelica	F	-	
ParlaMint-SE-en_2022-05-03-prot-202122--106	i-LZd5Uz4obbV7QBybSCKy4s	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 106	2022-05-03	Unicameralism	2021/22	-	-	2021/22--106	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q19976668	Elger, Max	M	-	
ParlaMint-SE-en_2022-05-03-prot-202122--106	i-8YEH9fhrskpmRzdt9nnYBz	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 106	2022-05-03	Unicameralism	2021/22	-	-	2021/22--106	-	COVID,War	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q71062310	Lundberg, Angelica	F	-	
ParlaMint-SE-en_2022-05-03-prot-202122--106	i-QXWCe9YFQXx9U7DHTpyCcQ	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 106	2022-05-03	Unicameralism	2021/22	-	-	2021/22--106	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q19976668	Elger, Max	M	-	
