Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2022-01-27-prot-202122--60	i-6rGKWEZvYMy86hkGBvmjRY	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 60	2022-01-27	Unicameralism	2021/22	-	-	2021/22--60	-	COVID	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2022-01-27-prot-202122--60	i-E9TtuS4aJwFhdp62H3c6z5	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 60	2022-01-27	Unicameralism	2021/22	-	-	2021/22--60	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q27299991	Jonson, Pål	M	-	
ParlaMint-SE-en_2022-01-27-prot-202122--60	i-W9n9YXks9PWXu2nurLEhJn	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 60	2022-01-27	Unicameralism	2021/22	-	-	2021/22--60	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2022-01-27-prot-202122--60	i-13wfZYG9J8sztrirpo3J2x	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 60	2022-01-27	Unicameralism	2021/22	-	-	2021/22--60	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q27299991	Jonson, Pål	M	-	
ParlaMint-SE-en_2022-01-27-prot-202122--60	i-YTbYR9RNtER2h6Tgv2gKR7	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 60	2022-01-27	Unicameralism	2021/22	-	-	2021/22--60	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2022-01-27-prot-202122--60	i-Wx54g88yGqLNqMUL1xBmwf	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 60	2022-01-27	Unicameralism	2021/22	-	-	2021/22--60	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q59387749	Andersson, Jonas	M	-	
ParlaMint-SE-en_2022-01-27-prot-202122--60	i-RsV6bgRUB6Bj9wmmftfsH5	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 60	2022-01-27	Unicameralism	2021/22	-	-	2021/22--60	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
ParlaMint-SE-en_2022-01-27-prot-202122--60	i-BfecQ4EqvNny7hRjMQXwnW	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 60	2022-01-27	Unicameralism	2021/22	-	-	2021/22--60	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q59387749	Andersson, Jonas	M	-	
ParlaMint-SE-en_2022-01-27-prot-202122--60	i-S4PWmodR3MaGr6h1sD2xDQ	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 60	2022-01-27	Unicameralism	2021/22	-	-	2021/22--60	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
ParlaMint-SE-en_2022-01-27-prot-202122--60	i-8EQHPyHdh17u6Daxdcw8y2	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 60	2022-01-27	Unicameralism	2021/22	-	-	2021/22--60	-	COVID	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q63344500	Paarup-Petersen, Niels	M	-	
ParlaMint-SE-en_2022-01-27-prot-202122--60	i-JxLWGdjk4SkPmVoBSDaPcE	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 60	2022-01-27	Unicameralism	2021/22	-	-	2021/22--60	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
