Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2022-05-13-prot-202122--113	i-BQ8dtftkuwhpor9i8CsgBV	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 113	2022-05-13	Unicameralism	2021/22	-	-	2021/22--113	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4980750	Strandhäll, Annika	F	-	
ParlaMint-SE-en_2022-05-13-prot-202122--113	i-UzqfQX3esdrPWFE4oPzSRh	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 113	2022-05-13	Unicameralism	2021/22	-	-	2021/22--113	-	COVID,War	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q6255521	Åkesson, Anders	M	-	
ParlaMint-SE-en_2022-05-13-prot-202122--113	i-9FVptBcVc7zQUQqCZN2MbX	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 113	2022-05-13	Unicameralism	2021/22	-	-	2021/22--113	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4980750	Strandhäll, Annika	F	-	
ParlaMint-SE-en_2022-05-13-prot-202122--113	i-YLTu5V4efCnZxoGhiFJTXB	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 113	2022-05-13	Unicameralism	2021/22	-	-	2021/22--113	-	COVID,War	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q6255521	Åkesson, Anders	M	-	
ParlaMint-SE-en_2022-05-13-prot-202122--113	i-Ndf5jEUHGoKmRu7YXFA5Ys	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 113	2022-05-13	Unicameralism	2021/22	-	-	2021/22--113	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4980750	Strandhäll, Annika	F	-	
ParlaMint-SE-en_2022-05-13-prot-202122--113	i-NhPidMUFi1Wj64Pb2TSNmf	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 113	2022-05-13	Unicameralism	2021/22	-	-	2021/22--113	-	COVID,War	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q6255521	Åkesson, Anders	M	-	
ParlaMint-SE-en_2022-05-13-prot-202122--113	i-WwNSPYmwkvDfYPWDn46ZgY	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 113	2022-05-13	Unicameralism	2021/22	-	-	2021/22--113	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4980750	Strandhäll, Annika	F	-	
ParlaMint-SE-en_2022-05-13-prot-202122--113	i-Av4C9njV9U8Hsb2CeTKiyG	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 113	2022-05-13	Unicameralism	2021/22	-	-	2021/22--113	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3373058	Ernkrans, Matilda	F	-	
ParlaMint-SE-en_2022-05-13-prot-202122--113	i-NSerhk9ogVFYkzfmsbFmys	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 113	2022-05-13	Unicameralism	2021/22	-	-	2021/22--113	-	COVID,War	English	Regular	MP	notMinister	MP	Miljöpartiet	-	Centre-left	Q18238692	Ericson, Janine Alm	F	-	
ParlaMint-SE-en_2022-05-13-prot-202122--113	i-99QqPjznNx7hqa4f2o1hgp	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 113	2022-05-13	Unicameralism	2021/22	-	-	2021/22--113	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3373058	Ernkrans, Matilda	F	-	
ParlaMint-SE-en_2022-05-13-prot-202122--113	i-2vGxaEajWq2upYPAM8edHV	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 113	2022-05-13	Unicameralism	2021/22	-	-	2021/22--113	-	COVID,War	English	Regular	MP	notMinister	MP	Miljöpartiet	-	Centre-left	Q18238692	Ericson, Janine Alm	F	-	
