Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_2004-01-27-1	ParlaMint-RS_2004-01-27-1.u3	Term 6, Meeting 1	2004-01-27	Unicameralism	6. mandat	-	Zasedanje 1	2007-02-14	-	Reference	English	Regular	MP	notMinister	DSS	Demokratska stranka Srbije	Opposition	Right	CvetkovićPetar	Cvetković, Petar	M	1954	
ParlaMint-RS-en_2004-01-27-1	ParlaMint-RS_2004-01-27-1.u4	Term 6, Meeting 1	2004-01-27	Unicameralism	6. mandat	-	Zasedanje 1	2007-02-14	-	Reference	English	Chairperson	MP	notMinister	DSS	Demokratska stranka Srbije	Opposition	Right	SimonovićVelimir	Simonović, Velimir	M	1928	
ParlaMint-RS-en_2004-01-27-1	ParlaMint-RS_2004-01-27-1.u5	Term 6, Meeting 1	2004-01-27	Unicameralism	6. mandat	-	Zasedanje 1	2007-02-14	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MihajlovDejan	Mihajlov, Dejan	M	1972	
ParlaMint-RS-en_2004-01-27-1	ParlaMint-RS_2004-01-27-1.u6	Term 6, Meeting 1	2004-01-27	Unicameralism	6. mandat	-	Zasedanje 1	2007-02-14	-	Reference	English	Chairperson	MP	notMinister	DSS	Demokratska stranka Srbije	Opposition	Right	SimonovićVelimir	Simonović, Velimir	M	1928	
ParlaMint-RS-en_2004-01-27-1	ParlaMint-RS_2004-01-27-1.u7	Term 6, Meeting 1	2004-01-27	Unicameralism	6. mandat	-	Zasedanje 1	2007-02-14	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	NikolićTomislav	Nikolić, Tomislav	M	1952	
ParlaMint-RS-en_2004-01-27-1	ParlaMint-RS_2004-01-27-1.u8	Term 6, Meeting 1	2004-01-27	Unicameralism	6. mandat	-	Zasedanje 1	2007-02-14	-	Reference	English	Chairperson	MP	notMinister	DSS	Demokratska stranka Srbije	Opposition	Right	SimonovićVelimir	Simonović, Velimir	M	1928	
ParlaMint-RS-en_2004-01-27-1	ParlaMint-RS_2004-01-27-1.u9	Term 6, Meeting 1	2004-01-27	Unicameralism	6. mandat	-	Zasedanje 1	2007-02-14	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	NikolićTomislav	Nikolić, Tomislav	M	1952	
ParlaMint-RS-en_2004-01-27-1	ParlaMint-RS_2004-01-27-1.u10	Term 6, Meeting 1	2004-01-27	Unicameralism	6. mandat	-	Zasedanje 1	2007-02-14	-	Reference	English	Chairperson	MP	notMinister	DSS	Demokratska stranka Srbije	Opposition	Right	SimonovićVelimir	Simonović, Velimir	M	1928	
ParlaMint-RS-en_2004-01-27-1	ParlaMint-RS_2004-01-27-1.u11	Term 6, Meeting 1	2004-01-27	Unicameralism	6. mandat	-	Zasedanje 1	2007-02-14	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	NikolićTomislav	Nikolić, Tomislav	M	1952	
ParlaMint-RS-en_2004-01-27-1	ParlaMint-RS_2004-01-27-1.u12	Term 6, Meeting 1	2004-01-27	Unicameralism	6. mandat	-	Zasedanje 1	2007-02-14	-	Reference	English	Chairperson	MP	notMinister	DSS	Demokratska stranka Srbije	Opposition	Right	SimonovićVelimir	Simonović, Velimir	M	1928	
ParlaMint-RS-en_2004-01-27-1	ParlaMint-RS_2004-01-27-1.u13	Term 6, Meeting 1	2004-01-27	Unicameralism	6. mandat	-	Zasedanje 1	2007-02-14	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	NikolićTomislav	Nikolić, Tomislav	M	1952	
ParlaMint-RS-en_2004-01-27-1	ParlaMint-RS_2004-01-27-1.u14	Term 6, Meeting 1	2004-01-27	Unicameralism	6. mandat	-	Zasedanje 1	2007-02-14	-	Reference	English	Chairperson	MP	notMinister	DSS	Demokratska stranka Srbije	Opposition	Right	SimonovićVelimir	Simonović, Velimir	M	1928	
