Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2021-10-29-ps-128	ParlaMint-FI_2021-10-29-ps-128.u1	Minutes of the Finnish Parliament's plenary session 128/2021, 2021-10-29	2021-10-29	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 128	2021-10-29	-	COVID	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	AnttiRinne	Rinne, Antti	M	1962	
ParlaMint-FI-en_2021-10-29-ps-128	ParlaMint-FI_2021-10-29-ps-128.u2	Minutes of the Finnish Parliament's plenary session 128/2021, 2021-10-29	2021-10-29	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 128	2021-10-29	-	COVID	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	AnttiRinne	Rinne, Antti	M	1962	
ParlaMint-FI-en_2021-10-29-ps-128	ParlaMint-FI_2021-10-29-ps-128.u3	Minutes of the Finnish Parliament's plenary session 128/2021, 2021-10-29	2021-10-29	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 128	2021-10-29	-	COVID	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	AnttiRinne	Rinne, Antti	M	1962	
ParlaMint-FI-en_2021-10-29-ps-128	ParlaMint-FI_2021-10-29-ps-128.u4	Minutes of the Finnish Parliament's plenary session 128/2021, 2021-10-29	2021-10-29	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 128	2021-10-29	-	COVID	English	Regular	MP	notMinister	KESK	Centre Party	Coalition	Centre	PekkaAittakumpu	Aittakumpu, Pekka	M	1981	
ParlaMint-FI-en_2021-10-29-ps-128	ParlaMint-FI_2021-10-29-ps-128.u5	Minutes of the Finnish Parliament's plenary session 128/2021, 2021-10-29	2021-10-29	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 128	2021-10-29	-	COVID	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	AnttiRinne	Rinne, Antti	M	1962	
ParlaMint-FI-en_2021-10-29-ps-128	ParlaMint-FI_2021-10-29-ps-128.u6	Minutes of the Finnish Parliament's plenary session 128/2021, 2021-10-29	2021-10-29	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 128	2021-10-29	-	COVID	English	Regular	MP	notMinister	KESK	Centre Party	Coalition	Centre	PekkaAittakumpu	Aittakumpu, Pekka	M	1981	
ParlaMint-FI-en_2021-10-29-ps-128	ParlaMint-FI_2021-10-29-ps-128.u7	Minutes of the Finnish Parliament's plenary session 128/2021, 2021-10-29	2021-10-29	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 128	2021-10-29	-	COVID	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	AnttiRinne	Rinne, Antti	M	1962	
ParlaMint-FI-en_2021-10-29-ps-128	ParlaMint-FI_2021-10-29-ps-128.u8	Minutes of the Finnish Parliament's plenary session 128/2021, 2021-10-29	2021-10-29	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 128	2021-10-29	-	COVID	English	Regular	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	VilhelmJunnila	Junnila, Vilhelm	M	1982	
ParlaMint-FI-en_2021-10-29-ps-128	ParlaMint-FI_2021-10-29-ps-128.u9	Minutes of the Finnish Parliament's plenary session 128/2021, 2021-10-29	2021-10-29	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 128	2021-10-29	-	COVID	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	AnttiRinne	Rinne, Antti	M	1962	
ParlaMint-FI-en_2021-10-29-ps-128	ParlaMint-FI_2021-10-29-ps-128.u10	Minutes of the Finnish Parliament's plenary session 128/2021, 2021-10-29	2021-10-29	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 128	2021-10-29	-	COVID	English	Regular	MP	notMinister	KD	Christian Democrats	Opposition	Centre-right	PäiviRäsänen	Räsänen, Päivi	F	1959	
ParlaMint-FI-en_2021-10-29-ps-128	ParlaMint-FI_2021-10-29-ps-128.u11	Minutes of the Finnish Parliament's plenary session 128/2021, 2021-10-29	2021-10-29	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 128	2021-10-29	-	COVID	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	AnttiRinne	Rinne, Antti	M	1962	
