Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2021-04-15-ps-42	ParlaMint-FI_2021-04-15-ps-42.u1	Minutes of the Finnish Parliament's plenary session 42/2021, 2021-04-15	2021-04-15	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 42	2021-04-15	-	COVID	English	Chairperson	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	JuhoEerola	Eerola, Juho	M	1975	
ParlaMint-FI-en_2021-04-15-ps-42	ParlaMint-FI_2021-04-15-ps-42.u2	Minutes of the Finnish Parliament's plenary session 42/2021, 2021-04-15	2021-04-15	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 42	2021-04-15	-	COVID	English	Regular	MP	notMinister	KESK	Centre Party	Coalition	Centre	MikkoKinnunen	Kinnunen, Mikko	M	1967	
ParlaMint-FI-en_2021-04-15-ps-42	ParlaMint-FI_2021-04-15-ps-42.u3	Minutes of the Finnish Parliament's plenary session 42/2021, 2021-04-15	2021-04-15	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 42	2021-04-15	-	COVID	English	Chairperson	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	JuhoEerola	Eerola, Juho	M	1975	
ParlaMint-FI-en_2021-04-15-ps-42	ParlaMint-FI_2021-04-15-ps-42.u4	Minutes of the Finnish Parliament's plenary session 42/2021, 2021-04-15	2021-04-15	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 42	2021-04-15	-	COVID	English	Regular	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	MariRantanen	Rantanen, Mari	F	1976	
ParlaMint-FI-en_2021-04-15-ps-42	ParlaMint-FI_2021-04-15-ps-42.u5	Minutes of the Finnish Parliament's plenary session 42/2021, 2021-04-15	2021-04-15	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 42	2021-04-15	-	COVID	English	Chairperson	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	JuhoEerola	Eerola, Juho	M	1975	
ParlaMint-FI-en_2021-04-15-ps-42	ParlaMint-FI_2021-04-15-ps-42.u6	Minutes of the Finnish Parliament's plenary session 42/2021, 2021-04-15	2021-04-15	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 42	2021-04-15	-	COVID	English	Regular	MP	notMinister	KESK	Centre Party	Coalition	Centre	HannuHoskonen	Hoskonen, Hannu	M	1957	
ParlaMint-FI-en_2021-04-15-ps-42	ParlaMint-FI_2021-04-15-ps-42.u7	Minutes of the Finnish Parliament's plenary session 42/2021, 2021-04-15	2021-04-15	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 42	2021-04-15	-	COVID	English	Regular	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	MariRantanen	Rantanen, Mari	F	1976	
ParlaMint-FI-en_2021-04-15-ps-42	ParlaMint-FI_2021-04-15-ps-42.u8	Minutes of the Finnish Parliament's plenary session 42/2021, 2021-04-15	2021-04-15	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 42	2021-04-15	-	COVID	English	Regular	MP	notMinister	KESK	Centre Party	Coalition	Centre	HannuHoskonen	Hoskonen, Hannu	M	1957	
ParlaMint-FI-en_2021-04-15-ps-42	ParlaMint-FI_2021-04-15-ps-42.u9	Minutes of the Finnish Parliament's plenary session 42/2021, 2021-04-15	2021-04-15	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 42	2021-04-15	-	COVID	English	Chairperson	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	JuhoEerola	Eerola, Juho	M	1975	
ParlaMint-FI-en_2021-04-15-ps-42	ParlaMint-FI_2021-04-15-ps-42.u10	Minutes of the Finnish Parliament's plenary session 42/2021, 2021-04-15	2021-04-15	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 42	2021-04-15	-	COVID	English	Regular	MP	notMinister	KESK	Centre Party	Coalition	Centre	MikkoKinnunen	Kinnunen, Mikko	M	1967	
ParlaMint-FI-en_2021-04-15-ps-42	ParlaMint-FI_2021-04-15-ps-42.u11	Minutes of the Finnish Parliament's plenary session 42/2021, 2021-04-15	2021-04-15	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 42	2021-04-15	-	COVID	English	Chairperson	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	JuhoEerola	Eerola, Juho	M	1975	
ParlaMint-FI-en_2021-04-15-ps-42	ParlaMint-FI_2021-04-15-ps-42.u12	Minutes of the Finnish Parliament's plenary session 42/2021, 2021-04-15	2021-04-15	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 42	2021-04-15	-	COVID	English	Regular	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	RiikkaPurra	Purra, Riikka	F	1977	
