Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2011-05-17	ParlaMint-EE_2011-05-17_U1	XII Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 17.05.2011, 10:00	2011-05-17	Unicameralism	XII Riigikogu	I regular session	-	2011-05-17	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2011-05-17	ParlaMint-EE_2011-05-17_U2	XII Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 17.05.2011, 10:00	2011-05-17	Unicameralism	XII Riigikogu	I regular session	-	2011-05-17	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	v_korb_19540703	Korb, Valeri	M	1954	
ParlaMint-EE-en_2011-05-17	ParlaMint-EE_2011-05-17_U3	XII Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 17.05.2011, 10:00	2011-05-17	Unicameralism	XII Riigikogu	I regular session	-	2011-05-17	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2011-05-17	ParlaMint-EE_2011-05-17_U4	XII Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 17.05.2011, 10:00	2011-05-17	Unicameralism	XII Riigikogu	I regular session	-	2011-05-17	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	p_toobal_19831101	Toobal, Priit	M	1983	
ParlaMint-EE-en_2011-05-17	ParlaMint-EE_2011-05-17_U5	XII Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 17.05.2011, 10:00	2011-05-17	Unicameralism	XII Riigikogu	I regular session	-	2011-05-17	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2011-05-17	ParlaMint-EE_2011-05-17_U6	XII Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 17.05.2011, 10:00	2011-05-17	Unicameralism	XII Riigikogu	I regular session	-	2011-05-17	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2011-05-17	ParlaMint-EE_2011-05-17_U7	XII Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 17.05.2011, 10:00	2011-05-17	Unicameralism	XII Riigikogu	I regular session	-	2011-05-17	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	u_klaas_19710317	Klaas, Urmas	M	1971	
ParlaMint-EE-en_2011-05-17	ParlaMint-EE_2011-05-17_U8	XII Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 17.05.2011, 10:00	2011-05-17	Unicameralism	XII Riigikogu	I regular session	-	2011-05-17	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
ParlaMint-EE-en_2011-05-17	ParlaMint-EE_2011-05-17_U9	XII Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 17.05.2011, 10:00	2011-05-17	Unicameralism	XII Riigikogu	I regular session	-	2011-05-17	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	m_reps_19750113	Reps, Mailis	F	1975	
ParlaMint-EE-en_2011-05-17	ParlaMint-EE_2011-05-17_U10	XII Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 17.05.2011, 10:00	2011-05-17	Unicameralism	XII Riigikogu	I regular session	-	2011-05-17	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	u_klaas_19710317	Klaas, Urmas	M	1971	
ParlaMint-EE-en_2011-05-17	ParlaMint-EE_2011-05-17_U11	XII Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 17.05.2011, 10:00	2011-05-17	Unicameralism	XII Riigikogu	I regular session	-	2011-05-17	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	l_randjärv_19640730	Randjärv, Laine	F	1964	
