Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2011-08-29	ParlaMint-EE_2011-08-29_U1	XII Parliament term, Extraordinary session of the Parliament term Monday, 29.08.2011, 13:00	2011-08-29	Unicameralism	XII Riigikogu	extraordinary session	-	2011-08-29	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2011-08-29	ParlaMint-EE_2011-08-29_U2	XII Parliament term, Extraordinary session of the Parliament term Monday, 29.08.2011, 13:00	2011-08-29	Unicameralism	XII Riigikogu	extraordinary session	-	2011-08-29	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	k_kallo_19481206	Kallo, Kalev	M	1948	
ParlaMint-EE-en_2011-08-29	ParlaMint-EE_2011-08-29_U3	XII Parliament term, Extraordinary session of the Parliament term Monday, 29.08.2011, 13:00	2011-08-29	Unicameralism	XII Riigikogu	extraordinary session	-	2011-08-29	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2011-08-29	ParlaMint-EE_2011-08-29_U4	XII Parliament term, Extraordinary session of the Parliament term Monday, 29.08.2011, 13:00	2011-08-29	Unicameralism	XII Riigikogu	extraordinary session	-	2011-08-29	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2011-08-29	ParlaMint-EE_2011-08-29_U5	XII Parliament term, Extraordinary session of the Parliament term Monday, 29.08.2011, 13:00	2011-08-29	Unicameralism	XII Riigikogu	extraordinary session	-	2011-08-29	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	h_sibul_00000000	Sibul, H	U	-	
ParlaMint-EE-en_2011-08-29	ParlaMint-EE_2011-08-29_U6	XII Parliament term, Extraordinary session of the Parliament term Monday, 29.08.2011, 13:00	2011-08-29	Unicameralism	XII Riigikogu	extraordinary session	-	2011-08-29	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2011-08-29	ParlaMint-EE_2011-08-29_U7	XII Parliament term, Extraordinary session of the Parliament term Monday, 29.08.2011, 13:00	2011-08-29	Unicameralism	XII Riigikogu	extraordinary session	-	2011-08-29	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2011-08-29	ParlaMint-EE_2011-08-29_U8	XII Parliament term, Extraordinary session of the Parliament term Monday, 29.08.2011, 13:00	2011-08-29	Unicameralism	XII Riigikogu	extraordinary session	-	2011-08-29	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	a_heinsalu_00000000	Heinsalu, A	U	-	
ParlaMint-EE-en_2011-08-29	ParlaMint-EE_2011-08-29_U9	XII Parliament term, Extraordinary session of the Parliament term Monday, 29.08.2011, 13:00	2011-08-29	Unicameralism	XII Riigikogu	extraordinary session	-	2011-08-29	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2011-08-29	ParlaMint-EE_2011-08-29_U10	XII Parliament term, Extraordinary session of the Parliament term Monday, 29.08.2011, 13:00	2011-08-29	Unicameralism	XII Riigikogu	extraordinary session	-	2011-08-29	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	a_heinsalu_00000000	Heinsalu, A	U	-	
ParlaMint-EE-en_2011-08-29	ParlaMint-EE_2011-08-29_U11	XII Parliament term, Extraordinary session of the Parliament term Monday, 29.08.2011, 13:00	2011-08-29	Unicameralism	XII Riigikogu	extraordinary session	-	2011-08-29	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2011-08-29	ParlaMint-EE_2011-08-29_U12	XII Parliament term, Extraordinary session of the Parliament term Monday, 29.08.2011, 13:00	2011-08-29	Unicameralism	XII Riigikogu	extraordinary session	-	2011-08-29	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	h_sibul_00000000	Sibul, H	U	-	
ParlaMint-EE-en_2011-08-29	ParlaMint-EE_2011-08-29_U13	XII Parliament term, Extraordinary session of the Parliament term Monday, 29.08.2011, 13:00	2011-08-29	Unicameralism	XII Riigikogu	extraordinary session	-	2011-08-29	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2011-08-29	ParlaMint-EE_2011-08-29_U14	XII Parliament term, Extraordinary session of the Parliament term Monday, 29.08.2011, 13:00	2011-08-29	Unicameralism	XII Riigikogu	extraordinary session	-	2011-08-29	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	h_sibul_00000000	Sibul, H	U	-	
ParlaMint-EE-en_2011-08-29	ParlaMint-EE_2011-08-29_U15	XII Parliament term, Extraordinary session of the Parliament term Monday, 29.08.2011, 13:00	2011-08-29	Unicameralism	XII Riigikogu	extraordinary session	-	2011-08-29	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2011-08-29	ParlaMint-EE_2011-08-29_U16	XII Parliament term, Extraordinary session of the Parliament term Monday, 29.08.2011, 13:00	2011-08-29	Unicameralism	XII Riigikogu	extraordinary session	-	2011-08-29	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	th_ilves_00000000	Ilves, Th	U	-	
ParlaMint-EE-en_2011-08-29	ParlaMint-EE_2011-08-29_U17	XII Parliament term, Extraordinary session of the Parliament term Monday, 29.08.2011, 13:00	2011-08-29	Unicameralism	XII Riigikogu	extraordinary session	-	2011-08-29	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
