Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2011-11-24	ParlaMint-EE_2011-11-24_U1	XII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 24.11.2011, 10:00	2011-11-24	Unicameralism	XII Riigikogu	II regular session	-	2011-11-24	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2011-11-24	ParlaMint-EE_2011-11-24_U2	XII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 24.11.2011, 10:00	2011-11-24	Unicameralism	XII Riigikogu	II regular session	-	2011-11-24	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	h_lenk_19460917	Lenk, Heimar	M	1946	
ParlaMint-EE-en_2011-11-24	ParlaMint-EE_2011-11-24_U3	XII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 24.11.2011, 10:00	2011-11-24	Unicameralism	XII Riigikogu	II regular session	-	2011-11-24	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2011-11-24	ParlaMint-EE_2011-11-24_U4	XII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 24.11.2011, 10:00	2011-11-24	Unicameralism	XII Riigikogu	II regular session	-	2011-11-24	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	m_tuus_laul_19510512	Tuus-Laul, Marika	F	1951	
ParlaMint-EE-en_2011-11-24	ParlaMint-EE_2011-11-24_U5	XII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 24.11.2011, 10:00	2011-11-24	Unicameralism	XII Riigikogu	II regular session	-	2011-11-24	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2011-11-24	ParlaMint-EE_2011-11-24_U6	XII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 24.11.2011, 10:00	2011-11-24	Unicameralism	XII Riigikogu	II regular session	-	2011-11-24	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2011-11-24	ParlaMint-EE_2011-11-24_U7	XII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 24.11.2011, 10:00	2011-11-24	Unicameralism	XII Riigikogu	II regular session	-	2011-11-24	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	m_tsahkna_19770413	Tsahkna, Margus	M	1977	
ParlaMint-EE-en_2011-11-24	ParlaMint-EE_2011-11-24_U8	XII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 24.11.2011, 10:00	2011-11-24	Unicameralism	XII Riigikogu	II regular session	-	2011-11-24	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2011-11-24	ParlaMint-EE_2011-11-24_U9	XII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 24.11.2011, 10:00	2011-11-24	Unicameralism	XII Riigikogu	II regular session	-	2011-11-24	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	m_tsahkna_19770413	Tsahkna, Margus	M	1977	
ParlaMint-EE-en_2011-11-24	ParlaMint-EE_2011-11-24_U10	XII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 24.11.2011, 10:00	2011-11-24	Unicameralism	XII Riigikogu	II regular session	-	2011-11-24	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2011-11-24	ParlaMint-EE_2011-11-24_U11	XII Parliament term, II Session, Plenary Assembly regular meeting on Thursday, 24.11.2011, 10:00	2011-11-24	Unicameralism	XII Riigikogu	II regular session	-	2011-11-24	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	m_tsahkna_19770413	Tsahkna, Margus	M	1977	
