Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2011-04-05	ParlaMint-EE_2011-04-05_U1	XII Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 05.04.2011, 10:00	2011-04-05	Unicameralism	XII Riigikogu	I regular session	-	2011-04-05	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2011-04-05	ParlaMint-EE_2011-04-05_U2	XII Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 05.04.2011, 10:00	2011-04-05	Unicameralism	XII Riigikogu	I regular session	-	2011-04-05	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	m_reps_19750113	Reps, Mailis	F	1975	
ParlaMint-EE-en_2011-04-05	ParlaMint-EE_2011-04-05_U3	XII Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 05.04.2011, 10:00	2011-04-05	Unicameralism	XII Riigikogu	I regular session	-	2011-04-05	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2011-04-05	ParlaMint-EE_2011-04-05_U4	XII Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 05.04.2011, 10:00	2011-04-05	Unicameralism	XII Riigikogu	I regular session	-	2011-04-05	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2011-04-05	ParlaMint-EE_2011-04-05_U5	XII Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 05.04.2011, 10:00	2011-04-05	Unicameralism	XII Riigikogu	I regular session	-	2011-04-05	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	a_ansip_19561001	Ansip, Andrus	M	1956	
ParlaMint-EE-en_2011-04-05	ParlaMint-EE_2011-04-05_U6	XII Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 05.04.2011, 10:00	2011-04-05	Unicameralism	XII Riigikogu	I regular session	-	2011-04-05	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2011-04-05	ParlaMint-EE_2011-04-05_U7	XII Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 05.04.2011, 10:00	2011-04-05	Unicameralism	XII Riigikogu	I regular session	-	2011-04-05	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	k_simson_19770122	Simson, Kadri	F	1977	
ParlaMint-EE-en_2011-04-05	ParlaMint-EE_2011-04-05_U8	XII Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 05.04.2011, 10:00	2011-04-05	Unicameralism	XII Riigikogu	I regular session	-	2011-04-05	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	a_ansip_19561001	Ansip, Andrus	M	1956	
ParlaMint-EE-en_2011-04-05	ParlaMint-EE_2011-04-05_U9	XII Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 05.04.2011, 10:00	2011-04-05	Unicameralism	XII Riigikogu	I regular session	-	2011-04-05	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2011-04-05	ParlaMint-EE_2011-04-05_U10	XII Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 05.04.2011, 10:00	2011-04-05	Unicameralism	XII Riigikogu	I regular session	-	2011-04-05	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	s_mikser_19731108	Mikser, Sven	M	1973	
ParlaMint-EE-en_2011-04-05	ParlaMint-EE_2011-04-05_U11	XII Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 05.04.2011, 10:00	2011-04-05	Unicameralism	XII Riigikogu	I regular session	-	2011-04-05	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	a_ansip_19561001	Ansip, Andrus	M	1956	
ParlaMint-EE-en_2011-04-05	ParlaMint-EE_2011-04-05_U12	XII Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 05.04.2011, 10:00	2011-04-05	Unicameralism	XII Riigikogu	I regular session	-	2011-04-05	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2011-04-05	ParlaMint-EE_2011-04-05_U13	XII Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 05.04.2011, 10:00	2011-04-05	Unicameralism	XII Riigikogu	I regular session	-	2011-04-05	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	j_allik_19461008	Allik, Jaak	M	1946	
ParlaMint-EE-en_2011-04-05	ParlaMint-EE_2011-04-05_U14	XII Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 05.04.2011, 10:00	2011-04-05	Unicameralism	XII Riigikogu	I regular session	-	2011-04-05	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	a_ansip_19561001	Ansip, Andrus	M	1956	
ParlaMint-EE-en_2011-04-05	ParlaMint-EE_2011-04-05_U15	XII Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 05.04.2011, 10:00	2011-04-05	Unicameralism	XII Riigikogu	I regular session	-	2011-04-05	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
