Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2000-04-13-0	ParlaMint-BA_2000-04-13-0.u488	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 16	2000-04-13	Unicameralism	2. mandat	-	Sjednica 16	2000-04-13	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	ŠoljićVladimir	Šoljić, Vladimir	M	1943	
ParlaMint-BA-en_2000-04-13-0	ParlaMint-BA_2000-04-13-0.u490	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 16	2000-04-13	Unicameralism	2. mandat	-	Sjednica 16	2000-04-13	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	-	Centre-right to right	DžaferovićŠefik	Džaferović, Šefik	M	1957	
ParlaMint-BA-en_2000-04-13-0	ParlaMint-BA_2000-04-13-0.u491	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 16	2000-04-13	Unicameralism	2. mandat	-	Sjednica 16	2000-04-13	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	ŠoljićVladimir	Šoljić, Vladimir	M	1943	
ParlaMint-BA-en_2000-04-13-0	ParlaMint-BA_2000-04-13-0.u492	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 16	2000-04-13	Unicameralism	2. mandat	-	Sjednica 16	2000-04-13	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	-	Centre-right to right	DžaferovićŠefik	Džaferović, Šefik	M	1957	
ParlaMint-BA-en_2000-04-13-0	ParlaMint-BA_2000-04-13-0.u493	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 16	2000-04-13	Unicameralism	2. mandat	-	Sjednica 16	2000-04-13	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	ŠoljićVladimir	Šoljić, Vladimir	M	1943	
ParlaMint-BA-en_2000-04-13-0	ParlaMint-BA_2000-04-13-0.u494	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 16	2000-04-13	Unicameralism	2. mandat	-	Sjednica 16	2000-04-13	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	-	Centre-right to right	DžaferovićŠefik	Džaferović, Šefik	M	1957	
ParlaMint-BA-en_2000-04-13-0	ParlaMint-BA_2000-04-13-0.u495	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 16	2000-04-13	Unicameralism	2. mandat	-	Sjednica 16	2000-04-13	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	ŠoljićVladimir	Šoljić, Vladimir	M	1943	
ParlaMint-BA-en_2000-04-13-0	ParlaMint-BA_2000-04-13-0.u496	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 16	2000-04-13	Unicameralism	2. mandat	-	Sjednica 16	2000-04-13	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	-	Centre-right to right	DžaferovićŠefik	Džaferović, Šefik	M	1957	
ParlaMint-BA-en_2000-04-13-0	ParlaMint-BA_2000-04-13-0.u497	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 16	2000-04-13	Unicameralism	2. mandat	-	Sjednica 16	2000-04-13	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	ŠoljićVladimir	Šoljić, Vladimir	M	1943	
ParlaMint-BA-en_2000-04-13-0	ParlaMint-BA_2000-04-13-0.u498	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 16	2000-04-13	Unicameralism	2. mandat	-	Sjednica 16	2000-04-13	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	-	Centre-right to right	DžaferovićŠefik	Džaferović, Šefik	M	1957	
ParlaMint-BA-en_2000-04-13-0	ParlaMint-BA_2000-04-13-0.u499	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 16	2000-04-13	Unicameralism	2. mandat	-	Sjednica 16	2000-04-13	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	ŠoljićVladimir	Šoljić, Vladimir	M	1943	
ParlaMint-BA-en_2000-04-13-0	ParlaMint-BA_2000-04-13-0.u500	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 16	2000-04-13	Unicameralism	2. mandat	-	Sjednica 16	2000-04-13	-	Reference	English	Regular	MP	notMinister	SPRS	Socijalistička partija	-	Centre-left	MalićMomir	Malić, Momir	M	1946	
ParlaMint-BA-en_2000-04-13-0	ParlaMint-BA_2000-04-13-0.u501	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 16	2000-04-13	Unicameralism	2. mandat	-	Sjednica 16	2000-04-13	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	ŠoljićVladimir	Šoljić, Vladimir	M	1943	
ParlaMint-BA-en_2000-04-13-0	ParlaMint-BA_2000-04-13-0.u502	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 16	2000-04-13	Unicameralism	2. mandat	-	Sjednica 16	2000-04-13	-	Reference	English	Regular	MP	notMinister	SRSRS	Srpska radikalna stranka Republike Srpske	Opposition	Right	PajićĐoko	Pajić, Đoko	M	1949	
ParlaMint-BA-en_2000-04-13-0	ParlaMint-BA_2000-04-13-0.u503	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 16	2000-04-13	Unicameralism	2. mandat	-	Sjednica 16	2000-04-13	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	ŠoljićVladimir	Šoljić, Vladimir	M	1943	
ParlaMint-BA-en_2000-04-13-0	ParlaMint-BA_2000-04-13-0.u504	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 16	2000-04-13	Unicameralism	2. mandat	-	Sjednica 16	2000-04-13	-	Reference	English	Regular	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	-	Centre	ŽigićIzet	Žigić, Izet	M	1956	
