Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2000-04-27-0	ParlaMint-BA_2000-04-27-0.u510	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 17	2000-04-27	Unicameralism	2. mandat	-	Sjednica 17	2000-04-27	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpski narodni savez	-	Centre-right	LjubičićDrago	Ljubičić, Drago	M	1949	
ParlaMint-BA-en_2000-04-27-0	ParlaMint-BA_2000-04-27-0.u512	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 17	2000-04-27	Unicameralism	2. mandat	-	Sjednica 17	2000-04-27	-	Reference	English	Regular	MP	notMinister	SRSRS	Srpska radikalna stranka Republike Srpske	Opposition	Right	PajićĐoko	Pajić, Đoko	M	1949	
ParlaMint-BA-en_2000-04-27-0	ParlaMint-BA_2000-04-27-0.u513	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 17	2000-04-27	Unicameralism	2. mandat	-	Sjednica 17	2000-04-27	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpski narodni savez	-	Centre-right	LjubičićDrago	Ljubičić, Drago	M	1949	
ParlaMint-BA-en_2000-04-27-0	ParlaMint-BA_2000-04-27-0.u514	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 17	2000-04-27	Unicameralism	2. mandat	-	Sjednica 17	2000-04-27	-	Reference	English	Regular	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	-	Centre	ŽigićIzet	Žigić, Izet	M	1956	
ParlaMint-BA-en_2000-04-27-0	ParlaMint-BA_2000-04-27-0.u515	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 17	2000-04-27	Unicameralism	2. mandat	-	Sjednica 17	2000-04-27	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpski narodni savez	-	Centre-right	LjubičićDrago	Ljubičić, Drago	M	1949	
ParlaMint-BA-en_2000-04-27-0	ParlaMint-BA_2000-04-27-0.u516	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 17	2000-04-27	Unicameralism	2. mandat	-	Sjednica 17	2000-04-27	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	KurtovićMirsad	Kurtović, Mirsad	U	-	
ParlaMint-BA-en_2000-04-27-0	ParlaMint-BA_2000-04-27-0.u517	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 17	2000-04-27	Unicameralism	2. mandat	-	Sjednica 17	2000-04-27	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpski narodni savez	-	Centre-right	LjubičićDrago	Ljubičić, Drago	M	1949	
ParlaMint-BA-en_2000-04-27-0	ParlaMint-BA_2000-04-27-0.u518	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 17	2000-04-27	Unicameralism	2. mandat	-	Sjednica 17	2000-04-27	-	Reference	English	Regular	MP	notMinister	SRSRS	Srpska radikalna stranka Republike Srpske	Opposition	Right	PajićĐoko	Pajić, Đoko	M	1949	
ParlaMint-BA-en_2000-04-27-0	ParlaMint-BA_2000-04-27-0.u519	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 17	2000-04-27	Unicameralism	2. mandat	-	Sjednica 17	2000-04-27	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpski narodni savez	-	Centre-right	LjubičićDrago	Ljubičić, Drago	M	1949	
ParlaMint-BA-en_2000-04-27-0	ParlaMint-BA_2000-04-27-0.u520	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 17	2000-04-27	Unicameralism	2. mandat	-	Sjednica 17	2000-04-27	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	KurtovićMirsad	Kurtović, Mirsad	U	-	
ParlaMint-BA-en_2000-04-27-0	ParlaMint-BA_2000-04-27-0.u521	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 2, Session 17	2000-04-27	Unicameralism	2. mandat	-	Sjednica 17	2000-04-27	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpski narodni savez	-	Centre-right	LjubičićDrago	Ljubičić, Drago	M	1949	
