ParlaMint-NO_2022-01-19.ana.ud1e28	The representative, Mr Grete Wold, will put forward a proposal for a representative.
ParlaMint-NO_2022-01-19.ana.ud1e33	On behalf of the representatives of Tobias Drevland Lund, Seher Aydar, Marian Hussein and myself, I would like to make a proposal on the limitation period for withdrawal of citizenship.
ParlaMint-NO_2022-01-19.ana.ud1e38	The representative of Morten Stordalen will present a proposal for a representative.
ParlaMint-NO_2022-01-19.ana.ud1e43	On behalf of the representatives of Terje Halleland, Bård Hoksrud and myself, I would like to propose a more effective heavy-duty vehicle control for safer roads.
ParlaMint-NO_2022-01-19.ana.ud1e48	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2022-01-19.ana.ud1e64	On Monday the Stortinge received a message from the Prime Minister's office that the Councils of State Ola Borten Moe, Björn Schjörn and Odd Roger Enoksen will meet for oral Question Time. The announced members of the government are present, and we are ready to start the oral question procedure. We then start with the first main questions, from the representative of Harek Elvenes.
ParlaMint-NO_2022-01-19.ana.ud1e73	Recently there has been increased Russian military activity in the Baltic Sea. Among other things, we have seen a significant increase in the presence of Russian landing vessels. Sweden has raised its military preparedness, for example through increased military presence in Gotland. The Swedish Minister of Defence has expressed considerable concern about various observations of drones over different Swedish installations. How does the State Council assess the security situation and what contact do Norwegian authorities have with Sweden and Finland regarding the worsening security situation?
ParlaMint-NO_2022-01-19.ana.ud1e80	The reactions we see on the Swedish side probably point to the seriousness of the situation. Increased tension in the Black Sea region and in the Baltic Sea has led, as the representative says, to Swedish defence implementing a number of measures and adapting its preparedness. This includes increased air patrol, maritime surveillance and reinforcement of military presence in Gotland. As far as we understand it, these measures are intended to increase the understanding of the situation and signal to Russia that they are following the situation. But Sweden does not consider a Russian attack on Sweden to be probable. We have good dialogue with Sweden. We share the assessment that they're doing. We maintain dialogue in the future and follow closely what is going on, both in the Baltic Sea and in the Black Sea region, as well as that of course we also follow up on what is happening in the North, in our own area.
ParlaMint-NO_2022-01-19.ana.ud1e87	Thanks for the answer. In 2020, Norway, Sweden and Finland signed a new enhanced defence cooperation agreement. The agreement facilitates coordination and cooperation on military operations in crisis and conflict. This happens at the same time as Sweden and Finland co-operate with NATO as far as possible, without being a member. As you know, the Nordic countries have very similar security policy interests. We now see that Sweden has strengthened its military preparedness. What is needed for Norway to take reinforced military action, as we have now seen in Sweden?
ParlaMint-NO_2022-01-19.ana.ud1e94	What is needed for Norway to do the same is that we see an increasing threat to Norwegian territory. We haven't seen that so far. We've increased vigilance, we're following what's going on in the north, we're following what's going on in the Baltic Sea and the Black Sea region, and we're, of course, also following closely what's going on in areas further east of Europe. So far, a number of measures have been taken within the terms of reference of the Chief of Defence, i.e.: increased vigilance in the north and slightly increased preparedness in some demarcated areas. In addition, we have not considered it necessary to take further action.
ParlaMint-NO_2022-01-19.ana.ud1e99	There will be follow-up questions – first Ine Eriksen Soreide.
ParlaMint-NO_2022-01-19.ana.ud1e104	Europe is in the most serious security policy situation since the end of the Cold War. It is an unprovoked aggression from Russia against Ukraine with significant build-up of strength at both borders to and in Ukraine. It allows Russia to attack Ukraine again, and it can happen on very short notice. Despite vigorous diplomatic efforts to avert conflict, it would be naive to believe that the danger of war is not real. Russia attacked Georgia in 2008, attacked Ukraine and annexed Crimea in 2014 and has been waging war in Ukraine for eight years. Right now, many eastern allies are expressing their clear concern about what is happening in their immediate neighbourhoods, and NATO is now planning some defensive measures on its own territory. How does the government feel that Norway can best engage in NATO in the current situation in order to continue to be a credible and predictable ally?
ParlaMint-NO_2022-01-19.ana.ud1e111	Let me first say that I share the assessment of the tense situation we see. It is Russia that is responsible for this increased tension, and it is also Russia that is responsible for de-scaling that situation, i.e. lowering the tension by reducing its military presence. Let's hope that the diplomatic channel you're now trying to reach, because no one is worthy of any solution other than that we can solve this peacefully, diplomatically, and that it is possible for the parties to move in a direction that both parties can live in. So far, Russia has made ultimate demands that it is impossible for NATO – and for the Western nations – to meet. So let's hope that the meetings that are going to be this week will lead. Norway has a quota in Lithuania. In addition to that, we now have no plans to increase our presence in the Baltic States. If we were to get an enquiry and the situation would escalate further, of course it would have to be assessed, and then the government would also come back to Stortinget with it appropriately.
ParlaMint-NO_2022-01-19.ana.ud1e120	Ine Eriksen Soreide – for follow-up questions.
ParlaMint-NO_2022-01-19.ana.ud1e125	I am pleased with the signals, both that the Storting will naturally be involved, and that the government has an assessment of what might come from NATO. The previous government strongly prioritised strengthening Nordic defence cooperation through NORDEFCO, all the way back to when we had the Presidency in 2014. The differences in the relationship between security policy and the countries concerned include: NATO, has not been a hindrance to it. This has resulted in many concrete things, such as: dialogue on joint operational planning, sharing of radar data, use of each other's airspace, etc. This serves Norway’s safety in several ways, including: because an increased tension in the Baltic Sea region can quickly reproduce into the northern regions. Given the developments we are now seeing, what concrete plans does the government have to further strengthen NORDEFCO and the Nordic defence and security cooperation within the framework we have in NATO?
ParlaMint-NO_2022-01-19.ana.ud1e135	Norway has the chairmanship of NORDEFCO this year. My ambition is to further expand and develop Nordic cooperation. It is a good initiative that has been taken, and I share the representative's assessment that there are new areas for further cooperation, such as planning, logistics and joint exercises. Now Finland also acquires F-35, which should provide common opportunities, perhaps also industrially, in that area. So my ambition and government's ambition is obviously to expand Nordic cooperation further beyond what has already been done.
ParlaMint-NO_2022-01-19.ana.ud1e140	Christian Tybring-Gjedde – for follow-up questions.
ParlaMint-NO_2022-01-19.ana.ud1e145	I'm going to take a slightly different angle than the previous speaker. I'll be a little bit less hawk. You have to listen to NATO, and we're actually a member of NATO, so we're going to affect NATO too, not just listen to them. Now, in June, NATO will adopt a new strategic concept. In that concept, the United States wants to remove Russia as a strategic partner. This is bad news for Norway. Will the Minister of Defence at the June meeting, or in advance of that June meeting, try to influence the United States to keep Russia as a strategic partner and, of course, keep Ukraine as a partner?
ParlaMint-NO_2022-01-19.ana.ud1e152	That's a very good question. It is right that the new strategic concept should be decided for spring, in Madrid, where NATO, among other things. to a greater extent focus on its neighbourhood and on its home area, as it is said, in the strategic concept. I think it would be unwise to remove Russia as a strategic partner. We want the benefits and benefits of having a good dialogue. Relaxation is as important as deterrence. Having good dialogue with Russia is also one of the goals of the government. We have managed – even since 2014 – in some areas to maintain a dialogue with Russia, including in the military area. It's been important to us in the north that we've had it. It will be even more important in the future, and I think it would be wise to keep a partnership.
ParlaMint-NO_2022-01-19.ana.ud1e159	Let's go to the next main question.
ParlaMint-NO_2022-01-19.ana.ud1e164	My question goes to State Councillor Borten Moe. Norway, as one of the few countries, has free university and higher education for foreign students. Even students from countries where Norwegian students have to pay school fees are free to study in Norway. Subsidies by Norwegian taxpayers on the free study of foreign students in Norway are estimated at approximately 3.3 billion. kr every year. The party itself informed a few years ago that the actual subsidisation was about 5 billion. kr because the foreign students also receive a scholarship from the Loan Fund. They also have priority on student cabins, and in Oslo, foreign students have about 70 pst. of the student cabins. The progress party believes it is good with international students in Norway and good with an international student environment, but we believe that Norway should compete for academic attractiveness, not be at the candidate top because it is free to travel to Norway to study. We want taxpayers in this country to pay the education primarily to Norwegian students. A few years ago, Ola Borten Moe, as vice president of the Center Party, had a chronicle at Nok.no where he said it was time to introduce school money for foreign students in Norway. I would therefore like to ask Borten Moe, now the Minister of Higher Education, whether he will take the initiative to do just that, and at least make sure that Norway introduces the tuition fee for students from countries where Norwegian students themselves have to pay the tuition fee to study.
ParlaMint-NO_2022-01-19.ana.ud1e175	Let me first give honor and honor to Gulati for having Googled old press releases about myself. It's said that sometimes you meet yourself in the door, it's used as an expression. I think it doesn't necessarily have to be negative, because one hits presumptuously a person you know well and like! [[Laughter]] That being said, the Hurdals platform states that we should continue the system under which the Progress Party has also supported and managed in the eight years of either government or responsibility for the State budget, and that is that studying in Norway should be free of charge for everyone. I also want to add that I have a great deal of sympathy for the argument that Norwegian academic institutions are going to compete over time in an international market, starting from offering high-quality education and research. That's a better starting point than competing at price. In an ideal world, there's a good starting point for taking such a discussion. Finally, in this field too, the EEA Agreement has some provisions, so we cannot introduce one set of rules for Norwegian students and another set of rules for students from other EEA countries. But the government's policy is, as I said, to continue the free principle of Norwegian higher education for all students, Norwegian as foreign students.
ParlaMint-NO_2022-01-19.ana.ud1e184	As I mentioned in my previous post, Norway is now using about 3.3 billion. kr annually to subsidise foreign students in Norway. A few years ago, according to the NRK, Russia, China and Nepal, it was the top list of foreign students in Norway. In the attitude of the Education Committee last year, to the Communication A World of Opportunities, both the Center Party and the other Red-Green parties wrote that it was an aim to get more foreign students to Norway. My question to the Council of State is therefore: How many more billions does he think it is right for Norwegian taxpayers to spend on subsidising foreign students before considering the introduction of a tuition fee?
ParlaMint-NO_2022-01-19.ana.ud1e189	It is not just a measure of several foreign students in Norway. Norwegian students going out to study are also a target to which a broad majority of the Stortinget have joined. Having foreign students here with us and our own going out into the world, I think is a very good way to get to know the world, get to know other perspectives, and not least one way to get to know yourself in a world that is increasingly global. As I said, we are going to continue the system on which there has been a broad consensus in Stortinget – i.e. the free principle of higher education in Norway. I want to distance myself from parts of the numbers that Gulati's representative is pulling up, among other things. having regard to the fact that one cannot mistreat, nor in principle, between Norwegian and Swedish students or Danish and German, as long as it is within the scope of the EEA Agreement. It's simply not possible.
ParlaMint-NO_2022-01-19.ana.ud1e196	There will be follow-up questions – first Himanshu Gulati.
ParlaMint-NO_2022-01-19.ana.ud1e201	The students have rightly, in my opinion, felt like the losers after the government budget for 2022 became final. Study support is not increased. The government is proposing no more student housing than the previous government, and several election vows from the government parties have unfortunately been broken. Several student organisations have demanded that the tuition fee be linked to the basic amount of population benefit, G, and that it be increased to 1.5 G, which will be an increase from the current level of about 1 %. 1.2 G. The Progress Party has proposed the same in its alternative budget. I therefore wonder if the Council of State will accept an invitation to meet, where we are committed across political dividing lines to link the study support to the basic amount, G, and to increase it to 1.5 G for the country's students during this magnification period.
ParlaMint-NO_2022-01-19.ana.ud1e207	I would like to remind the representative Gulati that in Norway we have the perhaps most shy study funding scheme in the world. Not only is higher education free of charge for everyone, it is widely present throughout the country. We have a very good student support system, completely independent of the parent's economy, which benefits everyone. It is also the case that, through unanimous decisions in Stortinget, student support has been subject to price adjustment throughout the last 15 years. There has also been a significant escalation in the fact that the 11th month is now fully funded for all. The government has been clear that our priority is to introduce a twelfth month for adult students with child care. We think that's a proper priority. And then we have put in place important welfare schemes that make this group in the current state budget, among other things. half the price of dental health for the age groups concerned.
ParlaMint-NO_2022-01-19.ana.ud1e214	Himanshu Gulati – for follow-up questions.
ParlaMint-NO_2022-01-19.ana.ud1e219	It seems to me that the Council of State will not commit to an increase of 1.5 G, as several student organisations have requested. Governments were involved in 11 months of study support. This was the last government – including the Progress Party, from 2017 to 2020 – to step up over a four-year period. In the first budget of the Workers' Party-Centre-Registration, there is little mention for the students. Especially in the case of student support, several student organisations are disappointed. Although the Council of State will not commit to an increase of 1.5 G, I would ask him if he can promise that the students will receive increased support for their studies by this government, and if he can possibly give an indication of their ambitions to increase their support for the study.
ParlaMint-NO_2022-01-19.ana.ud1e224	Let me first add that the Progress Party has been under government responsibility for almost the previous eight years, and has supported the state budget in all. You don't want to find any trace of what Gulati is now proposing. We are concerned that we should have a safe and good economy for the students, but we also believe that it is quite okay to work alongside the studies. Not only is it an important reserve of labour for the nation and for everyone who lives here, it is also that there is important learning for the students, at my discretion. You get closer to work, and you get closer to the reality you have to face when you're fully educated. We're going to continue to improve the student support scheme, but the priority is going to be to focus on the annual price adjustments that always come, and then it's going to be targeted towards those groups that need it the most. The group specifically mentioned is students with care for young children.
ParlaMint-NO_2022-01-19.ana.ud1e233	Himanshu Gulati – for follow-up questions.
ParlaMint-NO_2022-01-19.ana.ud1e238	In the time of the Progress Party in government, we were just in favour of increasing the support for the study from ten to eleven months. I record that the Council of State will not promise an increase in student support for all the country's students in addition to price adjustment. My last question is about the reports that, among other things, TV 2 has come from Bergen and other places, that many of the country's students live in old and worn-out student homes. Some date back to the 1960s and have quite out-of-date facilities. My colleague Silje Hemdal has also focused on this. One of the reasons these student hubs continue to be used even if they are due is that today's grant schemes do not provide room for cleaning up old, existing student cabins, only for building new ones. I therefore wonder whether the Council of State will address this and undertake not only to increase the grant for student housing, but also to ensure that parts of the grant can go to cleaning up old student cabins that need refurbishment.
ParlaMint-NO_2022-01-19.ana.ud1e247	The government has ambitious objectives of increasing the construction of student housing in Norway, up to 3000 dwellings a year. This year it is home to 1,650 new student homes. We also have a general challenge related to triggering the student residences for which money is actually granted. With regard to the problem raised by the representative Gulati, quite generous grants are provided by the state for the construction of student housing. It's to keep the rent down. Then it is that student relations must take responsibility for upgrading and maintaining their building mass on an ongoing basis, as it grows older. If we introduce a grant for the refurbishment of older student dwellings, the interactions will not have an incentive to take care of existing building masses. It's not lucky, at my discretion.
ParlaMint-NO_2022-01-19.ana.ud1e254	Rauand Ismail – for follow-up questions.
ParlaMint-NO_2022-01-19.ana.ud1e259	Students who started studying in 2020 are now halfway into their Bachelor's degree and have barely experienced what it is like to have a normal study period. We also know that many students' finances are not going to go far enough. Therefore, I wonder: In addition to what the Council of State has already promised to come – delayed power loans and the continuation of what was left of last year's student crisis package – will the Council of State come up with a new crisis package and do as the students ask: introduce daily allowances for students and remove the one meter rule in educational situations? If not – why not?
