ParlaMint-NO_2022-03-02.ana.ud27e28	The representative, Tobias Drvland Lund, will make a proposal for a representative.
ParlaMint-NO_2022-03-02.ana.ud27e33	On behalf of Seher Aydar, Björn Moxnes and myself, I am delighted to promote a proposal for a representative to help Ukrainians flee from war by offering collective protection to Ukrainian refugees.
ParlaMint-NO_2022-03-02.ana.ud27e38	The representative of the Bears Moxnes will present a proposal for a representative.
ParlaMint-NO_2022-03-02.ana.ud27e43	On behalf of the Red, I would like to propose the ratification of additions to the Rome Statutes on the prosecution of international lawless war of aggression and the criminalisation of international lawless war of assault in Norwegian criminal law.
ParlaMint-NO_2022-03-02.ana.ud27e48	The representative, Mr Halleland, will make a proposal for a representative.
ParlaMint-NO_2022-03-02.ana.ud27e53	I am delighted to make a proposal by the party representatives Marius Arion Nilsen, Silje Hemdal, Erlend Wiborg, Sylvi Listhaug and myself to ensure increased Norwegian gas exports.
ParlaMint-NO_2022-03-02.ana.ud27e58	The representative, Frank Edvard Sve, will put forward two proposals for representatives.
ParlaMint-NO_2022-03-02.ana.ud27e63	On behalf of Morten Stordalen, Sylvi Listhaug, Bård Hoksrud, Silje Hämdal, Helge André Njåstad, Carl I. Hagen, Tor André Johnsen and myself, I would like to make a proposal on prioritising new research. 15 Wrestlers now. I also have the honour to present a proposal on behalf of the representatives of Morten Stordalen, Sylvi Listhaug, Bård Hoksrud and myself to stop Bypakket Ålesund.
ParlaMint-NO_2022-03-02.ana.ud27e71	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2022-03-02.ana.ud27e87	The Stortinget received on Monday a message from the Prime Minister's office that Foreign Minister Anniken Huitfeldt and the Councils of State Jon-Ivar Nygård and Marte Mjøs Persen will meet for oral Question Time. The announced members of the government are present, and we are ready to start the oral question procedure. We then start with the first main questions, from the representative, Ine Eriksen Soreide.
ParlaMint-NO_2022-03-02.ana.ud27e96	There is war in Europe, and it is a war that affects us all – both emotionally and practically. We contribute with financial and political support, and the government announced on Sunday a significant escalation in humanitarian aid. It's very much appreciated, and we've also asked the government to consider it. In addition, we send both protective equipment and panserver weapons to those who now have everything they have and everything they are defending their country and their freedom. It too has full support from the Right. The situation is quite exceptional, the legislation allows it, and the situation requires it. According to the UN High Commissioner for Refugees, over 670,000 people have fled Ukraine, and the number is increasing rapidly. In addition, there are more than one million people fleeing internally in Ukraine. And as I've mentioned in the Questionnaire before, there has been a major humanitarian crisis in eastern Ukraine, where over 14,000 people are killed and over 3 million people live under very difficult conditions in a small geographical area. They need emergency aid – and the reason is that Russia annexed Crimea in 2014 and started acts of war. These are people who can now also flee across borders. It is positive that the government sends signals that Norway should accept people as refugees from this brutal war that Vladimir Putin started. Now we're the neighborhoods. There are now discussions in the EU about how Europe can best help and contribute to a distribution between countries. This European work is important for Norway to be part of. My question to the Minister for Foreign Affairs is: How does the government now work concretely to contribute to the EU's joint response to help refugees? And what signals has the government given on what Norway can contribute?
ParlaMint-NO_2022-03-02.ana.ud27e107	The Minister of Justice attended an EU meeting on this issue this weekend, and she wants to attend a new meeting again, precisely because Norway is a country that is setting up. We're going to be rusty with the Ukrainians now. It's in our vicinity. First of all, we want to offer help where the refugees have arrived, through humanitarian aid, access to food, medicine and health care. But there's also going to be someone coming to Norway. Then we will coordinate with the European countries. I think that has been a good response in this crisis, that there has been a great deal of European cohesion. Despite the fact that there has been political disagreement on precisely refugee issues in Europe, I feel this time that there is a great desire to contribute. I'm probably going to get a lot of concrete questions during this questioning, and it's an expression of the genuine commitment that's in this room that we're going to do everything we can to support the Ukrainians in their struggle. But in all areas it is not that I can today specifically answer yes or no to questions. We are now making ongoing assessments in all areas. I have regular meetings with colleagues in other European countries, and I will seek to involve the Storting as best I can. So my general answer to this and other questions during this questioning will probably be that I exclude nothing, but I probably have to come back to concrete follow-up and assessment in the different areas. Our main message to the countries of the European Union is that we stand up, we want to be solidarity with those who receive refugees, and we want to be a voice against the refugees who come to Norway.
