ParlaMint-NO_2022-02-16.ana.ud409e28	The representative, Sivert Bjørnstad, will present a proposal for a representative.
ParlaMint-NO_2022-02-16.ana.ud409e33	On behalf of the big business representatives Roy Steffensen, Helge André Njåstad, Dagfinn Henrik Olsen, Bengt Rune Strifeldt and myself, I am delighted to make a proposal to postpone the changes in the property tax on farm concessions.
ParlaMint-NO_2022-02-16.ana.ud409e38	The representative, Matilde Tybring-Gjedde, will put forward a proposal for a representative.
ParlaMint-NO_2022-02-16.ana.ud409e43	On behalf of the representatives of Mari Holm Lønneth, Sandra Bruflot and myself, I am delighted to present a proposal for a representative on a more sustainable and circular textile industry.
ParlaMint-NO_2022-02-16.ana.ud409e48	The representative, Mr Sylvi Listhaug, will put forward a proposal for a representative.
ParlaMint-NO_2022-02-16.ana.ud409e53	On behalf of the Progress Party and the representatives Hans Andreas Limi, Roy Steffensen and myself, I have the honour to make a proposal for income policy cooperation through the wage settlement.
ParlaMint-NO_2022-02-16.ana.ud409e58	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2022-02-16.ana.ud409e74	On Monday the Stortinge received a message from the Prime Minister's office saying that Prime Minister Jonas Gahr Støre will meet for oral Question Time. The Prime Minister is present, and we are ready to start the oral questioning process. We then start with the first main questions, from the representative Erna Solberg.
ParlaMint-NO_2022-02-16.ana.ud409e81	In the last few weeks, and perhaps in the last few days, we've all been sitting with an intense tension, not necessarily just because we have an O.L., good results and a lot to enjoy, but mainly because we have a violent, difficult situation in our own neighbourhoods, what looked like – and perhaps still looks like – to be able to result in war in our neighbourhoods because of an increased Russian aggression against Ukraine. In these morning hours it seems that the Russians at least believe that they are withdrawing, and that they have completed the exercises so far. Nevertheless, the pressure that Ukraine has been under over the last few weeks — perhaps in recent years, but especially in the last few weeks — gives a clear and clear signal from Russia that they do not accept the fundamental principle that we have laid down and that modern societies are basing themselves on, namely that each country's population has the right to make its own choices in the future. Yesterday the government came with a strengthening of our participation in Lithuania militarily, to strengthen our partners there. But my question to the Prime Minister is first and foremost: What is the government's assessment of the situation as it looks now? Do we see a real withdrawal of the Russian forces from the border, or is it still such that we have to be prepared for a conflict in our neighbourhoods?
ParlaMint-NO_2022-02-16.ana.ud409e90	I said before Christmas that the situation that was under escalation around Ukraine is the most serious security policy situation we have seen in Europe since the end of the Cold War. It's just evolved in that direction. And let me start by saying: it is unacceptable to force a debate on political issues between countries through military upgrading and a direct threat to a country, by extensive military exercises, a comprehensive movement of troops to land, to water, to air – heavy material – and a scenario for a possible large-scale invasion and war in Europe in 2022. We have to take a clear distance from that. Every country in Europe has the right, in accordance with a wide range of treaties and principles, agreements and organisations, to live in security, choose its way and be safe with its neighbours and other countries. Europe has many tools to discuss such issues if they are unexplained. This also applies to the situation in and around Ukraine, where there is the situation of the occupation of Crimea, the conflict in eastern Ukraine and the so-called Minsk process. There are therefore several discussions in progress to address the security needs of Ukraine and countries around it. That's the way we have to go. What is the assessment today? Well, we're told in the morning that there's a withdrawal of forces, and that the military exercise in Crimea is over. We have to analyse this more to know what the intentions behind it are. There are still extensive exercises in Belarus, close to the border of Ukraine. It has also been so in the past that military aggression has taken place on the tame of exercises. So the capacity to carry out military attacks against Ukraine is present. Whether the will is there is an open question, and it shall remain open. I think that is part of the Russian intention, that they produce political negotiations on the basis of military pressure.
ParlaMint-NO_2022-02-16.ana.ud409e101	Just because we know that maneuvers can sometimes take place before an invasion, before an attack – in addition to having hybrid threats, such as the major cyberattacks that are also ongoing, which help destabilise internally in Ukraine – it is important to know what our answers are. On the Right side, we have asked questions about our assistance for one round, both last week and before, and I am, as I said, happy that we have now said that we will participate more in NATO. But we have also asked the question whether Norway should not increase its humanitarian aid to Ukraine. Before Christmas in 2014, I visited Ukraine. Then we had the big refugee flows after the turmoil east of Ukraine. There are still 1.8 million people who are vulnerable and who need help. Before Christmas, the United Nations asked for increased contributions of $1.7 billion. kr. So these are our neighbourhoods, and my question to the government is: Will you now contribute to raising the level when the UN asks for it, precisely because there is an even more difficult situation?
ParlaMint-NO_2022-02-16.ana.ud409e110	The representative, Solberg, mentions our neighbourhoods and Europe. I am aware that these are our neighbourhoods, but short of our close proximity areas, namely in the north and in the north: there are no threats to Norway. There is reason to pass it on to the Norwegian population. There is no sign of increased voltage in the north. On the contrary, Russia has moved some of its materials from the north to this area. We have had good contact and cooperation with Ukraine over the years. Ukraine knows that they are part of cooperation between countries that also provide humanitarian assistance. Now, of course, we're going to keep looking at that in the future. The contribution to Lithuania – let me stress it – is about solidarity with a NATO member. Ukraine is not a member of NATO, so it does not trigger that commitment to collective defence should there be an attack, but it is clear that it will affect the whole of Europe. That's why this is to give security to our allies in NATO, like Lithuania. There is no offensive in this, but security. We contribute to that with what was announced by the government yesterday.
ParlaMint-NO_2022-02-16.ana.ud409e119	There will be follow-up questions – first Erna Solberg.
