ParlaMint-NO_2022-01-18.ana.ud386e80	The representative Siv Mossleth, who has been on leave, has once again taken his seat.
ParlaMint-NO_2022-01-18.ana.ud386e94	The representative of Turid Kristensen will present a proposal for a representative.
ParlaMint-NO_2022-01-18.ana.ud386e99	On behalf of the staggering representatives Tage Pettersen, Tone Wilhelmsen Trøen, Sandra Bruflot, Kari-Anne Jønnes and myself, I am delighted to present a proposal for a representative on a safer sport and the prevention of body miscarriage and eating disorders in sport.
ParlaMint-NO_2022-01-18.ana.ud386e104	The representative of the Bears Moxnes will present a proposal for a representative.
ParlaMint-NO_2022-01-18.ana.ud386e109	I propose an evaluation of Norway's participation in the war in Syria and Iraq.
ParlaMint-NO_2022-01-18.ana.ud386e114	The representative, Mr Hagerup, will put forward a proposal for a representative.
ParlaMint-NO_2022-01-18.ana.ud386e119	On behalf of the representatives of Liv Kari Eskeland, Trond Helleland, Kari-Anne Jønes, Jan Tore Sanner, Svein Harberg and myself, I am delighted to announce that we are now giving gas to get more bus drivers and professional drivers on the roads by making a proposal to assess changes in road teacher training in order to ensure adequate recruitment of traffic teachers for heavy vehicles.
ParlaMint-NO_2022-01-18.ana.ud386e125	The representative of Ingrid Fiskaa will present a proposal for a representative.
ParlaMint-NO_2022-01-18.ana.ud386e130	On behalf of the representatives of Marian Hussein, Torgeir Knag Fylkesnes and myself, I would like to make a proposal for a representative on access to vaccines, medicines, medical devices and medical technology in the fight against the covid pandemic.
ParlaMint-NO_2022-01-18.ana.ud386e135	The proposals will be dealt with in a regulatory manner. The President will state that case No. 7, Unit, will be dealt with before case No. 1st@item: inlistbox The President therefore asks the representatives to be present until the minutes have been finalised.
ParlaMint-NO_2022-01-18.ana.ud386e197	At the request of the Health and Welfare Committee, the President will arrange the debate as follows: 3 minutes for each party group and 3 minutes for members of the Government. Furthermore, within the allocated speaking time, up to six lines of response will be given after contributions from members of the Government and those who have to sign up to the allocated speaking time will also have a speaking time of up to 3 minutes.
