ParlaMint-NO_2015-11-18.ana.ud1624e26	The representative, Kjersti Toppe, will present a proposal for a representative.
ParlaMint-NO_2015-11-18.ana.ud1624e29	I would like to make a proposal on behalf of Mr Heidi Greni, Per Olaf Lundtägen and myself to maintain and strengthen the eight regional state archives as own institutions.
ParlaMint-NO_2015-11-18.ana.ud1624e34	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2015-11-18.ana.ud1624e46	The Stortinget received on Monday a message from the Prime Minister's office that the Councils of State, Vidar Helgesen, Solveig Horne and Ine Marie Eriksen Soreide will meet for oral Question Time. The advertised members of the government are present, and we are ready to start the oral question procedure. We start with the first main questions, from the representative Marit Nybakk.
ParlaMint-NO_2015-11-18.ana.ud1624e53	My question goes to the State Council Helgesen, first of all to Helgesen as the Council of State at the Prime Minister's office. On Monday, a broad majority of the Grand Duchy adopted amendments to the Foreign Affairs Act. The majority took responsibility for enabling the flow of asylum seekers to be managed, in particular over Storskog, but also in general, both to ensure that those who do not qualify for protection are able to return quickly, and to ensure the right of asylum for people to flee from war and repression – those who really need the right of residence – and to protect the institution of asylum. The situation requires, as we know, both action, management and rapid but responsible action. But in the debate on Monday, a representative of the government party, the Christian Tybring-Gjedde, spoke on the situation as follows: ‘I see a country over which we have no control in part.’ What kind of signal does the party representative send out, not just to us in the main hall, but to the entire Norwegian people – that the government and the Stortinget have no control? Does the Office of the State Council of Helgesen and the Prime Minister share this consideration and these views? What does the Council of State think about Tybring-Gjedde's description of this situation after two years in government?
ParlaMint-NO_2015-11-18.ana.ud1624e67	I'm not going to go into descriptions of the statement of the said magnification representative, but just pay attention to saying that the government is working hard to ensure that we handle this situation in a good way. This is a difficult situation for Norway. We attach great importance to the fact that if we are to maintain the institution of asylum, if we are to ensure protection for those who are entitled to protection, we must also be able to facilitate the rapid and effective return of those who come here without the requirement of protection. It is part of ensuring good handling. It's part of the work based on the control that we have, and that we exercise as a government. Let me stress that as Chief of Staff at the Prime Minister's office, I am responding to the Prime Minister, so I want to pay attention to the fact that, as a government, we are all concerned with ensuring, on the one hand, the management of the challenge of the influx, and, on the other hand, ensuring border control and ensuring that the return systems are effective. What some big business representatives say on this occasion, you get to confront the big business representatives, not the government representatives.
ParlaMint-NO_2015-11-18.ana.ud1624e74	I would like to thank you for your answer. I will not accuse the Council of State of discharge, but it may be interesting to know what he thinks about this kind of double communication – whether it has become common among the government parties these two years. It may also be interesting to hear what he thinks about statements that we do not have control, or that the government does not have control of the country as such, in general – if I perceive Tybring-Gjedde right – but not least regarding asylum inflows and the Norwegian handling of refugees, asylum applications and border controls.
ParlaMint-NO_2015-11-18.ana.ud1624e81	I find that in the government there is an overall pressure to deal with this situation. I note that in this Chamber, among the parties in the Stortinget, there is a broad consensus on the essential key actions and a good dialogue on precisely that. I also note that in European cooperation Norway is closely involved as a Schengen member in the discussions on common European solutions, and we make important contributions to European cooperation, because on the part of the government we have a recognition, which is shared by a clear majority in Stortinget, that this is a challenge that needs to be addressed in European cooperation. In all of these areas, we have control, and in all of these areas, we have a broad consensus in the Storting on what is necessary to maintain control.
ParlaMint-NO_2015-11-18.ana.ud1624e86	It opens for follow-up questions – first Kåre Simensen.
ParlaMint-NO_2015-11-18.ana.ud1624e89	I would like to follow up on Mr Nybakk's question and this time contact Mr Helgesen, Minister for European Affairs. It will be of great interest to know how he assesses the message of the Government Party, and not least how it will be received from our friends in Europe when we are constantly talking about solidarity in the context of the difficult situation Europe is now in, and the message from one of the government parties and a central representative there is: ‘We were not given any responsibility to manage global developments; we were given responsibility to manage Norway.’ Then my question to the European Minister is: Is such a signal convenient? Despite what the Council of State says about us being together in Europe, we get this kind of communication from one of the government parties.
ParlaMint-NO_2015-11-18.ana.ud1624e99	I have the great pleasure of reporting directly back from the EEA Council, the highest body in the EEA, which took place in Brussels yesterday, and migration and the Syria crisis were important themes in the political dialogue that took place in the EEA Council. There was a message unsolicited and clear from the EU side: a great deal of gratitude to Norway for the efforts we are making. It is true that no country has contributed more to the EU resettlement programme than Norway. This concerns our contribution to the EU relocalisation programme. This concerns our contribution to the Frontex operations in the Mediterranean, both in the central Mediterranean and in the eastern Mediterranean. Here we have made important contributions that are valued. Then there is a political debate in all European countries on the challenges here, but it is therefore the government's handling and support from a broad majority of national parliaments that is crucial, and we are very pleased that there is such broad support for the handling in this Chamber.
