ParlaMint-NO_2015-12-02.ana.ud524e26	The representative, Mr Ketil Kjeseth, will present a proposal for a representative.
ParlaMint-NO_2015-12-02.ana.ud524e29	On behalf of the representatives of Pål Farstad, André N. Skkelstad and myself, I am delighted to present a proposal for a representative on new gender-neutral titles to replace health-sisters and midwives – or sex-washing titles in the health sector.
ParlaMint-NO_2015-12-02.ana.ud524e34	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2015-12-02.ana.ud524e46	On Monday the Stortingen received a message from the Prime Minister's office saying that Prime Minister Erna Solberg will meet for oral Question Time. The Prime Minister is present, and we are ready to start the oral questioning process. We start with the first main questions, from the representative Jonas Gahr Støre.
ParlaMint-NO_2015-12-02.ana.ud524e51	Work is the red thread in meeting some of the key challenges of our time – efforts to combat growing unemployment, which is now becoming higher than in Germany and on its way to the United States level, efforts to reduce climate change emissions and efforts for the integration of people living in Norway. We need leadership in these areas to set targets and mobilise efforts, so that businesses create more jobs, that jobs come in businesses where climate emissions are falling to zero, and that pathways are created into training and qualification for work for people who have been on the run, through, among other things. Norwegian training and qualification, so that they can be included as quickly as possible while staying, become contributors, taxpayers and employees. None of this comes of itself. Business leadership is required, where innovation takes place and most jobs are created, in municipalities and local communities, to contribute to integration, and in business and social partners, who are to play an important role in making progress. I demand that the government show political leadership – against growing unemployment, for the new jobs – to meet the formidable challenge of cutting 40 pst. in greenhouse gas emissions and in order to achieve successful integration. When the budgetary agreement became clear – in the past week over time – we heard four different presentations from the settlement parties. None of them had put up a fight against unemployment as the main thing for what they had agreed on. In the last week, the debate was about who had invented an airline seat charge – bag last year, airline seat this year. My question is: is the Prime Minister planning new concrete initiatives to strengthen efforts to tackle the growing unemployment in the coming period?
ParlaMint-NO_2015-12-02.ana.ud524e60	From the day this government joined, Norwegian competitiveness, in order to create the jobs of the future, has been our main priority. That is why we have provided more funding for research and development. There has been a shift in focus, as we also see in companies' own investments in research and development, which increased markedly in 2014. There was a shift in that, among other things. as a result of increased incentives from the government to do so. We're concerned about exactly what Jonas Gahr Støre said now, namely that creating jobs in the future is the answer to a lot of the challenges we're facing. We need to create new jobs in a different way in the future to help solve the climate challenges. We have to do it to get the integration, and we have to do it because we're going to lack some jobs because there's going to be more efficiency and less activity in the oil and gas sectors. But this is not something we started with in the harvest. We started with that in the autumn of 2013, and both purposes – climate and transition to new jobs – were highly prioritised. The budget we have presented is a budget for work, activity and conversion. It is a budget that has at the bottom more money for research and development, and has more money to stimulate businesses. We have put forward a tax reform to stimulate more investment and new businesses in the future. We have a green tax commission that will soon come, to contribute to the distortion of the tax system related to it, and we have our own working group, a separate sample, working with green competitiveness and making sense to put this together. But this isn't something we started with in the harvest. We started in the autumn of 2013. There's been an even greater need for this. However, there has been a shift in Norway following the government change in terms of new jobs and raising competitiveness.
ParlaMint-NO_2015-12-02.ana.ud524e67	I note that there is no planned new initiative. New initiatives are not planned to involve social partners. The availability continues to rise. Many of the measures taken by the government have limited the impact of the government’s own investigations, and the certainty of the measures taken can be discussed to the greatest extent. Economists point out that a different effort, a different emphasis in the way the community uses its resources, can bring unemployment down. The question is, how will the Prime Minister think of an unemployment that continues to rise, and how high must it be before she sees the need to think new, to move new ways, to take new initiatives in relation to the recipe she has maintained since the government change? We proposed, among other things: in our budget, a better law on permitting, which employees and employers have requested. In addition, several study sites, action sites and stronger efforts to support the development of climate and environmental technologies. Is this action that the Prime Minister may assess whether she is taking new initiatives against unemployment?
ParlaMint-NO_2015-12-02.ana.ud524e72	The budget contains several action areas. The budget is a major lever for competitiveness. It is a little special to hear that there is no intervention in this budget, when one knows that implementing a tax reform will lift the investments, which the Workers' Party usually says is important. But right now it is forgotten that initiatives have actually been taken – it is on the table – and we have taken the first major step in the budget that comes next year, which contributes to future-oriented investment and is necessary for good framework conditions in Norway. We also contribute more activity directly in the short term, in addition to the big, long-term promises. But we have a record of research, we have a record of investment in the transport sector, and we have a big tax reform going on. We take into account by lifting the investments in and the green regimes changed significantly since the government change. But I know there's one thing that's not the answer, and that's to blow up the long-term public expenditure -- that's the answer the Labour Party has given in its budget -- and to raise taxes. It is not to say yes to future jobs.
ParlaMint-NO_2015-12-02.ana.ud524e79	It opens for follow-up questions – first from Dag Terje Andersen.
ParlaMint-NO_2015-12-02.ana.ud524e82	For the sake of order, I would first like to draw attention to the fact that our alternative budget is not characterised by inflating public expenditure, but by supporting private business in a situation where unemployment is increasing, and increasing activity. When the government took over, they – often talking about the red-green government – took over Europe’s lowest unemployment rate and a resilient business. Now we see that in other countries the unemployment rate goes down – in Norway the unemployment rate goes up. We need to put particular emphasis on the labour market, but we also need to focus on supporting the people who are unemployed, through – as the representative Gahr Støre said – a better law of permancy, which the social partners have asked for, and more areas of action, which can help more people get back to work as quickly as possible. But the government is going the other way: they cut out the pay guarantee after bankruptcy, they cut out the holiday money for the unemployed – they cut at all almost 2 billion. For the unemployed. Then my question becomes: Shouldn't we, as a society, show solidarity for those who become unemployed, rather than – as the government does – punish them by 2 billion? kr. in cut?
ParlaMint-NO_2015-12-02.ana.ud524e89	Increased activity for the unemployed is important and good, but it does not create the new, forward-looking jobs. But it helps them, so the government has put it in. An increase of 3.5 pst. in public expenditure plus significant fiscal consolidation does not provide a basis for the economic growth that Norway needs and that is sustainable in the long term. The transition we're in needs one thing, and it's getting new jobs, new jobs, in competitive business in Norway. Then it's the framework conditions for what we have to pay more attention to. The government does, it doesn't do the Workers' Party. The working party significantly increases public expenditure in its budget and contributes to increased tax burdens on businesses. It's not a recipe for new jobs. The Labour Party has a budget – like the government – that contributes to more activity for the unemployed. It is good in the short term, but in the long term, the Workers' Party has the wrong answer.
