ParlaMint-NO_2015-10-01.ana.ud1252e30	If no one has anything to object to, I will comply with the request.
ParlaMint-NO_2015-10-01.ana.ud1252e40	The President-in-Office of the Council will ask the Secretary of State of the last big thing, Sylvi Graham, to act as a secretary on a temporary basis. A roll call was then made. The following representatives had lapsed: Inbjørg Amanda Godskesen, Mette Tønder, Morten Wold, Kristin Ørmen Johnsen, Jan Arild Ellingsen, Tore Hagebakken, Rasmus Hansson, Jan Bøhler, Geir Pollestad, Geir Sigbjørn Tuskedal, Bjørn Lødemel, Bård Hoksrud, Øyvind Korsberg, Arild Grande, Per Sandberg and Stein Erik Lauvås. The following representative was absent: Ingjerd Schou. From the other representatives present the application for leave [[see below]]
ParlaMint-NO_2015-10-01.ana.ud1252e51	The President-in-Office shall propose that the Rules of Procedure used last time be put into effect. – It shall be deemed to have been adopted. A number of permit applications are available: – From the Workers’ Group on the Permit of the Representative Jens Stoltenberg from 1 October to 30 September 2016 due to the position of Secretary-General of NATO – from the representatives of Geir Jørgen Bekkevold, Jette F. Christensen, Per Rune Henriksen, Frank J. Jensen, Abid Q. Raja and Erlend Wiborg on leave from 1 October to 21 October, all to attend the 70th General Assembly of the United Nations in New York. – from the representatives of Tom E. B. Holthe and Magne Rommetveit on leave from 1 October to 6 November, both to take part in the main course of the Defence College – from the representative of Lise Christoffersen on leave on days 1 and 2 October to attend the 2015 session of the Council of Europe Parliamentary Assembly, part 4 of Strasbourg – from the Socialist Left Party Group on sick leave of the representative Heikki Eidsvoll Holmås from 1 October until further notice – from the representative Nikolai Astrup on parental leave in days 1 and 2 October – from the representative Trond Gische on welfare leave in days 1 and 2 October – from the representative of Mr Nikolai Astrup on parental leave in days 1 and 2, These applications are proposed for immediate consideration and approval. – It shall be deemed to have been adopted. From the first and second alternates of Oslo, Frode Helgerud and Afghan Rafiq respectively, there is an application for an exemption from meeting in Stortinget under the authority of the representative Astrup, for reasons of well-being. On a proposal from the President, it was decided unanimously: 1st@item: inlistbox The applications shall be examined immediately and accepted. 2nd@item: inlistbox The following alternates are invited to meet during the leave period: For Akershus County: Siri Engesetzh 1–21. October For Buskerud County: Laila Gustavsen 1 and 2 October For Hordaland County, Eigil Knutsen 1 October–5. November, Marianne S. Bjorøy and Roald Aga Haug, both 1–21. October, For Oslo: Truls Wickholm 1 October–30. September 2016, John Christian Elden 1 and 2 October and Ingunn Gjerstad 1 October and until further notice For Telemark County: Hanne Thürmer 1–21. October For Sør-Trøndelag County: Audun Otterstad 1 and 2 October and Torhild Aarbergsbotten 1–21. October For Vestfold County: Ellen Eriksen 1 October–5. November For Eastfold County: Kjell Håvard Jensen 1-21 October
ParlaMint-NO_2015-10-01.ana.ud1252e192	Siri Engesetzeh, Laila Gustavsen, Eigil Knutsen, Marianne S. Bjorøy, Roald Aga Haug, Truls Wickholm, John Christian Elden, Ingunn Gjerstad, Hanne Thürmer, Audun Otterstad, Torhild Aarbergsbotten, Ellen Eriksen and Kjell Håvard Jensen are present and will take a seat.
ParlaMint-NO_2015-10-01.ana.ud1252e198	Elections shall be made by Presidents and Secretaries. The elections will be held in line with the Rules of Procedure of the Grand Duchy of Luxembourg, Section 6, second and third paragraphs. The President-in-Office will then propose that we vote in the usual way, without the use of ballots. The President-in-Office of the Council is asking for proposals from the President of Stortinget.
ParlaMint-NO_2015-10-01.ana.ud1252e209	I'd like to propose the Olemic Thommess.
ParlaMint-NO_2015-10-01.ana.ud1252e216	Olemic Thommessen has been proposed to the President of Stortinget. Other proposals are not available.
ParlaMint-NO_2015-10-01.ana.ud1252e224	The President then asks for proposals from the First Vice President of Storting.
ParlaMint-NO_2015-10-01.ana.ud1252e229	I have the honour to propose Marit Nybakk.
ParlaMint-NO_2015-10-01.ana.ud1252e236	Marit Nybakk has been proposed to the First Vice President of Storting. Other proposals are not available.
ParlaMint-NO_2015-10-01.ana.ud1252e247	The President then asks for proposals on the second vice-president of Stortinget.
