ParlaMint-NO_2015-04-30.ana.ud2311e57	The representative of Audun Lysbakken will present a proposal for a representative.
ParlaMint-NO_2015-04-30.ana.ud2311e60	On behalf of Karin Andersen and myself, I will present proposals on human rights in the care of the elderly.
ParlaMint-NO_2015-04-30.ana.ud2311e65	The representative of Kirsti Bergstø will present a proposal for a representative.
ParlaMint-NO_2015-04-30.ana.ud2311e68	On behalf of the representatives of Audun Lysbakken, Karin Andersen, Snorre Serigstad Valen and myself, I would like to make a proposal to secure a pension by privatisation.
ParlaMint-NO_2015-04-30.ana.ud2311e73	The representative, Mrs Arnstad, will also put forward a proposal for a representative.
ParlaMint-NO_2015-04-30.ana.ud2311e76	On behalf of the representatives of Geir Jørgen Bekkevold, Anne Tingelstad Wøien, Anders Tyvand and myself, I will make a proposal for a stronger state commitment to the maintenance of worthy churches.
ParlaMint-NO_2015-04-30.ana.ud2311e81	The proposals will be dealt with in a regulatory manner. Before the matters on today's map are dealt with, the President will inform you that the meeting will continue beyond 1 p.m. 16th@item: inlistbox
ParlaMint-NO_2015-04-30.ana.ud2311e97	I thank you for this opportunity to inform the Great Britain about the situation in the Mediterranean and the humanitarian crises in Syria and Iraq. In addition, I would like to invite the Storting to a process on the three key challenges I address in this presentation. There are human tragedies of dramatic dimensions in the Mediterranean these days. More than 1,750 people were afraid of losing their lives in boat accidents outside Libya this year. It is estimated that some 3,200 people drowned on their way across the Mediterranean to Europe last year. We are all affected by the pictures we see from the Mediterranean, the image of the fisherman in Greece who carried a small child ashore who had drowned, the pictures of boats full of people who have gone out on a dangerous journey. And we're affected by the simple stories we hear, like Somali sportsman Sami Yusuf Omar, who drowned in the Mediterranean on his way to fulfill his dream of running in London-OL. We are affected by them as fellow humans, but we are also affected because Norway is a maritime nation and a major humanitarian player. That is why we also have a responsibility to act. Norway contributes significantly — both in the Mediterranean and in the surrounding areas. Among other things, we have We are now sending a ship to participate in the EU operation in the Mediterranean. The sum of what we contribute will save lives and relieve distress. However, it must also be emphasised that this is a complex crisis, which requires broad cooperation and interaction, not least with the EU. The crisis in the Mediterranean is linked to the humanitarian crisis in Syria, as well as a number of other conflict and emergency situations in the Middle East and Africa. We must not simplify the situation in the Mediterranean. It is a complex situation in which a mixed group of people, both migrants and refugees, leave their homeland. Many refugees from war and conflict. Others try to leave a life of poverty and seek a better life for themselves and their families. Not since World War II has so many people in the world been on the run. Last year, the UN estimated 40 pst. by those who go out on the dangerous journey across the Mediterranean, come from Eritrea and Syria. So far this year, most have come from the Gambia and Senegal, followed by Somalia, Syria and Mali. But this changes from year to year and from month to month. However, the trend is clear: more and more people are trying to get to Europe. The Mediterranean brings Africa, the Middle East and Europe together. Most of the boats that are currently heading towards Europe start off on Libya’s coast. Today's conflict and government vacuum in Libya provides room for criminal networks and traffickers. Today’s conflict also means that many foreign workers and migrants are stranded in Libya and see no other way to cross the Mediterranean. Working for a political solution to the conflict in Libya is therefore important. Regional and external actors must jointly support moderate forces on both sides. At the same time, we must not forget that there are other routes to Europe, such as: go via Spain and Greece. Here, too, is the dangerous journeys and the great darkness. The situation in the Sahel region of North Africa is characterised by a combination of extreme poverty, a lack of future prospects for a rapidly growing young population and weak authority control over large rural areas. This helps to increase migration, while at the same time giving organised crime, smuggling and terrorism a great deal of leeway. Long-term ethnic contradictions contribute to strengthening instability and uncertainty. Crime, terrorism, extremism and violent rebellion can be mutually reinforcing. In the face of these complex crises, Norway is taking responsibility with the United Nations system and the EU. Norwegian ships and seafarers and Norwegian relief organisations are making and have made a formidable effort in the Mediterranean. They've saved a lot of lives. According to the Shipowners’ Association, Norwegian registered and Norwegian controlled ships participated in about 30 rescue operations in the Mediterranean in 2014. These helped to save about 5,000 people. Overall, commercial shipping saved about 42,000 people on the way across the Mediterranean last year. This work is demanding, but it goes into a long Norwegian tradition of good seafaring. I want to commend the efforts they have made. The commitment we've seen from shipowners, from the Rescue Company and from other non-governmental organisations lately needs recognition. It is positive that so many want to contribute by offering ships or other support. Many non-governmental organisations face these humanitarian crises. The government highly values the cooperation with Norwegian organisations. They do an invaluable job of helping, and of drawing attention to the crises. Possible contributions from the Rescue Company will be offered to Frontex today. It is important that the efforts we make are well coordinated with other international actions. The EU has a shared responsibility in this effort. We in Norway will take our share of responsibility. We already contribute with Frontex staff its joint operations in the Mediterranean. We are a major contributor to the funding of Frontex. The Government will increase contributions to Frontex and other relevant Mediterranean actions in the revised national budget. The government is now strengthening Norwegian efforts in the Mediterranean by sending a ship and crew to the civil border control operation Triton. We have offered Frontex a vessel as soon as the EU needs it. We started the dialogue with the EU before the tragedies of the last weeks, as there were still few countries that contributed to Triton. In the current operation Frontex signaled that they were missing ships from 1 August, but in the dialogue with the EU we have now accelerated the contribution to set up as quickly as possible. The invitation to submit offers on ships has been issued, the deadline has been set to Monday 4 May. The Ministry of Defence and Defence are assisting the Ministry of Justice and Defence in assessing quickly what offers they want to make. The ship must have the appropriate characteristics to perform tasks such as border control and support in search and rescue operations. We are manning the civil ship with personnel with medical competence and with police and defence personnel. The Ministry of Justice and Defence and the Ministry of Defence are well in the process of recruiting that staff. Triton is a border control operation, but in reality they also have search and rescue operations within the defined Triton operating range. Among other things, the Icelandic Coast Guard ship ‘Tyr’ operated in Libya’s search and rescue area during several rescue operations. More ships to Triton will mean increased capacity. A Norwegian seagoing ship will be one of the most comprehensive single contributions in Triton so far. It will undoubtedly help save lives. The government would point out to the EU that Triton must have the capacity, mandate and scope of operation necessary to save life in the Mediterranean Sea. Furthermore, we will contribute to better control of persons entering the Schengen area. Migrants taken care of at sea will land in Italy or Malta for further care and control procedures. It is important to distinguish between those who have a real need for protection and other migrants. The need for protection determines who is allowed to stay in Norway. We also need to work together to ensure the return of those who do not have protection requirements in a safe and effective way. This is important for example: to maintain confidence in the institution of asylum. Our cooperation with the EU is an important part of the Norwegian response to the Mediterranean crisis. As a Schengen country, we are directly affected by the EU's handling of migration challenges. Europe's troubled neighbourhood is our neighborhood. The Mediterranean is our frontier sea. Norwegian migration policy is strongly influenced by European cooperation in the field, both inside and outside Schengen. There is a need for stronger European coordination here. I am therefore pleased that the European Union is now putting the situation in the Mediterranean high on its political agenda. Last week, the EU Summit of Heads of State or Government was held. The Heads of State agreed on a tripling of funds for two operations: Triton, outside Italy and Malta, and Poseidon, outside Greece. It's positive, and it's necessary. EU leaders agreed to strengthen the presence at sea, combat trafficking in human beings, prevent illegal migration flows and better allocate responsibilities. I think this is important. It is a pan-European responsibility, and it is important that the external countries of Schengen do not remain on their own with the challenges. I sent a letter last week to the EU Presidents expressing that Norway wants an even closer cooperation with the EU in this matter. Our contribution to a seagoing ship has been well received, and Norway is ready to contribute more. We have also contributed to the task force Task Force Mediterranean, which was established after the accident at Lampedusa in October 2013. We will have a dialogue with the EU in the future on what further measures can remedy the situation. Furthermore, we also contribute through the EEA funds. Greece has had large influxes of migrants. Twenty-one million. EUR of EEA funds allocated to the country has been used to strengthen asylum procedures and other migration measures. Strengthening support for migration measures in the next period may be relevant for EEA funds. Norway also participates in the EU regional development and protection programme and contributes to measures for Syrian refugees in neighbouring countries. We also need to take a holistic view of this challenge and address the underlying causes. We focus on addressing the fundamental causes of refugees and migration through support for development and economic growth, through targeted work to strengthen respect for human rights and through peace and reconciliation work. Development and poverty reduction are essential for people to find a way of life and to feel that they have a future in their own country. We therefore see migration in the context of development cooperation in central countries of origin, several of which are among the government's focus countries for development cooperation, such as Somalia and Mali. Both here and in other countries in Africa and the Middle East, we use long-term development assistance to help stabilise the region, through support for inclusive policy processes, health and education and economic development. In Somalia, this includes, for example: support for reconstruction, good governance, capacity building, the prevention of humanitarian disasters and peace and reconciliation. In Mali we have, among other things: focus on education, health, local democracy and the strengthening of human rights, including women's rights, and we actively support the peace process in the country. The government has also strengthened its commitment to the Sahel area in other respects. In meeting the challenges in Sahel, we need to do more together with others – such as the EU, the UN and the African Union. It's a common international responsibility. In recent years, we have been working to make African countries and the African Union more involved in the fight against trafficking in human beings and irregular migration. Work is coming out of our support for the African Union and for the four African countries of Egypt, Sudan, Ethiopia and Eritrea to combat trafficking in human beings. It is important that African countries participate in this cooperation with Europe. The situation in Eritrea has led to a massive migration from the country, which has been increasing in recent years. Eritreans are now one of the largest groups that cross the Mediterranean. We have also received many asylum seekers from Eritrea in Norway. In 2013, 3 260 arrived in Norway, and in 2014 2 900 arrived. Human traffickers send migrants into the open sea, in crowded and unstable boats, often without enough fuel to reach Italy. It must be small enough for such craft to overturn or sink. When I visited the Italian coastguard last year, I got a description of how human traffickers send skirting boats out to the Mediterranean, equipped only with a telephone number for the Italian coastguard, with a message to call them as soon as the boat was outside Libyan territorial waters. Many of the boats were in far too poor condition to make their way to Europe. It was a story about cynical human traffickers who take advantage of people in a vulnerable situation in the most serious way. Since then, the situation has worsened further. The crossing of the Mediterranean Sea is often the last stage of a dangerous journey. We don't know how many people die in Sahara or in the desert in Sudan or Libya. Norway is funding information campaigns in countries of transit and origin to raise awareness of the dangers of illegal migration. We have campaigns in Somalia and Sudan just to prevent migration further. As an alternative to the dangerous journey across the Mediterranean, we also support programmes in the region that offer return and reintegration in the home country. Still, a lot of people leave. We know that criminal networks make a lot of money on the trafficking routes. According to a UN report, Libyan human smuggling was worth $170 million last year. These networks also often smuggle drugs and weapons, and they become increasingly professional. Many of those smuggled are subjected to assault, forced labor, and slave-like conditions. Several people are also being kidnapped against the payment of ransoms. The smuggling hits the victims in the first row. At the same time, the proceeds of smuggling can help finance militias and terrorist organisations in Sahel and North Africa. In addition to playing a crucial role in smuggling people across the Mediterranean, they are involved in destabilising already weak countries. That is why this is also a security policy challenge. In June, the Government will present a Communication to the EEAS on global security challenges. The Communication places great emphasis on how organised crime weakens countries and how it finances terrorist and insurgent groups. We need to put in place targeted action against criminal networks. We focus on prevention, but also increased and fueled efforts against organised crime in intelligence, police and justice. Organisations such as Interpol, Europol and the United Nations Office on Drugs and Crime are particularly relevant. Support for UNODC’s broad work on organised crime is increasing from 26 to 40 million. kr already this year. In the Single European Act, the government will propose the establishment of an assistance programme against organised crime. In total, this means a significant strengthening of the contribution to international work against organised crime. In the Middle East, we see a region characterized by conflict, instability, lawlessness and regime collapse in several countries. The region is also characterised by deep political and religious contradictions. We see this in countries like Syria, Iraq, Libya and Yemen. There is a very demanding situation for the world community to deal with, and there is no immediate solution to these challenges. The civil war in Syria has led to one of the greatest humanitarian crises we have seen since World War II, and the conflict is now within its fifth year. What started as demonstrations of democracy and freedom has evolved into a war situation in which a brutal regime fights against a divided armed opposition. The situation is further complicated because regional actors still see themselves serving to use Syria as the arena to promote their own interests. Although the UN Special Envoy for Syria is working to get the conflict on a political path, the lack of action on the part of the UN Security Council has contributed to the fact that we are still far from finding a solution. Since the conflict in Syria broke out in 2011, more than four million have fled to neighbouring countries and to Egypt. 7.6 million are internally displaced. The majority of the remaining population in Syria, a total of 12.2 million, depend on humanitarian aid. Many of these are located in areas where relief organisations have little or no access. The civilian population is trapped between a regime that bombs residential areas, schools and hospitals, and a variety of armed groups, such as the United States and Japan. ISIL, who commits assault, executes, abuses and disperses minorities. The conflict in Syria further creates a vacuum of power that gave ISIL the room to grow in Syria and Iraq. The conquest of ISIL by large parts of western and central Iraq has created a humanitarian and political crisis. The situation in Syria and Iraq therefore threatens stability throughout the region. Foreign warriors, combined with ISIL's expansion and alliance construction, are an increasing threat, even in other parts of the world. In Iraq, the Norwegian military training contribution to the international coalition will soon be in place. This year the United Nations has asked the world to contribute 59 billion dollars. to meet the humanitarian needs of Syria and neighbouring countries. Only 16 pst. of the United Nations appeal for Syria is covered so far this year. Increased contributions are absolutely necessary. We are living in a time of great pressure on the humanitarian budgets. The government has systematically prioritised increasing humanitarian aid appropriations since its accession. In the 2015 budget, we increased the appropriations by nearly half a billion dollars. Norway is responsible for helping to alleviate the humanitarian situation of refugees and the rest of the civilian population in Syria. Norway is already one of the biggest donors of the Syria crisis. We are the seventh largest national donor in absolute numbers and the second largest donor per capita. Only Kuwait gives more to the crisis. In the revised national budget, the government will increase support for humanitarian and development activities in Syria and neighbouring countries by 250 million. kr, so that the total Norwegian aid amounts to 1 billion. kr. Support includes: for food, health, shelter, education, water and sanitary services. By the end of 2015, Norway will have contributed nearly 3 billion. aid to Syria and the region since the start of the civil war. With the new increase, for example, we can help 250,000 people with food support and emergency aid inside Syria through the Red Cross and Red Crescent for a whole year, or provide 125 000 people with food support in Syria’s neighbouring country, or provide 53,000 children and young people in Lebanon, or we can provide Syrian refugees in host communities, for example. Jordan and Egypt full support for one year. Our common goal must be to help as much as possible with the efforts we make. This means that we accept many Syrian refugees to Norway, but our efforts reach even more through the assistance we provide in Syria's neighbourhoods, where the vast majority of the refugees are located. At the same time, the refugee crisis is a huge burden on the region. Apart from Iraq, the situation is particularly serious in Jordan and Lebanon, where every fourth population is now acid. In Lebanon and Jordan, Norwegian funds are also used, among others. ensuring shelter and schooling. The children are Syria's future, but also those who are hardest hit by the conflict. At least 150 million. Therefore, kr shall be allocated to education and protection measures for children. In Iraq, more than 5 million people need emergency aid. At least 2.7 million are internally displaced. Refugee patterns follow the picture of conflict. Only in the last two weeks have 114 000 people fled the Ramadi area as a result of the ISIL offensive there. The humanitarian approach to ISIL-controlled areas is very limited. That is why humanitarian efforts are also divided. It is essential that the humanitarian response to Iraq also reaches the maximum possible level. We've put in 120 million. kr for humanitarian contributions in Iraq this year. The UN High Commissioner for Refugees provides assistance and protection for both refugees crossing borders and internally displaced persons in Syria. The most vulnerable and vulnerable group is the internal refugees in Syria. That is where the needs are greatest, and that is where the High Commissioner has the worst budget coverage. As part of our humanitarian aid to Syria, the government has decided to set aside at least 130 million. D to the work of the High Commissioner in Syria and to refugees in neighbouring countries this year. Last week we strengthened our humanitarian effort by 50 million. to further contribute to the prevention of human exposure to the dangerous Mediterranean voyage. The support is channelled through the High Commissioner, the Refugee Aid and the International Organization for Migration, the IOM. It will thus compliment the humanitarian aid we already provide in Sahel and in the Horn of Africa, as well as Syria and neighbouring countries. Helping vulnerable groups is at the heart of Norwegian humanitarian aid. We're going to take our share of the responsibility for protecting people who need it. The High Commissioner has asked the international community to accept 30,000 Syrian refugees in the years 2013 and 2014 and another 100,000 Syrian refugees in the years 2015 and 2016. Acceptance of 86 000 has been promised. An additional 44 000 refugees are still needed to achieve the target. Few countries have pledged for 2016 yet, but it is clear that the need is significantly better than the need for humanitarian aid in Syria and its neighbourhoods. Norway was one of the countries in Europe that received the most quota refugees from Syria last year — about 1 000. Under the 2015 budget agreement, the Stortinget has decided to accept 1 500 quota refugees from Syria, and Norway is with it among the countries transferring most Syrian refugees. In February, the first 500 refugees were selected. Work continues in close cooperation with the High Commissioner. In this respect, I would like to stress that, in line with the additional agreement on the asylum and immigration field with the Christian People's Party and the Left, the government has doubled the number of quota refugees with special medical needs from 2014 to 2015. It is difficult to help this group in the neighbourhoods, and therefore this has been an important priority for the government. In the revised national budget, the government will triple the number of quota refugees with special medical needs in 2015 compared to 2014. The Ministry of Health and Welfare has today asked the Health Directorate to assess how Norway can contribute to enhanced health assistance to refugees from Syria both in Lebanon and Jordan, and possibly also in Norway. In the debate on how many quota refugees Norway will receive, we need to ask ourselves two important questions: Is receiving more refugees to Norway the most important thing we can now do to help the Syrian population escape? And how many refugees will Norwegian municipalities be able to live in the time to come? Firstly, the costs of the housing of 1000 refugees have been estimated at about one billion dollars over a five-year period. This means that instead of settling one refugee in Norway, we could help 14 refugees in camps or 27 refugees outside camps in the region. This is not an exact size, but it gives an indication of the difference in resource use. This means that we need to discuss whether it is right to increase the number of quota refugees or whether we should give priority to helping even more war-torn families in a different way. On the second question relating to housing: This year more than 13,300 refugees need to be settled in Norway, and municipalities have reported that they can accommodate 8,100 refugees. Unless the municipalities are willing to settle more people, at the end of the year there will be 6,800 refugees with a residence permit in reception waiting for their residence, and thus waiting to start their new life. About 1 000 of these asylum seekers are from Syria. Should we start next year with such a huge aftermath, there will be a need in 2016 to settle more than 14,000 refugees, including transfer refugees. I would like to stress that an increase in the quota in that case will be in addition to these numbers. The municipalities have shown a lack of suitable housing, a lack of capacity in the introduction programme and a lack of integration grants as a reason for not having more refugees. The government has listened to this and has therefore strengthened the ability of municipalities to settle the high number of refugees who are already waiting for reception. The integration grant for lone adults has increased from NOK 666 800 to NOK 717 600 in 2014 and further to NOK 746 200 in 2015. The grant shall be paid over five years. On the government side, we have increased the integration grant by 300 million. kr since we joined. In addition, municipalities receive a separate grant for training in Norwegian and community knowledge for adult immigrants. We have also increased the grant from the House Bank to rental properties in our period. The commitment framework has increased by a total of 180 million. kr. This means that commitments can be made to approximately 1,200 more rental homes. In order to contribute to increased settlement, the government of the revised national budget will come back with measures that will increase the number of rental dwellings. In a situation where municipalities do not settle enough refugees to meet the need, a significant increase in the number of transfer refugees will lead to a significant increase in the waiting time for refugees to settle from reception. Today, the average waiting time between decisions on residence and residence is more than nine months, which is already well above the objective of all to be settled within six months. As the situation in Syria and its neighbourhoods is today, it is difficult to imagine Norway being able to offer temporary collective protection to refugees from Syria, as we did for the refugees from Bosnia-Herzegovina and Kosovo during the wars there. For the Kosovar, the situation in the country of origin was resolved quickly, and for many, temporaryity was decided upon when implemented. For the Bosnians, the conflict continued for so long that the provisional authorisations were made permanent. The same will most likely be the situation of Syrian refugees. The conflict has already been going on for five years. Therefore, they will need a permanent settlement solution in Norway and should be treated as ordinary allowance refugees. The relationship with Norway, for example illustrated by the situation of long-term asylum seekers, shows that a temporary residence solution will be demanding. If the Syrian refugees come to Norway, they must have the opportunity to be integrated, have rights as refugees, and participate in our society. They are likely to remain in Norway on a permanent basis. There is an ongoing dialogue between the State and the municipalities on the framework conditions and on what is needed to enable municipalities to settle even more refugees. In order to provide a decision-making basis on whether to receive more quota refugees from Norway, Minister for Children, Gender Equality and Inclusion Solveig Horne sent a letter to all municipalities last week to investigate whether municipalities have the opportunity to further increase their settlement capacity in 2015 and 2016. She has asked for an answer by 27 May, i.e. in a button month. This information will be important in deciding at national level how Norway should contribute. The government has asked the municipalities for information on how many additional refugees they can take. We meet all the contributions from the parties at Stortinget to make a faster settlement in the municipalities. We must not underestimate the complexity of the challenges we see. Norway, of course, cannot solve this alone. It is therefore important that more countries increase their efforts. At the same time, we need to step up our cooperation with, among other things. EU. The extent of the tragedy in the Mediterranean shows that measures such as Frontex’s operations, enhanced border control and resettlement in Europe for some can remedy something. The people of the Mediterranean are concerned and affect us all. The government will have a broad approach in further work. We will continue the good cooperation with the volunteer organisations. We want to fight human smuggling and organized crime. We will assist with ships and are open to other efforts that can help save lives in the Mediterranean. We will continue to strengthen humanitarian efforts, and we will now give a total of 1 billion. humanitarian and development activities in Syria and neighbouring countries this year. We will contribute to Iraq. We are working on long-term support for development, against the underlying causes of migration and migration. We do so in close partnership with other countries. We want to ensure that the asylum institution takes care of those who are under persecution and that those who do not have a need for protection are returned to their country of origin. Tragics in the world are great. This statement has referred to some of them. Against this background, the government will invite the Stortinget to a process related to the treatment of the revised national budget related to the three key challenges I have addressed in this statement: Norway’s contribution to the Mediterranean crisis, the need for more emergency assistance to Syria and the neighbourhoods and the level of ambition for the reception of quota refugees in 2016. Our goal is to find solutions to these challenges that can provide a basis for broad political support.
ParlaMint-NO_2015-04-30.ana.ud2311e235	The President will now propose, pursuant to the second paragraph of Section 45 of the Storting Rules of Procedure, that a brief comment round be opened, limited to one post from each party of up to 5 minutes and with a final statement from the Prime Minister. – It shall be deemed to have been adopted.
ParlaMint-NO_2015-04-30.ana.ud2311e240	I would like to thank the Prime Minister for a thorough, thorough and informed statement. There were answers to many of the questions that Stortinget wanted to answer, and it provides a good basis for the debate here in the Chamber. I will also join the measures notified by the Prime Minister. We're given the opportunity to discuss them more closely at crossroads that come, but I think it gave a broad overview. We can agree that there is now a drama, collapse and disaster, in Syria, with terrible effects in the Mediterranean. The image of this three-year-old boy to whom the Prime Minister refers hits this tragedy: Where was he going, what life was lost, maybe he was on his way to us? We can actually go straight to the point in this short comment. What can Norway contribute? The Prime Minister has given a good description of the complexity. How can we help people in need, assist the countries that are burdened with the shortage of their own challenges and reach the top of millions of refugees? There is no simple answer to this, and it goes without saying that Norway is far from able to solve this alone. There must be a great international and European boost here. I would like to add: it is said that the efforts to meet this extraordinary situation require extraordinary action. That's true. But the real challenge is that the extraordinary situation may not be so extraordinary. It will probably last and be something we'll be dealing with for a long time in the future. The Labour Party believes that Norway must take its share of responsibility – not alone, but together with others. This means that we should support good and coordinated international action with the UN, the EU and the most experienced aid organisations, and that means that we recognise that efforts are needed in several areas. The Prime Minister was in on most people. More efficient rescue capacity needs to be deployed in the Mediterranean Sea. Norway should contribute – that is good – to both search and rescue and the EU border control plan. This is our outer border, like the other countries of Europe. The measures the Prime Minister has announced are heading in the right direction. Cooperation is needed to combat traffickers and international crime with international organisations. It is necessary to provide targeted support to assist the many refugees in the region where they are located, and there I agree with the Prime Minister when she announces increased Norwegian effort, plus 250 million. kr. I believe this we now see in the world, travelling the discussion about our aid budget is properly arranged. That's 32 billion. kr we are using for assistance, and I am asking myself whether the emergency aid section and the humanitarian aid section have become too small over the years. We should get back to this. It is then necessary to develop much better cooperation between European countries in the field of asylum and refugee policy in Europe, and I fully agree with that. Then I would like to comment on the support of the UN High Commissioner for Refugees. Norway has a tradition of supporting this organisation in its budget and operations. That is good, and it must continue, and I would like to stress the importance of Norway holding on to the important role of being a supporter of the High Commissioner. He is the most important protector of vulnerable people. Then we believe that, as part of the whole, it must be opened up for Norway to accept more people for protection in our country. There's going to be a crazy debate, I mean, to set up against each other how many we can help in the region, against the number coming to Norway. There are two completely different issues. Taking the sum it costs for a refugee in Norway and dividing by how many can get water, blankets and shelters abroad becomes a crazy comparison. Four million people are fleeing Syria to neighbouring countries. The High Commissioner says that a magazine part of them, 400,000, needs to be resettled. And let me just stress this: 600,000 people applied for asylum in Europe last year. There was one per 1,000 in Europe. In Lebanon and Jordan, there is now one refugee per four inhabitants, so that relieving the refugee situation with a contribution from Norway helps to prevent the total collapse, which in turn can create even greater challenges for us. I'm listening to the Prime Minister who opens up dialogue about the three dimensions she had in her presentation. We'll accept that invitation. We believe this requires a good deal when we grant money for emergency aid in the region, that's taxpayers' money. Work with municipalities is required, and efforts are required when people and organisations in the community make it practical to accept and live. Yesterday, the local government in Tromsø decided that Tromsø would receive refugees from Syria, one per 1,000 inhabitants, it would be 70. Then we're on our way in that dungeon, and we look forward to it, and we want to contribute to a broad settlement, where everyone contributes and where everyone contributes to Norway's ability to live up to the reputation and responsibility we have as a rich and protected country.
ParlaMint-NO_2015-04-30.ana.ud2311e261	Thank you to the Prime Minister for a good and broad presentation. Norway's position as a maritime force has often given us an important position in international crisis situations. There is a long and strong line in the way Norwegian seafarers and Norwegian shipping have been involved in taking responsibility under crises, whether to provide supplies or to provide direct assistance to people on the run. In addition, there is no doubt that Norway is also considered to be a major power when it comes to humanitarian action in crisis areas. It's kind of a little country in a big world. We will always be dependent on the support of others if anything should happen to us, so we will always stand still when the crisis strikes others, whether it's in our neighbourhoods or it's in remote areas. As the Prime Minister explained, we are all strongly affected by the images shown by the major disasters that occur in Syria and Iraq. Even I was with the municipal committee on a trip in the previous period. We were to visit refugee camps in three quiet countries in the Middle East, Jordan, Syria, and Lebanon. We were in Syria three weeks before the war broke loose. It was considered to be the safest country in the region. I often think of the beautiful walk we had through the old town of Damascus, when we see the pictures from Syria today. This is something that characterizes us all, and once you've been there and seen it and experienced it just before it happens, you get extra affected by what happens. There are many who need help, it has been well described by the Prime Minister. There are many who need help, and there are many who unfortunately are also exposed to human smuggling, who are desperate, and who become an easy prey for criminals. There is no doubt that Norway is facing people in a difficult situation, and we have always done so, and we are going to do so. As before, when demanding matters become major disasters as they are now, we in Norway will always go as far as we can to help as many as we can. That is why I am also pleased that it is invited, and that it is being discussed, to find broad political settlements related to this difficult situation, in the neighbourhoods, and that there is also a discussion about how Norwegian municipalities can be better able to accept even more refugees. I would like to stress that Norwegian municipalities have done a great job. They have resided in more refugees and asylum seekers last year than they have ever done. They do their utmost, the integration grant is increased, there is a large programme to be implemented, and there are major challenges to it. But now an appeal has been sent to the municipalities to give feedback on how many people you can receive. Then we also have to look at the numbers that the municipalities come with. It is good that the municipalities now decide to accept more, but the important thing is, of course, that those who come are also given a good offer. In the meantime, we're sending ships to the Mediterranean. The rescue company has also said that they want to assist. It's fabulous. We are increasing emergency aid, we are increasing humanitarian aid and we are participating in EU operations. I am attending further discussions on this issue. The government will present the entire package in revised form. There are a few weeks until it comes, but anyway, it is important that there is already a clear signal from the Storting that we are willing to help, and that we are willing to assist.
