ParlaMint-NO_2015-02-18.ana.ud2278e26	The called alternate of Hedmark County, Hege Jensen, has taken the seat.
ParlaMint-NO_2015-02-18.ana.ud2278e41	The Stortinget received on Monday's notice from the Prime Minister's office that Foreign Minister Børge Brende, State Councillor Thorhild Widvey and Councillor Robert Eriksson will meet for oral Question Time. The advertised members of the government are present, and we are ready to start the oral question procedure. The first main question is from Dag Terje Andersen.
ParlaMint-NO_2015-02-18.ana.ud2278e48	The process we have had in Norway with the pension reform seems to me to be a very good example of a broad political compromise in major, important national issues. The last stage of the major complex of pension reform is the impregnation of a unanimous decision in the Stortinget. It is our shared responsibility, and it was not pre-reform that would be a savings reform, but a change of system. The majority stressed that the proposal should ensure a good disability – at least at the level of today’s rules or better, that was what the Stortinget said at the time. After the reform has been completed, we get a lot of input from individuals who, based on payments now in the first month, are concerned about the effects of the reform. Non-governmental organisations claim that as many as 170,000–200,000, and well above that, may have lost significantly on the reform. This means that, on the part of the Labour Party, we believe that it is necessary to address the situation of the individual in detail, take the concerns seriously and jointly examine the cause of the figures that emerge, in order to take them seriously. That is why, in the Labour and Social Committee, we have proposed for the first time to deal with a matter in Stortinget under Section 22 of the Rules of Procedure, in order to have a dialogue and a discussion with the government on how to jointly take responsibility for following up our intentions in a reform that we have agreed on. That's our starting point. We have to take the uncertainty seriously, but we have to go seriously in there and figure out what's really going on, how much can be explained, and how much is evening out over the year. On the basis of this, I would like to ask the Council of State: is the Council of State in favour of taking joint responsibility and having such a dialogue in order to implement the intention of the reform and possibly clear up unintended effects?
ParlaMint-NO_2015-02-18.ana.ud2278e57	I thank you for the question. Let me start by saying that the FPR was adopted in 2011, after a thorough investigation into the FDR. It was also clear from the report of the Selection Board, and not least from the proposition delivered to Stortinget, that the main objective was to make it easier to combine work and disability. You should get about the same out. It meant that someone would get out better, someone would get out a little bit worse. It is also stated in the documents. It was a starting point that was well known to the Stortinget, and was presented to the government at that time. Even at the time, I was in opposition and felt that the tax rules could be a problem for some in a transitional phase. Therefore, this government came with a transitional arrangement, to prevent so many people from getting an extra tax increase overnight. The transitional system works satisfactorily and has made it less necessary than we thought when we made the state budget. That means there's more people coming out better. So it'll still be so that someone gets worse out. I agree with Mr Andersen that we all share a shared responsibility to ensure that the intentions, the purpose of the unfettered reform, are met in a good and proper way, and that, at the same time, we ensure that we have a good policy that prevents people from becoming dramatically worse off in terms of living conditions in the future.
ParlaMint-NO_2015-02-18.ana.ud2278e66	In the case of this transitional arrangement, which is linked to the fact that some people are getting worse because they have high debts and are thus losing tax on the change, there is a solution to which there is an agreement. In any major reform, one will discover that there are some effects that one has to take into account when it is actually to be implemented. There has been a lot of work to do with the misreform, and the Storting has been concerned about it. We got a government that got compensation in place, and a unanimous increase that put in place the compensation scheme. On the part of the Labour Party, we have stressed that a three-year transitional system may be too small, that we must have a permanent system. But that is precisely how we should deal with the unintended effects of the reform. Now there are a number of other proposals that affect those who have been proposed by the Council of State, in which we disagreed, and which are restrictive, but my concern today is not to squander on it, we can take that on other occasions. My concern today is to invite the Council of State to take them seriously, go deep and find reasons, and possibly compensate, if necessary. That's what I'm inviting the Council of State to do.
ParlaMint-NO_2015-02-18.ana.ud2278e73	The state councils take seriously the fears of some disqualified people. Therefore, the transitional regime is in place. We also take it seriously by following developments further closely. I also record that the Stortinget should have a debate on it. Should I be invited to participate in that debate, I will naturally set up and participate. And I expect the Storting will invite me to participate in such a debate. I also think it is important that we together manage to find good arrangements. If you are going to have a permanent transitional arrangement, it's too early to say as of today, because then you're also going away from the whole tax principle, which was one of the important foundations of the underprivileged reform. But what is important is to make sure that you have targeted, good actions with regard to the families who might be disadvantaged, and to make sure that there is a good development in living conditions for all those who are too ill to participate in the working life, so that you can have a decent life in the future.
ParlaMint-NO_2015-02-18.ana.ud2278e80	It opens up for follow-up questions – first Lise Christoffersen.
ParlaMint-NO_2015-02-18.ana.ud2278e83	I would like to start by saying that I think it is very positive that the Council of State has an open position that the Storting together can find good arrangements that take into account the unforeseen effects of the unforeseeable reform. I have noticed that the Council of State has been involved in the past, among other things. in Tønsbergs Blad on 7 February, where he says that we are ‘willing to assess targeted measures for those affected, and especially for those who are responsible for child care’. After all, we had a rather heated debate on the proposal for a cut in the child supplement, as a majority of the Stortinget fortunately stopped, but does that mean that the Council of State is now taking maritime criticism of the extensive cuts that he proposed for families with children who are disabled, and that we can count on that kind of proposal not coming up again?
ParlaMint-NO_2015-02-18.ana.ud2278e90	Firstly, I support the proposals made by this government in the State budget. This government came up with targeted measures. This means that several families with children who were in a poor situation had lower child care costs. The children who grow up with lonely, low-income disabled people got better scholarships. Targeted services, activities and leisure activities were provided to enable these children to have the same opportunities to participate in activities as other children. I think that is a good, targeted tool use to ensure that. Then I will register the decision taken in Stortinget. Any government, including this government, will deal with the decisions taken in the Grand Duchy. But what the frail reform adds up to is a completely different debate. It's the tax conversion that makes these differences come, and there we have made a compensation in the form of a transitional arrangement.
ParlaMint-NO_2015-02-18.ana.ud2278e97	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2015-02-18.ana.ud2278e100	I think many people are asking themselves – when a reform has been adopted here in the Storting over four years ago – that until the time of disbursement it is unknown to those who are going to receive the benefit, what the new benefit will be, and that when you contact the relevant public agencies, you hardly get a good answer. It must be a cross of thought for everyone in this Chamber that reforms seem so poorly prepared at the point of informing those who are actually being affected. The budgetary agreement also agrees that the possible unintended consequences of this reform must be considered. I want to ask the Council of State: Does he currently? see any unintended consequences he believes there is actually reason to do something about?
