ParlaMint-NO_2015-04-29.ana.ud2589e26	The representative Per Olaf Lundteg will present a proposal for a representative.
ParlaMint-NO_2015-04-29.ana.ud2589e29	On behalf of the representatives of Heidi Greni, Liv Signe Navarsete, Kjersti Toppe and myself, I propose to ban certain types of employment contracts in Norwegian registered companies.
ParlaMint-NO_2015-04-29.ana.ud2589e34	The representative Heikki Eidsvoll Holmås will present a proposal for a representative.
ParlaMint-NO_2015-04-29.ana.ud2589e37	I would like to make three representative proposals. One representative proposal, on behalf of Kirsti Bergstø and myself, is to give every municipality where there is no wine monopoly, an opportunity to do so. The second proposal, on behalf of Bård Vegar Solhjell and myself, is to ensure that the new E18 meets the climate obligations that apply. The third draft representative, on behalf of myself, is about setting a separate climate target for the new national transport plan.
ParlaMint-NO_2015-04-29.ana.ud2589e48	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2015-04-29.ana.ud2589e60	On Monday the Stortingen received a message from the Prime Minister's office that Foreign Minister Børge Brende and the Councils of State Elisabeth Aspaker and Tord Lien will meet for oral Question Time. The announced members of the government are present, and we are ready to start the oral question procedure. We start with the first question, which is from the representative Anniken Huitfeldt.
ParlaMint-NO_2015-04-29.ana.ud2589e67	My question is addressed to the Minister for Foreign Affairs. The war in Syria contributes to the worst refugee disaster the world has seen since World War II. The neighbouring countries accept very many. Norway contributes primarily through assistance in the neighbourhoods. We also accept some refugees. The problem is that international aid organisations need to constantly use resources to ask for more money. After many years, it is difficult to mobilise will for funding from donor countries. The neighbouring countries also ask Norwegian politicians how many we really welcome. I do not know if the Minister for Foreign Affairs has also got this question himself. Norway cannot solve this refugee disaster, but if we accept some more, we can help people in the refugee camps to see the hope that there is a way out via legal channels, and not by paying human traffickers and embarking on a dangerous journey across the Mediterranean. This is why the UNHCR is asking many countries to accept more refugees. How many Syrian refugees have UNHCR asked Norway to accept?
ParlaMint-NO_2015-04-29.ana.ud2589e80	First, thank the Huitfeldt representative for addressing the whole issue of Syria and the situation in neighbouring countries. We are facing the worst refugee disaster since World War II, and it is a humanitarian disaster both inside Syria and in neighbouring countries. It is the case that the UN appeals for assistance to Syria and neighbouring countries are met by 16 pst. and 17 pst. That is why it has been essential for the government to increase humanitarian aid to Syria and neighbouring countries in order to help refugees where they are now. And there is a need for a lot more resources to be able to help, for example. to avoid a lost generation of children in school. The government has worked along the humanitarian line, along the long-term development line, and for peace and reconciliation. Syria was an intermediate country four years ago. Today, the country is a humanitarian disaster. The work of Staffan de Mistura, the special mission to the United Nations, to create peace and a collective government that is inclusive in Syria, is absolutely crucial. With regard to the issue of Norwegian refugee and asylum policy, the representative Huitfeldt is fully aware of the constitutional responsibility associated with that issue. What I can say is that when it comes to accepting Syrian quota refugees through the UN High Commissioner for Refugees, Norway is one of the countries in Europe that receives the most. And when we take the population into account, we might be number one, two, or three. It shows that we have made it through the 1500 that the Stortinget has decided for the current year, and Guterres, the High Commissioner, has also valued this in conversations that I have had with him.
ParlaMint-NO_2015-04-29.ana.ud2589e91	This was a very good description of the terrible situation in Syria and in the refugee camps, and I will give my support to the Minister of Foreign Affairs in his work in this area. I am fully aware that in the case of refugees, the constitutional responsibility lies with the Minister of Justice, but I also know that the Minister of Foreign Affairs is attending very many meetings in the UN and with other actors. My question is: has Norway been asked to accept a specific number of Syrian refugees? And in what meetings and in what context has this issue been raised by the international community with the Minister for Foreign Affairs?
ParlaMint-NO_2015-04-29.ana.ud2589e100	I think that when the representative Huitfeldt determines that she is fully aware of the constitutional responsibilities, and even after it chooses to ask questions that obviously fall within another department, it's a little strange. I am responsible for humanitarian matters, for development policy, but this is also very linked to the flow of refugees. I have had several conversations with António Guterres, who is the UN High Commissioner for Refugees, and what I can recall from those talks is that we have received recognition for the job that Norway has done, not least by being one of the leading humanitarian donors, and that we are one of the countries of Europe that receives the most quota refugees from Syria through the UN High Commissioner for Refugees.
ParlaMint-NO_2015-04-29.ana.ud2589e107	It opens for follow-up questions – first Åsmund Aukrust.
ParlaMint-NO_2015-04-29.ana.ud2589e110	I notice that the Minister for Foreign Affairs is reluctant to answer if he has received a request from the Minister for Foreign Affairs that Norway should accept a specific number. I hope it sets the groundwork for the Prime Minister tomorrow. We hear that both the Prime Minister and the Minister of Finance argue that there is a contradiction between helping the world and accepting refugees here at home. Well, in that case, that's an argument against what the government did last year, where they increased the number of Syrian quota refugees by 500. We know that there's no contradiction. On the contrary, accepting refugees in Norway is an important contribution to neighbouring countries. When it comes to accepting refugees and being a relief for Lebanon, Jordan and Turkey, these countries that receive millions, the question is not only how many, but also who are we to accept. That is why it is so wrong to base the government on professional background and education. So my question to the Minister for Foreign Affairs is, does he think that the best way to relieve neighbouring countries is to accept the refugees that we know are best placed in neighbouring countries?
ParlaMint-NO_2015-04-29.ana.ud2589e119	It is not that my answers are elusive because Aukrus says they are elusive. On the contrary, I have responded to responsibilities that are not under my control to meet the wishes of the Workers' Party in this questionnaire. If it is that two representatives now deliberately choose to ask questions that are obviously outside my remit, I take note of that. What I said is that High Commissioner Guterres, as a very experienced former prime minister in Portugal, I have had a lot of talks with him, and I think he is also better acquainted with the responsibilities of the Norwegian Government than what obviously others here are, so that when he talks with me, we discuss the development policy components, we also discuss the humanitarian and refugee flows, but if he wants beyond what Norway has contributed to, he will address it to the Ministry of Justice. But what he has said in conversations with me is that he is very pleased that Norway is one of the countries in Europe that receives most quota refugees. I think we should be proud of that too.
ParlaMint-NO_2015-04-29.ana.ud2589e126	Geir S. Tuskedal – for follow-up questions.
ParlaMint-NO_2015-04-29.ana.ud2589e129	The refugee disaster is taking us all up. It is a conversational theme and a problem that we address as to how it should be resolved. It was therefore very gratifying to note that the government has decided to send a boat, where Norway with its maritime competence will assist in the situation in the Mediterranean. It is important that Norway contributes to the reduction of human distress and suffering; it is children and families who escape from war, religious persecution, dictatorship and hunger, and many have need of protection. My question is: when this boat is sent, there is likely to be a lot of international attention, where Norway is going to help with the merchant fleet in the situation. Will this boat patrol along the EU's external border, or will there be a boat involved in humanitarian rescue operations towards land, where people are floating on submersible craft?
ParlaMint-NO_2015-04-29.ana.ud2589e137	It is obvious that the Minister of Justice should be in the spontaneous Question Time today. The third issue is also within the competence of the Minister of Justice. However, to the question raised, Norway has now made a tender. We'll get a ship in place in a short time. That ship will enter Triton's operation. Triton's operation is mainly a border protection operation, but in conversations with the Italian Admiral and the Italian Minister of Foreign Affairs on Tuesday last week they were pleased that Triton has now surrendered ships from Triton into their operations, which are more focused on key rescue operations. The Icelandic ship, which has been part of the operation, has, among other things: supported the operations of the Coast Guard and the Navy. I also hope that the Norwegian ship, when we get it in place as part of the Triton, will be able to support the crucial rescue operations. The Mediterranean cannot continue to develop into a burial site.
ParlaMint-NO_2015-04-29.ana.ud2589e144	Live Signe Navarsete – for follow-up questions.
ParlaMint-NO_2015-04-29.ana.ud2589e147	I understand that one is on the side of the foreign minister I believe is his responsibility, but the disaster we are all witnessing these days cannot have passed the Foreign Minister either, and I believe that he is talking to his colleagues in the government, but also that he is talking to his colleagues in, among other things. EU. The EU had a project, Mare Nostrum, which aimed to save the most possible of those who could not get over the Mediterranean by their own help. I want to repeat and go a little bit deeper into the question from the Tuske Valley. Will the Norwegian boat have as its primary task of saving the lives of the boat refugees, or will he be involved in a border operation to prevent the refugees from reaching Europe? It's an important question to get an answer to, and I actually believe the Norwegian people want an answer to, I think the Norwegian people want us to participate in saving the most possible.
ParlaMint-NO_2015-04-29.ana.ud2589e154	For the sake of order, that's not what I think is my responsibility, and I would like to stress that, and the representative of Navarsete knows that. Norwegian refugee and asylum seekers’ policies and questions around them should initially be addressed to the Minister of Justice. In the case of Triton, there is also something that falls under the Ministry of Justice. But because this is such a special issue – the Mediterranean is of course also taking me seriously, it is a humanitarian imperative to help – I am answering these questions, and I am also doing so because we have to ask. The ship that we're going to deliver to Triton becomes part of Triton's operation. Triton has also, of course, carried out rescue operations when necessary, but what is agreed between the EU and Italy is that ships from Triton – when we get more ships into Triton, which is absolutely necessary – will also be able to be surrendered to the Italian Navy and coastguard who have rescue operations, so that there is both protection and rescue.
ParlaMint-NO_2015-04-29.ana.ud2589e163	Step Skei Grande – for follow-up questions.
ParlaMint-NO_2015-04-29.ana.ud2589e166	Last time Europe was in the vicinity of seeing something similar to the disaster we are now seeing – that is, what happened in the Balkans – Minister of Foreign Affairs Vollebæk and Minister of Justice Dørum made an effort together. I think they're busy sharing the credit for the job that was done that time. I hope that is also the starting point for the foreign minister, that he will do a job for which he would like to share the honor with others in the government. But I'm going to make sure that I move within the responsibility of the Minister of Foreign Affairs. We now see a wave of refugees coming through Libya. Human traffickers are exploiting weak people to the extreme, they are laying the groundwork for another type of crime, and they are exploiting the refugee disaster that we now see in the world. Letting people get the opportunity to stay in a good way is not about supporting up during this kind of traffic. What does the Council of State do to help Norway secure the situation in Libya?
ParlaMint-NO_2015-04-29.ana.ud2589e173	Thank you for the question. First, with regard to the complex, Stortinget knows that the Prime Minister will come and explain what is happening in the Mediterranean, the various operations — both humanitarian and development policy — and the other issues that will be raised tomorrow. It's important. So it's very important for me to stress that the UN lacks 80 pst. of the funding they have requested for Syria and neighbouring countries. The refugee crisis we are seeing is, of course, the result of these being terrible – when they have been able to escape in the region. So we have to fill this up. With regard to support for refugees who have landed in Libya: now 250,000 are ready on Libya's coast to cross the Mediterranean, exploited by cynical human traffickers. When I was in Rome, Italy last week, I announced 50 million. kr from the government to exceptional humanitarian measures aimed at Libya and North Africa, inter alia. to help the United Nations manage this.
ParlaMint-NO_2015-04-29.ana.ud2589e184	Karin Andersen – for follow-up questions.
ParlaMint-NO_2015-04-29.ana.ud2589e187	It's sad to hear the Foreign Minister hide behind formalities when we discuss the greatest refugee disaster after World War II. In 1993, Norway received more than 10,000 refugees from Bosnia. In 1999, we received 6,000 from Kosovo. It went well. Then the Right was involved in this, and so, like all of us – except the Advance Party – it wasn't about helping there or here, but both. It looks as if the Humanitarian Right has abdicated and left all the policies relating to refugees to the Progress Party, and it is not in good hands. The Foreign Minister describes a humanitarian disaster in the camps, and that is probably also a danger of political disasters. Does the Minister for Foreign Affairs think that it is just to increase aid into these areas, or does he disagree with the UNHCR and the organisations, who say that it is also necessary to relieve refugees from these neighbourhoods?
ParlaMint-NO_2015-04-29.ana.ud2589e196	First this with sadness and hiding behind formalities. There are questions about how the Storting wants these questioning hours to be. Should you ask those who are responsible for this, or not? I have chosen to answer the questions that have come, and had actually met to get a recognition instead. But to the humanitarian and moral pathos that Karin Andersen is using here: we are accepting more refugees and more quota refugees now than has been done for a long time. Maybe you should go a little by yourself and look at what you did when you had the responsibility. To say that it is only about aid — no, Norway is one of the largest humanitarian operators and provides significant funds into Syria and neighbouring countries. We set up a ship, like one of the first countries. We are one of the countries that receives most quota refugees from the area. Coming to the conclusion that we are not doing anything, I believe is highly unreasonable. [[President clubs]] [[The President Clubs Again]] I wonder what are the driving forces behind such reasoning.
ParlaMint-NO_2015-04-29.ana.ud2589e205	The number is out. Let's move on to the next main question.
ParlaMint-NO_2015-04-29.ana.ud2589e211	March this year was the warmest month of March measured on the Earth since we started measurements in 1880. As the responsible State Council in the sector with the largest emissions in Norway, what does the Minister for Oil and Energy think is the cause of these climate change?
ParlaMint-NO_2015-04-29.ana.ud2589e216	I think I know the history of the question that the representative Ropstad is now asking. Let me just make it clear that there is no doubt in my mind that emissions from energy production around the world of CO2 and methane and other gases contribute to the climate change we see around us. Having said that, I am very pleased that the representative Ropstad is asking this question, for this government, along with the new majority, to do more to tackle these climate challenges than any government has ever done before. We allocate concessions to new power deployments at a record pace, and we provide a financial framework for the development of renewable energy to enable renewable energy projects to be realised. We saw this week at the latest that a company I know very well, TronderEnergie, says that they will now invest 120 million. kr in increased renewable power generation and that they can do so because of the changes in the Christian People's Party, the Left, the Right and the Advance Party have got through in the Storting. We are building the power infrastructure of the future today to enable the development of the low-carbon society in the future. We're replacing oil firing. The bourgeois-run Oslo, where the same parties have had a majority for many years, has been the largest in Norway in this area. We've strengthened Enova by over 12 billion. kr, we bet record money on the railways, and we replace fossil energy, diesel and petrol in cars and boats around the country. I very much appreciate that the representative Ropstad asked me this question.
ParlaMint-NO_2015-04-29.ana.ud2589e229	I really appreciate the answer, because I think the clarity of what causes climate change is important to get the power you need to fight them. And I fully agree: together, we strengthen the climate agreement. We're going to do more than what's done before to reach the two-degree goal. One of the measures we agree on is to shut down polluting gas turbines on oil platforms and replace them with power from land. On Friday, the Council of State presented to the Stortinget a plan for development and operation for the giant platform Johan Sverdrup. It will contribute to enormous value creation in Norway, but it and the platforms around it will also contribute to large emissions. Last year, the Stortinget made an absolute demand that, by 2022 at the latest, the entire power demand of the Utsira Height should be covered by power from land. Why doesn't the Council of State put the absolute requirement of 2022, when one had such a clear majority behind in the Grand Council for that? Instead, the Council of State links it to the next stage of development.
ParlaMint-NO_2015-04-29.ana.ud2589e238	As the representative of Ropstad points out: The development of the Johan Sverdrup field is a gigantic industrial project. This is the greatest industrial project in Norway since 1984. It will ensure employment, value creation and energy for Europe for decades ahead of us. It is also correct, as the representative Ropstad points out: it has always been the job on the basis that the Johan Sverdrup field should be supplied with power from land from the start of production. It is also the case that the Stortinget has been concerned that not only Johan Sverdrup, but also the three smaller platforms on the Utzira Height, will be supplied with power from land from the time Johan Sverdrup’s second phase comes into production. It is also very clearly addressed in what we have sent to Stortinget now, and it is still the case that those who are going to expand the field, namely Statoil and their licensing partners, work on the basis that start-up will take place in 2022.
ParlaMint-NO_2015-04-29.ana.ud2589e245	It opens for follow-up questions – first Rigmor Andersen Eide.
ParlaMint-NO_2015-04-29.ana.ud2589e248	I am pleased that the Council of State is so clear in the matter of climate change, and as an important Council of State for this field, I believe that the Council of State is concerned that the entire College of Government is working to combat climate change. After Minister of Finance Siv Jensen's statements yesterday, a government council responsible for a department to coordinate government work with sustainable development, is it interesting to ask whether the Council of State feels that the entire government is concerned with the climate problem?
ParlaMint-NO_2015-04-29.ana.ud2589e253	I am pleased that we have a finance minister who has arranged for us not only to have received more environmentally friendly car charges, but also lower car charges, and who works further along the tracks – together with the Christian People's Party and with the Left. I am pleased that we have a finance minister who sees that it is possible to pursue good and offensive climate policies with instruments other than those that were the general rule of the previous majority, namely bans and charges, but that we achieve more by stimulating Norwegian industry to operate more climate-efficiently and drive more energy-efficiently, which is about facilitating people to make good, profitable climate choices, for example. by means of lower charges on hybrid cars. And I'm glad that we have a finance minister and a government that has put on the table the railway operations of the times.
ParlaMint-NO_2015-04-29.ana.ud2589e258	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2015-04-29.ana.ud2589e261	There is no doubt that the Minister of Finance expressed doubts as to whether the Progress Party believes that climate change is man-made, but I am pleased that the Minister of Oil and Energy today is so clearly confirming that he believes that climate change is man-made, and therefore that strong action is needed. Now we are facing a major debate in the future on measures to reduce greenhouse gas emissions, both internationally and nationally. The next two years will be a very important process, and the oil and energy minister will be an important part of it, but it will not least be the Minister for Climate and Environment who will have to sit in the driver’s seat. The Prime Minister for a while ago said that it is tougher for an Environment Minister to stand up for the climate in a government where someone is not so concerned about it. So my question to the Minister of Oil and Energy is: how will he support the Minister of Climate and Environment in her efforts to put in place strong measures internationally, but also nationally? What is his main contribution to a transition in Norway?
ParlaMint-NO_2015-04-29.ana.ud2589e270	As the representative Arnstad himself points out, we are now quite close to an area that is not mainly within my area. But I still want to point out the things that are already happening, or have happened, in the field of the Ministry of Oil and Energy, namely that we have strengthened Enova considerably, with over 12 billion. kr, thanks to the new majority in Stortinget. This is billions that enable Norwegian industry to maintain competitiveness while reducing both greenhouse gas emissions and energy use. We have an offensive effort to facilitate non-quota activity, which I understand was that the Stortingeet, by a large majority, was behind the main effort, i.e. transport, to replace petrol and diesel with gas – but also all fossil energy – with renewable energy. And all of this is my responsibility to facilitate, and we do.
ParlaMint-NO_2015-04-29.ana.ud2589e275	Åsmund Aukrust – for follow-up questions.
ParlaMint-NO_2015-04-29.ana.ud2589e279	It is serious when number two in the government so obviously sowed doubts about the man-made climate change. We often call them climate skeptics. I think it's a very easy way to talk about it, because this isn't about beliefs or attitudes – it's about knowledge. Denialing the man-made climate change is nothing but being a knowledge-based negotiator. It's kind of the same thing as for example. to accept the presence of a health minister who expressed doubts about the effectiveness of vaccines. It's not just me who thinks that what you mean has something to say. It even says the Prime Minister. She says that it is not that easy to be a climate minister in a government where not everyone is so concerned about the climate. Now we all understand who she was talking about. My simple question to the Minister of Oil and Energy, who is responsible for some of the areas with the greatest emissions, is whether he takes a distance from his party leader, the Minister of Finance, who yesterday replied so in cash yes to questions about whether she sowed doubt about man-made... [[President clubs]]
ParlaMint-NO_2015-04-29.ana.ud2589e288	State Council Tord Lien has understood the question, and the time is up.
