ParlaMint-NO_2015-10-06.ana.ud1650e15	The representative, Jenny Klinge, will put forward a proposal for a representative.
ParlaMint-NO_2015-10-06.ana.ud1650e18	I have the pleasure of presenting a proposal for a representative on behalf of the representative of Marit Arnstad and myself on the location of the main seats in the new police districts.
ParlaMint-NO_2015-10-06.ana.ud1650e23	The proposal will be dealt with in a regulatory manner. Treatment was continued for the following reasons:
ParlaMint-NO_2015-10-06.ana.ud1650e37	The President refers to the adopted debate from yesterday and we are continuing the debate of the throne with Prime Minister Erna Solberg. It opens up a line change limited to 13 lines after the Prime Minister’s posts. The President will propose that the 13 lines be arranged in this way: the Labour Party five lines, the Christian People's Party two lines, the Central Party two lines, the Left two lines, the SV one line and the Green Party one line. Those who sign up on the list of speakers will have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2015-10-06.ana.ud1650e44	Fifty years after the oil adventure started, and after a long period of oil activity being the engine of our economic growth, it now seems to be agreed that we are facing a period of economic transformation – not because the oil industry will not be important for Norway in the future, but because other industries will have to bear more of the growth impulses of Norwegian society. It's a big change. It requires political priorities if the transition is to succeed, so that we will continue to maintain employment and value creation in the future. That is the basis for the welfare of the future. The transformation we are in is about. It requires offensive action in various areas. It requires investment in infrastructure. It requires a commitment to knowledge in school. It requires increased investment in research. It requires investment not only with money, but also with measures that increase quality, and measures that increase productivity in our economy and in all our social sectors in the future. We can be glad that things are going better in many areas. The University of Oslo made a jump at Times Higher Education ranking of the world's best universities. But we cannot settle down when we see that both Finland and Denmark are on the list, and that Sweden has three universities that all score better than our best. So it requires an increase in research, but also an increase in innovation. The EU Innovation Union Scoreboard 2015 tells us that we have a job to do. A 16th place in Europe we have to worry about, because the world is in a raging development. In building new future-oriented jobs, both on the basis of today's businesses and also in new areas, we need to be better than 16th place in Europe on innovation. We need completely new forms of work. We need completely new areas in addition to those we already have. In industry, more automation, digitisation, 3D printing and tailoring for each customer can rapidly change and be the new revolutions, as information technology has been for the past 30 years. We have to be in the front line – we have to step up our sleeves, we have to become more innovative and more competitive in all areas of our economy. These are priorities that the non-socialist majority on the Grand Duchy has shown the ability and the will to do, and that the government will continue next year. Tax is also important in this image. Since the tax reform in 1992, we have had a stable tax system that works essentially well. Now it is necessary to adapt the tax system to the new international trends. We need a tax system that better protects the Norwegian tax base and that finances our welfare systems in the future, which promotes investment for growth and employment in the long term, which quickly promotes work and activity in the face of the increased unemployment we are now seeing. This is possible to achieve at the same time as we ensure that it carries the heaviest bar with the strongest back. Wide opening up our tax system will contribute to stability and make Norway an attractive country for investment. I would therefore like to invite the Stortinget to a broad agreement on the tax reform, which we shall be tabling tomorrow. We have to point out a direction for the transition, and I especially want to bring forward two essential considerations. We have to convert to a business structure that is climate friendly. It's important for the planet's climate. But it is also important that we have jobs that are competitive as climate policy tightens up around the world. On the other hand, the consideration must also be that we get a society of small differences. We want a work life that is even more inclusive, which also has room for those who can't deliver 100 pst, and that gives a new chance to those who have got a hole in the CV. These reasons have to shape how we set up our instruments. We are now seeing an increasing unemployment in particular in the South-West. Although other parts of the country are doing well, there is evidence that the unemployment rate is spreading too. The government has therefore announced that we will promote a budget for work, activity and conversion. We're going to put in extra measures where the unemployment rate is going to be the hardest. Losing a job can be serious for the individual, and especially if you stay unemployed for a long time. Where unemployment is growing a lot, we are willing to put in place measures to link free hands to unresolved tasks in society. At the same time, exceptional measures against unemployment must be temporary and easy to reverse when the labour market normalises. That's what the government is adding up to. Our long-term goal must be to have more profitable jobs in the private sector, which can provide the economic basis needed to finance the world's best welfare society for our children, too, when entering the labour market. The government will strengthen the social security network in our society. The waiting time for health care treatment is falling. We're about to reverse the increase in waiting time that took place under the previous government. In particular, waiting time before drug treatment is reduced. The government has developed a strategy to counteract children’s experience of growing up in poverty and to help prevent poverty from inheriting the next generation. We have set up a moderating system, so that the parental payment does not stand in the way that the children who need the most kindergarten have an opportunity to go there. It is important to ensure the safety of the elderly and caregivers. Under this government, local government applications for grants for the development of nursing homes and day care facilities have almost doubled. We have strengthened our work with basic skills in the workplace. We have reintroduced support for dyslexic data equipment, which was cut by the previous government. These are all examples of how political priorities from the government and the cooperation parties produce concrete results for some of the most vulnerable. We are also facing some major challenges in the future. At the conference against extremism in Oslo before the summer, a young Norwegian somalist named Ibrahim Abukar took the floor. He said the following: what happens in a little corner of the world will affect us all. So let's start working together. A week ago, the UN High Level Meeting took place in New York. Rarely have so many of the world's leaders been gathered. On the one hand, there was a great deal of positivity: the consensus on new sustainability goals, the road to the Paris climate summit and the increase and commitments of UN peacekeeping operations. On the other hand, the discussion was marked by the fact that poverty, war and conflict have led to record numbers of people fleeing. Just after I returned, I visited the Foreign Affairs Department of the police on Tøen. My journey from New York to Tøen went quite quickly, safely and efficiently. But the journey for many others shows how right Ibrahim Abukar had. What is happening in Syria and in the countries around it affects the major acts and policies of New York. But it also affects a small family who have grown weary after a far more rigorous and dangerous journey than mine, and who thanked for the way they had been accepted. The flight inflow affects us all. It also affects the staff of the police’s foreign service, who had to improvise and find solutions quickly. It affects volunteers, who have made a wonderful effort. It affects Europe, the EU and Schengen cooperation and the functioning of the EU's external borders. When the government put its last hand on the government budget, it was based on projections from the June-July calculation committee. Now we see a completely different picture. At the end of July, about 300 asylum seekers arrived in Norway. In mid-August, this had increased to about 600 a week, in mid-September to 1,200. Last week more than 1,500 asylum seekers arrived. In the light of the developments we are now in, I can inform you that the government will promote an additional number for the 2016 draft budget. We're going to have to rust the entire receiver to handle the asylum flow at a completely different level than before. New forecasts will soon be completed. Preliminary estimates by the authorities involved are that in 2015 there will be 23 000, and in 2016 the level is likely to be even higher. Many of those who come now are young men, and we must expect applications for family reunification from those who stay. Overall, this will represent a significant number of people, people to be treated, either to be in Norway and integrated into a Norwegian community, or to be returned to their country of origin. We have seen that it has been very demanding for the department to provide enough capacity. A particular challenge has been the registration of the Foreign Affairs Department of Oslo. The rooms of PU are an office room, and although the capacity has initially been good, it is not dimensioned to handle an inflow that we see now. Already on 4 September, the Ministry of Justice and Defence gave instructions to the UDI to provide a single accommodation offer, and hotels near PU on Tøenen have been used for this purpose. Work was also started on a better form of registration of asylum seekers. It'll be in place soon, and that's absolutely necessary. The new pre-transit reception facility will have capacity for about 1000 overnight stays. Here asylum seekers shall receive food, clothing and necessary health care before being registered and transferred to transit receptions and regular receptions. UDI has offered 7 500 asylum reception points in line with their mandates. Of the 163 employees of PU who now work with registration, 78 are employed after the supplementary proposal was made. The government has chosen to go beyond its powers and to hire them before the Storting has dealt with the appropriations, in order to ensure that this does not stop. The government’s additional proposal for 2015 proposes increased staffing for the registration of asylum seekers, strengthening the UDI, increasing housing in municipalities and increasing mental health spending. There are important measures to manage the influx of asylum. We have also increased the appropriations for refugee measures in Serbia and Macedonia and proposed increased appropriations for refugees inside Syria and neighbouring countries. A further increase was agreed in the context of the revised national budget. The government has initiated a donor country conference for refugees in Syria and neighbouring countries. It is expected that the conference will take place in January. Norway has also signaled our intention to be part of the EU relocalisation programme, as part of making the EU's external borders work better. There can be no doubt that Norway will take and take a significant responsibility for refugees both at home and outside, but we need to be fully aware that this poses challenges in the long term. There will be a need for significant efforts both in terms of resources and in other ways in the coming years. It requires us to maintain the support and willingness shown so far, and we need to think thoroughly through all the challenges. As the representative Hareide pointed out yesterday, a large number of newcomers are likely to cause more children to grow up in poor families and larger differences. This will make housing, integration and work important. I look forward, with as great challenges as this is going to lead to for the Norwegian community, that we have a good dialogue with the Storting on the issues. It is important for the refugee situation and for Norway to deal with it, because it will be one of the biggest challenges facing Norwegian society in the coming years.
ParlaMint-NO_2015-10-06.ana.ud1650e101	It's going to be line change.
ParlaMint-NO_2015-10-06.ana.ud1650e104	The Prime Minister referred to the economic situation in Norway. We should remind ourselves that many countries still want to trade with Norway. We have a starting point with qualified people, great confidence in the population and ability to change. I want to focus a little on the 120 000 — the number is rising — which is now available, the highest figure we have had over 20 years, and with a particularly alarming situation for young people. The working party has believed that the government has come after, with too little delay. The Permitting Code is an illustration: First, there was a reversal when the government took over, and then there was a constant message from the employer/employee to do something about it, precisely because companies want to take care of their skills rather than have to cancel it. It happened in the revised version. The Workers' Party has now made a proposal to extend the leave period because companies report that there is a need. The Prime Minister calls it locking up the workforce. Can she elaborate what she means by that?
ParlaMint-NO_2015-10-06.ana.ud1650e111	I fully agree that it is important to do something about the 120 000 who are unemployed, the some and eighty thousand who are registered unemployed, and to ensure that they are met with good measures. The most important measure is to ensure that there are more jobs. It's the main focus of the government's budget, where we focus on work, activity and conversion, and then offering jobs is more important than offering measures, or offering people a longer leave. However, with regard to the issue of permitting legislation, when the parties addressed the government, the government responded positively to a change in the stipulation of leave in wage settlement. We carried this out in the revised national budget, and then we have come back to a situation where the permitting legislation is at a level that has also been experienced in the past when labour market difficulties have occurred. As regards the question, today the social partners do not have the same consensus. Both the operation and the NHO are as busy as the government that it may lead to locking effects to increase the permitting rules too much.
ParlaMint-NO_2015-10-06.ana.ud1650e118	What I'm responding to is this automatic association between being on leave is not getting to work, it's not creating a job. What I meet in many of the companies I visit is that they can wait for better times for what they've been doing, and they can change to do new things with the skills they have. The competence is at the heart of the company's business, and then it's to be able to take care of that competence not to lock them in, it's to prevent them from being locked out, and it's to be positioned so that the better time can come. Kværner på Stord hopes that there will be better times in the industry for which they specialize — and they are preparing for other types of tasks. But the key in what they do is that they have competent employees. So I hope that the proposal we have put forward here, to extend the period of leave to 52 weeks – as we did in 2009, when unemployment was lower, it was a temporary measure, it was reversed in 2012 when unemployment sank – is something that can meet wide up here in the hall and be adopted. I feel that this is a message we get from both the employee and the employer.
ParlaMint-NO_2015-10-06.ana.ud1650e125	I have also said in the past that we will come back and give an assessment of the proposal that has been put forward, when the Stortinget asks for an assessment by the government of its potential impact, and what is the government's position on it. But to say that it is not a challenge in a transition period that labour is kept in one sector, which might be used in another sector – I think we have quite good evidence of it from previous rounds of the permitation code: we have seen that companies that had demand for labour did not get it, while the same competence was in the permitting elsewhere. That's this limit we have to figure out. Where the frontier goes, there will always be a discussion about, it will depend on where the labour market is. However, rejecting that it is a challenge to allow people to be allowed to walk for a long time if there is a demand for the same labour force elsewhere – then you delay the transformation that must take place in our society, and that is a challenge for Norwegian society and long-term well-being.
ParlaMint-NO_2015-10-06.ana.ud1650e130	My point is that we are going to need measures for those who become unemployed, especially for the young, and here the government has been late. But on to another theme: I agree with the Prime Minister's description of the situation we are now facing with regard to refugees. I think we're going to assume that we're actually at a time gap. The figures now referred to by the Prime Minister blow up a lot of the planning perspectives for the UDI, the foreign administration, and we are facing what the Prime Minister describes as a great deal, and so we have to deal with that. We must contribute to the European legislation on external borders, on identity, on return, and we must take care of the institution of asylum. And then we have to support the municipalities. It is in the municipalities that people should live, that is where they should be integrated, learn language, get into work. I hope that here in Stortinget – the Workers' Party will contribute – we can have as broad a response as possible to a policy to enable the municipalities to do so. It will come through budgets, but it will also come through measures and innovation on how we can promote integration. Can the Prime Minister reflect on how she thinks we should strengthen efforts to enable municipalities to do the important job?
