ParlaMint-NO_2015-02-12.ana.ud1982e36	The representative of Ingunn Gjerstad will table a proposal for a representative.
ParlaMint-NO_2015-02-12.ana.ud1982e39	On behalf of the representatives of Audun Lysbakken, Snorre Serigstad Valen, Torgeir Knag Fylkesnes and myself, I am delighted to present a proposal for a representative on the right to safe and toxic air.
ParlaMint-NO_2015-02-12.ana.ud1982e44	The proposal will be dealt with in a regulatory manner. The first case under consideration has not been outside the regulatory period, i.e. 48 hours. On the basis of Rule 46 of the Rules of Procedure, the President will propose that the Stortinget examine the matter now. – It shall be deemed to have been adopted.
ParlaMint-NO_2015-02-12.ana.ud1982e62	The case concerns an additional appropriation, a change in the State budget, on which the government asks for the approval of the Storting. It is a dispute settlement where Gulating Lawyers' Law has sentenced the State to liability. This is about the construction at the Statens Hus in Stavanger. The amount is 43 million. NOK, including the costs involved, will be 45,6 million. kr. The Committee proposes that the framework be increased by 40.6 million. kr, and that the remainder will be a reduction in the budget framework of the County of Rogaland. So the matter is up and out of the world. The Committee has no other comments, refers to the proposition and asks the Stortingen to take a decision in line with it.
ParlaMint-NO_2015-02-12.ana.ud1982e71	Several have not asked for the floor on case No. 1st@item: inlistbox
ParlaMint-NO_2015-02-12.ana.ud1982e85	At the request of the Business Committee, the President will propose that the speaking time be limited to 5 minutes to each party group and 5 minutes to the government. Furthermore, the President will propose that six lines of reply be given after the intervention of a member of the Government within the allocated speaking time, and that those on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2015-02-12.ana.ud1982e92	The Economic and Social Committee has examined a proposal from Knut Storberget, Else-May Botten, Arild Grande and Ingvild Kjerkol to legislate on good commercial practices in order to ensure important consumer interests. I thank the Committee for its work on the matter. The Committee agrees that the Norwegian food value chain is characterised by a strong market concentration at the supply, distribution and daily food stages. The Committee agrees that it presents a challenging competitive situation. The Committee considers that sound competition is important in order to ensure safe, good and reasonable food for consumers. In order to ensure that different producers of food are given the opportunity to reach the store shelves, it is essential that there be neat negotiations that take into account good trade practices. If we are to ensure increased Norwegian food production on Norwegian resources, the Committee believes it is essential to ensure the ability to distribute and sell this food on the market. The Industry Committee points out that both the Food Chains Committee and the Food Law Committee concluded that there is a need for clearer driving rules for negotiations in the food chain. The Committee wishes to strengthen competition at retail level and to ensure that consumers' interests in terms of price, choice, quality and availability are properly respected. It is also the Committee's common position to include, inter alia: Both the work of the Committee on Food Chain and Food Law and the Committee on Foodstuffs must be at the heart of the Government's proposals for measures to improve competition and the efficiency of the food market as soon as possible. The members of the Committee of the Workers' Party and the Centre have submitted the following proposals: ‘By June 2015, the government is asked to submit proposals for the law on good trading practices in supervisory capacity, which also includes the distribution of food products.’ The majority of the committee, represented by the Right, the Advance Party, the Christian People's Party and the Left, think differently. At the same time, there is a concern about the competitive situation in the Norwegian groceries market. The majority believe that a well-functioning and efficient market is essential in order to safeguard the interests of consumers in terms of quality, diversity, availability and price. The same majority would stress that the current situation is such that consumers’ interests are not adequately safeguarded. The majority note that there are several opinions and opinions on the nature of the instruments to address the challenges of inefficiency and competition in the food market. The Good Trade Act is one proposal, primarily designed to make the negotiations between suppliers and food chains more effective. However, other measures and instruments may also be possible. The majority of the Committee notes that complex issues need to be addressed when dealing with the competitive situation and efficiency of the food market. The majority of the Committee therefore considers that there is a need for effective instruments and therefore wishes the government to make concrete proposals in order to improve competition and efficiency in the food market. The majority of the Committee therefore favours the following proposal for a decision: «The government is asked to propose measures to improve competition and the efficiency of the food market.» In this way, both the government and the Stortinget can continue to work on a comprehensive approach to solutions that need to be developed to improve the competitive situation and efficiency of the food market. I therefore look forward to the government coming to Stortinget as soon as possible with proposals for measures to improve competition and efficiency in the food market. As I understand it, the Greens/Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European to 30 pst. This has not been discussed by the Committee. Me and the Left are not prepared to take this on board in this debate and will not support that proposal.
ParlaMint-NO_2015-02-12.ana.ud1982e126	The Workers' Party wanted to make proposals to this effect, good trading practices with supervisory capacity, which include the distribution of food products. It is because we are concerned about ensuring good, safe and reasonable food for consumers. Increased food production at home in Norway is an important objective for us, depending on the ability to distribute and sell food in the market. Today, there are few actors that represent the daily food industry in Norway and competition is tough. In order to reach the store shelves, it is essential that negotiations take account of good trade practices. We believe that a law of good commercial conduct could be one of many instruments that ensure more transparency and opportunities for real impact and market management of the pricing of groceries so that they become as reasonable as possible. The Stoltenberg government reduced two samples, the Food Chains Committee and the Food Law Committee, which would make proposals and arrangements to improve the competitive situation in the food industry. This resulted in proposals for good trading practice. It was made clear that the legislative proposal must cover the distribution of groceries and ensure proper control and sanctioning in the event of any breach of the law. There are currently significant challenges in the Norwegian food market, and there has been a development in the value chain that has a negative impact on consumers, on the development of food trade and on food production across the country. Especially demanding is the relationship of power between the chains and the suppliers, which has been permanently changed. The Food Law Committee concluded that negotiations and contractual relations between suppliers and the food chain are such that Norway needs a new law on good trade practices. This is important in order to ensure consumer and social interests related to the production and marketing of food. The Committee also recommended the establishment of a trade supervision to enforce the law. As for what the rapporteur said instead, I want to say that at least there is a lot of work on this proposal already when there have been two samples that have concluded immediately, so it is at least mature for action if you want to do so. If you're clear from the government that this is something you don't want, then I kind of have an understanding of it, we might disagree about it, but at least it starts to be reasonably clear if you want to do it. If you're going to see it in a whole context, at least it's one of the points that is absolutely recommended to address, so the challenge to the government is, if you want to do it, when will it happen, and today you can be clear that you won't do this, if that's what you want? Finally, I take up the proposals from the Workers' Party and the Centre Party, even though they were partly submitted here from the case rapporteur.
ParlaMint-NO_2015-02-12.ana.ud1982e139	The representative Else-May Botten has taken up the suggestions she referred to.
ParlaMint-NO_2015-02-12.ana.ud1982e142	I would like to thank the President-in-Office for a thorough review. There's a very strong focus on this. It is based on the strong desire that we have good access to and ensure that new products enter the market and that new producers enter the market. We record that the market concentration is very strong at all stages, really, in the Norwegian food chains. It has something to do with the fact that we also have a rather closed market, so there are major challenges we're talking about. But it should be raised beyond any doubt that there is a very strong focus in the government and in our government parties that there must be some grip here. But what kind of grip is the right one to take is pretty complicated. As far as we're not going to make it too complicated, it's a question of expanding the laws we already have, or of making our own trade law. What's the best thing to do? It is also a question of who should be empowered to follow it up. To be placed under the supervision of the Competition Authority, or to be subject to other measures and, for example: is new oversight being created? Here there are quite a number of questions that should be addressed in a proper way before going into a solution. I believe, on the basis of the signals given, that there is no doubt that there is a need for driving rules for negotiations so that there is fair treatment, especially where the really strong players meet the small and perhaps new players in the market, so that market power is not abused. There's the focus. It should ultimately benefit consumers and not be too much legal food – I think we can say so either. It has to be relatively easy to manage while achieving the results. So a little comment on the Greens' proposals, because that proposal opens up a completely different discussion. It opens up discussion about what kind of instruments we actually want to use in competition in Norway, and it violates the Constitution's principle that it should not be retroactive. That's the one. But it goes a long way in discussing antitrust legislation in Norway, where we break up already existing structures, and there is a big discussion that we do not take on board after a proposal that came yesterday. With that, I agree with the statements made by the President-in-Office.
ParlaMint-NO_2015-02-12.ana.ud1982e153	I would also like to join in what the President-in-Office, Pál Farstad, said at the outset in the debate, and not least in what Mr Gunnar Gunnarsen said in his speech. In fact, one might briefly sum up that there is a cross-political consensus that there are many challenges to the competitive situation in the food industry in Norway. The challenges related to competitive conditions, efficiency and structure in the food value chain have been on the agenda for a long time, and the Committee has noted that competition is healthy and ensures safe, good and reasonable food for consumers. I think that's very nice and a good start. In the public debate, more points have been made to distribution and the close integration between distribution, wholesale and retail trade, and this is an important barrier to the establishment of the food market that needs to be considered. The distribution market can be demanding and this is absolutely something that needs to be considered when assessing possible measures to promote competition in the food market. This is important for the government to take part in the further work. I am pleased that the Government of the Minister of Food and Agriculture in its letter to the Food and Agriculture Committee confirms that she is already in the process of evaluating a number of measures to improve the competitive situation, and of which part of the proposals mentioned in its reports by the Food and Agriculture Committee and the Committee on Foodstuffs and Foodstuffs, and has also embarked on a larger amount of work and evaluated a number of other inputs. Not enough: as we know, you have also been abroad to look at the competitive situation of other countries in the food industry – and its value chain. Competition policy measures are also seen by the Minister for Industry, and I understand that this is a major work. These are challenges that go across policy areas and sometimes very complex issues. In a matter like this, it is important to have all sides illuminated. It is important not to take decisions that may have unintended, negative consequences, but that the measures are very accurate. I am therefore pleased that a majority supports the motion for a resolution that: «The government is asked to propose measures to improve competition and the efficiency of the food market.» I look forward, of course, to debating these measures when the government makes its recommendations to improve precisely this – including the issue of law and supervision, in which I believe that the Council of State has not fully concluded but continues to assess strongly.
