ParlaMint-NO_2015-06-19.ana.ud1781e49	The representative, Kjersti Toppe, will present a proposal for a representative.
ParlaMint-NO_2015-06-19.ana.ud1781e52	On behalf of Rigmor Aasrud, Audun Lysbakken and myself, I would like to make a proposal to secure the Skeivt archive in Bergen for permanent operation.
ParlaMint-NO_2015-06-19.ana.ud1781e57	The representative, Mr Renate Håheim, will present a proposal for a representative.
ParlaMint-NO_2015-06-19.ana.ud1781e60	On behalf of Mr Wickholm, Mr Aukrust, Mr Nybakk, Mr Aasen, Mr Sivertsen, I would like to promote a draft representative on an identity clearance programme for Iraqis in Norway.
ParlaMint-NO_2015-06-19.ana.ud1781e65	The representative, Karin Andersen, will present a proposal for a representative.
ParlaMint-NO_2015-06-19.ana.ud1781e68	On behalf of Torgeir Knag Fylkesnes and myself, I would like to propose that all schools become dyslexic and dyscalable.
ParlaMint-NO_2015-06-19.ana.ud1781e73	The representative of Trygve Schlagsvold Vedum will present a proposal for a representative.
ParlaMint-NO_2015-06-19.ana.ud1781e76	On behalf of the representatives of Marit Arnstad, Janne Sjelmo Nordås and myself, I would like to put forward a representative proposal to halve the casting in Norway.
ParlaMint-NO_2015-06-19.ana.ud1781e82	The representative, Mr Breivik, will present a proposal for a representative.
ParlaMint-NO_2015-06-19.ana.ud1781e85	On behalf of André N. Skjelstad, Pál Farstad, Iselin Nybø and myself, I propose a proposal for energy efficiency on a Norwegian base.
ParlaMint-NO_2015-06-19.ana.ud1781e90	The representative, Jenny Klinge, will put forward a proposal for a representative.
ParlaMint-NO_2015-06-19.ana.ud1781e93	This aberration with representative proposals can hardly be called a gold rush, but I dare to make one myself too. On behalf of Anne Tingelstad Wøien, Torgeir Knag Fylkesnes and myself, I would like to put forward a proposal to legislate the right of the elephant to clay ball training during the elementary school.
ParlaMint-NO_2015-06-19.ana.ud1781e98	The representative Heikki Eidsvoll Holmås will present a proposal for a representative.
ParlaMint-NO_2015-06-19.ana.ud1781e101	I think it was very many good suggestions, I, so I promote one more, on behalf of crazy many, at first of all from the staging representatives of Audun Lysbakken and Heikki Eidsvoll Holmås, on the protection of the Øystese watercourse.
ParlaMint-NO_2015-06-19.ana.ud1781e106	How good they are does not play such a terrible role, they will in any case be dealt with in a regulatory way. [[muttering in the hall]] Before the matters on today's map are dealt with, the President will inform you that the meeting will continue, if necessary, beyond 1 p.m. 16th@item: inlistbox The President will propose that matters be referred to the Committee on Legal Affairs and Citizens' Rights. 1 to 4 is treated as a whole. – It shall be deemed to have been adopted.
ParlaMint-NO_2015-06-19.ana.ud1781e157	At the request of the Financial Committee and the Municipal and Administrative Committee, the President will propose that the debate be limited to 3 hours and that speaking time be allocated to the groups as follows: Working Party 45 minutes, Right 40 minutes, Advance Party 25 minutes, Christian People's Party 15 minutes, Center Party 15 minutes, Left 15 minutes, Socialist Left Party 15 minutes and Environment Party Green 10 minutes. In addition, the President will propose that there should be a change of line of up to four lines, with replies from the main speakers and parliamentary leaders of the parties, as well as up to six lines, with replies from members of the Government within the allocated speaking time, and that those who had to subscribe to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
