ParlaMint-NO_2015-11-25.ana.ud453e26	The called alternate for Oslo, Peter N. Myhre, has taken the seat.
ParlaMint-NO_2015-11-25.ana.ud453e35	The President will state that an enquiry has been made by the Control and Constitutional Committee regarding a hearing planned for the Committee. Due to difficulties in finding the time for the hearing, the Committee sent letters to the Presidency and requested that the hearing be held on a day of the Grand Meeting, i.e. tomorrow, Thursday, November 26. If the hearing is to take place on that day when there is a meeting in the Chamber, the second sentence of the second paragraph of Section 27 of the Rules of Procedure must be waived. The President proposes that the request by the Control and Constitutional Committee be met and that the Storting approve that provision of the Rules of Procedure be waived. Is there any objection to this? – It is not, and it is deemed to have been adopted.
ParlaMint-NO_2015-11-25.ana.ud453e51	On Monday, the Stortinge received notice from the Prime Minister's office that the Councils of State Tine Sundtoft, Anders Anundsen and Sylvi Listhaug will meet for oral Question Time. The advertised members of the government are present, and we are ready to start the oral question procedure. We start with the first main questions, from the representative of Terje Aasland.
ParlaMint-NO_2015-11-25.ana.ud453e58	My question goes to the Minister for Climate and Environment. The climate summit in Paris is becoming incredibly important, and is undoubtedly a meeting about our future. There is no doubt that the outcome of the Paris meeting must be a legally binding agreement. Norway’s role and responsibilities at the meeting and in international climate change work are significant. The Minister for Climate and Environment therefore bears a heavy responsibility on his shoulders, not just for Norway's position, but for the future of the planet. During our reign, under Stoltenberg, we strengthened Norway's role and responsibility in international climate work for eight years. We got in place and strengthened the rainforest effort, we got increased energy assistance, and we showed our responsibility as a rich country and took an internationally clear role as part of our solidarity in the climate issue. After the baton has been handed over to the blue-blue government, this has been significantly changed by the government. Not rhetorical, for there are the good ones, but actually, through practical policies and ability to prioritise. There we see that it is far from rhetoric to political concreteization. 2015 has been a long run towards the Paris Summit. The current style is not essential for a good jump, but it is important to complete the jump edge. What's going on? Instead of speeding up Norway’s international role, increasing its contribution and reinforcing its solidarity with the climate challenge, the government falls on the brink. What do world leaders think of dramatic cuts in climate aid, what do world leaders think of gathering in Paris? If the Council of State really believes that money and climate assistance are crucial, what do the leaders of the world now think and believe about Norway's efforts?
ParlaMint-NO_2015-11-25.ana.ud453e73	I am very pleased that the representative of Aasland is asking this question four days before the prime minister and I am on the plane to Paris for a meeting that, if we succeed, will lead to the most important agreement in our time. It is a heavy responsibility the government has taken on. That is exactly why the government has spent a lot of time working on international climate change. I have personally spent 33 days in international climate meetings in 2015 to discuss this and prepare us for Paris. Norway is now being invited to all meetings of the Major Economies Forum, together with the largest emitters – not because we are the largest emitter, but because we contribute constructively. The role Norway got in Lima last year in overtime when we sat and consulted the ten groups in the world to see if we could manage to find a compromise before we broke up is an example of that. I attended the so-called Pre-COP in Paris 14 days ago, which was the last meeting before we now meet at the climate summit. There, Norway and I were asked to conduct discussions about ambition. Why is Norway being asked to do so? Well, because we're the country in the world that first started talking about the need for a long-term goal, the need for Paris to be the turning point in international climate change. When we had this Pre-COP in Paris, it was after we had made the supplementary proposition for 2016. I did not hear anyone comment what we had to suggest there, in a special situation due to refugees. The country notes that Norway — including the previous government — has been able to rely on long-term international climate funding. We're despite the last cuts in the world summit on this. It's noticed.
ParlaMint-NO_2015-11-25.ana.ud453e82	I believe rhetoric in this Chamber has little impact on Norway's impact in Paris, unfortunately. What we're actually experiencing right before the Paris Summit is that the Norwegian climate action is being dramatically reduced internationally. There is no doubt that we clearly see, at least as far as we are outside the government, that the climate minister lacks an impact in the government. My question is therefore: is it going to be easier or more difficult to achieve climate change reductions if all the governments of all the countries did just like her government and cut off in international climate aid?
ParlaMint-NO_2015-11-25.ana.ud453e89	Now, in my first answer, I tried to convey the role of Norway beyond the borders of Norway. We do not achieve good results in Paris because of good or bad rhetoric in this Chamber. We reach an agreement in Paris because we work with other countries. That is what Norway has done constructively over many years. Despite the efforts of the representative to weaken this Minister for Climate and Environment, this Minister for Climate and Environment was asked by the host country of France not later than 14 days ago to conduct discussions on ambition. Because what Norway says and what we do is closely related. The fact that Brazil has now delivered its own very offensive emission targets, that they can show that the Amazon Fund is working is thanks to the Norwegian climate and forest investment – and what we have delivered on this. Despite being cut next year, we will follow up the results-based agreements we have with important forest countries. It notices the world.
ParlaMint-NO_2015-11-25.ana.ud453e96	It opens for follow-up questions – first Åsmund Aukrust.
ParlaMint-NO_2015-11-25.ana.ud453e99	I want to continue where the Council of State ended. She said this is noticing the world. I totally agree that the world doesn't notice good rhetoric, but it notices what we're actually doing. On 29 October, the Minister for Climate Change gave a speech in London, including: Prince Charles. She said that Norway was ready to increase its allocation to the rainforest. Then she traveled home, and the next day the same climate minister proposed to cut almost 400 million. kr in the rainforest bet. In his defense for the cut, the minister said: ‘We have not left the principle of contributing SEK 3 billion annually.’ Well, that's probably a good principle, but a principle plays little role when you suggest cut. Climate is not saved by principles but by actual decisions. Does the Minister for Climate Change think that the Paris meeting will be successful if people travel there with principles, while, when they come home, they cut the budgets at home?
ParlaMint-NO_2015-11-25.ana.ud453e111	There is a close link between what countries now deliver and what we are expected to do under the Paris Agreement. 170 countries have now delivered their emission targets. Several of these countries have said that they need financial assistance from other countries. Therefore, it is an important principle for Norway that we are long-term. We already said in Warsaw two years ago that we are going to continue the climate and forest activity until 2020. That's exactly what gives predictability to the countries we're working with. That is why – as I mentioned – Brazil can achieve ambitious emission targets. And that's why I've repeatedly explained that despite being cut in an extraordinary situation, Norway is the country in the world that delivers the most in terms of international climate finance. It's noticed. We will continue to do this, despite the cuts in the 2016 budget. And this trusts other countries.
ParlaMint-NO_2015-11-25.ana.ud453e120	Simon Molvær Grimstad – for follow-up questions.
