Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2018-09-13-S1-commons	ParlaMint-GR_2018-09-13-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 13, 2018-09-13	2018-09-13	Unicameralism	17	3	-	13	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2018-09-13-S1-commons	ParlaMint-GR_2018-09-13-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 13, 2018-09-13	2018-09-13	Unicameralism	17	3	-	13	-	Reference	English	Regular	MP	notMinister	K.K.E.	Communist Party of Greece	Opposition	Far-left	ΤΑΣΣΟΣ_ΤΑΣΣΟΥ_ΣΤΑΥΡΟΣ	Tassos, Stayros	M	-	
ParlaMint-GR-en_2018-09-13-S1-commons	ParlaMint-GR_2018-09-13-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 13, 2018-09-13	2018-09-13	Unicameralism	17	3	-	13	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2018-09-13-S1-commons	ParlaMint-GR_2018-09-13-S1-commons.u4	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 13, 2018-09-13	2018-09-13	Unicameralism	17	3	-	13	-	Reference	English	Regular	MP	Minister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΓΑΒΡΟΓΛΟΥ_ΒΑΣΙΛΕΙΟΥ_ΚΩΝΣΤΑΝΤΙΝΟΣ	Gavrogloy, Kōnstantinos	M	-	
ParlaMint-GR-en_2018-09-13-S1-commons	ParlaMint-GR_2018-09-13-S1-commons.u5	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 13, 2018-09-13	2018-09-13	Unicameralism	17	3	-	13	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2018-09-13-S1-commons	ParlaMint-GR_2018-09-13-S1-commons.u6	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 13, 2018-09-13	2018-09-13	Unicameralism	17	3	-	13	-	Reference	English	Regular	MP	notMinister	K.K.E.	Communist Party of Greece	Opposition	Far-left	ΤΑΣΣΟΣ_ΤΑΣΣΟΥ_ΣΤΑΥΡΟΣ	Tassos, Stayros	M	-	
ParlaMint-GR-en_2018-09-13-S1-commons	ParlaMint-GR_2018-09-13-S1-commons.u7	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 13, 2018-09-13	2018-09-13	Unicameralism	17	3	-	13	-	Reference	English	Regular	MP	Minister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΓΑΒΡΟΓΛΟΥ_ΒΑΣΙΛΕΙΟΥ_ΚΩΝΣΤΑΝΤΙΝΟΣ	Gavrogloy, Kōnstantinos	M	-	
ParlaMint-GR-en_2018-09-13-S1-commons	ParlaMint-GR_2018-09-13-S1-commons.u8	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 13, 2018-09-13	2018-09-13	Unicameralism	17	3	-	13	-	Reference	English	Regular	MP	notMinister	K.K.E.	Communist Party of Greece	Opposition	Far-left	ΤΑΣΣΟΣ_ΤΑΣΣΟΥ_ΣΤΑΥΡΟΣ	Tassos, Stayros	M	-	
ParlaMint-GR-en_2018-09-13-S1-commons	ParlaMint-GR_2018-09-13-S1-commons.u9	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 13, 2018-09-13	2018-09-13	Unicameralism	17	3	-	13	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2018-09-13-S1-commons	ParlaMint-GR_2018-09-13-S1-commons.u10	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 13, 2018-09-13	2018-09-13	Unicameralism	17	3	-	13	-	Reference	English	Regular	MP	Minister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΓΑΒΡΟΓΛΟΥ_ΒΑΣΙΛΕΙΟΥ_ΚΩΝΣΤΑΝΤΙΝΟΣ	Gavrogloy, Kōnstantinos	M	-	
ParlaMint-GR-en_2018-09-13-S1-commons	ParlaMint-GR_2018-09-13-S1-commons.u11	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 13, 2018-09-13	2018-09-13	Unicameralism	17	3	-	13	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2018-09-13-S1-commons	ParlaMint-GR_2018-09-13-S1-commons.u12	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 13, 2018-09-13	2018-09-13	Unicameralism	17	3	-	13	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
