Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2018-03-02-S1-commons	ParlaMint-GR_2018-03-02-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 81, 2018-03-02	2018-03-02	Unicameralism	17	3	-	81	-	Reference	English	Chairperson	MP	notMinister	AN.EL.	Independent Greeks National Patriotic Alliance	Coalition	Right	ΚΑΜΜΕΝΟΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΔΗΜΗΤΡΙΟΣ	Kammenos, Dīmītrios	M	-	
ParlaMint-GR-en_2018-03-02-S1-commons	ParlaMint-GR_2018-03-02-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 81, 2018-03-02	2018-03-02	Unicameralism	17	3	-	81	-	Reference	English	Chairperson	MP	notMinister	AN.EL.	Independent Greeks National Patriotic Alliance	Coalition	Right	ΚΑΜΜΕΝΟΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΔΗΜΗΤΡΙΟΣ	Kammenos, Dīmītrios	M	-	
ParlaMint-GR-en_2018-03-02-S1-commons	ParlaMint-GR_2018-03-02-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 81, 2018-03-02	2018-03-02	Unicameralism	17	3	-	81	-	Reference	English	Regular	MP	notMinister	E.K.	Union of Centrists	Opposition	Centre	ΓΕΩΡΓΙΑΔΗΣ_ΝΙΚΟΛΑΟΥ_ΜΑΡΙΟΣ	Geōrgiadīs, Marios	M	-	
ParlaMint-GR-en_2018-03-02-S1-commons	ParlaMint-GR_2018-03-02-S1-commons.u4	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 81, 2018-03-02	2018-03-02	Unicameralism	17	3	-	81	-	Reference	English	Chairperson	MP	notMinister	AN.EL.	Independent Greeks National Patriotic Alliance	Coalition	Right	ΚΑΜΜΕΝΟΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΔΗΜΗΤΡΙΟΣ	Kammenos, Dīmītrios	M	-	
ParlaMint-GR-en_2018-03-02-S1-commons	ParlaMint-GR_2018-03-02-S1-commons.u5	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 81, 2018-03-02	2018-03-02	Unicameralism	17	3	-	81	-	Reference	English	Regular	MP	Minister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΚΟΥΡΟΥΜΠΛΗΣ_ΕΛΕΥΘΕΡΙΟΥ_ΠΑΝΑΓΙΩΤΗΣ	Koyroymplīs, Panagiōtīs	M	-	
ParlaMint-GR-en_2018-03-02-S1-commons	ParlaMint-GR_2018-03-02-S1-commons.u6	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 81, 2018-03-02	2018-03-02	Unicameralism	17	3	-	81	-	Reference	English	Chairperson	MP	notMinister	AN.EL.	Independent Greeks National Patriotic Alliance	Coalition	Right	ΚΑΜΜΕΝΟΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΔΗΜΗΤΡΙΟΣ	Kammenos, Dīmītrios	M	-	
ParlaMint-GR-en_2018-03-02-S1-commons	ParlaMint-GR_2018-03-02-S1-commons.u7	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 81, 2018-03-02	2018-03-02	Unicameralism	17	3	-	81	-	Reference	English	Regular	MP	notMinister	E.K.	Union of Centrists	Opposition	Centre	ΓΕΩΡΓΙΑΔΗΣ_ΝΙΚΟΛΑΟΥ_ΜΑΡΙΟΣ	Geōrgiadīs, Marios	M	-	
ParlaMint-GR-en_2018-03-02-S1-commons	ParlaMint-GR_2018-03-02-S1-commons.u8	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 81, 2018-03-02	2018-03-02	Unicameralism	17	3	-	81	-	Reference	English	Chairperson	MP	notMinister	AN.EL.	Independent Greeks National Patriotic Alliance	Coalition	Right	ΚΑΜΜΕΝΟΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΔΗΜΗΤΡΙΟΣ	Kammenos, Dīmītrios	M	-	
ParlaMint-GR-en_2018-03-02-S1-commons	ParlaMint-GR_2018-03-02-S1-commons.u9	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 81, 2018-03-02	2018-03-02	Unicameralism	17	3	-	81	-	Reference	English	Regular	MP	Minister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΚΟΥΡΟΥΜΠΛΗΣ_ΕΛΕΥΘΕΡΙΟΥ_ΠΑΝΑΓΙΩΤΗΣ	Koyroymplīs, Panagiōtīs	M	-	
ParlaMint-GR-en_2018-03-02-S1-commons	ParlaMint-GR_2018-03-02-S1-commons.u10	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 81, 2018-03-02	2018-03-02	Unicameralism	17	3	-	81	-	Reference	English	Chairperson	MP	notMinister	AN.EL.	Independent Greeks National Patriotic Alliance	Coalition	Right	ΚΑΜΜΕΝΟΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΔΗΜΗΤΡΙΟΣ	Kammenos, Dīmītrios	M	-	
ParlaMint-GR-en_2018-03-02-S1-commons	ParlaMint-GR_2018-03-02-S1-commons.u11	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 81, 2018-03-02	2018-03-02	Unicameralism	17	3	-	81	-	Reference	English	Chairperson	MP	notMinister	AN.EL.	Independent Greeks National Patriotic Alliance	Coalition	Right	ΚΑΜΜΕΝΟΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΔΗΜΗΤΡΙΟΣ	Kammenos, Dīmītrios	M	-	
